Time frequency,Unit of measure,Expenditure and investment,Geopolitical entity (reporting)\Time,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0
Annual,Percentage,Current - other expenditure,European Union - 28 countries (2013-2020),:,:,:,:,:,26.3 d,26.3 d,26.8 d,:,:
Annual,Percentage,Current - other expenditure,Finland,36.1,36.3,36.5,37.6,38.6,39.1,40.0,39.7,38.3,38.3
Annual,Percentage,Current - other expenditure,France,17.9,19.6,18.5,18.6,18.5,18.3,18.0,18.2,17.2,18.5
Annual,Percentage,Current - other expenditure,Croatia,: d,24.9,24.3,:,23.5 d,: d,: d,22.7,18.7,19.2
Annual,Percentage,Current - other expenditure,Hungary,30.8,33.0,: d,26.5 e,23.8,26.1,25.9,26.6,22.8,29.1
Annual,Percentage,Current - other expenditure,Ireland,20.0,21.9,22.3,: d,: d,: d,: d,: d,: d,: d
Annual,Percentage,Current - other expenditure,Iceland,27.6,29.2 d,28.5,26.7,26.8,26.9,25.7,27.6 d,25.4 d,25.3
Annual,Percentage,Current - other expenditure,Italy,22.7 d,23.3,23.9,19.9,22.8,26.6,26.8,25.5,23.8,25.7
Annual,Percentage,Current - other expenditure,Liechtenstein,: d,: d,: d,: d,: d,:,:,:,:,:
Annual,Percentage,Current - other expenditure,Lithuania,23.0 d,: d,23.9,22.8,22.5,22.8,22.9,21.8,22.4,21.1
Annual,Percentage,Current - other expenditure,Luxembourg,18.5,15.3,15.8,15.6,17.2,19.1,18.8,19.4,18.3,18.8
Annual,Percentage,Current - other expenditure,Latvia,27.4,28.7,29.3,28.2,27.9,23.8,23.3,24.2,21.7,21.3
Annual,Percentage,Current - other expenditure,Malta,19.0,17.5,17.6,18.1,14.1,14.1,14.5,15.0,14.6,16.4
Annual,Percentage,Current - other expenditure,Netherlands,22.0,20.9,23.1,23.4,23.1,22.7,22.4,22.2,20.4,23.7
Annual,Percentage,Current - other expenditure,Norway,: d,22.1,21.6,21.2,21.0,22.3,21.2,20.6,19.6,21.9
Annual,Percentage,Current - other expenditure,Poland,32.0,: d,25.6 d,25.5,25.5,26.3,24.7,24.7,24.3,24.5
Annual,Percentage,Current - other expenditure,Portugal,:,19.9,12.3 d,12.2 d,14.9,14.1,14.0,14.8,14.4,15.6
Annual,Percentage,Current - other expenditure,Romania,34.9,30.5,25.0,30.7,23.9,23.6,22.6,22.4,21.3,24.5
Annual,Percentage,Current - other expenditure,Serbia,:,: d,:,:,:,21.6,:,:,:,:
Annual,Percentage,Current - other expenditure,Sweden,31.5,32.1,31.7,31.7,31.7,31.5,31.6,31.6,30.8,29.7
Annual,Percentage,Current - other expenditure,Slovenia,23.7,23.7,23.6,24.0,23.8,23.0,21.9,22.5,18.1,17.5
Annual,Percentage,Current - other expenditure,Slovakia,:,37.6,36.9,37.8,32.2,29.3,30.3,30.0,29.5,30.4
Annual,Percentage,Current - other expenditure,Türkiye,: d,:,:,20.3,19.6,19.0,18.5,20.7,18.2,17.8
Annual,Percentage,Current - other expenditure,United Kingdom,22.9,23.8,24.1,24.0 b,21.3,21.1,21.1,20.4,:,:
