Time frequency,National accounts indicator (ESA 2010),Unit of measure,Geopolitical entity (reporting)\Time,1995.0,1996.0,1997.0,1998.0,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0,2024.0
Annual,Real labour productivity per hour worked,"Index, 2015=100",Sweden,71.332,72.571,75.553,77.507,78.628,81.235,81.802,84.831,87.651,90.485,93.103,95.741,95.845,93.667,92.411,95.443,96.188,95.9,96.581,97.319,100.0,99.603,99.761,100.039,102.887,104.196,107.583,105.859,104.728,:
Annual,Real labour productivity per hour worked,"Index, 2015=100",Slovenia,60.866,64.937,70.07,71.74,74.162,76.571,78.946,79.293,81.974,84.583,90.351,95.855,100.12,99.85,93.499,96.496,99.794,98.907,98.14,99.268,100.0,103.298,107.587,110.11,111.37,112.38,115.667,114.243,116.414,:
Annual,Real labour productivity per hour worked,"Index, 2015=100",Slovakia,47.491,50.275,53.283,55.832,57.188,58.809,60.679,64.984,69.655,71.702,73.971,78.71,84.64,86.291,83.776,89.591,90.897,92.481,94.785,96.653,100.0,100.384,102.587,105.257,107.291,114.659,121.201,117.508,117.978,:
Annual,Real labour productivity per hour worked,Percentage change on previous period,Austria,:,0.0,0.9,3.7,2.0,2.2,1.4,1.7,1.0,1.8,2.5,2.5,2.5,0.0,-0.4,1.5,1.0,1.1,0.2,0.3,2.1,0.0,1.3,0.4,0.1,2.7,-0.2,2.8,-1.9,:
Annual,Real labour productivity per hour worked,Percentage change on previous period,Belgium,:,1.3,2.6,0.7,2.1,0.8,0.2,0.7,0.8,3.2,1.5,0.5,1.8,-0.6,-0.6 b,1.1,-0.4,0.1,0.6,1.6,1.0,-0.1,-0.2,0.2,0.9,3.7,-1.8,-0.2,0.3 p,:
Annual,Real labour productivity per hour worked,Percentage change on previous period,Bulgaria,:,2.5,-11.3,8.5,-5.4,9.0,3.9,5.7,2.9,2.4,4.6,3.6,3.3,1.3,1.2,5.7,4.5,3.3,-0.1,0.6,3.0,2.6,1.0,2.6,5.2,0.9,6.9,3.1,-1.6,:
Annual,Real labour productivity per hour worked,Percentage change on previous period,Cyprus,:,0.8,1.6,4.1,2.7,3.9,0.5,3.1,-0.6,3.0,2.9,3.6,-0.9,-0.2,-1.0,1.8,0.0,0.2,0.9,0.0,1.3,1.0,1.3,1.1,0.7,2.1,2.7,2.1,1.0 p,:
Annual,Real labour productivity per hour worked,Percentage change on previous period,Czechia,:,3.8,-0.3,0.1,2.0,4.3,7.6,1.5,4.9,4.1,5.0,6.0,4.2,-0.4,-2.5,2.7,1.9,0.4,0.3,1.1,4.8,0.2,3.6,1.2,3.7,3.3,0.1,-1.5,-0.8,:
Annual,Real labour productivity per hour worked,Percentage change on previous period,Germany,1.4,1.9,2.5,1.1,1.4,2.5,2.4,0.9,0.9,0.9,1.8,1.6,1.1,0.0,-3.0,2.3,2.5,0.8,0.4,1.0,0.6,1.4,1.9,0.3,0.7,0.9,1.3 p,0.1 p,-0.6 p,-0.1 p
Annual,Real labour productivity per hour worked,Percentage change on previous period,Denmark,1.5,2.4,0.6,0.0,1.0,2.3,-0.2,0.8,1.7,3.3,1.4,1.2,0.3,-1.5,-1.0,3.6,0.4,1.7,1.2,1.5,1.1,1.0,2.1,2.0,0.9,1.7,1.3,-2.1,1.5,:
