Time frequency,Age class,Unit of measure,Geopolitical entity (reporting)\Time,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Total,Percentage of total employment,Hungary,0.29,0.29,0.31,0.35,0.44,0.39,0.36,0.42,0.5,0.58,0.59 b,0.6,0.55
Annual,Total,Percentage of total employment,Ireland,1.01,0.94,1.0,0.99,0.9,1.03,1.06 b,1.06,1.04,0.92,0.84 b,0.88,0.99
Annual,Total,Percentage of total employment,Iceland,2.05,2.1,2.08,1.94,1.96,2.03,2.25,2.29,2.13,2.15 b,2.72 b,2.73,2.57
Annual,Total,Percentage of total employment,Italy,0.46,0.44,0.47,0.54,0.52,0.52,0.57 b,0.50 b,0.57,0.6,0.46 b,0.59,0.69
Annual,Total,Percentage of total employment,Lithuania,0.42 u,0.41 u,0.41,0.45,0.51,0.57,0.54,0.57,0.42,0.4,0.49 b,0.54,0.46
Annual,Total,Percentage of total employment,Luxembourg,0.49,0.57,0.63,0.47,0.68 b,0.94,0.67,0.68,0.58,0.7,0.52 b,0.71,0.79 u
Annual,Total,Percentage of total employment,Latvia,0.53,0.66,0.52,0.64,0.6,0.65,0.65,0.91,1.14,0.76,0.69 b,0.58,0.55
Annual,Total,Percentage of total employment,Montenegro,: u,0.79 u,0.78 u,0.66 u,: u,: u,0.53 u,0.66 u,0.64 u,0.73 u,:,:,:
Annual,Total,Percentage of total employment,North Macedonia,0.08 u,0.12 u,0.17,0.28,0.31,0.26,0.3,0.26,0.3,0.27,:,:,:
Annual,Total,Percentage of total employment,Malta,0.39 u,0.52,0.67,0.66,0.55,0.35 u,0.68,0.78,0.74,0.59,0.28 bu,0.67,0.55 u
Annual,Total,Percentage of total employment,Netherlands,0.77,0.78,0.78 b,0.81,0.89,0.91,0.82,0.87,0.92,0.87,0.89 b,0.93,0.99
Annual,Total,Percentage of total employment,Norway,0.77,0.81,0.9,0.92,0.98,1.1,1.08,1.21,1.19,1.23,1.10 b,1.11,1.12
Annual,Total,Percentage of total employment,Poland,0.29,0.32,0.34,0.37,0.36,0.39,0.42,0.45,0.42 b,0.41,0.40 b,0.42,0.44
Annual,Total,Percentage of total employment,Portugal,0.5,0.48,0.64,0.71,0.85,0.85,0.84,0.77,0.77,0.78,0.75 b,0.86,0.9
Annual,Total,Percentage of total employment,Romania,0.13 u,0.23,0.16,0.12 u,0.14,0.15,0.17,0.12 u,0.18,0.23,0.16 b,0.21,0.28
Annual,Total,Percentage of total employment,Serbia,0.30 u,0.36,0.47,0.54 b,0.59 b,0.49,0.58,0.48,0.49,0.42,0.55 b,0.55,0.56 b
Annual,Total,Percentage of total employment,Sweden,1.25,1.34,1.49,1.52,1.59,1.52,1.59,1.60 b,1.58,1.54,1.40 b,1.38,1.33
Annual,Total,Percentage of total employment,Slovenia,0.55,0.42 u,0.45,0.44,0.58,0.58,0.59,0.55,0.49,0.48,0.81 b,0.87,0.71
Annual,Total,Percentage of total employment,Slovakia,0.3,0.37,0.51,0.53,0.46,0.47,0.47,0.39,0.42,0.47,0.39 bu,0.43,0.4
Annual,Total,Percentage of total employment,Türkiye,0.21,0.22,0.24,0.25 b,0.31,0.29,0.3,0.35,0.35,0.25,0.23 b,0.28,0.37
Annual,Total,Percentage of total employment,United Kingdom,1.28,1.33,1.22,1.29,1.34,1.36,1.36,1.38,1.3,:,:,:,:
Annual,Total,Thousand persons,Austria,25.1,24.0,25.8,27.8,35.9,27.9,26.3,24.1,30.9,30.0,26.0 b,28.7,32.7
Annual,Total,Thousand persons,Belgium,23.5,22.4 b,21.0,20.1,19.4,23.6,23.2 b,23.5 b,24.0,27.7,25.7 b,30.2,32.6
Annual,Total,Thousand persons,Bulgaria,10.2,8.6,9.0,9.3,10.6,11.5,13.4,12.8,14.4 b,13.3,11.0 b,9.2 b,11.0
Annual,Total,Thousand persons,Switzerland,37.9,39.8,39.3,44.7,48.6,53.4,52.6,56.6,57.1,55.2,47.3 b,42.9,43.3
Annual,Total,Thousand persons,Cyprus,3.2,2.1,1.9,2.0,1.9 b,2.8,2.9,2.5,3.0,3.6,3.8 b,3.3,3.1
Annual,Total,Thousand persons,Czechia,26.0,22.2,25.1,29.0,27.4,31.4,33.1,34.1,35.8,29.4,29.8 b,30.3,29.6
Annual,Total,Thousand persons,Germany,173.3,204.3 b,218.2,218.8,224.2,243.3,253.3,254.8,262.2,234.7 b,222.5 b,238.3,239.2
Annual,Total,Thousand persons,Denmark,25.7,25.4,23.4,27.1,28.7,28.6 b,26.5 b,28.0,30.4,26.6,27.9 b,34.6,37.7 b
Annual,Total,Thousand persons,Estonia,3.4,4.0,5.1,6.3,4.8,5.4,4.9,5.3,6.0,4.5,4.9 b,7.0,6.8
Annual,Total,Thousand persons,Greece,12.4,8.2,9.7,14.2,15.6,17.3,19.9,21.3,21.1,25.5,22.7 b,33.5,26.1
Annual,Total,Thousand persons,Spain,148.3,159.6,164.1,187.9,183.3,192.3,201.8,211.4,216.4,199.1,220.3 bd,231.8 d,244.7 d
Annual,Total,Thousand persons,European Union - 27 countries (from 2020),1118.6,1159.5,1140.5,1172.8,1210.7,1260.9,1292.0,1320.7,1371.7,1316.3,1368.4 b,1514.9,1547.3
Annual,Total,Thousand persons,Finland,23.5,23.7,25.8,30.8,30.7,30.6,31.2,32.0,32.3,34.1,33.1 b,32.1,30.1
Annual,Total,Thousand persons,France,279.2,277.5,212.8 b,167.9 b,177.9,181.0,171.1,186.6,180.9,185.4,279.2 bd,313.3 d,288.7 d
Annual,Total,Thousand persons,Croatia,4.1 u,4.5 u,4.6 u,6.1 u,4.8 u,5.9 u,6.4 u,9.7 u,10.9,6.0 u,7.6 bu,7.8 u,8.3 bu
Annual,Total,Thousand persons,Hungary,10.7,11.0,12.0,14.2,18.7,17.0,15.8,18.9,22.6,26.0,27.3 b,28.1,25.8
Annual,Total,Thousand persons,Ireland,19.0,17.7,19.4,19.6,18.4,21.9,23.2 b,23.8,24.1,21.2,20.3 b,22.8,26.5
Annual,Total,Thousand persons,Iceland,3.4,3.5,3.6,3.5,3.6,3.9,4.4,4.5,4.3,4.2 b,5.4 b,5.8,5.7
Annual,Total,Thousand persons,Italy,104.8,99.9,103.9,120.2,117.5,119.4,130.3 b,115.7 b,132.5,135.2,103.9 b,135.4,161.8
Annual,Total,Thousand persons,Lithuania,5.3 u,5.2 u,5.2,5.9,6.8,7.8,7.4,7.8,5.8,5.5,6.6 b,7.6,6.6
Annual,Total,Thousand persons,Luxembourg,1.1,1.3,1.5,1.2,1.8 b,2.4,1.8,1.9,1.7,2.1,1.6 b,2.2,2.5 u
Annual,Total,Thousand persons,Latvia,4.6,5.8,4.7,5.7,5.4,5.8,5.8,8.3,10.3,6.8,6.0 b,5.2,4.9
Annual,Total,Thousand persons,Montenegro,: u,1.6 u,1.6 u,1.4 u,: u,: u,1.2 u,1.6 u,1.6 u,1.6 u,:,:,:
Annual,Total,Thousand persons,North Macedonia,0.5 u,0.8 u,1.1,1.9,2.2,1.9,2.3,1.9,2.4,2.1,:,:,:
Annual,Total,Thousand persons,Malta,0.6 u,0.9,1.2,1.3,1.1,0.7 u,1.5,1.9,1.9,1.5,0.8 bu,1.9,1.7 u
Annual,Total,Thousand persons,Netherlands,64.2,64.8,64.8 b,66.6,73.8,76.6,71.0,76.1,82.7,77.9,82.2 b,88.8,96.4
Annual,Total,Thousand persons,Norway,19.6,20.9,23.5,24.2,25.9,29.0,28.7,32.4,32.4,33.1,30.8 b,31.7,32.3
Annual,Total,Thousand persons,Poland,45.1,49.5,52.8,58.7,57.7,63.8,69.1,74.7,71.7 b,68.8,68.1 b,71.7,75.4
Annual,Total,Thousand persons,Portugal,23.9,21.8,28.3,32.1,38.9,39.2,39.8,37.7,38.0,37.6,35.6 b,42.2,44.9
Annual,Total,Thousand persons,Romania,11.4 u,20.0,14.1,10.8 u,12.3,12.7,15.0,10.8 u,15.3,19.3,12.1 b,16.4,21.6
Annual,Total,Thousand persons,Serbia,6.8 u,7.9,10.8,13.8 b,15.2 b,13.2,16.1,13.7,14.3,12.2,15.7 b,15.9,16.0 b
Annual,Total,Thousand persons,Sweden,57.9,62.6,70.3,72.7,76.7,74.7,79.9,81.8 b,81.3,77.9,71.4 b,72.5,71.2
Annual,Total,Thousand persons,Slovenia,5.2,3.9 u,4.1,4.0,5.4,5.3,5.7,5.4,4.8,4.7,7.9 b,8.5,7.0
Annual,Total,Thousand persons,Slovakia,6.9,8.7,11.8,12.5,11.2,11.8,11.9,9.9,10.8,11.9,10.0 bu,11.3,10.5
Annual,Total,Thousand persons,Türkiye,50.8,55.6,62.3,65.0 b,82.0,78.1,83.8,101.0,97.4,66.0,67.3 b,87.1,116.9
Annual,Total,Thousand persons,United Kingdom,374.5,395.2,364.3,395.1,417.6,431.3,435.3,445.5,424.7,:,:,:,:
Annual,From 15 to 29 years,Percentage of total employment,Austria,0.79,0.69,0.77,1.01,1.21,1.06,0.96,0.75,0.89,1.03,0.84 b,0.79,1.23
Annual,From 15 to 29 years,Percentage of total employment,Belgium,0.86,0.85 b,0.7,0.78,0.66,0.89,0.82 b,0.73 b,0.9,1.12,1.11 b,1.39,1.62
Annual,From 15 to 29 years,Percentage of total employment,Bulgaria,: u,: u,: u,: u,: u,0.92 u,0.86 u,0.92 u,1.08 bu,1.02 u,: bu,: bu,: u
Annual,From 15 to 29 years,Percentage of total employment,Switzerland,0.87,1.05,0.97,1.11,1.11,1.44,1.19,1.35,1.52,1.39,1.25 b,1.33,1.24
Annual,From 15 to 29 years,Percentage of total employment,Cyprus,1.87,1.35 u,1.27 u,1.12 u,1.18 bu,1.63 u,1.23 u,0.81 u,1.93,1.25 u,1.28 bu,1.38 u,1.15 u
Annual,From 15 to 29 years,Percentage of total employment,Czechia,0.63,0.58,0.89,1.17,0.65,0.87,0.81,0.9,1.22,0.98,0.81 b,0.74,0.87
Annual,From 15 to 29 years,Percentage of total employment,Germany,0.65,0.75 b,0.78,0.85,0.91,0.97,1.0,1.0,1.04,1.00 b,0.98 b,1.05,1.07
Annual,From 15 to 29 years,Percentage of total employment,Denmark,2.61,2.58,2.43,2.61,2.45,2.46 b,2.22 b,2.34,2.46,2.22,2.14 b,2.31,2.71 b
Annual,From 15 to 29 years,Percentage of total employment,Estonia,0.95 u,1.35 u,1.87 u,2.89,0.99 u,1.28 u,: u,: u,1.10 u,1.19 u,: bu,1.45 u,1.72 u
Annual,From 15 to 29 years,Percentage of total employment,Greece,0.64,0.39 u,0.61 u,1.01,0.86,0.97,1.4,1.31,1.19,1.62,1.15 b,2.07,1.75
Annual,From 15 to 29 years,Percentage of total employment,Spain,1.68,2.09,2.66,2.83,2.67,2.86,3.04,2.93,2.89,2.7,2.76 bd,2.98 d,3.50 d
Annual,From 15 to 29 years,Percentage of total employment,European Union - 27 countries (from 2020),1.09,1.16,1.12,1.18,1.21,1.27,1.3,1.3,1.36,1.31,1.30 b,1.49,1.62
Annual,From 15 to 29 years,Percentage of total employment,Finland,2.05,1.98,2.3,2.98,2.78,2.83,2.59,2.6,3.03,3.04,2.90 b,2.92,2.65
Annual,From 15 to 29 years,Percentage of total employment,France,1.99,2.06,1.26 b,1.00 b,1.01,0.98,1.06,1.1,0.94,0.99,1.50 bd,1.81 d,1.82 d
Annual,From 15 to 29 years,Percentage of total employment,Croatia,: u,: u,: u,: u,0.39 u,0.74 u,0.64 u,0.93 u,1.20 u,0.75 u,0.62 bu,0.49 u,0.71 bu
Annual,From 15 to 29 years,Percentage of total employment,Hungary,: u,: u,0.58 u,0.68 u,0.82,0.79,0.74,0.67,1.2,1.39,1.07 b,1.32,1.05
Annual,From 15 to 29 years,Percentage of total employment,Ireland,1.7,1.52,1.57,1.6,1.61,1.79,1.80 b,1.69,1.88,1.69 u,1.40 bu,1.56,1.72
Annual,From 15 to 29 years,Percentage of total employment,Iceland,4.34,4.16,4.26,3.89,3.94,3.7,4.29,4.2,3.83,3.91 b,4.64 b,5.14,4.29
Annual,From 15 to 29 years,Percentage of total employment,Italy,1.11,1.03,1.0,1.09,1.25,1.29,1.44 b,1.28 b,1.29,1.39,1.14 b,1.48,1.57
Annual,From 15 to 29 years,Percentage of total employment,Lithuania,: u,: u,: u,0.81 u,: u,0.61 u,0.89 u,0.76 u,0.56 u,: u,: bu,0.82 u,1.01 u
Annual,From 15 to 29 years,Percentage of total employment,Luxembourg,: u,: u,: u,: u,1.32 bu,2.21,1.34 u,1.18 u,: u,1.25 u,: bu,1.49 u,: u
Annual,From 15 to 29 years,Percentage of total employment,Latvia,: u,: u,0.97 u,1.12 u,1.32,1.10 u,1.03 u,1.73,2.13,: u,: bu,: u,: u
Annual,From 15 to 29 years,Percentage of total employment,Montenegro,: u,: u,: u,: u,: u,: u,: u,: u,: u,: u,:,:,:
Annual,From 15 to 29 years,Percentage of total employment,North Macedonia,: u,: u,: u,0.61 u,0.75 u,0.87 u,0.67 u,0.47 u,0.81,0.61 u,:,:,:
Annual,From 15 to 29 years,Percentage of total employment,Malta,: u,: u,0.85 u,0.91 u,: u,: u,: u,0.85 u,: u,0.97 u,: bu,1.06 u,: u
Annual,From 15 to 29 years,Percentage of total employment,Netherlands,1.32,1.47,1.38 b,1.3,1.53,1.72,1.43,1.58,1.6,1.44,1.19 b,1.47,1.74
Annual,From 15 to 29 years,Percentage of total employment,Norway,1.95,1.98,2.05,2.17,2.27,2.83,2.72,2.82,2.62,2.71,2.88 b,3.17,2.79
Annual,From 15 to 29 years,Percentage of total employment,Poland,0.41 u,0.44 u,0.43 u,0.61,0.69,0.75,0.71,0.81,0.88 b,0.78,0.61 bu,0.68 u,0.72 u
Annual,From 15 to 29 years,Percentage of total employment,Portugal,0.92,0.99,1.62,1.78,2.16,1.9,1.69,1.69,1.72,1.67,1.61 b,2.17,2.13
Annual,From 15 to 29 years,Percentage of total employment,Romania,: u,0.45 u,: u,: u,: u,: u,: u,: u,: u,: u,: bu,: u,: u
Annual,From 15 to 29 years,Percentage of total employment,Serbia,: u,: u,1.20 u,0.98 bu,0.80 bu,1.27,1.35,0.79 u,0.71 u,0.68 u,1.01 b,1.29,0.93 b
Annual,From 15 to 29 years,Percentage of total employment,Sweden,2.55,2.68,2.81,2.99,3.19,2.99,3.24,3.48 b,3.69,3.21,2.98 b,2.88,3.31
Annual,From 15 to 29 years,Percentage of total employment,Slovenia,1.04 u,0.69 u,0.94 u,1.03 u,1.17 u,0.99 u,1.32 u,0.95 u,1.21 u,1.18 u,1.74 bu,1.67 u,1.21 u
Annual,From 15 to 29 years,Percentage of total employment,Slovakia,: u,0.53 u,0.71,0.73,0.60 u,0.91,0.92,: u,0.81 u,1.19,: bu,: u,: u
Annual,From 15 to 29 years,Percentage of total employment,Türkiye,0.35,0.32,0.38,0.40 b,0.51,0.53,0.51,0.61,0.63,0.43,0.41 b,0.44,0.55
Annual,From 15 to 29 years,Percentage of total employment,United Kingdom,2.53,2.51,2.15,2.38,2.55,2.7,2.56,2.82,2.53,:,:,:,:
Annual,From 15 to 29 years,Thousand persons,Austria,7.7,6.7,7.4,9.6,11.5,10.3,9.2,7.2,8.5,9.5,7.8 b,7.5,11.8
Annual,From 15 to 29 years,Thousand persons,Belgium,7.5,7.3 b,5.8,6.6,5.5,7.5,6.9 b,6.4 b,8.3,9.7,9.8 b,12.6,14.8
Annual,From 15 to 29 years,Thousand persons,Bulgaria,: u,: u,: u,: u,: u,4.1 u,4.0 u,4.0 u,4.7 bu,3.9 u,: bu,: bu,: u
Annual,From 15 to 29 years,Thousand persons,Switzerland,8.8,10.7,9.8,11.5,11.6,15.1,12.6,14.1,15.7,14.1,12.4 b,13.3,12.7
Annual,From 15 to 29 years,Thousand persons,Cyprus,1.7,1.2 u,1.0 u,0.9 u,0.9 bu,1.2 u,1.0 u,0.7 u,1.7,1.1 u,1.1 bu,1.3 u,1.1 u
Annual,From 15 to 29 years,Thousand persons,Czechia,5.3,4.7,7.3,9.6,5.4,7.1,6.6,7.3,9.7,7.2,5.8 b,5.1,6.2
Annual,From 15 to 29 years,Thousand persons,Germany,51.4,58.4 b,60.7,66.0,70.7,78.3,81.2,80.3,84.1,78.2 b,76.2 b,85.6,89.1
Annual,From 15 to 29 years,Thousand persons,Denmark,15.4,15.1,14.2,15.7,15.4,15.8 b,14.5 b,15.8,16.8,14.8,14.5 b,16.5,19.4 b
Annual,From 15 to 29 years,Thousand persons,Estonia,1.2 u,1.6 u,2.3 u,3.5,1.2 u,1.6 u,: u,: u,1.3 u,1.2 u,: bu,1.6 u,1.9 u
Annual,From 15 to 29 years,Thousand persons,Greece,4.0,2.0 u,2.8 u,4.7,4.1,4.6,6.7,6.4,6.0,7.7,5.6 b,11.1,10.0
Annual,From 15 to 29 years,Thousand persons,Spain,51.1,55.0,63.6,66.9,63.4,69.1,77.4,77.9,79.2,66.9,73.0 bd,86.6 d,106.7 d
Annual,From 15 to 29 years,Thousand persons,European Union - 27 countries (from 2020),386.1,397.3,372.7,392.4,406.5,434.5,449.1,452.4,475.2,435.1,436.4 b,524.4,579.3
Annual,From 15 to 29 years,Thousand persons,Finland,10.6,10.4,11.9,15.2,13.9,14.4,13.4,13.8,16.3,15.5,15.1 b,15.6,14.0
Annual,From 15 to 29 years,Thousand persons,France,100.7,101.2,61.2 b,49.3 b,49.7,48.7,53.0,55.6,47.5,48.5,78.7 bd,100.5 d,102.4 d
Annual,From 15 to 29 years,Thousand persons,Croatia,: u,: u,: u,: u,1.0 u,2.2 u,1.9 u,2.7 u,3.6 u,2.1 u,1.7 bu,1.4 u,1.8 bu
Annual,From 15 to 29 years,Thousand persons,Hungary,: u,: u,3.8 u,4.7 u,5.9,6.0,5.7,5.2,9.2,10.3,8.1 b,9.9,7.7
Annual,From 15 to 29 years,Thousand persons,Ireland,7.6,6.5,6.7,6.7,6.9,8.3,8.3 b,8.0,9.1,7.7 u,7.1 bu,8.7,9.9
Annual,From 15 to 29 years,Thousand persons,Iceland,1.8,1.7,1.9,1.8,1.9,1.9,2.2,2.2,2.0,1.9 b,2.2 b,2.7,2.3
Annual,From 15 to 29 years,Thousand persons,Italy,34.5,31.0,27.1,28.6,33.0,35.1,39.9 b,35.3 b,36.6,36.8,31.1 b,43.7,47.6
Annual,From 15 to 29 years,Thousand persons,Lithuania,: u,: u,: u,2.0 u,: u,1.5 u,2.1 u,1.8 u,1.3 u,: u,: bu,1.7 u,1.9 u
Annual,From 15 to 29 years,Thousand persons,Luxembourg,: u,: u,: u,: u,0.7 bu,1.1,0.7 u,0.6 u,: u,0.7 u,: bu,0.9 u,: u
Annual,From 15 to 29 years,Thousand persons,Latvia,: u,: u,1.8 u,2.0 u,2.4,1.9 u,1.7 u,2.7,3.2,: u,: bu,: u,: u
Annual,From 15 to 29 years,Thousand persons,Montenegro,: u,: u,: u,: u,: u,: u,: u,: u,: u,: u,:,:,:
Annual,From 15 to 29 years,Thousand persons,North Macedonia,: u,: u,: u,0.7 u,0.9 u,1.1 u,0.9 u,0.6 u,1.1,0.8 u,:,:,:
Annual,From 15 to 29 years,Thousand persons,Malta,: u,: u,0.4 u,0.5 u,: u,: u,: u,0.5 u,: u,0.6 u,: bu,0.7 u,: u
Annual,From 15 to 29 years,Thousand persons,Netherlands,27.2,30.5,28.5 b,26.6,32.1,36.9,31.5,36.0,37.4,32.8,29.6 b,38.1,46.1
Annual,From 15 to 29 years,Thousand persons,Norway,11.3,11.9,12.4,13.0,13.8,17.1,16.5,17.4,16.4,16.7,18.4 b,21.5,19.2
Annual,From 15 to 29 years,Thousand persons,Poland,13.7 u,14.2 u,13.5 u,19.0,21.0,23.4,22.1,24.8,26.8 b,22.2,17.0 bu,18.5 u,19.6 u
Annual,From 15 to 29 years,Thousand persons,Portugal,7.3,6.9,10.5,11.6,14.2,12.7,12.0,12.3,12.9,11.4,10.8 b,15.3,16.1
Annual,From 15 to 29 years,Thousand persons,Romania,: u,6.8 u,: u,: u,: u,: u,: u,: u,: u,: u,: bu,: u,: u
Annual,From 15 to 29 years,Thousand persons,Serbia,: u,: u,3.7 u,3.6 bu,3.0 bu,5.1,5.5,3.3 u,3.0 u,2.7 u,4.4 b,5.8,3.9 b
Annual,From 15 to 29 years,Thousand persons,Sweden,24.7,25.8,27.9,30.5,33.5,32.0,35.5,38.3 b,40.2,32.7,30.0 b,30.3,34.8
Annual,From 15 to 29 years,Thousand persons,Slovenia,1.9 u,1.1 u,1.4 u,1.5 u,1.8 u,1.5 u,2.1 u,1.5 u,1.9 u,1.7 u,2.4 bu,2.4 u,1.8 u
Annual,From 15 to 29 years,Thousand persons,Slovakia,: u,2.3 u,3.1,3.2,2.7 u,4.2,4.2,: u,3.5 u,4.7,: bu,: u,: u
Annual,From 15 to 29 years,Thousand persons,Türkiye,25.7,23.5,27.7,29.9 b,38.9,40.2,39.5,47.0,46.0,29.4,30.7 b,35.1,46.7
Annual,From 15 to 29 years,Thousand persons,United Kingdom,173.6,172.8,149.1,170.0,187.3,201.3,192.5,209.7,188.7,:,:,:,:
Annual,From 30 to 64 years,Percentage of total employment,Austria,0.56,0.56,0.59,0.58,0.77,0.54,0.51,0.5,0.65,0.6,0.54 b,0.61,0.59
Annual,From 30 to 64 years,Percentage of total employment,Belgium,0.44,0.41 b,0.4,0.36,0.36,0.43,0.43 b,0.44 b,0.41,0.46,0.40 b,0.42,0.43
Annual,From 30 to 64 years,Percentage of total employment,Bulgaria,0.27 u,0.26 u,0.26 u,0.26 u,0.28 u,0.29,0.35,0.32,0.34 b,0.33,0.29 b,0.27 b,0.32
Annual,From 30 to 64 years,Percentage of total employment,Switzerland,0.87,0.86,0.86,0.93,1.02,1.02,1.07,1.14,1.08,1.08,0.92 b,0.76,0.77
Annual,From 30 to 64 years,Percentage of total employment,Cyprus,0.49 u,0.33 u,0.32 u,0.41 u,0.36 bu,0.55,0.67,0.58,0.41 u,0.79,0.80 b,0.57,0.56
Annual,From 30 to 64 years,Percentage of total employment,Czechia,0.5,0.42,0.43,0.46,0.51,0.54,0.58,0.57,0.55,0.48,0.53 b,0.55,0.54
Annual,From 30 to 64 years,Percentage of total employment,Germany,0.38,0.45 b,0.48,0.47,0.45,0.48,0.49,0.5,0.5,0.45 b,0.41 b,0.42,0.39
Annual,From 30 to 64 years,Percentage of total employment,Denmark,0.49,0.49,0.43,0.52,0.59,0.61 b,0.54 b,0.55,0.58,0.52,0.58 b,0.78,0.77 b
Annual,From 30 to 64 years,Percentage of total employment,Estonia,0.48 u,0.49 u,0.58,0.57,0.72,0.66,0.69,0.75,0.84,0.59,0.69 b,0.93,0.81
Annual,From 30 to 64 years,Percentage of total employment,Greece,0.25,0.2,0.23,0.32,0.37,0.41,0.41,0.46,0.45,0.54,0.51 b,0.64,0.46
Annual,From 30 to 64 years,Percentage of total employment,Spain,0.63,0.7,0.68,0.81,0.78,0.77,0.76,0.8,0.81,0.8,0.87 bd,0.83 d,0.76 d
Annual,From 30 to 64 years,Percentage of total employment,European Union - 27 countries (from 2020),0.48,0.5,0.5,0.5,0.51,0.51,0.52,0.52,0.54,0.53,0.56 b,0.58,0.56
Annual,From 30 to 64 years,Percentage of total employment,Finland,0.65,0.68,0.73,0.81,0.86,0.84,0.9,0.9,0.77,0.92,0.90 b,0.79,0.77
Annual,From 30 to 64 years,Percentage of total employment,France,0.86,0.84,0.71 b,0.55 b,0.56,0.58,0.53,0.57,0.6,0.61,0.89 bd,0.93 d,0.80 d
Annual,From 30 to 64 years,Percentage of total employment,Croatia,0.25 u,0.30 u,0.34 u,0.41 u,0.29 u,0.30 u,0.34 u,0.52 u,0.55 u,0.29 u,0.42 bu,0.45 u,0.47 bu
Annual,From 30 to 64 years,Percentage of total employment,Hungary,0.27,0.27,0.24,0.27,0.37,0.31,0.27,0.36,0.35,0.43,0.50 b,0.45,0.42
Annual,From 30 to 64 years,Percentage of total employment,Ireland,0.79,0.79,0.85,0.83,0.72,0.82,0.87 b,0.88,0.81,0.74,0.69 b,0.69,0.81
Annual,From 30 to 64 years,Percentage of total employment,Iceland,1.36,1.39,1.3,1.22,1.3,1.44,1.53,1.58,1.58,1.60 b,2.15 b,1.98,2.1
Annual,From 30 to 64 years,Percentage of total employment,Italy,0.36,0.36,0.4,0.47,0.43,0.42,0.44 b,0.40 b,0.48,0.5,0.37 b,0.46,0.56
Annual,From 30 to 64 years,Percentage of total employment,Lithuania,: u,: u,0.36 u,0.36 u,0.53,0.59,0.49,0.53,0.37,0.4,0.50 b,0.49,0.37
Annual,From 30 to 64 years,Percentage of total employment,Luxembourg,0.44 u,0.44 u,0.51 u,0.35 u,0.53 b,0.64,0.48,0.55,0.54,0.57,0.42 b,0.5,: u
Annual,From 30 to 64 years,Percentage of total employment,Latvia,0.52,0.65,0.41,0.46,0.37,0.49,0.58,0.76,0.96,0.71,0.60 b,0.53,0.51
Annual,From 30 to 64 years,Percentage of total employment,Montenegro,: u,: u,: u,: u,: u,: u,: u,: u,: u,: u,:,:,:
Annual,From 30 to 64 years,Percentage of total employment,North Macedonia,: u,0.10 u,0.14 u,0.21,0.22,0.14 u,0.23,0.21,0.2,0.2,:,:,:
