Time frequency,Unit of measure,Seasonal adjustment,Balance of payments item,Stock or flow,Geopolitical entity (partner),Geopolitical entity (reporting)\Time,Octobre-Décembre 1995,Janvier-Mars 1996,Avril-Juin 1996,Jullet-Septembre 1996,Octobre-Décembre 1996,Janvier-Mars 1997,Avril-Juin 1997,Jullet-Septembre 1997,Octobre-Décembre 1997,Janvier-Mars 1998,Avril-Juin 1998,Jullet-Septembre 1998,Octobre-Décembre 1998,Janvier-Mars 1999,Avril-Juin 1999,Jullet-Septembre 1999,Octobre-Décembre 1999,Janvier-Mars 2000,Avril-Juin 2000,Jullet-Septembre 2000,Octobre-Décembre 2000,Janvier-Mars 2001,Avril-Juin 2001,Jullet-Septembre 2001,Octobre-Décembre 2001,Janvier-Mars 2002,Avril-Juin 2002,Jullet-Septembre 2002,Octobre-Décembre 2002,Janvier-Mars 2003,Avril-Juin 2003,Jullet-Septembre 2003,Octobre-Décembre 2003,Janvier-Mars 2004,Avril-Juin 2004,Jullet-Septembre 2004,Octobre-Décembre 2004,Janvier-Mars 2005,Avril-Juin 2005,Jullet-Septembre 2005,Octobre-Décembre 2005,Janvier-Mars 2006,Avril-Juin 2006,Jullet-Septembre 2006,Octobre-Décembre 2006,Janvier-Mars 2007,Avril-Juin 2007,Jullet-Septembre 2007,Octobre-Décembre 2007,Janvier-Mars 2008,Avril-Juin 2008,Jullet-Septembre 2008,Octobre-Décembre 2008,Janvier-Mars 2009,Avril-Juin 2009,Jullet-Septembre 2009,Octobre-Décembre 2009,Janvier-Mars 2010,Avril-Juin 2010,Jullet-Septembre 2010,Octobre-Décembre 2010,Janvier-Mars 2011,Avril-Juin 2011,Jullet-Septembre 2011,Octobre-Décembre 2011,Janvier-Mars 2012,Avril-Juin 2012,Jullet-Septembre 2012,Octobre-Décembre 2012,Janvier-Mars 2013,Avril-Juin 2013,Jullet-Septembre 2013,Octobre-Décembre 2013,Janvier-Mars 2014,Avril-Juin 2014,Jullet-Septembre 2014,Octobre-Décembre 2014,Janvier-Mars 2015,Avril-Juin 2015,Jullet-Septembre 2015,Octobre-Décembre 2015,Janvier-Mars 2016,Avril-Juin 2016,Jullet-Septembre 2016,Octobre-Décembre 2016,Janvier-Mars 2017,Avril-Juin 2017,Jullet-Septembre 2017,Octobre-Décembre 2017,Janvier-Mars 2018,Avril-Juin 2018,Jullet-Septembre 2018,Octobre-Décembre 2018,Janvier-Mars 2019,Avril-Juin 2019,Jullet-Septembre 2019,Octobre-Décembre 2019,Janvier-Mars 2020,Avril-Juin 2020,Jullet-Septembre 2020,Octobre-Décembre 2020,Janvier-Mars 2021,Avril-Juin 2021,Jullet-Septembre 2021,Octobre-Décembre 2021,Janvier-Mars 2022,Avril-Juin 2022,Jullet-Septembre 2022,Octobre-Décembre 2022,Janvier-Mars 2023,Avril-Juin 2023,Jullet-Septembre 2023,Octobre-Décembre 2023,Janvier-Mars 2024,Avril-Juin 2024,Jullet-Septembre 2024
Quarterly,Percentage of gross domestic product (GDP),Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Net external debt,Net liabilities (liabilities minus assets),Rest of the world,Finland,:,:,:,:,:,:,:,:,:,:,:,:,:,22.2,21.6,21.9,16.6,9.7,10.2,13.6,14.1,12.8,10.2,9.5,5.9,8.0,6.6,6.7,3.7,3.8,-2.6,-2.1,-6.0,-3.2,-2.8,-4.0,-5.7,-7.1,-3.7,-5.6,-4.5,4.8,2.2,0.7,-0.8,-1.0,-1.0,-2.5,0.1,0.7,0.4,4.0,9.1,16.5,19.8,19.6,21.4,25.8,29.9,28.4,25.7,26.0,27.4,25.5,30.1,38.2,40.1,35.7,40.6,47.7,45.0,43.5,41.2,44.6,47.0,48.4,47.8,47.6,44.1,44.0,41.9,40.2,41.0,42.2,42.0,50.7,48.0,46.9,48.2,53.9,55.4,55.1,49.5,53.8,53.8,54.6,54.6,56.9,58.5,58.5,56.1,57.6,57.0,56.0,52.2,56.9,58.3,60.5,53.4,56.8,60.6,60.8,56.8,63.6,63.8,65.6
Quarterly,Percentage of gross domestic product (GDP),Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Net external debt,Net liabilities (liabilities minus assets),Rest of the world,France,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,12.1,14.8,18.6,22.7,24.1,23.9,24.1,25.4,27.3,28.1,26.9,28.1,23.8,26.0,29.4,28.3,30.3,31.1,33.0,33.8,35.9,35.3,36.2,33.9,33.8,34.3,35.9,36.6,37.8,36.9,36.1,36.2,36.3,36.3,37.2,35.7,38.1,37.5,38.3,37.5,40.4,41.6,42.3,39.9,41.9,43.2,43.4,42.5,42.5,46.5,48.2,48.3,48.7,47.6,46.4,44.1,42.1,39.9,38.5,36.2,35.5,35.2,34.9,36.5,36.8,37.1,36.7
Quarterly,Percentage of gross domestic product (GDP),Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Net external debt,Net liabilities (liabilities minus assets),Rest of the world,Croatia,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,13.6,:,:,:,20.0,21.6,22.5,18.5,10.3,13.6,16.1,16.2,18.3,21.7,23.8,23.5,27.2,29.4,31.7,30.0,31.1,33.9,34.9,33.0,35.6,38.1,39.3,36.7,36.9,38.9,40.7,39.0,39.4,43.5,44.4,43.2,48.7,54.4,56.5,58.2,59.5,61.0,61.3,58.2,61.2,63.7,63.3,60.3,60.3,62.9,63.0,59.0,59.1,61.6,62.9,58.1,58.7,60.9,61.0,56.6,57.7,60.5,61.2,53.3,51.4,52.2,50.0,41.2,40.9,42.0,40.4,31.3,31.0,33.3,32.3,24.0,23.8,25.7,24.8,15.7,15.4,17.9,18.6,14.0,14.4,16.5,16.0,4.6,5.1,8.9,8.4,-0.6,1.3,3.1,2.3,-5.6,-7.2,-3.9,-3.1,-12.5
Quarterly,Percentage of gross domestic product (GDP),Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Net external debt,Net liabilities (liabilities minus assets),Rest of the world,Hungary,35.3,33.7,32.3,29.3,28.5,28.3,28.2,25.6,21.3,20.7,22.7,21.9,22.4,23.5,24.1,24.7,23.9,25.2,26.1,26.4,26.6,26.9,26.2,24.4,22.8,22.2,22.7,21.7,21.3,23.0,24.6,23.6,26.5,28.7,30.6,30.4,31.6,33.7,37.5,37.6,35.5,2.3,7.4,8.5,9.9,11.5,17.3,24.3,25.1,40.1,41.3,60.4,66.7,78.1,81.4,80.3,77.9,78.7,81.3,76.3,48.9,42.2,62.6,63.7,67.3,73.0,72.6,69.5,68.2,67.1,67.3,63.4,59.2,59.4,61.4,59.3,57.0,57.1,57.0,52.6,23.7,22.8,22.2,21.0,9.8,22.2,20.0,17.9,11.2,7.7,7.5,7.0,6.1,-0.6,-2.9,-6.2,-10.6,-13.0,-20.0,-24.3,-15.5,-14.7,-7.4,-4.2,-8.2,-3.3,-2.4,-6.4,-1.5,6.3,8.9,7.5,9.0,20.6,24.8,24.6
Quarterly,Percentage of gross domestic product (GDP),Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Net external debt,Net liabilities (liabilities minus assets),Rest of the world,Ireland,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,-210.8,-198.8,-202.4,-202.0,-189.4,-197.0,-192.8,-206.7,-220.1,-208.8,-206.0,-192.7,-185.3,-201.3,-195.6,-200.8,-185.1,-178.1,-192.1,-194.5,-202.4,-213.1,-207.5,-204.0,-182.5,-191.1,-169.6,-153.6,-157.5,-172.0,-174.2,-203.1,-231.6,-270.6,-261.4,-277.8,-243.0,-260.0,-282.2,-308.7,-301.4,-325.1,-338.3,-345.9,-307.5,-294.3,-289.6,-293.6,-281.8,-299.1,-318.8,-320.9,-220.0,-198.8,-190.6,-200.2,-208.2,-240.9,-261.8,-290.1,-295.5,-271.5,-259.8,-276.6,-267.2,-270.0,-269.8,-241.9,-266.0,-245.5,-279.5,-257.1,-182.3,-238.7,-233.2,-250.6,-238.3,-243.5,-246.3,-258.2,-231.7,-212.7,-193.3,-203.1,-192.8,-187.2,-191.6,-221.5,-227.4,-245.9,-267.1
Quarterly,Percentage of gross domestic product (GDP),Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Net external debt,Net liabilities (liabilities minus assets),Rest of the world,Italy,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,38.0,39.8,38.3,36.8,38.6,39.6,39.7,40.9,43.6,44.5,46.9,47.3,48.1,48.8,46.6,45.3,48.7,48.1,50.2,52.2,53.9,55.2,55.7,56.3,57.2,57.5,58.9,57.3,61.2,58.4,59.2,58.0,59.7,58.4,58.5,55.3,55.4,54.9,54.7,55.5,57.0,54.2,53.7,53.0,52.8,52.3,54.6,53.1,54.0,57.0,58.5,59.6,59.9,57.7,56.7,56.5,56.6,55.3,54.8,53.6,52.9,51.1,48.7,46.5,46.1,45.0,43.8
Quarterly,Percentage of gross domestic product (GDP),Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Net external debt,Net liabilities (liabilities minus assets),Rest of the world,Lithuania,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,13.8,15.2,15.2,14.3,13.8,15.6,17.1,16.9,18.5,19.5,21.6,20.0,23.2,26.0,27.2,29.6,33.0,36.2,36.9,35.7,34.4,36.1,38.7,38.0,39.7,40.0,39.1,36.4,35.3,35.4,32.8,32.4,35.0,37.0,36.4,34.2,35.5,33.4,32.3,29.8,29.4,29.9,30.2,28.8,32.6,31.0,29.6,27.0,29.2,30.1,28.4,25.5,25.4,24.3,22.2,20.8,19.9,18.5,17.0,14.5,14.5,17.0,15.8,11.7,8.9,9.0,5.5,0.3,-1.5,-2.5,-4.8,-6.3,-2.8,-3.5,-4.3,-5.8,-6.3,-7.6,-10.9,-10.3,-9.4,-11.8,-13.1
Quarterly,Percentage of gross domestic product (GDP),Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Net external debt,Net liabilities (liabilities minus assets),Rest of the world,Luxembourg,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,-2282.0,-2257.4,-2245.5,-2205.0,-2257.9,-2316.1,-2292.3,-2255.1,-2297.4,-2450.5,-2563.4,-2534.9,-2412.9,-2478.4,-2495.3,-2460.2,-2485.0,-2558.6,-2628.6,-2546.8,-2555.2,-2516.5,-2465.8,-2444.3,-2039.2,-2148.9,-2262.0,-2356.0,-2543.4,-2694.8,-2841.0,-2806.7,-2816.4,-2774.6,-2764.3,-2752.8,-2284.0,-2378.0,-2337.5,-2313.8,-2198.7,-2342.6,-2172.7,-2141.7,-2039.0,-2105.2,-2164.9,-2246.2,-1864.6,-1813.9,-1771.6,-1751.9,-1704.6,-1686.3,-1775.5,-1821.3,-1651.7,-1697.5,-1740.8,-1757.6,-1760.9,-1813.2,-1784.3,-1750.8,-1868.8,-2048.1,-2174.5,-2427.2,-2465.8,-2263.3,-2567.9,-2621.8,-2591.2,-2533.9,-2594.7,-2623.6,-2658.1,-2406.8,-2143.6,-2040.1,-1972.1,-1994.2,-2057.1,-2102.9,-2289.1,-2401.8,-2596.5,-2598.1
Quarterly,Percentage of gross domestic product (GDP),Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Net external debt,Net liabilities (liabilities minus assets),Rest of the world,Latvia,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,9.0,7.9,8.2,10.6,12.4,12.5,14.1,15.0,14.9,14.8,16.1,17.4,17.8,18.9,19.9,22.0,23.4,25.4,26.5,28.5,29.2,31.0,32.4,35.2,36.5,37.4,39.6,42.9,46.2,46.0,48.7,48.4,50.5,51.5,52.7,56.2,57.2,57.6,59.5,60.1,60.2,60.6,59.1,58.6,59.2,57.2,54.5,52.1,49.0,48.3,45.4,42.4,44.4,42.4,41.7,39.4,38.6,37.9,37.1,34.5,35.6,33.5,31.4,28.8,29.1,29.3,28.8,27.3,25.8,25.6,24.3,21.6,22.0,21.9,21.6,20.9,18.6,19.2,19.8,18.9,18.3,17.5,16.5,14.1,12.0,12.3,13.2,10.4,10.8,10.4,9.1,8.8,9.5,9.7,9.0,8.5,7.1,7.1,6.7
Quarterly,Percentage of gross domestic product (GDP),Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Net external debt,Net liabilities (liabilities minus assets),Rest of the world,Malta,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,-24.7,-36.1,-35.7,-57.2,-81.0,-112.1,-138.2,-163.5,-200.9,-238.2,-285.8,-323.9,-338.3,-357.1,-372.4,-384.6,-392.4,-400.3,-411.0,-421.4,-394.7,-369.0,-357.0,-326.8,-415.2,-437.2,-457.9,-471.9,-469.6,-468.9,-479.8,-482.1,-481.0,-479.1,-463.8,-459.2,-449.1,-407.3,-392.7,-354.1,-323.4,-305.5,-300.1,-285.4,-281.5,-246.0,-229.5,-223.4,-233.1,-228.9,-217.4,-209.6,-752.0,-733.6,-687.1,-656.0,-688.3,-706.4,-715.8,-718.2,-797.3,-840.7,-878.1,-929.5,-910.4,-923.6,-925.3,-928.5,-1001.6,-1038.2,-1072.3,-1107.1,-1097.0,-1070.4,-1043.5,-1016.3,-991.4,-966.9,-933.9,-925.7,-904.8,-881.6,-881.4
