Time frequency,Unit of measure,Sex,Age class,International Statistical Classification of Diseases and Related Health Problems (ICD-10 2010),Geopolitical entity (reporting)\Time,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0
Annual,Rate,Males,Total,Chronic liver disease,Latvia,27.61,25.85,25.16,26.62,26.08,27.89,24.96,26.92,24.09,25.23,36.56
Annual,Rate,Males,Total,Chronic liver disease,Malta,12.54,11.41,9.09,10.07,6.52,8.88,6.69,9.17,6.13,9.35,8.29
Annual,Rate,Males,Total,Chronic liver disease,Netherlands,6.99,6.84,6.03,6.74,6.65,6.93,7.14,7.1,6.72,7.34,6.71
Annual,Rate,Males,Total,Chronic liver disease,Norway,6.61,5.59,6.1,5.04,5.95,5.96,6.37,5.19,5.9,6.05,6.03
Annual,Rate,Males,Total,Chronic liver disease,Poland,27.17,27.65,25.47,24.0,24.22,26.15,27.03,29.07,29.62,32.22,33.08
Annual,Rate,Males,Total,Chronic liver disease,Portugal,21.85,20.29,18.78,19.21,16.57,18.33,16.69,17.2,17.2,17.32,17.04
Annual,Rate,Males,Total,Chronic liver disease,Romania,70.17,70.23,65.83,66.01,63.9,64.74,66.54,68.75,68.49,68.5,70.38
Annual,Rate,Males,Total,Chronic liver disease,Serbia,17.28,16.79,16.71,16.77,16.58,16.0,15.99,15.08,16.52,16.18,17.25
Annual,Rate,Males,Total,Chronic liver disease,Sweden,8.78,10.18,8.61,10.29,9.36,10.08,9.61,9.55,10.23,8.92,9.84
Annual,Rate,Males,Total,Chronic liver disease,Slovenia,45.82,47.75,43.38,38.47,32.84,29.59,28.73,30.26,28.59,26.06,24.48
Annual,Rate,Males,Total,Chronic liver disease,Slovakia,49.78,52.76,44.09,43.69,46.29,44.6,38.61,51.44,49.93,47.59,53.58
Annual,Rate,Males,Total,Chronic liver disease,Türkiye,6.55 d,7 d,7.39 d,7.01 d,6.93 d,7.04 d,6.39 d,6.96 d,6.43 d,6.18 d,7.02 d
Annual,Rate,Males,Total,Chronic liver disease,United Kingdom,16.87 d,15.9,15.85,15.93,16.14,17.07,17.04,16.17,:,:,:
Annual,Rate,Total,Total,Chronic liver disease,Austria,17.11,18.32,17.0,16.06,16.59,15.99,14.93,14.22,14.29,14.97,14.98
Annual,Rate,Total,Total,Chronic liver disease,Belgium,11.23,12.3,11.38,11.77,12.29,11.8,11.28,11.95,11.32,11.3,11.31
Annual,Rate,Total,Total,Chronic liver disease,Bulgaria,19.26,21.97,20.99,20.71,22.62,23.37,22.75,22.57,24.99,24.16,24.96
Annual,Rate,Total,Total,Chronic liver disease,Switzerland,8.24,8.95,8.02,8.08,8.02,7.59,7.05,7.24,7.14,6.68,6.24
Annual,Rate,Total,Total,Chronic liver disease,Cyprus,6.74,5.61,8.43,7.01,5.85,5.23,6.26,6.03,7.37,7.69,7.44
Annual,Rate,Total,Total,Chronic liver disease,Czechia,18.47,18.12,18.29,17.51,17.78,16.98,18.61,18.95,19.35,19.51,21.32
Annual,Rate,Total,Total,Chronic liver disease,Germany,16.55,16.15,16.15,15.37,15.67,16.15,15.81,15.53,15.22,15.88,16.42
Annual,Rate,Total,Total,Chronic liver disease,Denmark,14.75,14.36,12.54,12.93,11.23,11.71,12.29,11.44,12.39,11.73,11.91
Annual,Rate,Total,Total,Chronic liver disease,Estonia,18.67,17.7,18.88,20.05,23.47,22.9,21.29,23.81,24.64,31.41,34.74
Annual,Rate,Total,Total,Chronic liver disease,Greece,7.25,6.87,7.25,6.64,6.37,6.4,6.29,5.62,5.7,6.0,5.85
Annual,Rate,Total,Total,Chronic liver disease,Spain,10.97,10.23,9.93,9.56,9.64,8.86,8.93,8.32,8.2,8.02,8.28
Annual,Rate,Total,Total,Chronic liver disease,European Union - 27 countries (from 2020),16.1,15.8,15.0,14.59,14.42,14.49,14.31,14.36,14.23,14.41,14.8
Annual,Rate,Total,Total,Chronic liver disease,Finland,20.8,21.8,21.82,21.07,18.94,19.31,18.06,18.95,19.67,21.37,20.69
Annual,Rate,Total,Total,Chronic liver disease,France,12.02,11.87,11.4,10.87,10.97,10.66,10.3,10.15,9.96,9.96,10.09
Annual,Rate,Total,Total,Chronic liver disease,Croatia,26.07,25.52 d,22.83 d,23.5,21.44,21.06,21.43,22.51,22.12,19.7,21.8
Annual,Rate,Total,Total,Chronic liver disease,Hungary,39.86 d,34.96 d,31.58 d,32.36,30.72,29.6,29.61,30.31,30.36,30.58,31.72
Annual,Rate,Total,Total,Chronic liver disease,Ireland,7.84,9.11,8.07,7.06,7.04,7.18,6.7,6.78,7.25,7.1,9.27
Annual,Rate,Total,Total,Chronic liver disease,Iceland,1.09,2.85,3.66,2.82,4.17,3.92,4.84,3.33,2.81,3.67,4.61
Annual,Rate,Total,Total,Chronic liver disease,Italy,10.4,9.82,9.05,8.81,8.47,8.3,7.87,7.55,7.35,7.12,6.97
Annual,Rate,Total,Total,Chronic liver disease,Liechtenstein,6.89,12.83,9.07,3.7,6.36,14.54,7.74,11.75,9.27,6.27,0.0
Annual,Rate,Total,Total,Chronic liver disease,Lithuania,31.33,28.97,30.92,27.22,25.95,26.15,23.15,21.82,21.52,27.07,28.55
Annual,Rate,Total,Total,Chronic liver disease,Luxembourg,12.1,15.62,13.41,14.22,11.76,15.69,13.33,15.3,13.38,13.05,12.7
Annual,Rate,Total,Total,Chronic liver disease,Latvia,18.19,17.11,17.59,18.21,17.77,19.27,16.51,19.61,17.03,17.73,26.61
Annual,Rate,Total,Total,Chronic liver disease,Malta,8.42,7.49,5.49,5.34,3.99,5.07,5.76,5.74,5.24,7.05,6.1
Annual,Rate,Total,Total,Chronic liver disease,Netherlands,5.13,5.13,4.73,4.92,5.04,5.29,5.17,5.18,5.03,5.35,5.07
Annual,Rate,Total,Total,Chronic liver disease,Norway,4.5,4.39,4.79,3.77,4.35,4.47,4.91,3.99,4.43,5.04,4.48
Annual,Rate,Total,Total,Chronic liver disease,Poland,17.66,17.96,16.91,15.8,15.82,17.07,18.31,19.57,19.91,21.45,22.11
Annual,Rate,Total,Total,Chronic liver disease,Portugal,12.56,11.61,11.11,10.86,9.66,10.66,9.41,9.61,9.99,9.87,9.73
Annual,Rate,Total,Total,Chronic liver disease,Romania,51.05,50.49,46.73,47.77,45.67,46.5,47.33,47.87,46.8,46.08,46.37
Annual,Rate,Total,Total,Chronic liver disease,Serbia,10.31,9.87,9.43,9.54,9.47,9.09,9.42,8.75,9.66,9.42,9.94
Annual,Rate,Total,Total,Chronic liver disease,Sweden,6.5,7.17,6.3,7.31,6.68,7.52,6.97,7.09,7.29,6.83,7.12
Annual,Rate,Total,Total,Chronic liver disease,Slovenia,29.56,30.77,27.19,24.11,20.44,17.94,17.69,19.42,18.72,17.55,16.66
Annual,Rate,Total,Total,Chronic liver disease,Slovakia,31.05,33.07,27.47,27.25,29.03,28.16,26.04,32.82,31.57,30.93,34.39
Annual,Rate,Total,Total,Chronic liver disease,Türkiye,5.04 d,5.47 d,5.73 d,5.71 d,5.63 d,5.78 d,5.39 d,5.48 d,5.36 d,5.06 d,5.38 d
Annual,Rate,Total,Total,Chronic liver disease,United Kingdom,12.72 d,12.14,11.98,12.11,12.35,12.86,12.95,12.24,:,:,:
