Time frequency,Sector,Stock or flow,Financial position,National accounts indicator (ESA 2010),Unit of measure,Geopolitical entity (reporting)\Time,2021.0,2022.0,2023.0
Annual,European institutions and bodies,Transactions,Assets,Short-term - loans,Million euro,Institutions and bodies of the European Union,-30.7,207.83,1332.77
Annual,European institutions and bodies,Transactions,Assets,Long-term - loans,Million euro,Institutions and bodies of the European Union,71026.0,40177.33,45254.36
Annual,European institutions and bodies,Transactions,Assets,Equity and investment fund shares,Million euro,Institutions and bodies of the European Union,518.85,963.12,1998.92
Annual,European institutions and bodies,Transactions,Assets,Equity,Million euro,Institutions and bodies of the European Union,371.88,0.0,0.0
Annual,European institutions and bodies,Transactions,Assets,Investment fund shares/units,Million euro,Institutions and bodies of the European Union,146.97,963.12,1998.92
Annual,European institutions and bodies,Transactions,Assets,"Insurance, pensions and standardised guarantees",Million euro,Institutions and bodies of the European Union,0.0,0.0,0.0
Annual,European institutions and bodies,Transactions,Assets,Non-life insurance technical reserves,Million euro,Institutions and bodies of the European Union,0.0,0.0,0.0
Annual,European institutions and bodies,Transactions,Assets,"Pension entitlements, claims of pension funds on pension managers and entitlements to non-pension benefits",Million euro,Institutions and bodies of the European Union,0.0,0.0,0.0
Annual,European institutions and bodies,Transactions,Assets,Provisions for calls under standardised guarantees,Million euro,Institutions and bodies of the European Union,0.0,0.0,0.0
Annual,European institutions and bodies,Transactions,Assets,Financial derivatives and employee stock options,Million euro,Institutions and bodies of the European Union,-758.15,-1517.57,-1948.76
Annual,European institutions and bodies,Transactions,Assets,Other accounts receivable/payable,Million euro,Institutions and bodies of the European Union,25352.1,23169.36,-19985.19
Annual,European institutions and bodies,Transactions,Liabilities,Net financial transactions,Million euro,Institutions and bodies of the European Union,-13880.2,-29366.52,-58803.78
Annual,European institutions and bodies,Transactions,Liabilities,Total financial assets/liabilities,Million euro,Institutions and bodies of the European Union,148476.33,110412.88,88369.0
Annual,European institutions and bodies,Transactions,Liabilities,Monetary gold and special drawing rights (SDRs),Million euro,Institutions and bodies of the European Union,0.0,0.0,0.0
Annual,European institutions and bodies,Transactions,Liabilities,Currency and deposits,Million euro,Institutions and bodies of the European Union,0.0,0.0,0.0
Annual,European institutions and bodies,Transactions,Liabilities,Currency,Million euro,Institutions and bodies of the European Union,0.0,0.0,0.0
Annual,European institutions and bodies,Transactions,Liabilities,Debt securities,Million euro,Institutions and bodies of the European Union,138021.64,94056.21,94825.23
Annual,European institutions and bodies,Transactions,Liabilities,Short-term debt securities,Million euro,Institutions and bodies of the European Union,9857.56,-14691.42,-2419.26
Annual,European institutions and bodies,Transactions,Liabilities,Long-term debt securities,Million euro,Institutions and bodies of the European Union,128164.07,108747.64,97244.49
Annual,European institutions and bodies,Transactions,Liabilities,Loans,Million euro,Institutions and bodies of the European Union,-141.89,3602.73,-1137.43
Annual,European institutions and bodies,Transactions,Liabilities,Short-term - loans,Million euro,Institutions and bodies of the European Union,-30.66,3772.16,-1027.35
Annual,European institutions and bodies,Transactions,Liabilities,Long-term - loans,Million euro,Institutions and bodies of the European Union,-111.23,-169.43,-110.08
Annual,European institutions and bodies,Transactions,Liabilities,Equity and investment fund shares,Million euro,Institutions and bodies of the European Union,0.0,311.03,362.09
Annual,European institutions and bodies,Transactions,Liabilities,"Insurance, pensions and standardised guarantees",Million euro,Institutions and bodies of the European Union,204.66,-976.78,266.64
Annual,European institutions and bodies,Transactions,Liabilities,Non-life insurance technical reserves,Million euro,Institutions and bodies of the European Union,0.0,0.0,0.0
Annual,European institutions and bodies,Transactions,Liabilities,"Pension entitlements, claims of pension funds on pension managers and entitlements to non-pension benefits",Million euro,Institutions and bodies of the European Union,0.0,0.0,0.0
Annual,European institutions and bodies,Transactions,Liabilities,Provisions for calls under standardised guarantees,Million euro,Institutions and bodies of the European Union,204.66,-976.78,266.64
Annual,European institutions and bodies,Transactions,Liabilities,Financial derivatives and employee stock options,Million euro,Institutions and bodies of the European Union,-627.07,-723.37,-2109.24
Annual,European institutions and bodies,Transactions,Liabilities,Other accounts receivable/payable,Million euro,Institutions and bodies of the European Union,11019.0,14143.05,-3838.3
