Annual,From minimum compulsory school age to 12 years,Percentage,Hungary,:,:,:,:,:,:,:,:,:,0.2,0.3,1.3,0.2,2.7,3.5,1.1,0.0,0.0,:
Annual,From minimum compulsory school age to 12 years,Percentage,Ireland,:,:,:,:,:,:,0.2,0.7,0.1,0.6,0.3,0.1,0.0,0.2,0.4,0.5 b,24.8,0.4,:
Annual,From minimum compulsory school age to 12 years,Percentage,Iceland,:,:,:,:,:,:,:,:,:,0.1,0.2,0.0,0.0,2.1,:,:,:,:,:
Annual,From minimum compulsory school age to 12 years,Percentage,Italy,:,:,:,:,:,:,:,:,:,0.0,0.0,0.1,0.0,0.0,0.0,:,0.5,0.0 n,:
Annual,From minimum compulsory school age to 12 years,Percentage,Lithuania,:,:,:,:,:,:,:,:,:,1.8,1.8,1.4,0.0,0.1,0.2,1.6,2.5,0.2,:
Annual,From minimum compulsory school age to 12 years,Percentage,Luxembourg,:,:,:,:,:,:,:,:,:,1.0,1.0,6.7,4.2,5.5,7.3,8.2 b,0.1 b,5.2 b,:
Annual,From minimum compulsory school age to 12 years,Percentage,Latvia,:,:,:,:,:,:,:,:,:,2.1,0.9,1.0,0.8,1.0,0.7,0.5,30.8,0.8,:
Annual,From minimum compulsory school age to 12 years,Percentage,North Macedonia,:,:,:,:,:,:,:,:,:,16.5,14.5,15.5,8.6,12.1,14.6,21.5,:,:,:
Annual,From minimum compulsory school age to 12 years,Percentage,Malta,:,:,:,:,:,:,:,:,:,0.0,0.0,0.0,0.0 n,0.1,0.0,0.0,0.9,0.0,:
Annual,From minimum compulsory school age to 12 years,Percentage,Netherlands,:,:,:,:,:,:,:,:,:,0.1,0.0,0.2,0.4,0.0,0.0,0.0,0.0,0.0,:
Annual,From minimum compulsory school age to 12 years,Percentage,Norway,:,:,:,:,:,:,:,:,:,0.4,0.3,0.7,0.7,0.6,0.7,1.2,0.0 b,0.0,:
Annual,From minimum compulsory school age to 12 years,Percentage,Poland,:,:,:,:,:,:,:,:,:,2.1,3.1,1.3,1.0,1.6,1.1,1.6,1.0,0.5,:
Annual,From minimum compulsory school age to 12 years,Percentage,Portugal,:,:,:,:,:,:,:,:,:,0.2,0.5,0.2,0.2,0.2,0.1,1.3,0.3,:,:
Annual,From minimum compulsory school age to 12 years,Percentage,Romania,:,:,:,:,:,:,:,:,:,8.3,8.3,5.5,7.4,9.5,6.6,7.3,2.3,0.0,:
Annual,From minimum compulsory school age to 12 years,Percentage,Serbia,:,:,:,:,:,:,:,:,:,19.4,15.6,19.6,20.0,25.7,11.3,8.4,10.1,:,:
Annual,From minimum compulsory school age to 12 years,Percentage,Sweden,:,:,:,:,:,:,:,:,:,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,:
Annual,From minimum compulsory school age to 12 years,Percentage,Slovenia,:,:,:,:,:,:,:,:,:,0.3,6.7,0.2,0.0 n,0.2,0.2,0.3,2.4,0.3,:
Annual,From minimum compulsory school age to 12 years,Percentage,Slovakia,:,:,:,:,:,:,:,:,:,17.9,27.8,29.3,28.1,15.7,6.6,8.6,4.1,4.6,:
Annual,From minimum compulsory school age to 12 years,Percentage,United Kingdom,:,:,:,:,:,:,:,:,:,0.1,0.2,0.2,3.4 b,3.6,:,:,:,:,:
Annual,From one year after compulsory school age to 12 years,Percentage,Austria,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.0,0.4,0.3
Annual,From one year after compulsory school age to 12 years,Percentage,Belgium,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.2,0.3,0.3
Annual,From one year after compulsory school age to 12 years,Percentage,Bulgaria,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.1
Annual,From one year after compulsory school age to 12 years,Percentage,Switzerland,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.1,0.0 n
Annual,From one year after compulsory school age to 12 years,Percentage,Cyprus,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.4
Annual,From one year after compulsory school age to 12 years,Percentage,Czechia,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,1.4
Annual,From one year after compulsory school age to 12 years,Percentage,Germany,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.0,0.0,0.0
Annual,From one year after compulsory school age to 12 years,Percentage,Denmark,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.0 b
Annual,From one year after compulsory school age to 12 years,Percentage,Euro area – 20 countries (from 2023),:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.7,0.2
Annual,From one year after compulsory school age to 12 years,Percentage,Estonia,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.2
Annual,From one year after compulsory school age to 12 years,Percentage,Greece,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.0,0.2
Annual,From one year after compulsory school age to 12 years,Percentage,Spain,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.0
Annual,From one year after compulsory school age to 12 years,Percentage,European Union - 27 countries (from 2020),:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.6,0.9
Annual,From one year after compulsory school age to 12 years,Percentage,Finland,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.0
Annual,From one year after compulsory school age to 12 years,Percentage,France,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,1.7 b,:,:,0.3
Annual,From one year after compulsory school age to 12 years,Percentage,Croatia,:,:,:,:,:,:,:,:,2.0,0.6,2.5,0.7,0.9,0.4,1.2,0.1,0.3,0.3,0.1
Annual,From one year after compulsory school age to 12 years,Percentage,Hungary,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.0
Annual,From one year after compulsory school age to 12 years,Percentage,Ireland,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.2 b,0.4 b,25.0,0.4,0.0
Annual,From one year after compulsory school age to 12 years,Percentage,Iceland,:,:,:,:,:,:,:,:,:,:,:,:,:,:,10.7,:,:,:,:
Annual,From one year after compulsory school age to 12 years,Percentage,Italy,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.0
Annual,From one year after compulsory school age to 12 years,Percentage,Lithuania,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.1
Annual,From one year after compulsory school age to 12 years,Percentage,Luxembourg,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,5.5,5.9
Annual,From one year after compulsory school age to 12 years,Percentage,Latvia,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,1.0
Annual,From one year after compulsory school age to 12 years,Percentage,Malta,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.0
Annual,From one year after compulsory school age to 12 years,Percentage,Netherlands,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.0
Annual,From one year after compulsory school age to 12 years,Percentage,Norway,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.0
Annual,From one year after compulsory school age to 12 years,Percentage,Poland,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.1
Annual,From one year after compulsory school age to 12 years,Percentage,Portugal,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.0,0.0
Annual,From one year after compulsory school age to 12 years,Percentage,Romania,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,15.3
Annual,From one year after compulsory school age to 12 years,Percentage,Serbia,:,:,:,:,:,:,:,:,:,:,:,0.6,0.8,1.4,3.5,0.7,0.7,1.2,:
Annual,From one year after compulsory school age to 12 years,Percentage,Sweden,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.0,0.0,0.0
Annual,From one year after compulsory school age to 12 years,Percentage,Slovenia,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.1
Annual,From one year after compulsory school age to 12 years,Percentage,Slovakia,:,:,:,:,:,:,:,:,:,:,26.9,28.2,24.6,13.0,2.3,1.4,0.7,9.7,2.6
Annual,From one year after compulsory school age to 12 years,Percentage,Türkiye,:,:,:,:,:,:,:,:,:,:,1.0,:,:,:,:,:,0.9,0.8,0.7
Annual,From 3 years to minimum compulsory school age,Percentage,Albania,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,19.7,:,:
Annual,From 3 years to minimum compulsory school age,Percentage,Austria,21.0,16.0,20.0,18.0,14.0,10.0,11.0,10.0,9.0,7.6,7.6,7.8,7.1,9.9,7.4,8.6,7.5,5.0,6.7
Annual,From 3 years to minimum compulsory school age,Percentage,Belgium,2.0,1.0,:,2.0,1.0,1.0,2.0,0.0,2.0,2.0,1.3,1.3,0.5,1.1,0.4 b,2.8,1.8,1.6,1.3
Annual,From 3 years to minimum compulsory school age,Percentage,Bulgaria,:,27.0,24.0,22.0,31.0,46.0,25.0,11.0,14.0,18.6,18.8,21.9,20.2,15.5,10.1,5.2,6.7,3.2,4.5
Annual,From 3 years to minimum compulsory school age,Percentage,Switzerland,:,:,:,:,13.0,16.0,11.0,11.2,12.2,15.9,:,:,23.9,23.6,24.8,18.0,16.8,19.5,16.1
Annual,From 3 years to minimum compulsory school age,Percentage,Cyprus,12.0,6.0,12.0,13.0,8.0,13.0,11.0,17.0,13.0,10.9,13.6,14.5,6.7,7.0,10.3,18.0,12.0,16.4,8.6
Annual,From 3 years to minimum compulsory school age,Percentage,Czechia,19.0,26.0,20.0,21.0,18.0,15.0,12.0,11.0,12.0,13.3,13.7,9.8,11.3,10.7,10.8,11.3,25.9,16.6,12.4
Annual,From 3 years to minimum compulsory school age,Percentage,Germany,10.0,10.0,10.0,8.0,9.0,7.0,8.0,7.0,8.0,8.6,7.6,7.6,10.0,8.5,7.8,51.3 b,9.8,9.1,13.0
Annual,From 3 years to minimum compulsory school age,Percentage,Denmark,5.0,4.0,3.0,3.0,16.0,10.0,2.0,6.0,1.0,4.9,2.1,3.7,4.2,3.1,6.6,7.9,9.0,5.9,2.9 b
Annual,From 3 years to minimum compulsory school age,Percentage,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",:,:,:,:,:,:,:,6.4 e,7.2 e,6.4 e,7.6 e,6.1 e,6.7 e,6.2 e,4.9,14.9 e,11.2,:,:
Annual,From 3 years to minimum compulsory school age,Percentage,Euro area - 18 countries (2014),9.0,9.0,9.0,7.0,7.0,7.0,8.0,6.4,7.3,6.4,7.4,6.0,6.6,6.1,4.9,14.9 e,:,:,:
Annual,From 3 years to minimum compulsory school age,Percentage,Euro area - 19 countries  (2015-2022),9.0,9.0,9.0,7.0,7.0,7.0,8.0,6.6,7.4,6.5,7.6,6.1,6.7,6.2,4.9,14.9 e,11.2,:,:
Annual,From 3 years to minimum compulsory school age,Percentage,Euro area – 20 countries (from 2023),:,:,:,:,:,:,:,:,:,6.8,7.8,6.3,7.0,6.1,5.2,15.1 e,8.6 u,6.2,7.1
Annual,From 3 years to minimum compulsory school age,Percentage,Estonia,16.0,11.0,9.0,8.0,5.0,6.0,6.0,6.0,6.0,4.0,5.4,5.8,4.3,4.6,3.2,5.1,6.6,4.0,3.9
Annual,From 3 years to minimum compulsory school age,Percentage,Greece,21.0,18.0,23.0,16.0,14.0,13.0,13.0,15.0,18.0,21.2,13.5,22.5,7.3,0.0,2.4,7.1,7.8,11.2,6.5
Annual,From 3 years to minimum compulsory school age,Percentage,Spain,5.0,9.0,7.0,4.0,6.0,7.0,13.0,6.0,8.0,6.3,7.5,3.6,4.0,4.9,1.5,1.9,0.9,3.5,1.4
Annual,From 3 years to minimum compulsory school age,Percentage,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",:,:,:,:,:,:,:,10.4,10.8,10.3,11.0,8.7,9.7,8.2,7.5 e,:,:,:,:
Annual,From 3 years to minimum compulsory school age,Percentage,European Union - 27 countries (2007-2013),:,:,12.0,11.0,10.0,11.0,11.0,10.4,10.6,10.1,10.9,8.6,9.5,8.0,7.3 e,:,:,:,:
Annual,From 3 years to minimum compulsory school age,Percentage,European Union - 27 countries (from 2020),:,:,:,:,:,8.6 e,11.7 e,9.5 e,10.0 e,9.3 e,9.9 e,7.7 e,8.3 e,7.6 e,6.8 e,14.5 e,10.4 u,7.2,8.7
Annual,From 3 years to minimum compulsory school age,Percentage,European Union - 28 countries (2013-2020),:,:,:,:,:,11.0,11.0,10.4 e,10.8,10.3,11.0,8.7,9.7,8.2,7.5 e,:,:,:,:
Annual,From 3 years to minimum compulsory school age,Percentage,Finland,22.0,21.0,21.0,20.0,20.0,20.0,22.0,20.0,18.0,17.2,14.6,13.6,12.6,12.6,10.3,13.5,7.0,6.2,5.2
Annual,From 3 years to minimum compulsory school age,Percentage,France,4.0,5.0,5.0,3.0,4.0,4.0,3.0,3.0,4.0,3.0,4.9,4.3,3.8,3.4,3.7,1.4 b,: m,: m,2.4
Annual,From 3 years to minimum compulsory school age,Percentage,Croatia,:,:,:,:,:,35.0,33.0,43.0,31.4,32.7,20.7,22.1,21.4,21.0,21.6,22.3,18.8,15.7,12.5
Annual,From 3 years to minimum compulsory school age,Percentage,Hungary,10.0,15.0,12.0,15.0,20.0,19.0,20.0,19.0,11.0,11.4,8.1,6.8,5.2,5.2,6.1,6.8,0.0,0.0,0.0
Annual,From 3 years to minimum compulsory school age,Percentage,Ireland,6.0,5.0,11.0,11.0,11.0,8.0,14.1,8.6,7.2,7.6,5.8,5.9,4.1,3.1,4.4 b,6.6 b,17.9,4.3,5.5
Annual,From 3 years to minimum compulsory school age,Percentage,Iceland,4.0,4.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,1.2,1.2,0.6,1.2,1.9,0.0,:,:,:,:
Annual,From 3 years to minimum compulsory school age,Percentage,Italy,7.0,8.0,7.0,7.0,6.0,9.0,5.0,7.0,6.0,5.2,10.0,5.9,9.7,6.4,5.8,:,6.6,5.6,4.3
Annual,From 3 years to minimum compulsory school age,Percentage,Lithuania,33.0,33.0,30.0,29.0,31.0,21.0,18.0,18.0,16.0,13.5,18.7,15.2,13.8,11.7,12.1,9.5,7.7,6.0,6.6
Annual,From 3 years to minimum compulsory school age,Percentage,Luxembourg,23.0,20.0,13.0,17.0,20.0,14.0,12.0,16.0,21.0,14.4,9.8,1.4,4.6,10.2,6.6,10.1 b,4.3 b,4.9,14.8
Annual,From 3 years to minimum compulsory school age,Percentage,Latvia,25.0,27.0,40.0,26.0,23.0,25.0,22.0,16.0,17.0,18.8,17.0,17.8,13.0,9.5,14.1,19.0,12.9,9.7,4.9
Annual,From 3 years to minimum compulsory school age,Percentage,North Macedonia,:,:,:,:,:,:,:,:,:,: m,: m,: m,: m,: m,: m,: m,:,:,:
Annual,From 3 years to minimum compulsory school age,Percentage,Malta,36.0,40.0,31.0,22.0,16.0,23.0,23.0,5.0,5.0,0.6,8.5,8.9,7.1,9.5,12.8,13.1,8.2,6.7,5.8
Annual,From 3 years to minimum compulsory school age,Percentage,Netherlands,6.0,6.0,4.0,6.0,8.0,6.0,5.0,5.0,7.0,5.7,4.9,3.8,3.7,12.4,2.2,5.8,1.9,2.9,3.2
Annual,From 3 years to minimum compulsory school age,Percentage,Norway,18.0,12.0,16.0,13.0,13.0,17.0,12.0,13.0,10.0,8.0,7.4,10.0,10.2,10.6,12.0,22.1,14.3 b,13.0,2.3
Annual,From 3 years to minimum compulsory school age,Percentage,Poland,43.0,46.0,45.0,43.0,39.0,39.0,37.0,44.0,39.0,34.1,36.0,17.4,21.5,21.1,23.3,24.6,15.6,17.0,17.4
Annual,From 3 years to minimum compulsory school age,Percentage,Portugal,27.0,12.0,11.0,7.0,9.0,9.0,8.0,6.0,6.0,4.1,4.8,3.2,3.5,2.9,2.2,7.3,7.9,8.4,11.3
Annual,From 3 years to minimum compulsory school age,Percentage,Romania,:,:,15.0,15.0,11.0,11.0,26.0,10.0,10.0,13.3,13.4,16.7,12.8,10.1,11.4,11.0,25.9,10.6,22.8
Annual,From 3 years to minimum compulsory school age,Percentage,Serbia,:,:,:,:,:,:,:,:,:,: m,: m,13.7,15.6,23.6,23.6,19.9,24.0,22.6,:
Annual,From 3 years to minimum compulsory school age,Percentage,Sweden,13.0,5.0,6.0,3.0,3.0,2.0,2.0,2.0,2.0,4.2,2.1,1.8,2.4,4.1,3.4,3.9,1.2,2.2,1.0
Annual,From 3 years to minimum compulsory school age,Percentage,Slovenia,9.0,5.0,7.0,6.0,4.0,3.0,3.0,4.0,4.0,4.9,3.8,3.3,2.9,3.1,2.5,2.2,7.7,2.3,2.8
Annual,From 3 years to minimum compulsory school age,Percentage,Slovakia,24.0,20.0,19.0,34.0,16.0,19.0,18.0,19.0,17.0,18.2,20.3,19.6,29.0,13.8,11.1,10.2,15.5,10.9,14.7
Annual,From 3 years to minimum compulsory school age,Percentage,Türkiye,:,86.0,90.0,85.0,86.0,:,:,:,:,:,53.3,:,:,:,:,:,65.8,52.4,48.4
Annual,From 3 years to minimum compulsory school age,Percentage,United Kingdom,8.0,8.0,8.0,9.0,5.0,8.0,4.0,18 b,17.0,18.2,19.2,17.1,20.0 b,14.7,:,:,:,:,:
Annual,Less than 3 years,Percentage,Albania,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,58.3,:,:
Annual,Less than 3 years,Percentage,Austria,68.0,61.0,66.0,71.0,62.0,58.0,61.0,56.0,52.0,56.6,50.3,53.1,57.9,53.0,55.3,59.5,53.3,51.4,50.5
Annual,Less than 3 years,Percentage,Belgium,45.0,43.0,40.0,43.0,59.0,55.0,54.0,42.0,40.0,39.0,39.9,44.5,37.2,37.5,34.5 b,36.3,36.3,35.1,33.8
Annual,Less than 3 years,Percentage,Bulgaria,:,55.0,61.0,67.0,72.0,92.0,64.0,80.0,81.0,73.2,70.3,71.0,80.5,70.6,69.9,71.8,68.4,71.7,72.9
Annual,Less than 3 years,Percentage,Switzerland,:,:,:,:,33.0,42.2,36.0,32.2,29.2,37.1,:,:,42.8,42.5,36.2,38.3,41.9,39.4,34.4
Annual,Less than 3 years,Percentage,Cyprus,32.0,28.0,31.0,28.0,28.0,33.0,30.0,29.0,31.0,31.8,36.2,37.1,31.8,32.9,41.6,45.0,35.3,25.3,39.3
Annual,Less than 3 years,Percentage,Czechia,80.0,79.0,68.0,64.0,59.0,59.0,60.0,62.0,60.0,60.4,60.8,58.0,57.8,55.8,57.6,66.3,71.6,65.4,67.9
Annual,Less than 3 years,Percentage,Germany,62.0,76.0,66.0,64.0,68.0,66.0,66.0,66.0,60.0,61.7,64.5,60.0,59.9,59.3,58.4,80.1 b,62.0,67.3,71.8
Annual,Less than 3 years,Percentage,Denmark,27.0,26.0,29.0,27.0,27.0,23.0,26.0,33.0,35.0,30.4,22.4,28.7,25.3,32.3,31.1,32.3,30.9,21.0,28.9 b
Annual,Less than 3 years,Percentage,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",:,:,:,:,:,:,:,49.1 e,49.0 e,48.0 e,48.1 e,46.6 e,46.2 e,46.4 e,45.1,52.4 e,47.9,:,:
Annual,Less than 3 years,Percentage,Euro area - 18 countries (2014),50.0,53.0,52.0,51.0,52.0,51.0,49.0,49.2,49.1,48.0,47.9,46.5,46.1,46.3,45.0,52.3 e,:,:,:
Annual,Less than 3 years,Percentage,Euro area - 19 countries  (2015-2022),51.0,54.0,52.0,51.0,52.0,52.0,49.0,49.4,49.2,48.1,48.1,46.6,46.2,46.4,45.1,52.4 e,47.9,:,:
Annual,Less than 3 years,Percentage,Euro area – 20 countries (from 2023),:,:,:,:,:,:,:,:,:,48.2,48.3,46.7,46.3,46.2,45.3,52.5 e,44.8,47.4,48.2
Annual,Less than 3 years,Percentage,Estonia,65.0,57.0,53.0,56.0,44.0,56.0,61.0,60.0,57.0,59.5,62.8,51.7,54.2,52.4,50.6,59.7,56.2,52.9,47.5
Annual,Less than 3 years,Percentage,Greece,47.0,41.0,49.0,37.0,32.0,35.0,36.0,35.0,38.0,36.6,37.4,46.0,38.7,15.1,40.9,47.9,34.6,39.2,40.8
Annual,Less than 3 years,Percentage,Spain,45.0,45.0,43.0,47.0,52.0,49.0,49.0,52.0,57.0,49.1,46.9,46.8,43.3,42.5,36.6,47.9,35.0,37.3,35.3
Annual,Less than 3 years,Percentage,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",:,:,:,:,:,:,:,50.6,50.4,49.9,49.9,47.4,46.1,47.4,46.0 e,:,:,:,:
Annual,Less than 3 years,Percentage,European Union - 27 countries (2007-2013),:,:,51.0,51.0,52.0,52.0,50.0,50.6,50.3,49.7,49.8,47.4,46.0,47.3,45.9 e,:,:,:,:
Annual,Less than 3 years,Percentage,European Union - 27 countries (from 2020),:,:,:,:,:,52.2 e,50.5 e,51.1 e,51.1 e,50.4 e,50.7 e,47.7 e,47.0 e,48.6 e,47.1 e,53.4 e,48.2,48.7,50.2
Annual,Less than 3 years,Percentage,European Union - 28 countries (2013-2020),:,:,:,:,:,52.0,50.0,50.6 e,50.4,49.9,49.9,47.4,46.1,47.4,46.0 e,:,:,:,:
Annual,Less than 3 years,Percentage,Finland,70.0,70.0,70.0,72.0,69.0,67.0,71.0,67.0,68.0,63.1,63.7,62.6,63.0,59.3,58.4,59.1,55.3,53.9,52.2
Annual,Less than 3 years,Percentage,France,48.0,50.0,52.0,47.0,45.0,46.0,41.0,42.0,42.0,41.2,42.4,38.7,38.9,37.3,36.4,36.2 b,35.7,39.0 b,39.3
Annual,Less than 3 years,Percentage,Croatia,:,:,:,:,:,61.0,68.0,71.0,65.2,65.5,59.3,53.9,57.1,58.8,60.8,59.0,51.2,52.7,49.2
Annual,Less than 3 years,Percentage,Hungary,49.0,48.0,59.0,65.0,78.0,72.0,72.0,74.0,65.0,67.7,63.9,57.7,57.0,58.0,48.7,61.2,61.6,58.8,58.8
Annual,Less than 3 years,Percentage,Ireland,47.0,52.0,55.0,53.0,57.0,52.0,62.2,52.2,52.9,47.7,48.5,47.0,44.7,43.1,46.6 b,62.8 b,65.8,66.0,58.2
Annual,Less than 3 years,Percentage,Iceland,38.0,46.0,40.0,40.0,38.0,37.0,34.0,35.0,33.0,32.4,33.4,30.3,35.9,30.3,0.0,:,:,:,:
Annual,Less than 3 years,Percentage,Italy,53.0,50.0,54.0,52.0,56.0,57.0,45.0,48.0,47.0,50.4,47.7,45.0,49.2,52.8,51.5,:,45.9,43.4,45.9
Annual,Less than 3 years,Percentage,Lithuania,72.0,75.0,63.0,74.0,76.0,76.0,71.0,72.0,70.0,59.0,79.9,64.0,61.8,59.4,58.6,69.5,66.2,65.8,70.2
Annual,Less than 3 years,Percentage,Luxembourg,43.0,38.0,45.0,43.0,43.0,38.0,35.0,32.0,37.0,35.1,33.7,38.9,27.9,25.8,29.6,29.5 b,29.3 b,41.1,37.0
