Time frequency,Economical indicator for structural business statistics,Statistical classification of economic activities in the European Community (NACE Rev. 1.1),Geopolitical entity (reporting)\Time,1997.0,1998.0,1999.0,2000.0,2003.0,2004.0,2005.0,2006.0,2007.0
Annual,Enterprises with non-autonomous pension funds - number,Financial intermediation,Hungary,:,:,:,:,0.0,0.0,0.0,0.0,0.00 d
Annual,Enterprises with non-autonomous pension funds - number,Financial intermediation,Italy,:,:,:,:,:,:,:,141.0,:
Annual,Enterprises with non-autonomous pension funds - number,Financial intermediation,Lithuania,:,:,:,:,:,0.0,0.0,0.0,0.0
Annual,Enterprises with non-autonomous pension funds - number,Financial intermediation,Netherlands,:,:,:,:,:,:,0.0,:,:
Annual,Enterprises with non-autonomous pension funds - number,Financial intermediation,Norway,:,:,:,:,:,:,:,:,0.00 d
Annual,Enterprises with non-autonomous pension funds - number,Financial intermediation,Slovenia,:,:,:,:,:,:,:,0.0,:
Annual,Enterprises with non-autonomous pension funds - number,Financial intermediation,Slovakia,:,:,:,:,:,0.0,:,:,0.00 d
Annual,Enterprises with non-autonomous pension funds - number,"Real estate, renting and business activities",Bulgaria,:,:,:,:,:,0.0,0.0,:,0.0
Annual,Enterprises with non-autonomous pension funds - number,"Real estate, renting and business activities",Czechia,:,:,:,:,0.0,:,:,:,: m
Annual,Enterprises with non-autonomous pension funds - number,"Real estate, renting and business activities",Greece,:,:,:,:,:,:,:,:,0.0
Annual,Enterprises with non-autonomous pension funds - number,"Real estate, renting and business activities",Spain,:,:,:,:,:,:,:,:,0.00 d
Annual,Enterprises with non-autonomous pension funds - number,"Real estate, renting and business activities",Hungary,:,:,:,:,0.0,0.0,0.0,0.0,0.00 d
Annual,Enterprises with non-autonomous pension funds - number,"Real estate, renting and business activities",Italy,:,:,:,:,:,:,:,141.0,:
Annual,Enterprises with non-autonomous pension funds - number,"Real estate, renting and business activities",Lithuania,:,:,:,:,:,0.0,0.0,0.0,0.0
Annual,Enterprises with non-autonomous pension funds - number,"Real estate, renting and business activities",Netherlands,:,:,:,:,:,:,0.0,:,:
Annual,Enterprises with non-autonomous pension funds - number,"Real estate, renting and business activities",Norway,:,:,:,:,:,:,:,:,0.00 d
Annual,Enterprises with non-autonomous pension funds - number,"Real estate, renting and business activities",Slovenia,:,:,:,:,:,:,:,0.0,:
Annual,Enterprises with non-autonomous pension funds - number,"Real estate, renting and business activities",Slovakia,:,:,:,:,:,0.0,:,:,0.00 d
Annual,Enterprises with non-autonomous pension funds - number,Total - all NACE activities,Belgium,101.0,101.0,101.0,:,:,86.0,29.0,:,:
Annual,Enterprises with non-autonomous pension funds - number,Total - all NACE activities,Bulgaria,:,:,:,:,:,0.0,0.0,:,0.0
Annual,Enterprises with non-autonomous pension funds - number,Total - all NACE activities,Switzerland,0.0,:,:,:,:,:,:,:,:
Annual,Enterprises with non-autonomous pension funds - number,Total - all NACE activities,Czechia,:,:,:,:,0.0,:,:,:,: m
Annual,Enterprises with non-autonomous pension funds - number,Total - all NACE activities,Germany,39233.0,:,:,:,:,:,:,:,:
Annual,Enterprises with non-autonomous pension funds - number,Total - all NACE activities,Denmark,0.0,:,:,:,:,:,:,:,:
Annual,Enterprises with non-autonomous pension funds - number,Total - all NACE activities,Greece,:,:,:,:,:,:,:,:,33.0
Annual,Enterprises with non-autonomous pension funds - number,Total - all NACE activities,Spain,453.0,475.0,483.0,431.0,:,:,:,:,0.0
Annual,Enterprises with non-autonomous pension funds - number,Total - all NACE activities,Finland,149.0,:,:,:,:,:,:,:,0.00 d
Annual,Enterprises with non-autonomous pension funds - number,Total - all NACE activities,Hungary,:,:,:,:,0.0,0.0,0.0,0.0,0.0
Annual,Enterprises with non-autonomous pension funds - number,Total - all NACE activities,Italy,41.0,170.0,176.0,179.0,:,:,:,1269.0,139.00 d
Annual,Enterprises with non-autonomous pension funds - number,Total - all NACE activities,Lithuania,:,:,:,:,:,0.0,0.0,0.0,0.0
Annual,Enterprises with non-autonomous pension funds - number,Total - all NACE activities,Netherlands,:,:,:,:,:,:,0.0,:,:
Annual,Enterprises with non-autonomous pension funds - number,Total - all NACE activities,Norway,:,:,:,:,:,:,:,:,0.00 d
Annual,Enterprises with non-autonomous pension funds - number,Total - all NACE activities,Poland,:,:,:,:,:,:,:,0.0,0.00 d
Annual,Enterprises with non-autonomous pension funds - number,Total - all NACE activities,Slovenia,:,:,:,:,:,:,0.0,0.0,:
Annual,Enterprises with non-autonomous pension funds - number,Total - all NACE activities,Slovakia,:,:,:,:,:,0.0,:,:,0.00 d
Annual,Turnover of non-autonomous pension funds - million euro,Mining and quarrying,Bulgaria,:,:,:,:,:,0.0,0.0,:,0.0
Annual,Turnover of non-autonomous pension funds - million euro,Mining and quarrying,Czechia,:,:,:,:,0.0,:,:,:,: m
