Time frequency,Type of assistance provided/needed for disabled persons to work,Sex,Geopolitical entity (reporting)\Time,2002.0
Annual,Other,Females,European Union - 15 countries (1995-2004),21.4
Annual,Other,Females,European Union - 25 countries (2004-2006),20.3
Annual,Other,Females,Finland,16.4
Annual,Other,Females,France,8.5
Annual,Other,Females,Hungary,: u
Annual,Other,Females,Ireland,: u
Annual,Other,Females,Italy,: u
Annual,Other,Females,Netherlands,59.9
Annual,Other,Females,Portugal,: u
Annual,Other,Females,Romania,: u
Annual,Other,Females,Sweden,: u
Annual,Other,Females,Slovenia,: u
Annual,Other,Females,Slovakia,: u
Annual,Other,Females,United Kingdom,29.6
Annual,Other,Males,Austria,: u
Annual,Other,Males,Belgium,8.5
Annual,Other,Males,Czechia,: u
Annual,Other,Males,Denmark,: u
Annual,Other,Males,Greece,: u
Annual,Other,Males,Spain,: u
Annual,Other,Males,European Union - 15 countries (1995-2004),20.0
Annual,Other,Males,European Union - 25 countries (2004-2006),19.3
Annual,Other,Males,Finland,14.2 u
Annual,Other,Males,France,13.9
Annual,Other,Males,Hungary,: u
Annual,Other,Males,Ireland,: u
Annual,Other,Males,Italy,11.3 u
Annual,Other,Males,Malta,: u
Annual,Other,Males,Netherlands,47.0
Annual,Other,Males,Portugal,: u
Annual,Other,Males,Romania,30.5
Annual,Other,Males,Sweden,: u
Annual,Other,Males,Slovenia,: u
Annual,Other,Males,United Kingdom,24.0
Annual,Other,Total,Austria,27.7
Annual,Other,Total,Belgium,7.7
Annual,Other,Total,Czechia,: u
Annual,Other,Total,Denmark,20.6
Annual,Other,Total,Greece,: u
Annual,Other,Total,Spain,7.8 u
Annual,Other,Total,European Union - 15 countries (1995-2004),20.7
Annual,Other,Total,European Union - 25 countries (2004-2006),19.8
Annual,Other,Total,Finland,15.5
Annual,Other,Total,France,11.5
Annual,Other,Total,Hungary,: u
Annual,Other,Total,Ireland,: u
Annual,Other,Total,Italy,10.4 u
Annual,Other,Total,Malta,: u
Annual,Other,Total,Netherlands,52.6
Annual,Other,Total,Portugal,: u
Annual,Other,Total,Romania,22.7
Annual,Other,Total,Sweden,: u
Annual,Other,Total,Slovenia,5.4 u
Annual,Other,Total,Slovakia,: u
Annual,Other,Total,United Kingdom,27.0
