Time frequency,Type of household,Income situation in relation to the risk of poverty threshold,Unit of measure,Age class,Sex,Geopolitical entity (reporting)\Time,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2023.0
Annual,Total,Total,Percentage,Total,Females,Romania,19.1,18.5,15.6,15.8,13.5,12.4,13.3,11.4,10.3,9.4,9.9,8.0
Annual,Total,Total,Percentage,Total,Females,Serbia,:,:,:,22.0,26.5,23.2,22.0,21.0,16.3,18.3,11.3,:
Annual,Total,Total,Percentage,Total,Females,Sweden,7.7,8.7,8.0,7.7,7.8,8.2,8.0,7.0,7.7,7.3,7.2,5.0
Annual,Total,Total,Percentage,Total,Females,Slovenia,32.5,34.8,31.4,27.6,30.5,27.4,24.4,22.3,23.0,21.1,21.0,18.8
Annual,Total,Total,Percentage,Total,Females,Slovakia,5.8,8.0,8.9,7.9,6.9,6.5,6.1,6.4,4.9,5.9,4.9,5.5
Annual,Total,Total,Percentage,Total,Females,Türkiye,:,41.9,40.7,39.8,37.2,39.2,38.3,36.7,36.4,36.9,34.9,32.2
Annual,Total,Total,Percentage,Total,Females,United Kingdom,15.5,15.9,17.6,16.1,16.6,15.3,16.7,16.9 bu,17.8 u,:,:,:
Annual,Total,Total,Percentage,Total,Males,Albania,:,:,:,:,:,:,:,29.5,32.9,29.6,21.7,:
Annual,Total,Total,Percentage,Total,Males,Austria,14.6,13.6,11.2,12.7,10.0,11.3,11.1,11.3,10.4,9.0,9.6,10.4
Annual,Total,Total,Percentage,Total,Males,Belgium,18.7,20.6,18.5,18.3,17.3,18.2,18.7,18.2,17.6,16.1 b,15.3,14.4
Annual,Total,Total,Percentage,Total,Males,Bulgaria,15.0 b,14.4,13.2,12.6,13.1,12.8,12.2 b,12.2,12.9,11.6,11.0,8.5
Annual,Total,Total,Percentage,Total,Males,Switzerland,8.8,10.5,12.9,11.5,11.2 b,11.5,12.8,12.3,10.1,10.5,11.5,12.1
Annual,Total,Total,Percentage,Total,Males,Cyprus,31.1,29.6,30.1,31.5,25.3,26.2,26.9,29.0,29.8,31.5,38.0,31.5
Annual,Total,Total,Percentage,Total,Males,Czechia,11.6,11.8,10.5,9.8,9.1,9.1,8.3,8.3,7.9,7.2,6.7,8.8
Annual,Total,Total,Percentage,Total,Males,Germany,13.0,13.4,13.2,13.1,12.1,12.4,12.7,12.2,13.2,11.7,11.8 bu,15.8 u
Annual,Total,Total,Percentage,Total,Males,Denmark,7.5,16.0 b,17.5,17.7,14.8,16.2,16.2,14.8,16.7,14.9,16.8,14.5
Annual,Total,Total,Percentage,Total,Males,Euro area - 19 countries  (2015-2022),16.3,15.8,15.1,16.3,16.5,15.9,15.8,13.3,14.0,13.0,16.6,:
Annual,Total,Total,Percentage,Total,Males,Euro area – 20 countries (from 2023),:,:,:,:,:,:,:,:,:,:,:,17.8 e
Annual,Total,Total,Percentage,Total,Males,Estonia,18.9,19.1,19.0,17.6,15.6 b,12.7,13.9,13.9,14.1,13.8,9.9,10.5
Annual,Total,Total,Percentage,Total,Males,Greece,17.0,15.0,15.0,14.2,13.4,14.7,14.3,13.3,12.6,12.2,12.2,13.9
Annual,Total,Total,Percentage,Total,Males,Spain,22.1,16.3,12.1,16.8,17.0,15.2,16.0,11.9,16.1,14.9,19.8,23.2
Annual,Total,Total,Percentage,Total,Males,European Union - 27 countries (2007-2013),15.9,15.5,14.9,15.7,15.7,15.1,15.2,13.3 e,13.9 e,13.1 e,:,:
Annual,Total,Total,Percentage,Total,Males,European Union - 27 countries (from 2020),16.1 e,15.4 e,14.7 e,15.6 e,15.5 e,15.2 e,15.1 e,13.1 e,13.5 e,12.6 e,14.8,15.3 e
Annual,Total,Total,Percentage,Total,Males,European Union - 28 countries (2013-2020),15.9,15.5,14.9,15.6,15.7,15.1,15.2,13.3 e,13.9 e,13.0 e,:,:
Annual,Total,Total,Percentage,Total,Males,Finland,5.0,5.8,6.4,5.2,5.0,4.7,4.6,4.3,4.8,4.1,4.5,5.1
Annual,Total,Total,Percentage,Total,Males,France,12.4,10.8,12.9,12.9,13.2,12.4,13.9,11.2,12.7,11.3,17.9 b,20.5
Annual,Total,Total,Percentage,Total,Males,Croatia,19.8,15.1,12.7,13.1,11.8,11.3,11.8,11.3,11.1,10.2,9.5,5.5
Annual,Total,Total,Percentage,Total,Males,Hungary,23.9 b,22.4,24.7,26.8,26.8,25.1,26.4,24.3,22.5,22.3,20.9,13.1
Annual,Total,Total,Percentage,Total,Males,Ireland,12.5,11.4,13.1,13.9,13.7,13.2,12.8,12.4,11.4,12.8 b,16.3 b,:
Annual,Total,Total,Percentage,Total,Males,Iceland,15.6,15.1,17.5,17.3,15.4,18.7,18.1,19.1,18.2,18.5,:,:
Annual,Total,Total,Percentage,Total,Males,Italy,20.3,23.6,21.2,23.0,25.4,24.3,21.2,16.2,13.6,13.7,19.5,16.8
Annual,Total,Total,Percentage,Total,Males,Lithuania,19.4,19.4,17.6,19.4,18.6,17.9,18.5,16.3,15.1,14.1,10.5,9.3
Annual,Total,Total,Percentage,Total,Males,Luxembourg,17.2,15.2,17.1,15.2,14.6,14.2,18.3 b,17.1,18.0,15.5,14.9 b,18.1
Annual,Total,Total,Percentage,Total,Males,Latvia,25.1,26.1,29.1,28.1,27.6,24.5,22.1,22.8,23.9,19.1,17.8,18.7
Annual,Total,Total,Percentage,Total,Males,Montenegro,:,:,:,40.1,29.3,32.9,25.7,22.9,23.1,25.8,22.3,:
Annual,Total,Total,Percentage,Total,Males,North Macedonia,25.1,17.2,14.6,14.7,15.5,12.4,14.0,14.3,15.1,14.5,13.0,:
Annual,Total,Total,Percentage,Total,Males,Malta,11.4,9.7,10.3,11.4,11.0,9.6,9.1,8.4,6.7,7.3,5.8,6.4
Annual,Total,Total,Percentage,Total,Males,Netherlands,15.1,14.5,15.8,15.5,15.5 p,15.3,15.4 b,13.2,15.4,14.4,14.7,15.2
Annual,Total,Total,Percentage,Total,Males,Norway,7.6,7.8,8.1,6.8,5.8,6.3,5.8,5.9,6.8,6.5,6.2,5.1
Annual,Total,Total,Percentage,Total,Males,Poland,15.5,11.6,10.4,10.1,9.4,12.2,11.4,11.9,11.9,11.1,6.1,5.5
Annual,Total,Total,Percentage,Total,Males,Portugal,21.7,20.9,21.4,31.8 b,32.9,28.0,30.7,25.5,26.4,23.9,25.0,29.4
Annual,Total,Total,Percentage,Total,Males,Romania,18.2,17.7,15.4,16.6,13.8,13.3,13.3,10.8,9.9,9.4,10.0,7.0
Annual,Total,Total,Percentage,Total,Males,Serbia,:,:,:,21.2,25.8,23.5,21.6,20.7,16.8,17.7,11.4,:
Annual,Total,Total,Percentage,Total,Males,Sweden,8.3,8.6,7.6,7.8,7.5,7.2,6.8,7.0,7.9,6.8,7.1,4.7
Annual,Total,Total,Percentage,Total,Males,Slovenia,32.3,34.6,31.7,26.3,29.4,26.3,23.3,21.8,22.3,20.1,20.6,18.3
Annual,Total,Total,Percentage,Total,Males,Slovakia,5.9,7.7,8.8,7.2,7.1,6.1,6.3,7.0,5.3,5.6,4.9,6.2
Annual,Total,Total,Percentage,Total,Males,Türkiye,:,41.3,40.5,39.6,37.2,38.9,37.9,36.5,36.0,36.9,34.6,31.7
Annual,Total,Total,Percentage,Total,Males,United Kingdom,14.6,15.9,16.8,15.7,16.6,14.4,16.1,17.1 bu,17.5 u,:,:,:
Annual,Total,Total,Percentage,Total,Total,Albania,:,:,:,:,:,:,:,29.2,32.5,29.5,22.0,:
Annual,Total,Total,Percentage,Total,Total,Austria,14.8,13.9,11.8,12.5,10.0,11.7,11.2,11.9,10.4,9.4,9.1,10.5
Annual,Total,Total,Percentage,Total,Total,Belgium,19.0,21.2,18.7,18.1,17.5,18.2,19.2,18.4,17.9,16.7 b,15.7,14.5
Annual,Total,Total,Percentage,Total,Total,Bulgaria,15.4 b,14.9,13.8,12.9,13.2,12.9,12.3 b,12.2,13.0,11.6,11.0,8.4
Annual,Total,Total,Percentage,Total,Total,Switzerland,8.9,10.6,12.8,11.5,11.3 b,11.9,12.7,12.2,9.8,10.5,11.4,12.3
Annual,Total,Total,Percentage,Total,Total,Cyprus,30.0,29.8,30.0,31.1,25.5,26.5,27.1,29.3,30.2,31.1,39.1,31.6
Annual,Total,Total,Percentage,Total,Total,Czechia,11.8,11.9,10.5,10.0,9.2,8.9,8.2,8.0,7.7,7.3,6.8,8.5
Annual,Total,Total,Percentage,Total,Total,Germany,13.3,13.7,13.5,13.1,12.3,12.8,13.1,12.5,13.4,12.0,12.0 bu,16.0 u
Annual,Total,Total,Percentage,Total,Total,Denmark,8.0,16.3 b,17.6,16.6,15.0,16.1,15.9,14.9,16.4,14.9,16.8,15.0
Annual,Total,Total,Percentage,Total,Total,Euro area - 19 countries  (2015-2022),16.4,15.9,15.3,16.3,16.6,16.0,16.0,13.4,14.1,13.2,16.7,:
Annual,Total,Total,Percentage,Total,Total,Euro area – 20 countries (from 2023),:,:,:,:,:,:,:,:,:,:,:,18.0 e
Annual,Total,Total,Percentage,Total,Total,Estonia,18.8,19.2,19.4,17.5,15.9 b,13.4,13.9,13.9,13.6,13.8,10.2,10.5
Annual,Total,Total,Percentage,Total,Total,Greece,17.1,15.3,14.7,14.0,13.7,15.1,14.7,13.5,12.9,12.5,12.5,13.5
Annual,Total,Total,Percentage,Total,Total,Spain,21.8,16.1,12.0,16.7,17.1,15.2,15.9,11.5,15.9,14.7,19.7,23.0
Annual,Total,Total,Percentage,Total,Total,European Union - 27 countries (2007-2013),16.1,15.6,15.1,15.7,15.8,15.3,15.4,13.3 e,14.0 e,13.2 e,:,:
Annual,Total,Total,Percentage,Total,Total,European Union - 27 countries (from 2020),16.3 e,15.5 e,14.8 e,15.6 e,15.6 e,15.3 e,15.2 e,13.1 e,13.6 e,12.7 e,14.8,15.5 e
Annual,Total,Total,Percentage,Total,Total,European Union - 28 countries (2013-2020),16.1,15.6,15.1,15.6,15.7,15.2,15.4,13.3 e,13.9 e,13.2 e,:,:
Annual,Total,Total,Percentage,Total,Total,Finland,5.0,5.7,6.0,5.2,5.0,4.4,4.7,4.2,4.6,4.1,4.5,5.3
Annual,Total,Total,Percentage,Total,Total,France,12.5,10.9,12.8,12.8,13.4,12.6,14.0,11.1,12.7,11.5,18.0 b,21.1
Annual,Total,Total,Percentage,Total,Total,Croatia,19.8,15.2,13.3,13.1,11.7,10.9,11.5,11.4,11.2,10.2,9.4,5.6
Annual,Total,Total,Percentage,Total,Total,Hungary,24.2 b,22.1,24.7,26.7,26.9,25.4,26.7,24.8,22.5,22.3,20.4,12.6
Annual,Total,Total,Percentage,Total,Total,Ireland,12.6,11.1,13.0,14.3,14.5,13.6,13.3,12.6,11.9,12.4 b,16.3 b,:
Annual,Total,Total,Percentage,Total,Total,Iceland,16.0,16.0,18.6,18.0,15.9,19.3,18.6,19.8,19.1,18.5,:,:
Annual,Total,Total,Percentage,Total,Total,Italy,20.5,23.4,21.4,22.9,25.0,24.1,21.0,16.1,13.2,14.0,19.6,17.1
Annual,Total,Total,Percentage,Total,Total,Lithuania,19.2,19.0,17.6,19.9,18.9,17.0,18.2,15.7,14.8,14.0,10.9,8.6
Annual,Total,Total,Percentage,Total,Total,Luxembourg,17.2,15.5,17.1,15.3,15.0,14.4,18.7 b,17.4,18.3,15.4,15.4 b,18.0
Annual,Total,Total,Percentage,Total,Total,Latvia,24.7,26.0,28.2,27.7,27.5,24.4,21.9,22.8,23.5,19.3,17.5,18.8
Annual,Total,Total,Percentage,Total,Total,Montenegro,:,:,:,39.9,29.9,33.4,26.1,23.6,24.2,25.9,22.4,:
Annual,Total,Total,Percentage,Total,Total,North Macedonia,24.7,16.6,14.4,14.3,15.2,12.2,14.1,14.3,15.1,13.9,13.0,:
Annual,Total,Total,Percentage,Total,Total,Malta,12.1,10.2,10.8,11.7,10.9,10.1,9.1,8.4,7.1,7.6,6.1,7.2
Annual,Total,Total,Percentage,Total,Total,Netherlands,15.2,14.6,16.2,15.6,15.8 p,15.7,16.3 b,13.5,15.8,14.7,14.8,15.4
Annual,Total,Total,Percentage,Total,Total,Norway,7.7,7.6,8.2,7.0,6.0,6.8,5.9,5.6,6.8,6.5,6.3,5.0
Annual,Total,Total,Percentage,Total,Total,Poland,15.6,11.5,10.5,10.1,9.2,11.9,11.6,11.9,11.6,10.8,6.0,5.7
Annual,Total,Total,Percentage,Total,Total,Portugal,21.9,21.3,22.0,31.9 b,32.8,28.1,30.5,25.5,26.9,24.4,25.2,29.0
Annual,Total,Total,Percentage,Total,Total,Romania,18.7,18.1,15.5,16.2,13.6,12.8,13.3,11.1,10.1,9.4,10.0,7.5
Annual,Total,Total,Percentage,Total,Total,Serbia,:,:,:,21.6,26.2,23.4,21.8,20.8,16.6,18.0,11.4,:
Annual,Total,Total,Percentage,Total,Total,Sweden,8.0,8.7,7.8,7.7,7.7,7.7,7.4,7.0,7.8,7.0,7.1,4.8
Annual,Total,Total,Percentage,Total,Total,Slovenia,32.4,34.7,31.5,27.0,29.9,26.9,23.8,22.0,22.7,20.6,20.8,18.5
Annual,Total,Total,Percentage,Total,Total,Slovakia,5.8,7.8,8.8,7.5,7.0,6.3,6.2,6.7,5.1,5.7,4.9,5.8
Annual,Total,Total,Percentage,Total,Total,Türkiye,:,41.6,40.6,39.7,37.2,39.0,38.1,36.6,36.2,36.9,34.7,32.0
Annual,Total,Total,Percentage,Total,Total,United Kingdom,15.0,15.9,17.2,15.9,16.6,14.8,16.4,17.0 bu,17.6 u,:,:,:
