Time frequency,Age class,Income situation in relation to the risk of poverty threshold,Sex,Unit of measure,Geopolitical entity (reporting)\Time,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0
Annual,Total,Above 60% of median equivalised income,Total,Percentage,Estonia,:,18.8,14.9,13.1,12.3,8.9,10.1,9.7,3.4,3.7,5.4,3.1 b,2.3,3.0,3.1,2.9,2.2,1.7
Annual,Total,Above 60% of median equivalised income,Total,Percentage,Greece,8.0,7.4,7.7,7.7,7.0,6.6,6.3,5.9,5.3,5.1,5.5,4.4,5.2,4.8,4.5,4.5,4.7,4.1
Annual,Total,Above 60% of median equivalised income,Total,Percentage,Spain,:,4.3,2.0,1.9,1.8,1.2 b,1.1,1.5,1.3 b,0.7,1.1,0.7,1.0,0.8,0.6,0.6,0.9,1.9
Annual,Total,Above 60% of median equivalised income,Total,Percentage,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",:,:,:,:,:,5.0 e,4.3 e,4.1 e,3.9 e,3.5 e,3.6 e,3.4 e,3.4 e,3.3 e,3.0 e,2.8 e,2.7 e,:
Annual,Total,Above 60% of median equivalised income,Total,Percentage,European Union - 27 countries (2007-2013),:,:,6.4 e,6.2 e,5.6,5.0,4.3,4.1,3.8,3.5,3.6,3.4,3.4,3.3,3.0,2.8,2.7 e,:
Annual,Total,Above 60% of median equivalised income,Total,Percentage,European Union - 27 countries (from 2020),:,:,:,:,:,:,:,4.4 e,4.1 e,3.8 e,3.8 e,3.6 e,3.7 e,3.5 e,3.4 e,3.0 e,2.9 e,3.2 e
Annual,Total,Above 60% of median equivalised income,Total,Percentage,European Union - 28 countries (2013-2020),:,:,:,:,:,:,:,4.1,3.9,3.5,3.6,3.4,3.4,3.3,3.0,2.8,2.7 e,:
Annual,Total,Above 60% of median equivalised income,Total,Percentage,Finland,:,0.8,0.7,0.5,0.5,0.5,0.5,0.7,0.5,0.5,0.5,0.5,0.5,0.4,0.5,0.7,0.8,0.8
Annual,Total,Above 60% of median equivalised income,Total,Percentage,France,:,2.5,2.2,2.1,2.5,2.5,1.9,2.0,1.5,1.5,1.2,1.4,1.5,1.6,1.6,1.9,1.5,2.7 b
Annual,Total,Above 60% of median equivalised income,Total,Percentage,Croatia,:,:,:,:,:,:,:,10.4,8.5,8.5 b,7.6,6.6,5.6,5.7,5.0,5.1,4.6,4.5
Annual,Total,Above 60% of median equivalised income,Total,Percentage,Hungary,:,:,19.8,15.7,12.2,17.8,8.9,14.3,11.7,11.9,12.8,12.9,12.0,14.2,14.5,6.4,7.3,6.9
Annual,Total,Above 60% of median equivalised income,Total,Percentage,Ireland,1.1,1.1,1.0,2.1,1.0,0.5,0.6,0.4,0.6,0.4,1.3,1.0,1.0,0.6,0.5,0.7,0.7 b,0.8 b
Annual,Total,Above 60% of median equivalised income,Total,Percentage,Iceland,:,1.8,1.3,1.3,1.3,1.1,1.6,1.3,1.8,2.1,2.3,2.0,2.1,1.5,1.6,1.3,2.7,:
Annual,Total,Above 60% of median equivalised income,Total,Percentage,Italy,:,6.9,6.3,6.4,5.8,5.8,5.9,5.2,6.9,6.2,6.9,7.6,7.3,5.8,4.5,3.9,4.5,5.2
Annual,Total,Above 60% of median equivalised income,Total,Percentage,Lithuania,:,:,24.1,21.9,18.7,15.3,13.4,11.2,5.8 b,5.5,6.6,8.2,6.0,5.7,5.7,5.8,6.6,4.4
Annual,Total,Above 60% of median equivalised income,Total,Percentage,Luxembourg,1.7,2.0,1.2,0.8,1.1,1.5,0.8,1.2,0.9,1.2,0.6,0.9,0.7,1.2 b,1.7,1.6,0.9,1.0 b
Annual,Total,Above 60% of median equivalised income,Total,Percentage,Latvia,:,:,28.3,23.7,22.4,18.9 b,18.3,17.3,14.1,12.8,13.1,13.7,12.1,11.9,12.9,13.0,11.6,10.2
Annual,Total,Above 60% of median equivalised income,Total,Percentage,Montenegro,:,:,:,:,:,:,:,:,:,:,18.3,16.4,20.7,14.5,12.8,14.4,15.1,14.2
Annual,Total,Above 60% of median equivalised income,Total,Percentage,North Macedonia,:,:,:,:,:,:,:,:,9.8,8.6,7.1,7.9 b,6.8,8.0,6.7,7.0,6.4,6.1
Annual,Total,Above 60% of median equivalised income,Total,Percentage,Malta,:,:,0.9,0.8,0.6,0.9,0.9,1.3,1.1,0.9,1.1,1.0,0.9,1.0,0.6,0.5,0.8,0.9
Annual,Total,Above 60% of median equivalised income,Total,Percentage,Netherlands,:,:,0.5,0.4,0.5,0.4,0.4,0.4,0.4,0.7,0.3,0.4,0.5,0.9 b,0.6,0.9,1.0,0.9
Annual,Total,Above 60% of median equivalised income,Total,Percentage,Norway,0.9,0.9,1.0,0.7,0.6,0.8,0.6,0.5,0.6,0.7,0.7,0.3,0.3,0.4,0.4,0.6,0.6,0.3
Annual,Total,Above 60% of median equivalised income,Total,Percentage,Poland,:,:,25.3,23.8,21.6,14.9,12.1,10.2,8.7,7.9,7.9,6.9,7.6,7.3,8.7,7.3,7.0,:
Annual,Total,Above 60% of median equivalised income,Total,Percentage,Portugal,:,5.6,6.3,6.6,6.3,5.7,3.4,4.5,3.0,3.6,4.3,3.7,3.2,3.4,2.8,3.2,2.8,3.3
Annual,Total,Above 60% of median equivalised income,Total,Percentage,Romania,:,:,:,:,25.2,21.7,20.1,18.3,16.6,15.3,15.0,12.3,11.3,12.1,11.2,9.5,7.7,7.7
Annual,Total,Above 60% of median equivalised income,Total,Percentage,Serbia,:,:,:,:,:,:,:,:,:,:,12.8,14.7,13.4,12.4,11.8,8.4,11.3,6.3
Annual,Total,Above 60% of median equivalised income,Total,Percentage,Sweden,:,0.9,0.8,0.9,0.8,0.9 b,1.2,1.4,1.4,1.2,1.1,1.2,1.5,1.9,1.6,1.8,1.5,2.0
Annual,Total,Above 60% of median equivalised income,Total,Percentage,Slovenia,:,:,11.1,12.2,10.9,15.1,16.6,13.9,7.6 b,6.8,5.2,5.4,4.5,3.6,3.9,4.2,3.5,2.7
Annual,Total,Above 60% of median equivalised income,Total,Percentage,Slovakia,:,:,5.3,4.5,3.6,4.8 b,3.3,2.9,3.3,3.6,2.7,2.0,2.6,2.5,3.0,2.2,2.0,2.1
Annual,Total,Above 60% of median equivalised income,Total,Percentage,Türkiye,:,:,:,23.2,20.1,19.1,22.1,21.3,21.0,21.1,19.9,19.7,19.4,19.1,18.1,17.2,16.9,15.9
Annual,Total,Above 60% of median equivalised income,Total,Percentage,United Kingdom,:,:,1.4,1.7,1.8,1.8,2.1,2.1,2.6,1.6 b,2.3,1.8,1.6,1.8,0.7 b,1.5,:,:
Annual,Total,Above 60% of median equivalised income,Total,Percentage,Kosovo*,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,15.9,:,:
Annual,Total,Below 60% of median equivalised income,Total,Percentage,Albania,:,:,:,:,:,:,:,:,:,:,:,:,:,:,34.3,39.1,33.0,26.1
Annual,Total,Below 60% of median equivalised income,Total,Percentage,Austria,4.1,9.3,9.3,7.8,9.4,11.8 b,10.9,11.0,9.1,10.9,11.0,9.3,11.4,10.3,10.9,10.6,6.0,6.3
Annual,Total,Below 60% of median equivalised income,Total,Percentage,Belgium,6.9,3.1,7.2,4.8,4.7,5.0,5.6,5.9,4.6,1.9,4.7,3.8,4.1,6.1 b,7.7,8.1,5.7 b,5.6
Annual,Total,Below 60% of median equivalised income,Total,Percentage,Bulgaria,:,:,:,45.2,44.1,41.5 b,35.6,34.8,34.9,32.3,35.7,34.4 b,27.2,29.2 b,27.2,26.2,22.8,20.9
Annual,Total,Below 60% of median equivalised income,Total,Percentage,Switzerland,:,:,:,:,5.2,1.9,3.5,4.0,2.5,3.5,2.7,4.9 b,4.3,6.1,6.3,4.4,2.4,3.9
Annual,Total,Below 60% of median equivalised income,Total,Percentage,Cyprus,:,:,4.2,3.7,2.2,2.7 b,0.8,4.4,5.7,3.6,3.2,2.9,1.0,3.7,3.9,3.2,3.7,2.9
Annual,Total,Below 60% of median equivalised income,Total,Percentage,Czechia,:,:,21.5,30.4,25.1,18.4,18.1,12.8,12.5,13.5,13.2,12.9,11.0,9.9,4.8,5.3,7.6,5.2
Annual,Total,Below 60% of median equivalised income,Total,Percentage,Germany,:,:,4.6,4.5,4.9,5.2,7.6,6.3,7.4,5.3,4.8,6.1,5.2,6.0,5.4,5.9,5.5,2.6 b
Annual,Total,Below 60% of median equivalised income,Total,Percentage,Denmark,9.1,5.6,3.6,3.8,5.7,4.7,4.5,4.2,6.9 b,8.5,8.4,6.9,10.4,4.3,9.7,12.4,11.7,11.8
Annual,Total,Below 60% of median equivalised income,Total,Percentage,Euro area - 19 countries  (2015-2022),:,:,9.9,9.2,9.4,8.8,9.5,8.9,9.3,8.8,8.9,9.4,9.1,8.9,6.6,7.4,6.5,7.7
Annual,Total,Below 60% of median equivalised income,Total,Percentage,Estonia,:,31.2,29.1,25.4,24.1,16.8,20.8,20.9,12.1,9.6,7.6,6.9 b,4.5,4.6,4.0,2.8,4.5,3.7
Annual,Total,Below 60% of median equivalised income,Total,Percentage,Greece,15.7,11.3,14.7,14.7,14.5,13.6,13.0,14.0,14.2,13.2,11.8,11.6,12.1,11.9,12.1,12.1,11.7,13.7
Annual,Total,Below 60% of median equivalised income,Total,Percentage,Spain,:,6.8,6.4,5.5,6.1,3.4 b,4.6,3.3,5.1 b,3.5,4.4,5.2,3.4,4.6,2.7,4.9,4.6,9.2
Annual,Total,Below 60% of median equivalised income,Total,Percentage,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",:,:,:,:,:,14.0 e,14.0 e,13.4 e,12.9 e,12.6 e,12.6 e,12.8 e,12.3 e,11.8 e,9.1 e,9.6 e,8.7 e,:
Annual,Total,Below 60% of median equivalised income,Total,Percentage,European Union - 27 countries (2007-2013),:,:,17.5 e,16.3 e,15.6,14.0,14.0,13.4,12.8,12.6,12.5,12.8,12.3,11.8,9.0,9.6,8.7 e,:
Annual,Total,Below 60% of median equivalised income,Total,Percentage,European Union - 27 countries (from 2020),:,:,:,:,:,:,:,14.4 e,14.3 e,13.7 e,13.8 e,13.8 e,13.3 e,12.8 e,10.1 e,10.5 e,9.5 e,10.2 e
Annual,Total,Below 60% of median equivalised income,Total,Percentage,European Union - 28 countries (2013-2020),:,:,:,:,:,:,:,13.4,12.9,12.6,12.6,12.8,12.3,11.8,9.1,9.6,8.7 e,:
Annual,Total,Below 60% of median equivalised income,Total,Percentage,Finland,:,2.3,3.5,2.7,2.2,1.6,2.5,2.2,1.8,2.8,2.7,1.9,2.0,3.2,2.4,2.3,1.6,3.2
Annual,Total,Below 60% of median equivalised income,Total,Percentage,France,:,9.6,8.2,6.9,8.7,10.0,10.4,9.8,8.8,8.7,8.0,8.3,7.8,9.8,5.4,8.3,7.3,10.6 b
Annual,Total,Below 60% of median equivalised income,Total,Percentage,Croatia,:,:,:,:,:,:,:,19.5,15.4,13.7 b,14.9,13.1,13.9,12.8,12.6,10.9,11.6,7.8
Annual,Total,Below 60% of median equivalised income,Total,Percentage,Hungary,:,:,40.4,36.6,29.6,40.0,30.3,42.3,40.8,46.5,43.0,42.1,35.0,32.7,25.0,14.5,12.0,13.0
Annual,Total,Below 60% of median equivalised income,Total,Percentage,Ireland,3.5,5.2,4.3,3.8,5.3,2.4,3.2,0.7,1.6,1.5,1.7,2.7,2.2,3.0,1.7,1.5,4.1 b,5.2 b
Annual,Total,Below 60% of median equivalised income,Total,Percentage,Iceland,:,4.5,2.5,2.9,4.7,2.8,2.5,3.9,4.1,5.9,7.6,4.4,7.2,1.8,2.3,4.6,10.1,:
Annual,Total,Below 60% of median equivalised income,Total,Percentage,Italy,:,18.0,15.1,15.3,14.7,13.4,14.8,15.1,16.2,17.3,16.8,17.6,18.9,14.3,9.3,9.7,7.1,10.0
Annual,Total,Below 60% of median equivalised income,Total,Percentage,Lithuania,:,:,44.9,42.4,35.4,32.0,28.0,22.4,15.1 b,14.2,18.5,18.2,19.1,19.1,16.2,10.5,12.4,9.2
Annual,Total,Below 60% of median equivalised income,Total,Percentage,Luxembourg,10.3,6.2,8.8,8.1,8.5,8.3,6.8,8.5,8.4,9.4,8.0,5.4,6.8,7.0 b,5.8,5.3,6.9,4.3 b
Annual,Total,Below 60% of median equivalised income,Total,Percentage,Latvia,:,:,45.0,37.4,35.5,31.9 b,33.3,39.4,32.2,31.5,29.7,27.3,27.3,24.2,23.4,21.1,16.7,16.5
Annual,Total,Below 60% of median equivalised income,Total,Percentage,Montenegro,:,:,:,:,:,:,:,:,:,:,38.1,36.5,35.0,30.6,28.6,30.9,31.1,31.9
Annual,Total,Below 60% of median equivalised income,Total,Percentage,North Macedonia,:,:,:,:,:,:,:,:,24.7,22.5,25.6,25.5 b,20.7,27.5,22.0,25.6,21.9,23.2
Annual,Total,Below 60% of median equivalised income,Total,Percentage,Malta,:,:,1.5,0.5,2.3,1.6,3.2,1.7,3.9,1.6,2.5,2.8,3.1,4.3,5.6,4.3,3.5,1.4
Annual,Total,Below 60% of median equivalised income,Total,Percentage,Netherlands,:,:,1.0,1.7,3.4,1.7,1.4,1.2,0.7,2.5,5.6,2.3,4.9,4.3 b,4.3,3.5,4.4,5.6
Annual,Total,Below 60% of median equivalised income,Total,Percentage,Norway,4.2,4.5,4.7,5.3,5.1,4.9,3.5,7.9,7.4,5.3,6.5,4.4,3.7,5.3,3.7,2.7,3.9,5.8
Annual,Total,Below 60% of median equivalised income,Total,Percentage,Poland,:,:,47.0,49.1,46.6,33.5,29.9,28.0,23.8,22.9,20.8,19.9,19.8,19.7,16.0,15.8,13.0,:
Annual,Total,Below 60% of median equivalised income,Total,Percentage,Portugal,:,13.0,13.8,11.8,13.4,12.4,10.6,10.6,8.2,7.8,11.4,13.1,11.2,11.3,9.3,8.7,10.4,7.2
Annual,Total,Below 60% of median equivalised income,Total,Percentage,Romania,:,:,:,:,52.8,53.3,52.1,50.6,50.0,47.9,48.8,45.2,44.7,42.7,36.7,37.4,34.9,35.7
Annual,Total,Below 60% of median equivalised income,Total,Percentage,Serbia,:,:,:,:,:,:,:,:,:,:,27.3,25.6,25.4,25.2,25.1,22.5,22.4,18.0
Annual,Total,Below 60% of median equivalised income,Total,Percentage,Sweden,:,5.4,3.4,4.7,4.2,6.0 b,3.1,5.6,6.2,4.5,5.6,6.9,7.9,6.8,7.4,8.4,8.1,5.4
Annual,Total,Below 60% of median equivalised income,Total,Percentage,Slovenia,:,:,21.1,19.2,22.6,26.8,24.6,25.4,16.2 b,16.9,14.1,12.5,12.5,9.6,7.9,8.6,7.2,6.5
Annual,Total,Below 60% of median equivalised income,Total,Percentage,Slovakia,:,:,13.1,11.7,12.4,11.9 b,11.3,10.7,14.4,15.3,16.3,19.7,15.2,16.0,20.7,14.3,14.9,11.5
Annual,Total,Below 60% of median equivalised income,Total,Percentage,Türkiye,:,:,:,57.0,56.9,55.2,56.9,59.1,55.0,54.7,52.1,51.2,50.5,50.0,49.7,47.3,46.0,42.0
Annual,Total,Below 60% of median equivalised income,Total,Percentage,United Kingdom,:,:,6.1,3.8,3.7,4.7,6.6,6.6,2.6,4.2 b,3.7,5.4,5.1,4.0,2.2 b,4.0,:,:
Annual,Total,Below 60% of median equivalised income,Total,Percentage,Kosovo*,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,31.5,:,:
Annual,Total,Total,Total,Percentage,Albania,:,:,:,:,:,:,:,:,:,:,:,:,:,:,22.4,24.0,21.0,15.3
Annual,Total,Total,Total,Percentage,Austria,1.6,3.8,3.7,3.9,3.8,4.6 b,4.1,4.0,3.8,3.8,3.9,3.7,4.3,4.2,4.4,3.2,3.0,3.0
Annual,Total,Total,Total,Percentage,Belgium,2.4,1.2,1.7,1.1,1.2,1.1,1.3,1.9,1.0,0.6,0.9,0.9,0.9,1.7 b,2.3,2.2,1.9 b,2.3
Annual,Total,Total,Total,Percentage,Bulgaria,:,:,:,22.8,18.2,23.5 b,18.8,14.7,14.3,12.9,13.0,12.9 b,11.4,11.6 b,10.6,10.1,8.9,8.6
Annual,Total,Total,Total,Percentage,Switzerland,:,:,:,:,2.2,1.1,1.5,1.2,1.4,1.8,2.0,1.4 b,1.7,2.3,2.2,2.3,1.6,1.8
Annual,Total,Total,Total,Percentage,Cyprus,:,:,1.6,1.3,0.8,1.6 b,1.1,1.6,1.6,1.2,1.4,1.5,0.5,1.3,0.9,1.1,1.3,1.6
Annual,Total,Total,Total,Percentage,Czechia,:,:,9.8,10.7,8.1,6.5,6.2,4.5,4.8,3.9,4.0,3.5,3.3,3.0,2.1,2.3,1.9,2.0
Annual,Total,Total,Total,Percentage,Germany,:,:,1.8,2.5,1.8,2.0,2.1,2.1,2.1,1.9,1.6,1.9,1.8,1.9,1.8,2.3,2.1,1.2 b
Annual,Total,Total,Total,Percentage,Denmark,2.4,1.8,1.2,1.3,1.7,1.1,1.3,1.3,2.6 b,2.3,2.3,2.3,2.8,1.7,2.7,3.2,2.8,2.8
Annual,Total,Total,Total,Percentage,Euro area - 19 countries  (2015-2022),:,:,4.4,4.4,4.1,3.9,3.7,3.7,3.7,3.5,3.6,3.7,3.7,3.5,2.8,3.0,2.9,3.3
Annual,Total,Total,Total,Percentage,Estonia,:,21.3,17.5,15.3,14.6,10.4,12.2,11.4,4.9,4.7,5.8,3.9 b,2.8,3.3,3.3,2.9,2.7,2.1
Annual,Total,Total,Total,Percentage,Greece,9.6,8.2,9.1,9.1,8.5,8.1,7.6,7.6,7.2,7.0,7.0,6.0,6.7,6.3,6.0,5.9,6.0,5.8
Annual,Total,Total,Total,Percentage,Spain,:,4.8,2.9,2.6,2.6,1.6 b,1.8,1.8,2.1 b,1.3,1.8,1.7,1.5,1.7,1.0,1.5,1.7,3.4
Annual,Total,Total,Total,Percentage,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",:,:,:,:,:,6.5 e,5.9 e,5.7 e,5.4 e,5.0 e,5.1 e,5.0 e,4.9 e,4.8 e,4.0 e,4.0 e,3.7 e,:
Annual,Total,Total,Total,Percentage,European Union - 27 countries (2007-2013),:,:,8.2 e,7.8 e,7.2,6.5,5.9,5.6,5.3,5.0,5.1,5.0,4.9,4.7,4.0,4.0,3.7 e,:
Annual,Total,Total,Total,Percentage,European Union - 27 countries (from 2020),:,:,:,:,:,:,:,6.1 e,5.8 e,5.5 e,5.5 e,5.4 e,5.3 e,5.1 e,4.5 e,4.3 e,4.0 e,4.3 e
Annual,Total,Total,Total,Percentage,European Union - 28 countries (2013-2020),:,:,:,:,:,:,:,5.7,5.4,5.0,5.1,5.0,4.9,4.8,4.0,4.0,3.7 e,:
Annual,Total,Total,Total,Percentage,Finland,:,0.9,1.0,0.8,0.7,0.7,0.7,0.9,0.7,0.8,0.7,0.7,0.7,0.7,0.7,0.9,0.9,1.0
Annual,Total,Total,Total,Percentage,France,:,3.4,3.0,2.7,3.3,3.4,3.0,3.0,2.5,2.6,2.1,2.3,2.3,2.7,2.1,2.7,2.3,3.8 b
Annual,Total,Total,Total,Percentage,Croatia,:,:,:,:,:,:,:,12.3,9.9,9.6 b,9.0,7.8,7.3,7.1,6.5,6.2,5.9,5.1
Annual,Total,Total,Total,Percentage,Hungary,:,:,22.6,19.0,14.4,20.6,11.6,17.7,15.8,16.9,17.3,17.3,15.5,16.9,15.9,7.5,7.8,7.6
Annual,Total,Total,Total,Percentage,Ireland,1.6,2.0,1.6,2.4,1.7,0.8,1.0,0.5,0.7,0.6,1.4,1.3,1.2,1.0,0.7,0.8,1.2 b,1.3 b
Annual,Total,Total,Total,Percentage,Iceland,:,2.1,1.5,1.4,1.6,1.2,1.7,1.6,2.0,2.4,2.8,2.2,2.5,1.5,1.6,1.6,3.3,:
Annual,Total,Total,Total,Percentage,Italy,:,9.0,8.0,8.1,7.5,7.3,7.5,7.0,8.7,8.4,8.8,9.5,9.6,7.6,5.5,5.0,5.0,6.1
Annual,Total,Total,Total,Percentage,Lithuania,:,:,28.3,26.0,21.9,18.8,16.4,13.5,7.6 b,7.1,9.1,10.1,8.9,8.6,8.1,6.9,7.8,5.4
Annual,Total,Total,Total,Percentage,Luxembourg,2.7,2.5,2.2,1.8,2.1,2.4,1.7,2.3,1.9,2.4,1.8,1.6,1.7,2.1 b,2.3,2.2,2.0,1.6 b
Annual,Total,Total,Total,Percentage,Latvia,:,:,31.6,26.9,25.2,22.3 b,22.3,21.9,17.5,16.4,16.3,16.6,15.5,14.6,15.2,14.9,12.7,11.5
Annual,Total,Total,Total,Percentage,Montenegro,:,:,:,:,:,:,:,:,:,:,23.3,21.2,24.2,18.3,16.6,18.3,19.0,18.2
Annual,Total,Total,Total,Percentage,North Macedonia,:,:,:,:,:,:,:,:,13.8,12.3,11.6,11.8 b,9.8,12.2,10.1,11.1,9.7,9.9
Annual,Total,Total,Total,Percentage,Malta,:,:,1.0,0.8,0.9,1.0,1.3,1.4,1.6,1.0,1.3,1.3,1.3,1.6,1.4,1.2,1.3,1.0
Annual,Total,Total,Total,Percentage,Netherlands,:,:,0.5,0.5,0.8,0.6,0.5,0.5,0.5,0.9,0.8,0.6,1.0,1.4 b,1.0,1.3,1.5,1.5
Annual,Total,Total,Total,Percentage,Norway,1.2,1.3,1.4,1.3,1.2,1.3,1.0,1.3,1.3,1.2,1.3,0.7,0.7,1.0,0.8,0.9,1.0,1.0
Annual,Total,Total,Total,Percentage,Poland,:,:,29.7,28.6,25.9,18.1,15.2,13.3,11.4,10.5,10.1,9.1,9.8,9.4,9.8,8.6,7.9,:
Annual,Total,Total,Total,Percentage,Portugal,:,7.1,7.7,7.5,7.6,6.9,4.7,5.6,4.0,4.3,5.6,5.5,4.7,4.9,4.0,4.1,4.1,3.9
Annual,Total,Total,Total,Percentage,Romania,:,:,:,:,32.0,29.1,27.2,25.3,24.0,22.8,22.8,20.6,19.8,19.8,17.2,16.1,14.2,14.3
Annual,Total,Total,Total,Percentage,Serbia,:,:,:,:,:,:,:,:,:,:,16.4,17.5,16.6,15.7,15.2,11.8,13.9,8.8
Annual,Total,Total,Total,Percentage,Sweden,:,1.4,1.0,1.4,1.2,1.6 b,1.5,2.0,2.1,1.7,1.8,2.1,2.6,2.7,2.5,2.9,2.6,2.5
Annual,Total,Total,Total,Percentage,Slovenia,:,:,12.3,13.1,12.3,16.6,17.5,15.4,8.7 b,8.1,6.5,6.5,5.6,4.5,4.4,4.8,3.9,3.1
Annual,Total,Total,Total,Percentage,Slovakia,:,:,6.3,5.4,4.5,5.5 b,4.2,3.8,4.8,5.1,4.5,4.3,4.2,4.3,5.2,3.7,3.6,3.2
Annual,Total,Total,Total,Percentage,Türkiye,:,:,:,32.2,29.2,28.0,30.9,30.5,28.9,29.1,27.4,27.0,26.4,26.1,25.1,23.9,23.4,21.9
Annual,Total,Total,Total,Percentage,United Kingdom,:,:,2.3,2.1,2.2,2.3,2.9,2.8,2.6,2.0 b,2.5,2.4,2.2,2.2,1.0 b,1.9,:,:
Annual,Total,Total,Total,Percentage,Kosovo*,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,20.3,:,:
