Time frequency,Type of transport,Type of operation and loading status,Unit of measure,Geopolitical entity (reporting)\Time,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Total,Loaded - total transport,Thousand tonnes,Spain,1238703.0,1124480.0,1184586.0,1258261.0,1285164.0,1409090.0,1474486.0,1542109.0,1467774.0,1626362.0,1587697.0,1601828.0
Annual,Total,Loaded - total transport,Thousand tonnes,European Union - 27 countries (from 2020),12498284.0,12423053.0,12640316.0,12655191.0,12797426.0,13193849.0,13236927.0,13545184.0,13018575.0,13648904.0,13585239.0,13117039.0
Annual,Total,Loaded - total transport,Thousand tonnes,Finland,299397.0,274637.0,280131.0,271912.0,278957.0,280744.0,274346.0,270462.0,261920.0,259023.0,243739.0,235546.0
Annual,Total,Loaded - total transport,Thousand tonnes,France,2008370.0,1999869.0,1918572.0,1796755.0,1727611.0,1714292.0,1619364.0,1634946.0,1508016.0,1648948.0,1631139.0,1545239.0
Annual,Total,Loaded - total transport,Thousand tonnes,Croatia,65453.0,67512.0,66157.0,66503.0,72516.0,72343.0,74009.0,81125.0,80707.0,84968.0,86417.0,88173.0
Annual,Total,Loaded - total transport,Thousand tonnes,Hungary,165514.0,169211.0,193112.0,198744.0,197759.0,188250.0,206669.0,202631.0,188118.0,219919.0,204708.0,192422.0
Annual,Total,Loaded - total transport,Thousand tonnes,Ireland,106465.0,107222.0,112825.0,117090.0,140743.0,146543.0,148765.0,158396.0,139987.0,153466.0,162902.0,165581.0
Annual,Total,Loaded - total transport,Thousand tonnes,Italy,1121313.0,1023872.0,963056.0,957006.0,901503.0,885451.0,920732.0,978883.0,933601.0,987085.0,1047318.0,1041655.0
Annual,Total,Loaded - total transport,Thousand tonnes,Liechtenstein,550.0,651.0,:,:,:,:,:,:,:,:,:,:
Annual,Total,Loaded - total transport,Thousand tonnes,Lithuania,48428.0,52346.0,57591.0,58601.0,63571.0,76980.0,89105.0,100802.0,107042.0,113135.0,100752.0,120396.0
Annual,Total,Loaded - total transport,Thousand tonnes,Luxembourg,54482.0,51480.0,58723.0,45715.0,50824.0,47292.0,48846.0,55303.0,44931.0,48225.0,50339.0,46394.0
Annual,Total,Loaded - total transport,Thousand tonnes,Latvia,52622.0,60610.0,62239.0,62569.0,63389.0,68013.0,76701.0,73755.0,75660.0,81562.0,80906.0,80624.0
