Time frequency,Unit of measure,Sex,Age class,Geopolitical entity (reporting)\Time,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0
Annual,Rate,Males,From 20 to 64 years,Moldova,56.5 d,54.7 d,54.2 d,54.5 d,51.2 d,48.8 d,49.8 d,47.9 d,49.0 d,52.9 bd,53.3,54.3,54.4,55.9,53.9 bd,53.1,55.6,55.8
Annual,Rate,Males,From 20 to 64 years,Ukraine,73.3,74.2,74.8,75.3,70.5,71.1,72.1,72.8,73.3,69.3 d,70.2 d,69.5 d,69.4 d,70.5 d,72.7 d,70.8 d,70.8 d,:
Annual,Rate,Total,From 20 to 64 years,Armenia,:,:,58.2,59.0,56.7,57.9,59.0,59.2,60.3,58.7,56.7,56.5,56.3,53.6 bd,54.9,54.9,56.6,58.7
Annual,Rate,Total,From 20 to 64 years,Azerbaijan,76.9,76.6,75.9,74.6,74.7,73.9,73.0,73.0,73.0,73.2,73.1,73.5,73.8,73.9,74.0,72.9,74.5,75.4
Annual,Rate,Total,From 20 to 64 years,Belarus,:,:,:,:,73.5 d,:,:,:,:,:,:,77.8,78.4,79.5,80.1,80.4,:,:
Annual,Rate,Total,From 20 to 64 years,Georgia,60.9,59.0,58.3,59.0,59.6,61.7,62.8,63.0,62.9,64.9,66.5,65.5,65.3,64.9,65.1,51.1 b,50.6,54.0
Annual,Rate,Total,From 20 to 64 years,Moldova,57.1 d,53.1 d,53.2 d,53.0 d,49.6 d,47.5 d,48.1 d,46.7 d,47.4 d,50.7 bd,51.2,51.9,51.3,53.3,50.2 bd,49.1,51.1,52.1
Annual,Rate,Total,From 20 to 64 years,Ukraine,67.8,68.3,68.9,69.1,66.1,66.4,66.5,67.0,67.4,63.9 d,64.4 d,64.2 d,64.2 d,65.6 d,66.9 d,65.2 d,64.8 d,:
Annual,Thousand,Females,From 20 to 64 years,Armenia,:,:,:,:,:,:,:,:,:,509.8,468.7,443.9,445.6,419.6 bd,442.0,458.3,460.7,463.3
Annual,Thousand,Females,From 20 to 64 years,Azerbaijan,1823.3,1866.2,1910.0,1939.4,2009.3,2039.9,2062.8,2103.5,2133.6,2183.4,2209.9,2237.3,2264.9,2293.9,2219.8,2189.8,2247.6,2286.1
Annual,Thousand,Females,From 20 to 64 years,Belarus,:,:,:,:,2245.9 d,:,:,:,:,:,:,2410.5,2421.8,2384.8,2392.2,2366.5,:,:
Annual,Thousand,Females,From 20 to 64 years,Georgia,635.4,611.8,607.3,606.8,630.8,659.7,666.2,655.0,656.3,667.7,685.6,681.0,682.2,669.9,657.1,486.5 b,478.8,505.3
Annual,Thousand,Females,From 20 to 64 years,Moldova,641.2 d,589.5 d,594.6 d,592.0 d,564.6 d,552.2 d,561.5 d,553.5 d,562.3 d,467.0 bd,467.4,467.8,442.9,453.6,408.0 bd,384.5,388.4,405.9
Annual,Thousand,Females,From 20 to 64 years,Ukraine,9521.0,9487.2,9563.6,9579.8,9490.5,9526.8,9495.8,9518.8,9541.2,8550.2 d,7717.2 d,7674.4 d,7617.3 d,7752.9 d,7760.5 d,7464.1 d,7266.3 d,:
Annual,Thousand,Males,From 20 to 64 years,Armenia,:,:,:,:,:,:,:,:,:,546.1,512.1,485.0,486.5,570.1 bd,566.7,529.3,552.2,595.1
Annual,Thousand,Males,From 20 to 64 years,Azerbaijan,1944.9,1997.2,2037.6,2071.8,2116.7,2152.4,2177.6,2226.8,2279.1,2313.7,2342.7,2397.6,2427.9,2451.1,2431.8,2400.2,2449.2,2478.9
Annual,Thousand,Males,From 20 to 64 years,Belarus,:,:,:,:,2248.4 d,:,:,:,:,:,:,2348.3,2375.7,2402.3,2399.0,2400.9,:,:
Annual,Thousand,Males,From 20 to 64 years,Georgia,728.7,695.1,684.5,725.7,728.9,726.5,734.7,754.5,747.1,762.9,779.8,770.7,764.1,774.7,768.7,621.6 b,607.1,633.2
Annual,Thousand,Males,From 20 to 64 years,Moldova,581.2 d,581.6 d,578.9 d,589.1 d,563.4 d,544.7 d,563.8 d,551.0 d,566.9 d,469.9 bd,469.4,470.9,461.8,460.0,428.5 bd,417.4,428.4,427.2
Annual,Thousand,Males,From 20 to 64 years,Ukraine,10049.5,10113.4,10210.2,10330.1,9774.3,9909.3,10100.0,10212.0,10298.4,9201.5 d,8430.5 d,8298.2 d,8233.1 d,8312.2 d,8491.6 d,8181.7 d,8084.1 d,:
Annual,Thousand,Total,From 20 to 64 years,Armenia,:,:,1056.2,1072.2,1056.3,1090.7,1075.4,1077.8,1074.1,1055.9,980.8,928.9,932.2,989.7 bd,1008.8,987.6,1012.8,1058.4
Annual,Thousand,Total,From 20 to 64 years,Azerbaijan,3768.2,3863.4,3947.6,4011.2,4126.0,4192.2,4240.4,4330.3,4412.7,4497.1,4552.6,4634.9,4692.8,4745.0,4651.6,4590.0,4696.8,4765.0
Annual,Thousand,Total,From 20 to 64 years,Belarus,:,:,:,:,4494.3 d,:,:,:,:,:,:,4758.8,4797.5,4787.1,4791.1,4767.4,:,:
Annual,Thousand,Total,From 20 to 64 years,Georgia,1364.1,1306.9,1291.8,1332.5,1359.7,1386.1,1400.9,1409.5,1403.4,1430.5,1465.3,1451.6,1446.3,1444.6,1425.8,1108.1 b,1085.8,1138.4
Annual,Thousand,Total,From 20 to 64 years,Moldova,1222.4 d,1171.1 d,1173.5 d,1181.1 d,1128.0 d,1096.8 d,1125.3 d,1104.5 d,1129.2 d,936.9 bd,936.8,938.7,904.7,913.6,836.5 bd,801.8,816.8,833.2
Annual,Thousand,Total,From 20 to 64 years,Ukraine,19570.5,19600.6,19773.8,19909.9,19264.8,19436.1,19595.8,19730.8,19839.6,17751.7 d,16147.7 d,15972.6 d,15850.4 d,16065.1 d,16252.1 d,15645.8 d,15350.4 d,:
