Time frequency,Unit of measure,Type of household,Geopolitical entity (reporting)\Time,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0,2024.0
Annual,Percentage of households,Households located in cities,Italy,77.9,80.6,84.1,86.52,88.26,89.41,92.3,92.68,94.19,94.69
Annual,Percentage of households,Households located in cities,Lithuania,74.19,78.71,83.1,84.51,85.66,87.0,90.01,91.56,92.42,94.63
Annual,Percentage of households,Households located in cities,Luxembourg,95.7,94.71,94.66,94.89 b,96.55,93.25,99.22,98.56,99.88,99.75
Annual,Percentage of households,Households located in cities,Latvia,80.79,81.55 b,83.22,84.55,88.96,91.13,92.36,92.95,93.86,95.62
Annual,Percentage of households,Households located in cities,North Macedonia,:,:,:,81.48,83.2,80.88,86.51,:,:,91.81
Annual,Percentage of households,Households located in cities,Malta,79.5,81.89,83.94,83.83,85.3,88.57,92.09,93.8,93.29,94.94
Annual,Percentage of households,Households located in cities,Netherlands,96.82,96.47 b,98.42,97.86,98.63,96.58,98.57,98.5,98.98,99.05
Annual,Percentage of households,Households located in cities,Norway,97.74,98.45,97.53,97.06,98.9,100.0,98.97,98.72,99.2,97.96
Annual,Percentage of households,Households located in cities,Poland,79.36,82.2,84.78,87.17,89.51,91.59,93.69,94.21,94.19,96.59
Annual,Percentage of households,Households located in cities,Portugal,76.59,80.71,83.29,86.01,86.84,89.45,92.17,93.0,93.02,94.47
Annual,Percentage of households,Households located in cities,Romania,79.9,84.47,86.8,89.65,90.7,92.54,93.19,95.11,96.04,97.64
Annual,Percentage of households,Households located in cities,Sweden,92.4,97.38 b,97.05,95.25,95.04,96.6,93.68,96.2,96.54,95.38
Annual,Percentage of households,Households located in cities,Slovenia,80.3,83.68,85.82,86.3,94.06,93.02,95.58,93.43,95.27,95.07
Annual,Percentage of households,Households located in cities,Slovakia,81.7,84.57,83.8,86.99,87.35,84.27,92.82,94.02,95.2,92.46
Annual,Percentage of households,Households located in cities,United Kingdom,90.79,92.67,94.44,94.81,95.43,98.13,:,:,:,:
Annual,Percentage of households,Households located in cities,Kosovo*,:,:,:,96.13,96.31,98.32,:,:,:,:
Annual,Percentage of households,Households located in towns and suburbs,Albania,:,:,:,:,:,:,:,98.91,97.36,:
Annual,Percentage of households,Households located in towns and suburbs,Austria,82.1,84.89,89.31,87.5,90.01,88.6,95.63,92.25,95.32,95.13
Annual,Percentage of households,Households located in towns and suburbs,Belgium,83.05,85.17,86.57,88.3,90.67,91.57,93.16,95.12,94.82,91.1
Annual,Percentage of households,Households located in towns and suburbs,Bulgaria,60.39,63.07,66.14,69.9,75.73,80.06,83.77,85.76,84.84,89.55
Annual,Percentage of households,Households located in towns and suburbs,Switzerland,:,:,93.75 b,:,95.71,:,99.45,:,99.57,:
Annual,Percentage of households,Households located in towns and suburbs,Cyprus,72.42,75.37,79.32,87.18,90.74,96.11,96.66,92.6,95.37,94.6
Annual,Percentage of households,Households located in towns and suburbs,Czechia,76.59,81.56,83.15,85.7,87.37,88.08,90.14,92.02,92.72,95.28
Annual,Percentage of households,Households located in towns and suburbs,Germany,90.23,91.77,92.58,94.04,94.59,95.88,91.28 b,91.05,91.17,91.95
Annual,Percentage of households,Households located in towns and suburbs,Denmark,93.66,93.75,97.07,94.76,95.01,96.71,96.33,95.27,96.97,97.69
Annual,Percentage of households,Households located in towns and suburbs,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",83.21,85.5,86.5,88.42,89.69,91.74 e,92.29 b,92.27,92.71,93.3
Annual,Percentage of households,Households located in towns and suburbs,Estonia,89.16,82.98,85.68,89.46,89.21,87.77,89.0,94.96,93.78,92.38
Annual,Percentage of households,Households located in towns and suburbs,Greece,72.99,74.11,73.09,80.29,81.36,82.47,88.37,86.77,86.19,82.71
Annual,Percentage of households,Households located in towns and suburbs,Spain,79.28,82.69,84.29,85.11,90.54,95.11,95.6,95.45,96.15,96.59
Annual,Percentage of households,Households located in towns and suburbs,European Union - 15 countries (1995-2004),84.9,87.35,88.04,89.95,:,:,:,:,:,:
Annual,Percentage of households,Households located in towns and suburbs,European Union - 27 countries (2007-2013),83.3,86.0,86.91,88.89,:,:,:,:,:,:
Annual,Percentage of households,Households located in towns and suburbs,European Union - 27 countries (from 2020),82.06,84.88,86.0,87.79,89.28,91.38 e,92.02 b,92.16,92.68,93.6
Annual,Percentage of households,Households located in towns and suburbs,European Union - 28 countries (2013-2020),83.25,85.96,86.86,88.86,90.32,:,:,:,:,:
Annual,Percentage of households,Households located in towns and suburbs,Finland,89.2,92.24,94.72,94.63,93.95,95.27,95.54,96.68,95.65,96.72
Annual,Percentage of households,Households located in towns and suburbs,France,80.63,85.23,83.13,86.28,86.4,:,92.43,91.03,92.49,94.16
Annual,Percentage of households,Households located in towns and suburbs,Croatia,77.06,79.19,78.56,83.08,83.1,85.08,85.84,86.32,89.48,87.92
Annual,Percentage of households,Households located in towns and suburbs,Hungary,77.36,81.36,84.25,83.59,85.64,88.15,91.72,91.64,91.96,94.21
Annual,Percentage of households,Households located in towns and suburbs,Ireland,85.73,88.87,89.83,88.89,91.42,95.37,97.94 b,: u,93.66,96.43
Annual,Percentage of households,Households located in towns and suburbs,Iceland,:,:,97.01,99.16,97.0,98.27,96.26,:,:,:
Annual,Percentage of households,Households located in towns and suburbs,Italy,75.02,78.63,80.44,83.31,83.77,88.0,90.37,91.71,91.67,92.92
Annual,Percentage of households,Households located in towns and suburbs,Lithuania,72.69,75.36,78.07,80.35,81.74,80.11,87.63,87.74,86.31,88.05
Annual,Percentage of households,Households located in towns and suburbs,Luxembourg,96.2,96.36,96.77,92.14 b,94.25,91.87,99.36,97.11,99.25,98.43
Annual,Percentage of households,Households located in towns and suburbs,Latvia,76.2,74.42 b,78.12,83.51,85.27,90.27,91.33,92.33,93.56,95.16
Annual,Percentage of households,Households located in towns and suburbs,North Macedonia,:,:,:,79.35,81.93,79.41,82.2,:,:,92.66
Annual,Percentage of households,Households located in towns and suburbs,Malta,83.78,81.33,86.41,84.03,87.76,92.44,88.71,92.85,93.61,96.14
Annual,Percentage of households,Households located in towns and suburbs,Netherlands,94.63,97.28 b,98.09,98.4,97.81,97.92,98.54,97.82,98.79,99.11
Annual,Percentage of households,Households located in towns and suburbs,Norway,95.66,96.71,97.31,96.41,99.26,96.94,98.71,99.71,98.87,97.91
Annual,Percentage of households,Households located in towns and suburbs,Poland,74.11,79.64,81.47,82.66,86.32,90.36,91.07,92.56,92.54,95.55
Annual,Percentage of households,Households located in towns and suburbs,Portugal,71.89,74.78,77.37,79.6,79.5,84.05,86.84,87.3,89.49,89.52
Annual,Percentage of households,Households located in towns and suburbs,Romania,71.91,74.19,77.23,81.75,83.48,87.71,90.26,89.64,91.84,94.6
Annual,Percentage of households,Households located in towns and suburbs,Sweden,90.49,94.33 b,94.87,93.52,96.13,94.18,92.5,93.23,94.52,95.54
Annual,Percentage of households,Households located in towns and suburbs,Slovenia,77.41,78.36,82.99,88.05,94.07,90.99,92.99,93.09,94.73,94.4
Annual,Percentage of households,Households located in towns and suburbs,Slovakia,82.22,81.59,84.23,84.57,82.98,86.75,90.7,91.87,91.39,90.72
Annual,Percentage of households,Households located in towns and suburbs,United Kingdom,92.1,94.14,93.18,95.17,96.99,96.64,:,:,:,:
Annual,Percentage of households,Households located in towns and suburbs,Kosovo*,:,:,:,94.73,94.59,96.48,:,:,:,:
Annual,Percentage of households,Households located in rural areas,Albania,:,:,:,:,:,:,:,98.46,96.67,:
Annual,Percentage of households,Households located in rural areas,Austria,79.93,82.65,87.98,88.5,88.07,90.09,93.43,91.95,93.66,94.0
Annual,Percentage of households,Households located in rural areas,Bosnia and Herzegovina,:,:,:,:,:,:,:,:,79.8,82.71
Annual,Percentage of households,Households located in rural areas,Belgium,81.97,85.59,85.25,85.54,89.89,90.53,90.16,92.8,92.95,90.57
Annual,Percentage of households,Households located in rural areas,Bulgaria,40.1,48.02,52.05,60.28,62.22,65.13,72.32,81.89,80.43,85.61
Annual,Percentage of households,Households located in rural areas,Switzerland,:,:,90.82 b,:,95.37,:,96.83,:,99.33,:
Annual,Percentage of households,Households located in rural areas,Cyprus,63.17,70.0,69.17,76.94,81.98,87.55,90.93,92.64,89.57,91.48
Annual,Percentage of households,Households located in rural areas,Czechia,76.97,77.87,80.62,84.5,84.08,86.25,85.62,89.27,91.34,92.58
Annual,Percentage of households,Households located in rural areas,Germany,89.36,91.23,92.09,93.11,95.03,96.04,91.23 b,91.86,90.15,92.16
Annual,Percentage of households,Households located in rural areas,Denmark,91.3,94.19,95.74,90.8,95.14,92.92,94.73,93.76,94.33,97.02
Annual,Percentage of households,Households located in rural areas,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",78.75,81.56,83.22,85.69,88.07,89.88 e,90.32 b,90.46,90.48,92.06
Annual,Percentage of households,Households located in rural areas,Estonia,85.06,83.36,86.07,89.21,89.68,89.37,90.0,89.95,92.25,93.45
Annual,Percentage of households,Households located in rural areas,Greece,52.65,53.09,56.78,62.57,64.91,69.11,75.56,75.53,78.48,78.11
Annual,Percentage of households,Households located in rural areas,Spain,70.65,76.18,77.77,76.92,85.49,91.19,93.55,93.14,93.83,94.25
Annual,Percentage of households,Households located in rural areas,European Union - 15 countries (1995-2004),80.85,83.89,85.5,87.94,:,:,:,:,:,:
Annual,Percentage of households,Households located in rural areas,European Union - 27 countries (2007-2013),77.11,80.54,82.48,85.3,:,:,:,:,:,:
Annual,Percentage of households,Households located in rural areas,European Union - 27 countries (from 2020),76.13,79.35,81.26,83.87,86.4,88.32 e,89.48 b,89.95,90.52,92.4
Annual,Percentage of households,Households located in rural areas,European Union - 28 countries (2013-2020),77.05,80.47,82.37,85.19,86.74,:,:,:,:,:
Annual,Percentage of households,Households located in rural areas,Finland,85.63,87.73,90.85,93.06,93.06,94.1,95.41,97.07,95.63,96.36
Annual,Percentage of households,Households located in rural areas,France,81.63,84.84,85.49,87.81,90.09,:,91.59,91.4,91.84,93.85
Annual,Percentage of households,Households located in rural areas,Croatia,70.94,74.51,72.3,76.11,74.64,80.02,81.64,80.4,86.56,85.92
Annual,Percentage of households,Households located in rural areas,Hungary,66.26,69.92,74.39,77.52,80.95,81.77,85.51,86.82,89.1,91.88
Annual,Percentage of households,Households located in rural areas,Ireland,81.1,83.37,84.38,83.78,87.17,89.74,96.62 b,: u,94.27,91.03
Annual,Percentage of households,Households located in rural areas,Iceland,:,:,97.17,100.0,97.82,98.66,99.87,:,:,:
Annual,Percentage of households,Households located in rural areas,Italy,72.49,74.21,76.83,82.89,82.06,85.51,87.31,88.08,87.83,92.05
Annual,Percentage of households,Households located in rural areas,Lithuania,61.44,64.95,67.09,72.19,77.43,77.79,82.92,83.28,85.03,86.37
Annual,Percentage of households,Households located in rural areas,Luxembourg,97.63,98.58,98.43,92.86 b,95.26,96.07,98.95,97.62,98.3,98.82
Annual,Percentage of households,Households located in rural areas,Latvia,69.59,73.58 b,72.6,76.16,80.69,87.37,89.38,89.05,91.87,92.31
Annual,Percentage of households,Households located in rural areas,North Macedonia,:,:,:,76.05,78.79,76.81,81.82,:,:,86.51
Annual,Percentage of households,Households located in rural areas,Malta,74.19,73.42 u,72.18 u,94.01 u,63.59 u,83.57 u,96.03 u,95.78,96.61 u,96.72
Annual,Percentage of households,Households located in rural areas,Netherlands,96.66,95.82 b,97.45,97.53,98.9,96.23,98.5,98.32,98.32,98.57
Annual,Percentage of households,Households located in rural areas,Norway,96.49,96.14,95.21,94.66,97.05,91.68,99.22,98.31,99.05,98.58
Annual,Percentage of households,Households located in rural areas,Poland,72.76,79.05,79.0,81.6,83.49,88.88,91.93,92.85,92.89,95.32
Annual,Percentage of households,Households located in rural areas,Portugal,56.01,60.47,63.22,65.41,70.27,74.19,77.82,79.16,79.94,83.76
Annual,Percentage of households,Households located in rural areas,Romania,54.42,60.97,65.13,71.51,76.53,78.93,83.21,83.49,88.12,91.17
Annual,Percentage of households,Households located in rural areas,Sweden,89.56,88.89 b,92.37,91.29,97.19,90.29,93.73,92.55,91.72,95.29
Annual,Percentage of households,Households located in rural areas,Slovenia,76.58,76.33,78.65,85.62,82.69,87.56,91.84,91.8,92.05,93.46
Annual,Percentage of households,Households located in rural areas,Slovakia,75.17,76.72,76.69,72.85,77.88,85.95,87.29,86.93,87.56,89.04
Annual,Percentage of households,Households located in rural areas,United Kingdom,91.3,95.38,94.08,94.39,93.71,93.7,:,:,:,:
Annual,Percentage of households,Households located in rural areas,Kosovo*,:,:,:,89.05,79.01,92.38,:,:,:,:
