Time frequency,Unit of measure,Sex,Age class,International Statistical Classification of Diseases and Related Health Problems (ICD-10 2010),Geopolitical entity (reporting)\Time,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0
Annual,Rate,Males,Total,Assault,Malta,:,1.58,2.73,1.62,0.95,0.77,2.63,1.82,0.36,1.59,0.33
Annual,Rate,Males,Total,Assault,Netherlands,1.08,1.13,0.89,1.21,0.8,0.81,1.06,0.78,0.79,0.73,0.9
Annual,Rate,Males,Total,Assault,Norway,2.26,0.84,1.12,0.85,0.38,0.76,0.61,0.5,0.41,0.65,0.5
Annual,Rate,Males,Total,Assault,Poland,1.58,1.52,1.65,1.34,1.14,1.13,1.03,0.85,1.03,0.86,0.89
Annual,Rate,Males,Total,Assault,Portugal,1.28,1.58,1.23,1.06,1.47,1.21,1.0,1.09,1.01,1.04,1.29
Annual,Rate,Males,Total,Assault,Romania,3.02,3.22,2.58,2.58,2.2,2.26,2.09,2.07,1.97,2.0,1.93
Annual,Rate,Males,Total,Assault,Serbia,2.56,2.26,2.74,2.7,1.8,2.35,1.64,2.01,1.63,1.89,1.18
Annual,Rate,Males,Total,Assault,Sweden,1.07,0.83,1.14,1.08,1.42,1.33,1.61,1.48,1.57,1.99,1.46
Annual,Rate,Males,Total,Assault,Slovenia,0.77,0.94,1.13,1.0,0.68,0.88,1.36,0.65,0.45,0.45,0.39
Annual,Rate,Males,Total,Assault,Slovakia,1.61,1.39,1.53,1.16,1.03,0.84,0.55,0.74,0.93,0.92,0.75
Annual,Rate,Males,Total,Assault,Türkiye,1.97 d,1.97 d,2.83 d,2.45 d,2.09 d,2.73 d,2.74 d,2.23 d,1.52 d,1.98 d,1.58 d
Annual,Rate,Males,Total,Assault,United Kingdom,0.25 d,0.25 d,0.22 d,0.15 d,0.15 d,0.18 d,0.17 d,0.21 d,:,:,:
Annual,Rate,Total,Total,Assault,Austria,0.55,0.44,0.44,0.43,0.57,0.5,0.54,0.57,0.51,0.42,0.39
Annual,Rate,Total,Total,Assault,Belgium,1.35,1.17,0.99,1.03,1.06,1.1,1.06,1.0,0.81,0.73,0.66
Annual,Rate,Total,Total,Assault,Bulgaria,1.28,1.52,1.22,1.33,1.38,1.08,1.17,1.18,0.97,0.72,1.0
Annual,Rate,Total,Total,Assault,Switzerland,0.53,0.49,0.54,0.4,0.57,0.35,0.38,0.46,0.4,0.52,0.39
Annual,Rate,Total,Total,Assault,Cyprus,2.34,1.94,1.36,1.14,1.49,1.25,1.0,1.57,1.43,1.43,1.52
Annual,Rate,Total,Total,Assault,Czechia,0.86,0.9,0.87,0.74,0.84,0.5,0.62,0.53,0.72,0.6,0.49
Annual,Rate,Total,Total,Assault,Germany,0.54,0.53,0.5,0.46,0.53,0.46,0.44,0.4,0.4,0.45,0.39
Annual,Rate,Total,Total,Assault,Denmark,0.8,0.34,0.35,0.74,0.6,0.47,0.81,0.68,0.63,0.62,0.6
Annual,Rate,Total,Total,Assault,Estonia,4.73,4.89,3.98,3.19,3.64,2.65,2.28,2.26,1.95,3.19,2.0
Annual,Rate,Total,Total,Assault,Greece,1.54,1.4,1.35,1.06,0.85,0.77,0.82,0.91,0.8,0.74,0.82
Annual,Rate,Total,Total,Assault,Spain,0.68,0.62,0.65,0.64,0.58,0.57,0.64,0.55,0.58,0.59,0.58
Annual,Rate,Total,Total,Assault,European Union - 27 countries (from 2020),0.94,0.9,0.86,0.78,0.76,0.69,0.68,0.67,0.66,0.67,0.65
Annual,Rate,Total,Total,Assault,Finland,1.79,1.33,1.48,1.41,1.31,1.17,1.11,1.22,1.15,1.39,1.19
Annual,Rate,Total,Total,Assault,France,0.69,0.69,0.66,0.48,0.51,0.47,0.43,0.67,0.73,0.74,0.82
Annual,Rate,Total,Total,Assault,Croatia,1.14,1.23 d,1.12 d,0.88,0.9,1.23,1.21,0.56,0.83,0.97,0.76
Annual,Rate,Total,Total,Assault,Hungary,1.69 d,1.37 d,1.25 d,0.94,1.27,0.97,0.82,1.02,0.81,0.92,0.67
Annual,Rate,Total,Total,Assault,Ireland,0.61,0.87,0.56,0.71,0.46,0.52,0.36,0.45,0.28,0.15,0.15
Annual,Rate,Total,Total,Assault,Iceland,0.81,0.33,0.95,0.26,1.26,0.32,0.84,0.34,0.0,0.62,0.22
Annual,Rate,Total,Total,Assault,Italy,0.66,0.68,0.6,0.56,0.57,0.51,0.48,0.46,0.38,0.35,0.41
Annual,Rate,Total,Total,Assault,Liechtenstein,:,:,:,2.17,:,:,0.0,0.0,0.0,0.0,0.0
Annual,Rate,Total,Total,Assault,Lithuania,5.11,4.4,4.9,3.81,4.11,3.63,2.84,2.56,2.2,2.47,1.66
Annual,Rate,Total,Total,Assault,Luxembourg,0.38,0.33,0.16,1.11,0.94,0.45,0.15,0.44,0.69,0.3,0.99
Annual,Rate,Total,Total,Assault,Latvia,6.22,6.25,5.91,6.95,5.14,4.54,3.76,3.84,3.32,3.5,3.55
Annual,Rate,Total,Total,Assault,Malta,0.45,1.33,1.37,0.82,0.69,0.8,1.6,1.63,0.52,0.98,0.18
Annual,Rate,Total,Total,Assault,Netherlands,0.85,0.84,0.79,0.79,0.65,0.62,0.78,0.6,0.64,0.62,0.67
Annual,Rate,Total,Total,Assault,Norway,2.12,0.6,0.91,0.58,0.43,0.66,0.54,0.44,0.52,0.65,0.54
Annual,Rate,Total,Total,Assault,Poland,1.08,0.99,1.12,0.89,0.78,0.76,0.7,0.54,0.67,0.58,0.59
Annual,Rate,Total,Total,Assault,Portugal,0.94,1.12,0.92,1.02,1.01,0.78,0.69,0.76,0.85,0.8,0.87
Annual,Rate,Total,Total,Assault,Romania,2.22,2.27,1.87,1.87,1.6,1.56,1.47,1.43,1.45,1.47,1.34
Annual,Rate,Total,Total,Assault,Serbia,1.73,1.59,2.12,1.69,1.43,1.75,1.29,1.42,1.23,1.31,1.02
Annual,Rate,Total,Total,Assault,Sweden,0.77,0.66,0.82,0.82,0.99,0.94,1.06,1.03,1.04,1.26,0.94
Annual,Rate,Total,Total,Assault,Slovenia,0.87,0.77,0.95,0.96,0.75,0.69,1.08,0.7,0.41,0.77,0.55
Annual,Rate,Total,Total,Assault,Slovakia,1.48,1.09,1.37,0.9,0.84,0.74,0.48,0.58,0.58,0.59,0.51
Annual,Rate,Total,Total,Assault,Türkiye,1.22 d,1.19 d,1.74 d,1.5 d,1.3 d,1.68 d,1.69 d,1.38 d,0.99 d,1.19 d,1 d
Annual,Rate,Total,Total,Assault,United Kingdom,0.19 d,0.17 d,0.16 d,0.13 d,0.13 d,0.14 d,0.13 d,0.14 d,:,:,:
