Time frequency,Country of citizenship,Sex,Unit of measure,Age class,Applicant type,Geopolitical entity (reporting)\Time,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Extra-EU27 (from 2020),Total,Person,From 14 to 17 years,First time applicant,Czechia,30.0,40.0,45.0,35.0,35.0,45.0,10.0,20.0,35.0,40.0
Annual,Extra-EU27 (from 2020),Total,Person,From 14 to 17 years,First time applicant,Germany,10625.0,32520.0,65465.0,16170.0,11065.0,8715.0,6720.0,9975.0,14735.0,24990.0
Annual,Extra-EU27 (from 2020),Total,Person,From 14 to 17 years,First time applicant,Denmark,1085.0,2475.0,1320.0,520.0,340.0,275.0,180.0,200.0,470.0,235.0
Annual,Extra-EU27 (from 2020),Total,Person,From 14 to 17 years,First time applicant,Estonia,5.0,10.0,5.0,5.0,5.0,5.0,0.0,0.0,30.0,20.0
Annual,Extra-EU27 (from 2020),Total,Person,From 14 to 17 years,First time applicant,Greece,625.0,765.0,4900.0,5415.0,5415.0,6920.0,3430.0,3595.0,4705.0,5000.0
Annual,Extra-EU27 (from 2020),Total,Person,From 14 to 17 years,First time applicant,Spain,200.0,630.0,525.0,1210.0,1850.0,3775.0,2905.0,1710.0,4325.0,6505.0
Annual,Extra-EU27 (from 2020),Total,Person,From 14 to 17 years,First time applicant,European Union - 27 countries (from 2020),36445.0,121190.0,99915.0,45395.0,34895.0,34395.0,25325.0,41755.0,63070.0,68790.0
Annual,Extra-EU27 (from 2020),Total,Person,From 14 to 17 years,First time applicant,Finland,235.0,3390.0,330.0,240.0,150.0,125.0,110.0,165.0,375.0,435.0
Annual,Extra-EU27 (from 2020),Total,Person,From 14 to 17 years,First time applicant,France,1775.0,1915.0,2140.0,2885.0,4195.0,4565.0,2470.0,3385.0,4970.0,5970.0
Annual,Extra-EU27 (from 2020),Total,Person,From 14 to 17 years,First time applicant,Croatia,10.0,5.0,205.0,60.0,40.0,85.0,190.0,265.0,220.0,80.0
Annual,Extra-EU27 (from 2020),Total,Person,From 14 to 17 years,First time applicant,Hungary,3465.0,14635.0,3225.0,395.0,90.0,35.0,10.0,5.0,10.0,0.0
Annual,Extra-EU27 (from 2020),Total,Person,From 14 to 17 years,First time applicant,Ireland,55.0,90.0,105.0,145.0,120.0,190.0,75.0,130.0,490.0,610.0
Annual,Extra-EU27 (from 2020),Total,Person,From 14 to 17 years,First time applicant,Iceland,:,:,50.0,40.0,30.0,50.0,20.0,70.0,255.0,205.0
Annual,Extra-EU27 (from 2020),Total,Person,From 14 to 17 years,First time applicant,Italy,2600.0,4180.0,6240.0,9860.0,4380.0,1135.0,825.0,2310.0,2610.0,3210.0
Annual,Extra-EU27 (from 2020),Total,Person,From 14 to 17 years,First time applicant,Liechtenstein,:,:,0.0,10.0,5.0,0.0,0.0,5.0,0.0,5.0
Annual,Extra-EU27 (from 2020),Total,Person,From 14 to 17 years,First time applicant,Lithuania,15.0,15.0,25.0,15.0,25.0,30.0,10.0,340.0,25.0,25.0
Annual,Extra-EU27 (from 2020),Total,Person,From 14 to 17 years,First time applicant,Luxembourg,55.0,175.0,90.0,95.0,100.0,100.0,80.0,90.0,180.0,220.0
