Time frequency,itm_newa,indic_ag,unit,geo\TIME_PERIOD,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0,2024.0
Annual,13000.0,PROD_BP,MIO_EUR,EU27_2020,158416.16,157325.67,149472.46,147196.04,162490.44,158202.57,163153.04,159617.06,165328.07,209240.83,214225.44,213001.62 e
Annual,13000.0,PROD_BP,MIO_EUR,FI,2467.73,2515.41,2251.16,2265.97,2267.18,2282.89,2249.86,2287.05,2232.2,2584.9,2683.68,2571.83 e
Annual,13000.0,PROD_BP,MIO_EUR,FR,26598.3,27087.6,26002.07,24666.75,26056.57,26021.94,26631.44,26460.27,27205.04,32679.35,34174.71,33669.89 e
Annual,13000.0,PROD_BP,MIO_EUR,HR,821.8,755.03,748.96,749.32,795.82,772.34,867.81,832.76,968.67,1124.98,1110.57,1077.33 e
Annual,13000.0,PROD_BP,MIO_EUR,HU,2670.8,2707.76,2760.11,2693.29,2939.45,2966.75,3070.17,2858.23,3056.79,3755.01,4276.18,4209.15 e
Annual,13000.0,PROD_BP,MIO_EUR,IE,5239.46,5187.7,5318.9,5305.13,6267.87,6088.41,6169.27,6542.74,7517.96,9692.63,8211.55,8494.43 e
Annual,13000.0,PROD_BP,MIO_EUR,IS,244.99,271.28,299.43,318.43,348.75,329.88,314.49,286.3,306.48,367.31,391.04,414.93 e
Annual,13000.0,PROD_BP,MIO_EUR,IT,16873.06,16445.67,15682.69,15105.94,16187.65,15717.44,15834.61,15506.83,16353.91,20182.18,21447.82,21107.89 e
Annual,13000.0,PROD_BP,MIO_EUR,LT,988.53,977.03,862.36,836.61,986.62,957.96,949.19,930.18,1021.44,1437.59,1286.8,1329.01 e
Annual,13000.0,PROD_BP,MIO_EUR,LU,205.66,215.7,198.11,200.98,235.76,228.76,245.53,248.98,256.32,339.84,331.66,345.36 e
Annual,13000.0,PROD_BP,MIO_EUR,LV,504.99,518.67,489.84,456.48,531.39,511.56,532.09,533.19,575.93,780.67,717.72,762.52 e
Annual,13000.0,PROD_BP,MIO_EUR,MT,73.72,71.17,67.52,67.94,67.4,68.59,70.34,70.72,71.39,78.54,75.67,73.45 e
Annual,13000.0,PROD_BP,MIO_EUR,NL,12363.06,11922.32,10967.99,11184.23,12419.6,11433.07,12039.45,11587.32,11799.0,15895.0,15325.0,15193.26 e
Annual,13000.0,PROD_BP,MIO_EUR,NO,3402.86,3265.18,3208.08,3134.84,3105.3,3063.42,2908.08,2765.11,3132.62,3261.59,2999.91,3001.74 e
Annual,13000.0,PROD_BP,MIO_EUR,PL,10996.99,11259.75,11368.5,11275.97,12718.58,12963.11,13485.57,12799.27,13584.02,18895.58,17728.61,17642.84 e
Annual,13000.0,PROD_BP,MIO_EUR,PT,2824.97,2950.6,2887.88,2727.11,2927.38,2919.94,3033.38,3005.78,3036.92,3717.46,4163.29,4162.29 e
Annual,13000.0,PROD_BP,MIO_EUR,RO,3907.61,3967.25,4020.23,3779.74,4042.21,3780.01,3924.63,4047.46,4245.42,5219.4,5835.15,6003.50 e
Annual,13000.0,PROD_BP,MIO_EUR,SE,2933.37,2773.06,2665.02,2685.66,2872.92,2717.23,2624.02,2754.41,3014.79,3546.79,3239.19,3340.71 e
Annual,13000.0,PROD_BP,MIO_EUR,SI,535.77,542.4,522.33,512.43,549.3,553.66,571.37,547.49,565.39,723.23,732.06,723.74 e
Annual,13000.0,PROD_BP,MIO_EUR,SK,952.11,871.31,766.73,786.76,859.8,778.71,757.46,755.29,709.8,879.23,989.34,942.24 e
Annual,13000.0,PROD_BP,MIO_EUR,UK,16449.51,17487.98,17767.45,15221.15,16141.41,16312.93,16426.11,16574.12 e,:,:,:,:
Annual,13000.0,PROD_PP,MIO_EUR,AT,3409.03,3407.53,3221.06,3196.02,3582.15,3510.26,3607.63,3588.87,3721.75,4478.07,4734.33,4678.08 e
Annual,13000.0,PROD_PP,MIO_EUR,BE,4660.74,4503.57,4398.27,4231.38,4641.18,4431.98,4678.14,4644.32,4780.46,6373.83,6241.02,6297.93 e
Annual,13000.0,PROD_PP,MIO_EUR,BG,1091.31,1034.69,933.96,856.77,886.27,872.39,898.85,927.55,932.63,1120.73,1225.6,1191.32 e
Annual,13000.0,PROD_PP,MIO_EUR,CH,4230.09,4378.08,4638.2,4560.47,4490.81,4361.7,4609.35,5028.69,5118.32,5563.22,5788.33,5924.78 e
Annual,13000.0,PROD_PP,MIO_EUR,CY,355.07,367.09,354.78,399.81,410.88,419.09,431.43,452.4,476.93,473.68,535.06,553.85 e
Annual,13000.0,PROD_PP,MIO_EUR,CZ,1788.63,1845.78,1702.61,1577.45,1868.32,1934.42,1986.44,1905.6,1994.98,2592.69,2850.06,2803.35 e
Annual,13000.0,PROD_PP,MIO_EUR,DE,29626.37,28877.29,25901.37,25119.18,29307.92,27804.72,28818.5,26520.28,26967.97,36688.37,35921.79,36007.50 e
Annual,13000.0,PROD_PP,MIO_EUR,DK,6795.23,6798.26,5730.34,6030.02,6753.74,6229.22,6572.93,6915.48,6442.7,7651.54,7675.7,7465.06 e
Annual,13000.0,PROD_PP,MIO_EUR,EA19,125707.65,124680.0,117746.25,115171.27,127260.83,123673.25,127343.84,124172.3,128656.83,162881.37,167738.0,166673.05 e
Annual,13000.0,PROD_PP,MIO_EUR,EA20,126470.43,125410.51,118460.08,115869.75,128002.11,124384.89,128146.02,124931.14,129543.73,163950.47,168766.02,167668.90 e
Annual,13000.0,PROD_PP,MIO_EUR,EE,447.62,420.33,344.04,341.28,414.56,394.36,411.11,407.89,434.23,631.96,621.15,599.50 e
Annual,13000.0,PROD_PP,MIO_EUR,EL,2603.38,2555.5,2564.65,2478.6,2553.9,2511.45,2426.07,2391.92,2497.12,2877.6,3258.99,3273.20 e
Annual,13000.0,PROD_PP,MIO_EUR,ES,16195.48,16416.24,16232.6,16824.3,18481.1,18522.22,19441.42,19259.93,20013.94,23960.86,27928.88,27547.62 e
Annual,13000.0,PROD_PP,MIO_EUR,EU27_2020,156488.95,155617.78,146925.6,144017.89,159378.04,155104.68,159975.59,156378.25,161929.3,205837.2,210866.03,209575.98 e
Annual,13000.0,PROD_PP,MIO_EUR,FI,2159.52,2210.83,1901.51,1924.59,1928.54,1943.06,1910.92,1952.13,1891.89,2242.71,2320.57,2209.71 e
Annual,13000.0,PROD_PP,MIO_EUR,FR,25826.9,26299.0,25131.6,23796.47,25187.98,25180.4,25792.25,25631.0,26332.22,31800.65,33334.91,32844.09 e
Annual,13000.0,PROD_PP,MIO_EUR,HR,762.78,730.51,713.83,698.48,741.28,711.64,802.18,758.84,886.89,1069.1,1028.01,995.85 e
Annual,13000.0,PROD_PP,MIO_EUR,HU,2582.15,2602.65,2499.63,2448.37,2694.48,2708.04,2817.63,2587.83,2798.51,3492.13,4004.27,3906.17 e
Annual,13000.0,PROD_PP,MIO_EUR,IE,5279.91,5221.4,5401.84,5298.02,6256.86,6074.55,6069.74,6445.49,7478.04,9656.07,8179.26,8425.21 e
Annual,13000.0,PROD_PP,MIO_EUR,IS,186.13,205.75,228.78,239.27,252.53,239.63,227.74,212.02,226.63,269.49,290.19,316.39 e
Annual,13000.0,PROD_PP,MIO_EUR,IT,16872.06,16444.67,15681.69,15104.94,16187.15,15716.95,15834.13,15506.35,16353.42,20181.68,21447.33,21107.39 e
Annual,13000.0,PROD_PP,MIO_EUR,LT,988.29,951.83,818.66,773.12,921.95,893.69,898.76,876.29,960.7,1376.01,1221.17,1262.42 e
Annual,13000.0,PROD_PP,MIO_EUR,LU,206.27,219.91,199.45,200.98,235.76,228.76,245.53,248.98,256.32,339.84,328.9,342.21 e
Annual,13000.0,PROD_PP,MIO_EUR,LV,496.35,471.04,420.2,399.09,493.01,470.65,489.08,476.46,532.25,728.68,656.48,706.37 e
Annual,13000.0,PROD_PP,MIO_EUR,MT,73.71,71.16,67.5,67.93,67.4,68.59,70.34,70.72,71.39,78.54,75.67,73.45 e
Annual,13000.0,PROD_PP,MIO_EUR,NL,12364.06,12052.81,11102.25,11184.23,12430.6,11435.07,12040.45,11586.93,11798.52,15894.52,15323.52,15191.85 e
Annual,13000.0,PROD_PP,MIO_EUR,NO,2679.17,2589.31,2577.48,2529.42,2502.11,2480.96,2343.51,2247.31,2586.79,2710.65,2514.21,2516.85 e
Annual,13000.0,PROD_PP,MIO_EUR,PL,10953.36,11217.95,11043.45,10899.68,12389.33,12608.29,13133.03,12436.95,13082.09,18392.6,17391.2,17320.90 e
Annual,13000.0,PROD_PP,MIO_EUR,PT,2656.15,2781.98,2721.67,2552.79,2770.17,2753.53,2867.23,2824.44,2842.49,3513.77,3897.82,3896.94 e
Annual,13000.0,PROD_PP,MIO_EUR,RO,3907.61,3967.25,4020.23,3779.74,4042.21,3780.01,3924.63,4047.46,4245.42,5219.4,5835.15,6003.50 e
Annual,13000.0,PROD_PP,MIO_EUR,SE,2900.22,2740.69,2535.31,2556.11,2741.57,2587.42,2496.05,2626.22,2889.25,3417.63,3118.03,3216.77 e
Annual,13000.0,PROD_PP,MIO_EUR,SI,535.77,542.4,522.33,512.43,549.3,553.66,571.37,547.49,565.39,723.23,732.06,723.74 e
Annual,13000.0,PROD_PP,MIO_EUR,SK,950.98,865.42,760.78,766.12,840.43,760.25,739.74,740.41,695.13,865.7,979.09,932.00 e
Annual,13000.0,PROD_PP,MIO_EUR,UK,16425.06,17462.35,17717.05,15167.3,16088.71,16260.68,16372.52,16521.20 e,:,:,:,:
