Time frequency,Unit of measure,Demographic indicator,Geopolitical entity (reporting)\Time,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Rate,Crude death rate - per thousand persons,Egypt,6.4,:,6.1,6.1,6.2,6.1,6.1,6.4,6.0,6.1,6.5,6.1,:,5.8,5.8,6.6,7.3,:,:
Annual,Rate,Crude death rate - per thousand persons,Israel,5.6,5.5,5.6,5.4,5.2,5.2,5.3,5.3,5.2,5.2,5.3,5.1,5.1,5.0,5.1,5.3,5.4,5.4,:
Annual,Rate,Crude death rate - per thousand persons,Jordan,7.0,7.0 p,7.0 p,7.0 p,7.0 p,7.0 p,7.0,7.0,5.8,6.1,6.1,6.0,6.0,6.0 d,6.0 d,6.0 d,6.0 d,6.0 d,:
Annual,Rate,Crude death rate - per thousand persons,Lebanon,:,:,5.6 e,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Rate,Crude death rate - per thousand persons,Libya,:,3.4,3.7,4.1,4.2,4.5,:,5.9,5.9,6.0,6.4,6.7,6.8,7.9,7.9,:,:,:,:
Annual,Rate,Crude death rate - per thousand persons,Morocco,5.8 e,5.8 e,5.8 e,5.7 e,5.7 e,5.6 e,5.1 e,5.1 e,5.1,5.6,5.4,5.2,5.1,5.1,5.0,5.1,5.1,5.1,5.1
Annual,Rate,Crude death rate - per thousand persons,Palestine*,4.0 e,3.9 e,4.4,4.4,4.3,4.1 e,4.0 e,3.9 e,3.8,3.7,3.6,3.5,3.8,3.8,3.7,3.7,3.7,3.7,3.7
Annual,Rate,Crude death rate - per thousand persons,Tunisia,5.9,5.8,5.5 p,5.8 p,5.4,5.1,5.6,5.9,5.7,5.7,6.2,5.9,6.5,6.3,6.5,6.8,9.1,:,:
Annual,Rate,Crude rate of natural change of population,Algeria,16.9 i,17.8 i,18.6 i,19.2 i,19.6 i,20.3 i,20.4 i,21.6 i,20.8 i,21.5 i,21.5 i,21.7 i,20.9 i,19.9 i,19.3 i,:,:,:,:
Annual,Rate,Crude rate of natural change of population,Egypt,19.1 i,:,20.4 i,21.2 i,22.6 i,22.6 i,24.3 i,25.5 i,25.0 i,25.2 i,23.7 i,22.5 i,:,18.7 i,17.5 i,15.6 i,14.1 i,:,:
Annual,Rate,Crude rate of natural change of population,Israel,15.2 i,15.5 i,15.5 i,16.1 i,16.3 i,16.6 i,16.1 i,16.3 i,16.1 i,16.3 i,16.0 i,16.1 i,16.0 i,15.8 i,15.0 i,13.9 i,14.3 i,13.6 i,:
Annual,Rate,Crude rate of natural change of population,Jordan,21.0 i,22.1 ip,22.1 ip,22.1 ip,23.1 ip,23.1 ip,21.9 i,21.1 i,21.8 i,22.5 i,16.9 i,16.6 i,17.3 i,16.3 di,14.6 di,14.6 di,11.4 di,12.1 di,:
Annual,Rate,Crude rate of natural change of population,Lebanon,:,:,15.9 i,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Rate,Crude rate of natural change of population,Libya,:,19.9 i,20.0 i,20.8 i,20.4 i,20.5 i,:,15.7 i,15.9 i,16.0 i,16.3 i,16.2 i,16.2 i,16.0 i,16.1 i,:,:,:,:
Annual,Rate,Crude rate of natural change of population,Morocco,14.2 i,14.0 i,13.7 i,13.5 i,13.1 i,13.1 i,13.4 i,13.2 i,13.0 i,12.2 i,12.3 i,12.2 i,12.1 i,11.9 i,11.7 i,11.4 i,11.1 i,10.9 i,10.6 i
Annual,Rate,Crude rate of natural change of population,Palestine*,33.3 i,32.8 i,28.1 i,28.2 i,28.4 i,28.7 i,28.8 i,28.8 i,28.8 i,28.6 i,28.3 i,27.4 i,26.9 i,26.7 i,26.5 i,26.2 i,25.8 i,25.5 i,25.1 i
Annual,Rate,Crude rate of natural change of population,Tunisia,11.2 i,11.0 i,11.9 ip,11.9 ip,13.5 i,14.2 i,13.7 i,14.3 i,14.8 i,14.8 i,13.7 i,13.6 i,11.9 i,11.3 i,10.3 i,8.0 i,4.5 i,:,:
