Time frequency,Unit of measure,Age class,Geopolitical entity (reporting)\Time,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Number,65 years or over,Norway,-16.04,-20.49,-17.14,-20.67,-18.83,-14.13,-10.4,-14.99,-17.42,-13.11 b,-8.98,-4.37 b
Annual,Number,65 years or over,Poland,-6.29,-4.12,-2.12,0.34,-2.51,-0.2,-6.7,-9.96,-15.18,-12.68,-11.93,-10.79
Annual,Number,65 years or over,Portugal,-0.9,3.02,-1.64,-3.49,-1.71,-2.29,-11.21,-6.21,-11.21,-15.67,-12.7,-16.16
Annual,Number,65 years or over,Romania,-16.11,-12.85,-15.29,-14.05,-19.56,-22.78,-24.65,-24.27,-22.3,-16.86,-12.35,-15.53
Annual,Number,65 years or over,Serbia,:,-8.58,-6.59,-2.03,-9.2,-14.1,-12.16,-14.39,-11.1,-12.3,-8.98,:
Annual,Number,65 years or over,Sweden,-12.51,-16.81,-11.19,-14.32,-14.32,-11.82,-15.24,-11.79,-14.7,-15.39,-8.62,-7.49
Annual,Number,65 years or over,Slovenia,-10.7,-8.91,-10.57,-15.97,-15.06,-10.45,-5.6,-8.73,-9.32,-6.69,-0.4,2.17
Annual,Number,65 years or over,Slovakia,0.19,-5.58,0.38,-1.17,-1.6,-1.99,-2.59,-2.93,3.76,-0.06,-2.92,-4.54
Annual,Number,65 years or over,Türkiye,-7.27,-4.06,-3.55,-8.8,-10.45,-9.01,-5.28,-4.07,-5.89,-3.58,-2.86,-6.83
Annual,Number,65 years or over,United Kingdom,-3.31 b,-6.46,-9.7,-8.65,-10.15,-9.87 b,-8.58,:,:,:,:,:
Annual,Number,Less than 65 years,Albania,:,:,:,:,:,-1.43,2.05,-1.9,2.31,-4.27,:,:
Annual,Number,Less than 65 years,Austria,-4.78,-5.15,-6.54,-1.66,0.22,-3.22,-2.73,0.12,-0.29,0.24,-2.9,2.2
Annual,Number,Less than 65 years,Belgium,-3.01,1.56,-4.73,-4.56,-3.69,-3.26,-2.66,-0.79 b,-3.57,0.63,0.28,1.89
Annual,Number,Less than 65 years,Bulgaria,-8.7,-3.99,1.06,-6.7,3.76 b,5.05,2.99,5.11,6.85,6.85,2.52,8.81
Annual,Number,Less than 65 years,Switzerland,0.03,1.63,1.63 b,-3.83,-3.65,-4.06,2.99,6.38,1.21,-3.11,-0.43,-5.24
Annual,Number,Less than 65 years,Cyprus,-4.5,-1.19,0.28,1.24,-8.43,-1.46,0.4,-2.17,-1.99,-6.26,-9.81,-5.12
Annual,Number,Less than 65 years,Czechia,-5.43,-4.95,-6.3,-4.91,-4.41,-9.05,-6.41,-7.64,-6.74,-2.96,-6.57,-3.95
Annual,Number,Less than 65 years,Germany,-1.41,-1.03,1.9,3.23,0.4,1.41,-0.81,-0.51,-1.54 b,-1.63,-2.42,-2.37
Annual,Number,Less than 65 years,Denmark,0.38,-2.63,0.58,3.32,3.14,2.66,-7.62,1.11,0.75 b,-4.27,-2.23,-3.85
Annual,Number,Less than 65 years,Euro area - 19 countries  (2015-2022),-2.32,-1.68,-0.53,2.06,-0.35,-0.32,-0.02,-0.8,-1.93 b,-1.52,:,:
Annual,Number,Less than 65 years,Euro area – 20 countries (from 2023),:,:,-0.57,2.04,-0.35,-0.3,-0.03,-0.78,-1.93,-1.35,-2.78,-1.88
Annual,Number,Less than 65 years,Estonia,6.51,2.01,9.18 b,11.26,9.27,6.91,13.49,14.28,12.95,9.49,12.32,12.21
Annual,Number,Less than 65 years,Greece,-7.9,-3.29,-1.36,-1.38,0.31,-1.13,-3.39,0.46,-0.27,3.19,1.34,-4.74
Annual,Number,Less than 65 years,Spain,-1.22,6.01,7.24,8.83,4.92,0.9,1.38,-2.19,1.28,-3.14,-1.92,-2.43
Annual,Number,Less than 65 years,European Union - 27 countries (2007-2013),-0.47,-0.11,0.52,2.26,0.92,0.47,0.13,-0.33 e,:,:,:,:
Annual,Number,Less than 65 years,European Union - 27 countries (from 2020),-0.89,-0.56,0.52 e,2.45 e,0.22 e,0.44 e,0.05 e,-0.44 e,-1.45 b,-0.7,-2.16,-1.66
Annual,Number,Less than 65 years,European Union - 28 countries (2013-2020),-0.46,-0.12,0.52,2.24,0.92,0.48,0.12,-0.32 e,:,:,:,:
Annual,Number,Less than 65 years,Finland,9.61,6.56,4.89,7.12,8.47,7.06,7.31,4.4,3.82,5.62,-0.05,5.0
Annual,Number,Less than 65 years,France,-0.34,-2.89,-1.8,3.25,-1.28,0.6,5.8,0.19,-4.38 b,-2.57,-3.02 b,-4.16
Annual,Number,Less than 65 years,Croatia,3.4,-3.07,-0.05,-3.98,0.19,4.12,-2.54,3.91,-1.68,-2.66,-5.61,-6.27 b
Annual,Number,Less than 65 years,Hungary,12.23,8.83,11.56,9.38,3.18,-1.13,-0.78,-2.86,10.36,11.83,0.1,-1.82
Annual,Number,Less than 65 years,Ireland,14.64,10.13,2.51,4.61,4.6,5.89,-1.1,8.53 b,3.60 b,-0.14,3.68,0.45
Annual,Number,Less than 65 years,Iceland,11.6,16.71,10.62,10.79,-1.54,1.02,1.75,6.86,:,:,:,:
Annual,Number,Less than 65 years,Italy,-7.92,-6.7,-8.89,-5.41,-7.74,-7.91,-6.68,-5.5,-3.97,-0.03,-7.13,-4.01
Annual,Number,Less than 65 years,Lithuania,2.36,2.66,5.1,11.85,4.57,6.25,10.02,11.64,3.36,1.92,3.75,7.3
Annual,Number,Less than 65 years,Luxembourg,3.23,-0.22,4.16,1.69,0.28 b,-5.23,-5.87,1.27,-3.60 b,-1.60 b,-2.90 b,-1.72
Annual,Number,Less than 65 years,Latvia,15.65,11.39,10.55,2.03,0.13,4.68,2.2,4.06,2.4,-8.24,-3.13,0.18
Annual,Number,Less than 65 years,Montenegro,:,3.97,1.06,4.37,-1.2,-0.1,8.02,1.61,4.61,4.87,2.61,:
Annual,Number,Less than 65 years,North Macedonia,12.15,7.68,19.58,11.46,7.83,-1.68,4.03,-0.44,2.07,:,:,:
Annual,Number,Less than 65 years,Malta,-6.37,-0.67,7.91,6.39,-0.8,-7.56,-10.34,-11.28,-2.07,-2.52,-2.64,-10.38
Annual,Number,Less than 65 years,Netherlands,-5.19,-3.47,-2.48,0.67,2.48 b,-0.02,-1.97,-1.92,-4.38,-2.57,-1.16,0.9
Annual,Number,Less than 65 years,Norway,0.09,-2.11,-4.93,-8.6,-7.11,-6.58,-4.54,-3.61,-6.64,-6.47 b,-7.27,-10.88 b
Annual,Number,Less than 65 years,Poland,12.22,11.45,11.94,8.66,5.43,12.42,9.81,9.58,4.0,2.91,5.0,0.09
Annual,Number,Less than 65 years,Portugal,-0.32,5.04,4.91,5.08,7.44,1.34,2.98,6.62,1.07,-4.94,-3.01,3.61
Annual,Number,Less than 65 years,Romania,10.61,9.28,9.66,8.89,7.84,4.26,1.33,-3.84,-1.3,0.81,0.54,5.38
Annual,Number,Less than 65 years,Serbia,:,18.18,15.09,19.65,18.22,3.19,11.33,6.82,-1.03,-1.49,5.4,:
Annual,Number,Less than 65 years,Sweden,2.6,1.63,1.79,1.72,-0.39,3.99,-3.49,0.95,-3.47,3.52,2.35,-3.71
Annual,Number,Less than 65 years,Slovenia,-1.69,3.91,2.51,-7.95,-8.04,-7.08,-1.65,1.03,3.7,-4.1,6.77,-0.14
Annual,Number,Less than 65 years,Slovakia,6.41,9.66,8.65,9.78,10.61,14.03,5.31,6.43,8.91,4.24,-4.93,5.37
Annual,Number,Less than 65 years,Türkiye,-1.78,0.82,-1.01,-3.43,1.98,-1.65,-0.9,-1.98,-3.88,0.66,-0.07,-2.84
Annual,Number,Less than 65 years,United Kingdom,3.59 b,3.72,0.58,0.39,6.67,0.77 b,0.76,:,:,:,:,:
