Time frequency,Level of activity limitation,Unit of measure,Geopolitical entity (reporting)\Time,2021.0
Annual,Some or severe,Percentage,Hungary,47.4
Annual,Some or severe,Percentage,Ireland,40.3
Annual,Some or severe,Percentage,Lithuania,26.9
Annual,Some or severe,Percentage,Luxembourg,41.5
Annual,Some or severe,Percentage,Latvia,25.8
Annual,Some or severe,Percentage,Montenegro,8.8 u
Annual,Some or severe,Percentage,Malta,23.4
Annual,Some or severe,Percentage,Netherlands,28.2
Annual,Some or severe,Percentage,Poland,17.8
Annual,Some or severe,Percentage,Portugal,16.2
Annual,Some or severe,Percentage,Romania,48.9
Annual,Some or severe,Percentage,Serbia,21.6
Annual,Some or severe,Percentage,Sweden,45.8
Annual,Some or severe,Percentage,Slovenia,20.7 u
Annual,Some or severe,Percentage,Slovakia,44.2
Annual,Some or severe,Percentage,Kosovo*,22.9 u
Annual,Some,Percentage,Austria,26.1
Annual,Some,Percentage,Belgium,33.6
Annual,Some,Percentage,Bulgaria,11.8
Annual,Some,Percentage,Cyprus,31.7
Annual,Some,Percentage,Czechia,15.6 u
Annual,Some,Percentage,Germany,26.9
Annual,Some,Percentage,Denmark,37.6
Annual,Some,Percentage,Estonia,31.6
Annual,Some,Percentage,Greece,33.8
Annual,Some,Percentage,Spain,26.5
Annual,Some,Percentage,European Union (aggregate changing according to the context),28.4 e
Annual,Some,Percentage,Finland,42.7
Annual,Some,Percentage,France,23.9
Annual,Some,Percentage,Croatia,13.9
Annual,Some,Percentage,Hungary,49.4
Annual,Some,Percentage,Ireland,40.0
Annual,Some,Percentage,Lithuania,26.7
Annual,Some,Percentage,Luxembourg,42.2
Annual,Some,Percentage,Latvia,24.0
Annual,Some,Percentage,Montenegro,9.5 u
Annual,Some,Percentage,Malta,21.6
Annual,Some,Percentage,Netherlands,26.5
Annual,Some,Percentage,Poland,17.7
Annual,Some,Percentage,Portugal,15.5
Annual,Some,Percentage,Romania,50.0
Annual,Some,Percentage,Serbia,21.4
Annual,Some,Percentage,Sweden,44.0
Annual,Some,Percentage,Slovenia,22.9 u
Annual,Some,Percentage,Slovakia,42.8
Annual,Some,Percentage,Kosovo*,26.0 u
Annual,Total,Percentage,Austria,20.0
Annual,Total,Percentage,Belgium,19.7
Annual,Total,Percentage,Bulgaria,9.5
Annual,Total,Percentage,Cyprus,30.3
Annual,Total,Percentage,Czechia,14.5
Annual,Total,Percentage,Germany,18.3
Annual,Total,Percentage,Denmark,27.6
Annual,Total,Percentage,Estonia,26.3
Annual,Total,Percentage,Greece,24.7
Annual,Total,Percentage,Spain,15.9
Annual,Total,Percentage,European Union (aggregate changing according to the context),20.1 e
Annual,Total,Percentage,Finland,36.3
Annual,Total,Percentage,France,19.4
Annual,Total,Percentage,Croatia,15.3
Annual,Total,Percentage,Hungary,43.8
Annual,Total,Percentage,Ireland,24.1
Annual,Total,Percentage,Lithuania,17.1
Annual,Total,Percentage,Luxembourg,30.0
Annual,Total,Percentage,Latvia,16.9
Annual,Total,Percentage,Montenegro,7.5
Annual,Total,Percentage,Malta,16.2
Annual,Total,Percentage,Netherlands,19.9
Annual,Total,Percentage,Poland,11.5
Annual,Total,Percentage,Portugal,11.5
Annual,Total,Percentage,Romania,39.2
Annual,Total,Percentage,Serbia,11.7
Annual,Total,Percentage,Sweden,32.0
Annual,Total,Percentage,Slovenia,14.9
Annual,Total,Percentage,Slovakia,32.7
Annual,Total,Percentage,Kosovo*,6.4
