Time frequency,Level of activity limitation,Age class,Sex,Unit of measure,Geopolitical entity (reporting)\Time,2022.0
Annual,Some or severe,16 years or over,Males,Percentage,Finland,22.5
Annual,Some or severe,16 years or over,Males,Percentage,France,16.9
Annual,Some or severe,16 years or over,Males,Percentage,Croatia,18.0
Annual,Some or severe,16 years or over,Males,Percentage,Hungary,13.0
Annual,Some or severe,16 years or over,Males,Percentage,Ireland,24.0
Annual,Some or severe,16 years or over,Males,Percentage,Italy,10.5
Annual,Some or severe,16 years or over,Males,Percentage,Lithuania,15.4
Annual,Some or severe,16 years or over,Males,Percentage,Luxembourg,8.2
Annual,Some or severe,16 years or over,Males,Percentage,Latvia,17.5
Annual,Some or severe,16 years or over,Males,Percentage,Montenegro,15.7
Annual,Some or severe,16 years or over,Males,Percentage,Malta,13.7
Annual,Some or severe,16 years or over,Males,Percentage,Netherlands,17.1
Annual,Some or severe,16 years or over,Males,Percentage,Norway,12.1
Annual,Some or severe,16 years or over,Males,Percentage,Poland,5.3
Annual,Some or severe,16 years or over,Males,Percentage,Portugal,7.0
Annual,Some or severe,16 years or over,Males,Percentage,Romania,13.6
Annual,Some or severe,16 years or over,Males,Percentage,Serbia,27.8
Annual,Some or severe,16 years or over,Males,Percentage,Sweden,27.1
Annual,Some or severe,16 years or over,Males,Percentage,Slovenia,10.5
Annual,Some or severe,16 years or over,Males,Percentage,Slovakia,9.0
Annual,Some or severe,16 years or over,Males,Percentage,Türkiye,85.8
Annual,Some or severe,16 years or over,Total,Percentage,Austria,7.9
Annual,Some or severe,16 years or over,Total,Percentage,Belgium,14.5
Annual,Some or severe,16 years or over,Total,Percentage,Bulgaria,16.2
Annual,Some or severe,16 years or over,Total,Percentage,Switzerland,9.2
Annual,Some or severe,16 years or over,Total,Percentage,Cyprus,14.2
Annual,Some or severe,16 years or over,Total,Percentage,Czechia,7.8
Annual,Some or severe,16 years or over,Total,Percentage,Germany,: u
Annual,Some or severe,16 years or over,Total,Percentage,Denmark,19.0
Annual,Some or severe,16 years or over,Total,Percentage,Euro area – 20 countries (from 2023),13.5 e
Annual,Some or severe,16 years or over,Total,Percentage,Estonia,16.9
Annual,Some or severe,16 years or over,Total,Percentage,Greece,22.4
Annual,Some or severe,16 years or over,Total,Percentage,Spain,11.6
Annual,Some or severe,16 years or over,Total,Percentage,European Union - 27 countries (from 2020),12.9 e
Annual,Some or severe,16 years or over,Total,Percentage,Finland,23.2
Annual,Some or severe,16 years or over,Total,Percentage,France,16.9
Annual,Some or severe,16 years or over,Total,Percentage,Croatia,19.0
Annual,Some or severe,16 years or over,Total,Percentage,Hungary,13.0
Annual,Some or severe,16 years or over,Total,Percentage,Ireland,27.1
Annual,Some or severe,16 years or over,Total,Percentage,Italy,10.6
Annual,Some or severe,16 years or over,Total,Percentage,Lithuania,16.1
Annual,Some or severe,16 years or over,Total,Percentage,Luxembourg,9.1
Annual,Some or severe,16 years or over,Total,Percentage,Latvia,17.5
Annual,Some or severe,16 years or over,Total,Percentage,Montenegro,18.3
Annual,Some or severe,16 years or over,Total,Percentage,Malta,13.6
Annual,Some or severe,16 years or over,Total,Percentage,Netherlands,16.2
Annual,Some or severe,16 years or over,Total,Percentage,Norway,13.9
Annual,Some or severe,16 years or over,Total,Percentage,Poland,4.9
Annual,Some or severe,16 years or over,Total,Percentage,Portugal,7.4
Annual,Some or severe,16 years or over,Total,Percentage,Romania,12.7
Annual,Some or severe,16 years or over,Total,Percentage,Serbia,27.2
Annual,Some or severe,16 years or over,Total,Percentage,Sweden,24.5
Annual,Some or severe,16 years or over,Total,Percentage,Slovenia,12.7
Annual,Some or severe,16 years or over,Total,Percentage,Slovakia,9.9
Annual,Some or severe,16 years or over,Total,Percentage,Türkiye,85.5
Annual,Some,16 years or over,Females,Percentage,Austria,6.1
Annual,Some,16 years or over,Females,Percentage,Belgium,9.4
Annual,Some,16 years or over,Females,Percentage,Bulgaria,14.0
Annual,Some,16 years or over,Females,Percentage,Switzerland,6.8
Annual,Some,16 years or over,Females,Percentage,Cyprus,10.7
Annual,Some,16 years or over,Females,Percentage,Czechia,6.0
Annual,Some,16 years or over,Females,Percentage,Germany,: u
Annual,Some,16 years or over,Females,Percentage,Denmark,17.4
Annual,Some,16 years or over,Females,Percentage,Euro area – 20 countries (from 2023),10.5 e
Annual,Some,16 years or over,Females,Percentage,Estonia,12.8
Annual,Some,16 years or over,Females,Percentage,Greece,19.3
Annual,Some,16 years or over,Females,Percentage,Spain,9.8
Annual,Some,16 years or over,Females,Percentage,European Union - 27 countries (from 2020),10.0 e
Annual,Some,16 years or over,Females,Percentage,Finland,21.0
Annual,Some,16 years or over,Females,Percentage,France,12.5
Annual,Some,16 years or over,Females,Percentage,Croatia,15.8
Annual,Some,16 years or over,Females,Percentage,Hungary,9.0
Annual,Some,16 years or over,Females,Percentage,Ireland,27.6
Annual,Some,16 years or over,Females,Percentage,Italy,8.5
Annual,Some,16 years or over,Females,Percentage,Lithuania,12.1
Annual,Some,16 years or over,Females,Percentage,Luxembourg,6.4
Annual,Some,16 years or over,Females,Percentage,Latvia,13.3
Annual,Some,16 years or over,Females,Percentage,Montenegro,16.0
Annual,Some,16 years or over,Females,Percentage,Malta,11.2
Annual,Some,16 years or over,Females,Percentage,Netherlands,12.3
Annual,Some,16 years or over,Females,Percentage,Norway,10.0
Annual,Some,16 years or over,Females,Percentage,Poland,3.0
Annual,Some,16 years or over,Females,Percentage,Portugal,6.5
Annual,Some,16 years or over,Females,Percentage,Romania,9.3
Annual,Some,16 years or over,Females,Percentage,Serbia,24.7
Annual,Some,16 years or over,Females,Percentage,Sweden,19.5
Annual,Some,16 years or over,Females,Percentage,Slovenia,14.6
Annual,Some,16 years or over,Females,Percentage,Slovakia,6.9
Annual,Some,16 years or over,Females,Percentage,Türkiye,86.6
Annual,Some,16 years or over,Males,Percentage,Austria,5.9
Annual,Some,16 years or over,Males,Percentage,Belgium,10.1
Annual,Some,16 years or over,Males,Percentage,Bulgaria,12.4
Annual,Some,16 years or over,Males,Percentage,Switzerland,9.6
Annual,Some,16 years or over,Males,Percentage,Cyprus,10.3
Annual,Some,16 years or over,Males,Percentage,Czechia,4.5
Annual,Some,16 years or over,Males,Percentage,Germany,: u
Annual,Some,16 years or over,Males,Percentage,Denmark,15.4
Annual,Some,16 years or over,Males,Percentage,Euro area – 20 countries (from 2023),10.5 e
Annual,Some,16 years or over,Males,Percentage,Estonia,11.5
Annual,Some,16 years or over,Males,Percentage,Greece,16.3
Annual,Some,16 years or over,Males,Percentage,Spain,9.8
Annual,Some,16 years or over,Males,Percentage,European Union - 27 countries (from 2020),10.0 e
Annual,Some,16 years or over,Males,Percentage,Finland,19.3
Annual,Some,16 years or over,Males,Percentage,France,13.4
Annual,Some,16 years or over,Males,Percentage,Croatia,14.4
Annual,Some,16 years or over,Males,Percentage,Hungary,8.5
Annual,Some,16 years or over,Males,Percentage,Ireland,17.0
Annual,Some,16 years or over,Males,Percentage,Italy,8.3
Annual,Some,16 years or over,Males,Percentage,Lithuania,12.5
Annual,Some,16 years or over,Males,Percentage,Luxembourg,6.2
Annual,Some,16 years or over,Males,Percentage,Latvia,13.5
Annual,Some,16 years or over,Males,Percentage,Montenegro,11.8
Annual,Some,16 years or over,Males,Percentage,Malta,13.4
Annual,Some,16 years or over,Males,Percentage,Netherlands,12.0
Annual,Some,16 years or over,Males,Percentage,Norway,7.5
Annual,Some,16 years or over,Males,Percentage,Poland,2.9
Annual,Some,16 years or over,Males,Percentage,Portugal,6.8
Annual,Some,16 years or over,Males,Percentage,Romania,10.8
Annual,Some,16 years or over,Males,Percentage,Serbia,24.5
Annual,Some,16 years or over,Males,Percentage,Sweden,22.0
Annual,Some,16 years or over,Males,Percentage,Slovenia,10.3
Annual,Some,16 years or over,Males,Percentage,Slovakia,5.5
Annual,Some,16 years or over,Males,Percentage,Türkiye,87.6
Annual,Some,16 years or over,Total,Percentage,Austria,6.0
Annual,Some,16 years or over,Total,Percentage,Belgium,9.7
Annual,Some,16 years or over,Total,Percentage,Bulgaria,13.4
Annual,Some,16 years or over,Total,Percentage,Switzerland,8.0
Annual,Some,16 years or over,Total,Percentage,Cyprus,10.5
Annual,Some,16 years or over,Total,Percentage,Czechia,5.4
Annual,Some,16 years or over,Total,Percentage,Germany,: u
Annual,Some,16 years or over,Total,Percentage,Denmark,16.5
Annual,Some,16 years or over,Total,Percentage,Euro area – 20 countries (from 2023),10.5 e
Annual,Some,16 years or over,Total,Percentage,Estonia,12.3
Annual,Some,16 years or over,Total,Percentage,Greece,17.9
Annual,Some,16 years or over,Total,Percentage,Spain,9.8
Annual,Some,16 years or over,Total,Percentage,European Union - 27 countries (from 2020),10.0 e
Annual,Some,16 years or over,Total,Percentage,Finland,20.3
Annual,Some,16 years or over,Total,Percentage,France,12.9
Annual,Some,16 years or over,Total,Percentage,Croatia,15.3
Annual,Some,16 years or over,Total,Percentage,Hungary,8.8
Annual,Some,16 years or over,Total,Percentage,Ireland,23.0
Annual,Some,16 years or over,Total,Percentage,Italy,8.4
Annual,Some,16 years or over,Total,Percentage,Lithuania,12.3
Annual,Some,16 years or over,Total,Percentage,Luxembourg,6.3
Annual,Some,16 years or over,Total,Percentage,Latvia,13.3
Annual,Some,16 years or over,Total,Percentage,Montenegro,14.4
Annual,Some,16 years or over,Total,Percentage,Malta,12.2
Annual,Some,16 years or over,Total,Percentage,Netherlands,12.2
Annual,Some,16 years or over,Total,Percentage,Norway,9.0
Annual,Some,16 years or over,Total,Percentage,Poland,3.0
Annual,Some,16 years or over,Total,Percentage,Portugal,6.6
Annual,Some,16 years or over,Total,Percentage,Romania,9.9
Annual,Some,16 years or over,Total,Percentage,Serbia,24.6
Annual,Some,16 years or over,Total,Percentage,Sweden,20.6
Annual,Some,16 years or over,Total,Percentage,Slovenia,12.4
Annual,Some,16 years or over,Total,Percentage,Slovakia,6.3
Annual,Some,16 years or over,Total,Percentage,Türkiye,87.0
Annual,Total,16 years or over,Females,Percentage,Austria,5.8
Annual,Total,16 years or over,Females,Percentage,Belgium,7.2
Annual,Total,16 years or over,Females,Percentage,Bulgaria,7.3
Annual,Total,16 years or over,Females,Percentage,Switzerland,5.2
Annual,Total,16 years or over,Females,Percentage,Cyprus,6.5
Annual,Total,16 years or over,Females,Percentage,Czechia,4.5
Annual,Total,16 years or over,Females,Percentage,Germany,: u
Annual,Total,16 years or over,Females,Percentage,Denmark,12.2
Annual,Total,16 years or over,Females,Percentage,Euro area – 20 countries (from 2023),8.3 e
Annual,Total,16 years or over,Females,Percentage,Estonia,9.7
Annual,Total,16 years or over,Females,Percentage,Greece,14.1
Annual,Total,16 years or over,Females,Percentage,Spain,6.9
Annual,Total,16 years or over,Females,Percentage,European Union - 27 countries (from 2020),7.5 e
Annual,Total,16 years or over,Females,Percentage,Finland,15.9
Annual,Total,16 years or over,Females,Percentage,France,10.3
Annual,Total,16 years or over,Females,Percentage,Croatia,11.3
Annual,Total,16 years or over,Females,Percentage,Hungary,6.7
Annual,Total,16 years or over,Females,Percentage,Ireland,19.4
Annual,Total,16 years or over,Females,Percentage,Italy,6.4
Annual,Total,16 years or over,Females,Percentage,Lithuania,8.2
Annual,Total,16 years or over,Females,Percentage,Luxembourg,6.6
Annual,Total,16 years or over,Females,Percentage,Latvia,10.7
Annual,Total,16 years or over,Females,Percentage,Montenegro,12.1
Annual,Total,16 years or over,Females,Percentage,Malta,8.5
Annual,Total,16 years or over,Females,Percentage,Netherlands,9.1
Annual,Total,16 years or over,Females,Percentage,Norway,7.4
Annual,Total,16 years or over,Females,Percentage,Poland,1.8
Annual,Total,16 years or over,Females,Percentage,Portugal,4.8
Annual,Total,16 years or over,Females,Percentage,Romania,6.6
Annual,Total,16 years or over,Females,Percentage,Serbia,16.7
Annual,Total,16 years or over,Females,Percentage,Sweden,11.6
Annual,Total,16 years or over,Females,Percentage,Slovenia,6.9
Annual,Total,16 years or over,Females,Percentage,Slovakia,5.8
Annual,Total,16 years or over,Females,Percentage,Türkiye,89.9
Annual,Total,16 years or over,Males,Percentage,Austria,5.6
Annual,Total,16 years or over,Males,Percentage,Belgium,6.1
Annual,Total,16 years or over,Males,Percentage,Bulgaria,5.9
Annual,Total,16 years or over,Males,Percentage,Switzerland,6.5
Annual,Total,16 years or over,Males,Percentage,Cyprus,6.7
Annual,Total,16 years or over,Males,Percentage,Czechia,3.7
Annual,Total,16 years or over,Males,Percentage,Germany,: u
Annual,Total,16 years or over,Males,Percentage,Denmark,11.8
Annual,Total,16 years or over,Males,Percentage,Euro area – 20 countries (from 2023),7.7 e
Annual,Total,16 years or over,Males,Percentage,Estonia,9.2
Annual,Total,16 years or over,Males,Percentage,Greece,11.6
Annual,Total,16 years or over,Males,Percentage,Spain,7.2
Annual,Total,16 years or over,Males,Percentage,European Union - 27 countries (from 2020),7.0 e
Annual,Total,16 years or over,Males,Percentage,Finland,14.2
Annual,Total,16 years or over,Males,Percentage,France,9.7
Annual,Total,16 years or over,Males,Percentage,Croatia,9.9
Annual,Total,16 years or over,Males,Percentage,Hungary,5.3
Annual,Total,16 years or over,Males,Percentage,Ireland,14.8
Annual,Total,16 years or over,Males,Percentage,Italy,5.4
Annual,Total,16 years or over,Males,Percentage,Lithuania,5.0
Annual,Total,16 years or over,Males,Percentage,Luxembourg,5.6
Annual,Total,16 years or over,Males,Percentage,Latvia,9.4
Annual,Total,16 years or over,Males,Percentage,Montenegro,11.7
Annual,Total,16 years or over,Males,Percentage,Malta,8.1
Annual,Total,16 years or over,Males,Percentage,Netherlands,9.3
Annual,Total,16 years or over,Males,Percentage,Norway,5.6
Annual,Total,16 years or over,Males,Percentage,Poland,1.5
Annual,Total,16 years or over,Males,Percentage,Portugal,3.5
Annual,Total,16 years or over,Males,Percentage,Romania,6.7
Annual,Total,16 years or over,Males,Percentage,Serbia,16.1
Annual,Total,16 years or over,Males,Percentage,Sweden,13.1
Annual,Total,16 years or over,Males,Percentage,Slovenia,5.7
Annual,Total,16 years or over,Males,Percentage,Slovakia,4.7
Annual,Total,16 years or over,Males,Percentage,Türkiye,90.5
Annual,Total,16 years or over,Total,Percentage,Austria,5.7
Annual,Total,16 years or over,Total,Percentage,Belgium,6.7
Annual,Total,16 years or over,Total,Percentage,Bulgaria,6.7
Annual,Total,16 years or over,Total,Percentage,Switzerland,5.9
Annual,Total,16 years or over,Total,Percentage,Cyprus,6.6
Annual,Total,16 years or over,Total,Percentage,Czechia,4.2
Annual,Total,16 years or over,Total,Percentage,Germany,: u
Annual,Total,16 years or over,Total,Percentage,Denmark,12.0
Annual,Total,16 years or over,Total,Percentage,Euro area – 20 countries (from 2023),8.0 e
Annual,Total,16 years or over,Total,Percentage,Estonia,9.5
Annual,Total,16 years or over,Total,Percentage,Greece,12.9
Annual,Total,16 years or over,Total,Percentage,Spain,7.0
Annual,Total,16 years or over,Total,Percentage,European Union - 27 countries (from 2020),7.3 e
Annual,Total,16 years or over,Total,Percentage,Finland,15.1
Annual,Total,16 years or over,Total,Percentage,France,10.0
Annual,Total,16 years or over,Total,Percentage,Croatia,10.7
Annual,Total,16 years or over,Total,Percentage,Hungary,6.1
Annual,Total,16 years or over,Total,Percentage,Ireland,17.3
Annual,Total,16 years or over,Total,Percentage,Italy,5.9
Annual,Total,16 years or over,Total,Percentage,Lithuania,6.9
Annual,Total,16 years or over,Total,Percentage,Luxembourg,6.1
Annual,Total,16 years or over,Total,Percentage,Latvia,10.2
Annual,Total,16 years or over,Total,Percentage,Montenegro,12.0
Annual,Total,16 years or over,Total,Percentage,Malta,8.3
Annual,Total,16 years or over,Total,Percentage,Netherlands,9.2
Annual,Total,16 years or over,Total,Percentage,Norway,6.5
Annual,Total,16 years or over,Total,Percentage,Poland,1.7
Annual,Total,16 years or over,Total,Percentage,Portugal,4.2
Annual,Total,16 years or over,Total,Percentage,Romania,6.6
Annual,Total,16 years or over,Total,Percentage,Serbia,16.4
Annual,Total,16 years or over,Total,Percentage,Sweden,12.3
Annual,Total,16 years or over,Total,Percentage,Slovenia,6.3
Annual,Total,16 years or over,Total,Percentage,Slovakia,5.3
Annual,Total,16 years or over,Total,Percentage,Türkiye,90.2
