Time frequency,Seasonal adjustment,Direction of flow,Sector,National accounts indicator (ESA 2010),Unit of measure,Geopolitical entity (reporting)\Time,Octobre-Décembre 2021,Janvier-Mars 2022,Avril-Juin 2022,Jullet-Septembre 2022,Octobre-Décembre 2022,Janvier-Mars 2023,Avril-Juin 2023,Jullet-Septembre 2023,Octobre-Décembre 2023,Janvier-Mars 2024,Avril-Juin 2024,Jullet-Septembre 2024
Quarterly,Seasonally and calendar adjusted data,Received,Total economy,"Disposable income, gross",Million euro (SCA),Hungary,39138.0,41188.0,41313.0,39991.0,40582.0,44766.0,48022.0,47526.0,48411.0,48948.0,50270.0,:
Quarterly,Seasonally and calendar adjusted data,Received,Total economy,"Disposable income, gross",Million euro (SCA),Ireland,83932.0,85584.0,89773.0,87899.0,88243.0,89824.0,97695.0,96687.0,98682.0,98169.0,99883.0,:
Quarterly,Seasonally and calendar adjusted data,Received,Total economy,"Disposable income, gross",Million euro (SCA),Lithuania,14522.0,15445.0,16085.0,16577.0,16645.0,17797.0,17743.0,17954.0,18257.0,18691.0,19095.0,:
Quarterly,Seasonally and calendar adjusted data,Received,Total economy,"Disposable income, gross",Million euro (SCA),Luxembourg,14181.0,12231.0,12127.0,13670.0,13426.0,12798.0,12537.0,12591.0,13272.0,14033.0,13697.0,:
Quarterly,Seasonally and calendar adjusted data,Received,Total economy,"Disposable income, gross",Million euro (SCA),Latvia,8523.0,8797.0,8915.0,9053.0,9097.0,9889.0,9853.0,9336.0,9933.0,9893.0,10067.0,:
Quarterly,Seasonally and calendar adjusted data,Received,Total economy,"Disposable income, gross",Million euro (SCA),Malta,3898.0,3802.0,3769.0,3991.0,4009.0,4198.0,4488.0,4572.0,4609.0,4687.0,4811.0,:
Quarterly,Seasonally and calendar adjusted data,Received,Total economy,"Disposable income, gross",Million euro (SCA),Netherlands,222898.0,237225.0,238529.0,244371.0,251687.0,256449.0,264233.0,263509.0,267163.0,269528.0,274834.0,:
Quarterly,Seasonally and calendar adjusted data,Received,Total economy,"Disposable income, gross",Million euro (SCA),Norway,117168.0,138337.0,138663.0,150989.0,131980.0,122595.0,109436.0,:,:,:,:,:
Quarterly,Seasonally and calendar adjusted data,Received,Total economy,"Disposable income, gross",Million euro (SCA),Poland,141793.0,149150.0,152019.0,159980.0,163411.0,170028.0,175857.0,183305.0,188091.0,194161.0,:,:
Quarterly,Seasonally and calendar adjusted data,Received,Total economy,"Disposable income, gross",Million euro (SCA),Portugal,57197.0,59394.0,60225.0,61976.0,62683.0,66214 p,65779 p,66476 p,67002 p,70346 p,70441 p,71029 p
Quarterly,Seasonally and calendar adjusted data,Received,Total economy,"Disposable income, gross",Million euro (SCA),Sweden,143807.0,137820.0,142029.0,142474.0,140924.0,140793.0,137929.0,136558.0,140503.0,144872.0,143942.0,144299.0
Quarterly,Seasonally and calendar adjusted data,Received,Total economy,"Disposable income, gross",Million euro (SCA),Slovenia,13168.0,13361.0,13689.0,13970.0,14212.0,15444.0,15837.0,15364.0,16132.0,16418.0,16578.0,:
Quarterly,Seasonally and calendar adjusted data,Received,Total economy,"Disposable income, gross",Million euro (SCA),Slovakia,25142 e,25595 e,26266 e,26865 e,27704 e,28889 e,29887 e,30673 e,31390 e,31866 e,32408 e,:
