Time frequency,Unit of measure,Sex,Geopolitical entity (reporting)\Time,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Percentage,Total,Czechia,36.8,37.9,37.0,37.7,36.0,34.7,33.5,35.1,36.5,39.6,42.9,47.3,49.6,47.9,46.9,46.8
Annual,Percentage,Total,Germany,21.1,33.3,38.2,39.4,40.6,36.1,32.9,29.1,30.3,31.3,31.0,31.8,32.1,:,:,34.8 b
Annual,Percentage,Total,Denmark,:,:,:,:,:,:,32.2 u,39.2 u,44.8,41.8 u,39.4,37.8,36.9 u,34.6 u,32.2 u,34.0 u
Annual,Percentage,Total,Euro area - 19 countries  (2015-2022),23.4 e,24.4 e,24.0 e,23.2 e,23.0 e,22.0 e,21.2 e,20.6 e,21.1 e,21.4 e,21.8 e,22.6 e,25.4,:,:,:
Annual,Percentage,Total,Euro area – 20 countries (from 2023),:,:,:,:,:,:,:,:,:,:,:,:,:,29.1 e,32.0 e,32.9 e
Annual,Percentage,Total,Estonia,63.7,57.4 u,: u,40.2 u,47.0 u,63.0 u,62.5 bu,55.7 u,45.0 u,37.5 u,38.2 u,: u,: m,: m,49.7 u,52.9 u
Annual,Percentage,Total,Greece,19.9,20.5,19.0,21.0,20.1,18.3 u,17.9 u,17.7,21.5,20.0,21.9,21.7,22.7,22.5,24.4,26.7
Annual,Percentage,Total,Spain,25.2,21.2,17.9,14.8 b,13.7,13.2,13.6,12.2,10.7,11.5,13.9,15.1,16.3,25.7,28.8,31.0
Annual,Percentage,Total,European Union - 27 countries (from 2020),:,:,25.9 e,24.6 e,23.9 e,22.9 e,22.2 e,21.8 e,22.8 e,23.6 e,24.5 e,25.6 e,27.1,30.3 e,33.0 e,36.3 e
Annual,Percentage,Total,Finland,15.2,18.6,32.3,38.3,36.1,31.3,31.1,28.8,25.9,26.5,27.5,29.2,29.6,30.4,49.2,51.5
Annual,Percentage,Total,France,14.0,12.3,11.8,11.7,11.1,11.2,10.0,10.0,10.7,11.7,12.1,12.0,19.3 b,21.2,29.4,27.7 b
Annual,Percentage,Total,Croatia,:,:,:,:,:,35.5,29.8,29.4,32.2,34.1,34.9,39.2,40.0,39.0,38.8,43.8
Annual,Percentage,Total,Hungary,50.2,49.7,46.7,42.6,37.8,37.0,38.0,38.5,37.2,32.6,31.2,33.2,35.4,37.2,43.5,52.7
Annual,Percentage,Total,Ireland,:,:,:,33.8 u,36.2 u,39.6,39.0,41.0,41.4,44.7,45.4,46.7,43.7 b,40.8,43.5,48.0 u
Annual,Percentage,Total,Iceland,33.9 u,:,:,:,54.1 u,52.7 u,46.8 u,45.9 u,46.3 u,42.1,46.3,49.9 u,:,:,:,:
Annual,Percentage,Total,Italy,27.8,27.8,26.1,23.7,21.4,20.1,19.1,19.8,20.1,16.3,14.8,14.4,19.8,26.7,26.0,25.6
Annual,Percentage,Total,Lithuania,48.1,58.0,58.0,53.9 bu,38.6 u,41.4 u,38.2 u,46.1 u,39.5 u,34.7 u,: u,25.3,28.1,52.5 u,52.2 u,50.9 u
Annual,Percentage,Total,Luxembourg,42.5,41.3,37.0,33.2,29.7,32.4,34.5,34.3,34.2,33.1,34.2,35.2,38.3 b,40.9 b,50.4 b,:
Annual,Percentage,Total,Latvia,:,46.9,41.9,38.0,37.8 b,44.3,50.2,57.1,57.9 u,: u,: u,: u,: u,: m,78.6 u,72.2 u
Annual,Percentage,Total,Montenegro,:,:,:,:,:,:,:,:,:,:,27.2,26.9,24.7,26.2,:,:
Annual,Percentage,Total,North Macedonia,:,:,:,:,:,:,52.3,53.7,52.9,52.5,51.5,52.4,46.5,:,:,:
Annual,Percentage,Total,Malta,49.0 u,66.7,46.4 u,47.9,26.5 u,31.6 u,12.9 u,15.0 u,: u,: u,27.0,31.8,34.4,35.3,59.6,75.5
Annual,Percentage,Total,Netherlands,24.5,26.6,24.4,22.4,19.1,16.6,16.2,22.5,30.9,36.9,38.8,41.3,44.3,44.1,44.7,41.4
Annual,Percentage,Total,Norway,44.2,45.1,46.9,44.8,44.7,43.8,46.2,43.4,41.9,45.4,46.9,47.6,40.3,37.2 bu,40.6 u,48.8
Annual,Percentage,Total,Poland,28.6,28.6,26.9,23.6,20.7,18.8,18.4,18.8,22.0,25.7,30.0,34.8,28.3,31.5,32.8,47.2
Annual,Percentage,Total,Portugal,20.2,23.9,27.8,26.2,28.2,26.3,25.8,26.2,28.2,30.3,31.2,33.6,35.0,37.9,39.5,39.7
Annual,Percentage,Total,Romania,:,:,54.6,56.3 u,57.3,57.8 u,57.8 u,56.5 u,56.1 u,56.9 u,62.7 u,60.5,58.8 u,51.7 u,56.9,61.8
Annual,Percentage,Total,Serbia,:,:,:,:,:,:,:,:,32.1,33.7,35.8,38.8,43.3,45.5,50.8,:
Annual,Percentage,Total,Sweden,40.8,41.1,41.4,40.0,41.2 b,40.8,40.0,38.4,37.7,37.7,40.1,42.7,44.6,43.2,41.8,43.8
Annual,Percentage,Total,Slovenia,39.2,38.4,37.0,36.8,35.4,37.1,41.0,41.2,42.4,38.4,40.7,43.3,47.9,48.8,48.3,47.9
Annual,Percentage,Total,Slovakia,57.6,57.2,47.3,41.7,40.9,41.3,39.4,35.7,36.0,:,:,30.8,41.1,34.6,35.2,41.7
Annual,Percentage,Total,Türkiye,:,:,:,:,:,:,:,:,9.0,7.9,8.7,8.5,8.2,8.7,9.4,9.9
Annual,Percentage,Total,United Kingdom,:,:,:,:,58.5,55.4,57.7,58.6,57.1,54.9,55.1,:,:,:,:,:
