Time frequency,Unit of measure,Customer,Level of efficiency,Type of network,Geopolitical entity (reporting)\Time,2019.0,2020.0,2021.0,2022.0
Annual,Terajoule,Residential and services,High,District heating,European Union - 27 countries (from 2020),:,375905.79,:,391747.701
Annual,Terajoule,Residential and services,High,District heating,Finland,61510.0,56884.0,67007.0,63139.0
Annual,Terajoule,Residential and services,High,District heating,France,74464.1,72160.239,85092.741,76546.82
Annual,Terajoule,Residential and services,High,District heating,Italy,26126.043,25975.647,28286.496,26953.26
Annual,Terajoule,Residential and services,High,District heating,Malta,:,:,:,0.0
Annual,Terajoule,Residential and services,High,District heating,Romania,20746.322,20053.017,20569.223,15574.522
Annual,Terajoule,Residential and services,High,District heating,Slovenia,2539.807,2800.684,2979.97,2597.348
Annual,Terajoule,Residential and services,High,District heating - hot water,Austria,61212.866,60959.493,67648.875,59729.859
Annual,Terajoule,Residential and services,High,District heating - hot water,Belgium,:,727.137,:,:
Annual,Terajoule,Residential and services,High,District heating - hot water,Bulgaria,12355.0,12720.0,13517.0,12861.0
Annual,Terajoule,Residential and services,High,District heating - hot water,Denmark,118359.017,113379.623,127926.246,118450.458
Annual,Terajoule,Residential and services,High,District heating - hot water,Euro area – 20 countries (from 2023),:,181784.081,:,181787.191
Annual,Terajoule,Residential and services,High,District heating - hot water,Estonia,:,8410.0,15577.0,:
Annual,Terajoule,Residential and services,High,District heating - hot water,Greece,1779.2,1816.951,1661.843,1251.434
Annual,Terajoule,Residential and services,High,District heating - hot water,European Union - 27 countries (from 2020),:,327936.721,:,328673.171
Annual,Terajoule,Residential and services,High,District heating - hot water,Finland,61510.0,56884.0,67007.0,63139.0
Annual,Terajoule,Residential and services,High,District heating - hot water,France,53808.685,52848.5,62841.387,57666.898
Annual,Terajoule,Residential and services,High,District heating - hot water,Malta,:,:,:,0.0
Annual,Terajoule,Residential and services,High,District heating - hot water,Portugal,138.0,138.0,161.0,:
Annual,Terajoule,Residential and services,High,District heating - hot water,Romania,20746.322,20053.017,20569.223,15574.522
Annual,Terajoule,Residential and services,High,District heating - steam,Austria,0.0,:,:,:
Annual,Terajoule,Residential and services,High,District heating - steam,Belgium,:,0.0,:,:
Annual,Terajoule,Residential and services,High,District heating - steam,Bulgaria,23.0,19.0,20.0,18.0
Annual,Terajoule,Residential and services,High,District heating - steam,Euro area – 20 countries (from 2023),:,19311.739,:,18879.922
Annual,Terajoule,Residential and services,High,District heating - steam,European Union - 27 countries (from 2020),:,19330.739,:,18897.922
Annual,Terajoule,Residential and services,High,District heating - steam,France,20655.415,19311.739,22251.355,18879.922
Annual,Terajoule,Residential and services,High,District heating - steam,Malta,:,:,:,0.0
Annual,Terajoule,Residential and services,High,District heating - steam,Romania,0.0,0.0,0.0,0.0
Annual,Terajoule,Residential and services,Low,District cooling,Belgium,:,0.0,:,:
Annual,Terajoule,Residential and services,Low,District cooling,Euro area – 20 countries (from 2023),:,2940.93,:,4018.559
Annual,Terajoule,Residential and services,Low,District cooling,Estonia,2.0,3.11,3.2,2.9
Annual,Terajoule,Residential and services,Low,District cooling,European Union - 27 countries (from 2020),:,2940.93,:,4018.559
Annual,Terajoule,Residential and services,Low,District cooling,France,3334.088,2714.083,2485.788,3456.277
Annual,Terajoule,Residential and services,Low,District cooling,Italy,257.197,223.737,245.354,325.382
Annual,Terajoule,Residential and services,Low,District cooling,Luxembourg,:,0.0,0.0,0.0
Annual,Terajoule,Residential and services,Low,District cooling,Malta,:,:,:,0.0
Annual,Terajoule,Residential and services,Low,District heating,Bulgaria,4435.0,4865.0,4287.0,4287.0
Annual,Terajoule,Residential and services,Low,District heating,Denmark,5405.807,7556.088,6019.027,3513.3
Annual,Terajoule,Residential and services,Low,District heating,Euro area – 20 countries (from 2023),:,37644.977,:,35944.202
Annual,Terajoule,Residential and services,Low,District heating,Greece,:,:,272.0,891.8
Annual,Terajoule,Residential and services,Low,District heating,European Union - 27 countries (from 2020),:,57123.193,:,49972.688
Annual,Terajoule,Residential and services,Low,District heating,Finland,1306.0,997.0,766.0,707.0
Annual,Terajoule,Residential and services,Low,District heating,France,7559.466,8533.51,7373.043,6758.155
Annual,Terajoule,Residential and services,Low,District heating,Italy,7840.839,8118.023,9086.874,6906.082
Annual,Terajoule,Residential and services,Low,District heating,Latvia,20302.0,19656.0,23415.0,20347.0
