Time frequency,Unit of measure,Sex,Age class,Geopolitical entity (reporting)\Time,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0
Annual,Rate,Males,From 25 to 74 years,Belarus,:,:,:,:,:,:,:,:,:,:,:,6.9,6.8,5.3,4.4,3.9,:,:
Annual,Rate,Males,From 25 to 74 years,Georgia,14.5 d,15.3 d,16.0 d,15.9 d,17.3 d,16.8 d,16.4 d,15.8 d,16.1 d,13.9 d,13.6 d,14.6 d,13.7 d,12.5 d,11.1 d,18.0 bd,20.6 d,17.3 d
Annual,Rate,Males,From 25 to 74 years,Moldova,7.3,7.6,5.1,3.8,6.7,7.5,6.9,6.1,5.3,4.0 bd,5.3,4.8,4.0,3.1,5.4 bd,3.9,3.5,3.2
Annual,Rate,Males,From 25 to 74 years,Ukraine,6.2 d,5.9 d,5.6 d,5.4 d,8.7 d,8.0 d,7.3 d,7.2 d,6.8 d,9.3 d,8.7 d,9.5 d,10.2 d,9.5 d,7.9 d,9.0 d,8.9 d,:
Annual,Rate,Total,From 15 to 24 years,Armenia,54.6 d,55.9 d,57.6 b,36.5 bd,40.9,38.9,39.2,35.4,36.1,37.2,32.5,36.6,38.4,33.5 bd,32.6,32.3,30.5,27.1
Annual,Rate,Total,From 15 to 24 years,Azerbaijan,15.4,14.7,13.6,14.0,13.9,14.9,14.7,14.2,13.7,13.5,13.4,13.1,12.9,12.7,11.5,15.2,14.6,13.6
Annual,Rate,Total,From 15 to 24 years,Belarus,:,:,:,:,:,:,:,:,:,:,:,10.7,9.3,10.7,10.2,12.0,:,:
Annual,Rate,Total,From 15 to 24 years,Georgia,31.2,33.4,38.8,37.5,40.7,37.9,39.8,36.1,38.9,34.8,33.8,33.2,28.9,29.9,30.4,39.4 b,42.9,39.4
Annual,Rate,Total,From 15 to 24 years,Moldova,18.7 e,17.1 e,14.4,11.2,15.4,17.8,14.9,13.1,12.2,9.3 bd,12.3,11.0,11.9,7.1,10.4 bd,10.9,9.2,10.7
Annual,Rate,Total,From 15 to 24 years,Ukraine,14.9,14.1,12.5,13.3,17.8,17.4,18.6,17.3,17.4,23.1 d,22.4 d,23.0 d,18.9 d,17.9 d,15.4 d,19.3 d,19.1 d,:
Annual,Rate,Total,From 15 to 74 years,Armenia,31.8 d,28.1 d,30.0 bd,17.2 bd,19.6 d,19.8 d,16.6 d,17.9 d,16.9 d,17.6,18.5,18.0,17.8,19.0 bd,18.3,18.2,15.5,13.5
Annual,Rate,Total,From 15 to 74 years,Azerbaijan,7.3,6.6,6.3,5.9,5.7,5.6,5.4,5.2,5.0,4.9,5.0,5.0,5.0,4.9,5.0,7.2,6.0,5.6
Annual,Rate,Total,From 15 to 74 years,Belarus,1.7 d,1.4 d,1.1 d,0.9 d,0.9 d,0.8 d,0.7 d,0.6 d,0.5 d,0.5 d,0.9 d,5.8,5.6,4.8,4.2,4.0,:,:
Annual,Rate,Total,From 15 to 74 years,Georgia,15.1 d,15.4 d,17.4 d,17.9 d,18.3 d,17.4 d,17.3 d,17.2 d,16.9 d,14.6 d,14.1 d,14.0 d,13.9 d,12.7 d,11.6 d,18.5 bd,20.6 d,17.3 d
Annual,Rate,Total,From 15 to 74 years,Moldova,7.3 e,7.4 e,5.1,4.0,6.4,7.4,6.7,5.6,5.1,3.8 bd,4.7,4.0,3.9,2.9,5.1 bd,3.8,3.2,3.1
Annual,Rate,Total,From 15 to 74 years,Ukraine,7.2 d,6.8 d,6.4 d,6.4 d,8.8 d,8.1 d,7.9 d,7.5 d,7.2 d,9.3 d,9.1 d,9.3 d,9.5 d,8.8 d,8.2 d,9.5 d,9.8 d,:
Annual,Rate,Total,From 25 to 74 years,Armenia,26.8 d,22.3 d,23.1 bd,13.3 bd,15.4 d,15.9 d,15.4 d,14.8 d,13.6 d,14.9,16.6,15.8,15.6,17.3 bd,16.7,16.9,14.2,12.3
Annual,Rate,Total,From 25 to 74 years,Azerbaijan,5.3,4.8,4.9,4.4,4.4,4.2,4.1,3.9,3.8,3.7,3.8,3.9,3.9,3.9,4.1,6.2,4.9,4.6
Annual,Rate,Total,From 25 to 74 years,Belarus,:,:,:,:,:,:,:,:,:,:,:,5.3,5.2,4.2,3.6,3.3,:,:
Annual,Rate,Total,From 25 to 74 years,Georgia,13.5 d,13.5 d,15.1 d,15.6 d,15.8 d,15.0 d,14.6 d,15.0 d,14.4 d,12.5 d,12.2 d,12.3 d,12.4 d,11.0 d,9.9 d,16.5 bd,18.6 d,15.4 d
Annual,Rate,Total,From 25 to 74 years,Moldova,5.9 e,6.1 e,4.0,3.1,5.2,6.1,5.6,4.7,4.4,3.2 bd,4.0,3.5,3.3,2.6,4.7 bd,3.4,2.9,2.7
Annual,Rate,Total,From 25 to 74 years,Ukraine,6.0 d,5.6 d,5.4 d,5.2 d,7.5 d,6.8 d,6.4 d,6.3 d,6.0 d,7.8 d,7.8 d,8.1 d,8.7 d,8.1 d,7.6 d,8.8 d,9.2 d,:
