Time frequency,Unit of measure,Quantile,Age class,Sex,Geopolitical entity (reporting)\Time,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Percentage,Total,From 20 to 24 years,Total,Switzerland,25.8,24.4,23.9,21.5,21.2,20.4,20.2,23.3,25.0,19.7
Annual,Percentage,Total,From 20 to 24 years,Total,Cyprus,8.7,10.1,8.5,7.9,11.4,9.6,10.5,9.0,12.5,9.5 u
Annual,Percentage,Total,From 20 to 24 years,Total,Czechia,9.8 u,7.8 u,8.7 u,9.4 u,8.9 u,9.2 u,10.9 u,8.3,13.0,11.3
Annual,Percentage,Total,From 20 to 24 years,Total,Germany,13.2,21.9 b,21.8,23.0,22.8,19.9,: u,: u,19.6 u,14.2 e
Annual,Percentage,Total,From 20 to 24 years,Total,Denmark,16.6,18.1,18.2,18.0 u,21.7 u,22.2 u,22.4,21.9,18.5,26.4
Annual,Percentage,Total,From 20 to 24 years,Total,Estonia,18.4,21.3,17.2,16.9,25.0,21.5,21.0,24.2,25.2,26.3
Annual,Percentage,Total,From 20 to 24 years,Total,Greece,2.7,4.7,4.1,3.4,4.1,4.0,5.4,3.9 u,2.8 u,3.0 u
Annual,Percentage,Total,From 20 to 24 years,Total,Spain,11.3,12.2,10.4,9.4,11.7,7.7,15.0,15.1,17.0,15.1
Annual,Percentage,Total,From 20 to 24 years,Total,European Union - 27 countries (from 2020),:,:,:,17.5 e,17.4 e,16.1 e,: u,16.1 u,18.0 e,17.0
Annual,Percentage,Total,From 20 to 24 years,Total,Finland,24.9,22.9,24.9,24.7,30.0,28.4,32.8,36.6,40.4,42.9
Annual,Percentage,Total,From 20 to 24 years,Total,France,15.8,16.5,16.1,15.5,14.0,17.4,14.0,14.5,17.1 b,15.2
Annual,Percentage,Total,From 20 to 24 years,Total,Croatia,3.1 u,5.2,5.9,9.1,7.3,6.4,6.3,5.0,4.6 u,4.4 bu
Annual,Percentage,Total,From 20 to 24 years,Total,Hungary,6.9,7.6,7.8,7.7,8.8,8.4,11.2,8.9,8.8,7.7
