Time frequency,Unit of measure,Geopolitical entity (reporting)\Time,1988.0,1994.0,1999.0,2005.0,2010.0,2015.0,2020.0
Annual,Euro per adult equivalent,European Union - 27 countries (2007-2013),:,:,:,15194 e,15935 i,:,:
Annual,Euro per adult equivalent,European Union - 27 countries (from 2020),:,:,:,:,15854 e,16632.0,17437 i
Annual,Euro per adult equivalent,European Union - 28 countries (2013-2020),:,:,:,:,15861 i,:,:
Annual,Euro per adult equivalent,Finland,:,11906.0,14077.0,19611.0,21999.0,24911.0,26015.0
Annual,Euro per adult equivalent,France,10389.0,15084.0,16106.0,18620.0,19887.0,20389.0,21511 e
Annual,Euro per adult equivalent,Croatia,:,:,:,6472.0,7213.0,7125.0,8605.0
Annual,Euro per adult equivalent,Hungary,:,:,:,3920.0,5352.0,5866.0,9446.0
Annual,Euro per adult equivalent,Ireland,:,10060.0,15059.0,25413.0,22348.0,23887.0,27048.0
Annual,Euro per adult equivalent,Italy,9066.0,10931.0,14064.0,17176.0,18145.0,19189.0,18141.0
Annual,Euro per adult equivalent,Lithuania,:,:,:,3210.0,5503.0,6602.0,8953.0
Annual,Euro per adult equivalent,Luxembourg,15019.0,23334.0,26387.0,33313.0,34966.0,38424.0,43306.0
Annual,Euro per adult equivalent,Latvia,:,:,:,3002.0,4837.0,6108.0,8310.0
Annual,Euro per adult equivalent,Montenegro,:,:,:,:,3491.0,4751.0,4972.0
Annual,Euro per adult equivalent,North Macedonia,:,:,:,2241.0,2441.0,2425.0,:
Annual,Euro per adult equivalent,Malta,:,:,:,9945.0,11272.0,12920.0,13742 e
Annual,Euro per adult equivalent,Netherlands,10657.0,13762.0,16160.0,19660.0,21559.0,23490.0,25624.0
Annual,Euro per adult equivalent,Norway,:,:,:,26498.0,31707.0,35123.0,32414.0
Annual,Euro per adult equivalent,Poland,:,:,:,3530.0,5308.0,5798.0,5954.0
Annual,Euro per adult equivalent,Portugal,3425.0,5816.0,7251.0,9849.0,11843.0,12168.0,13342.0
Annual,Euro per adult equivalent,Romania,:,:,:,1541.0,3086.0,3447.0,4867.0
Annual,Euro per adult equivalent,Serbia,:,:,:,:,:,3876.0,4677.0
Annual,Euro per adult equivalent,Sweden,:,14426.0,19394.0,20320.0,18715.0,23439.0,:
Annual,Euro per adult equivalent,Slovenia,:,:,:,9909.0,13130.0,11941.0,13712.0
Annual,Euro per adult equivalent,Slovakia,:,:,:,3601.0,5835.0,6980.0,7827.0
Annual,Euro per adult equivalent,Türkiye,:,:,:,3613.0,5272.0,6947.0,4515.0
Annual,Euro per adult equivalent,United Kingdom,9857.0,11400.0,18919.0,21866.0,15911.0,21047.0,:
Annual,Euro per adult equivalent,Kosovo*,:,:,:,:,:,2755.0,:
Annual,Euro per household,Austria,:,26766.0,28145.0,30428.0,34863.0,35931.0,38959.0
Annual,Euro per household,Belgium,16882.0,23858.0,27188.0,31521.0,34406.0,36811.0,35209.0
Annual,Euro per household,Bulgaria,:,:,1593.0,3030.0,4659.0,5874.0,7251.0
Annual,Euro per household,Cyprus,:,:,22520.0,30856.0,39534.0,31206.0,31103 e
Annual,Euro per household,Czechia,:,:,4838.0,7146.0,9805.0,9430.0,13177.0
Annual,Euro per household,Germany,18809.0,23231.0,25228.0,29232.0,29330.0,30788.0,34332.0
Annual,Euro per household,Denmark,:,24899.0,29255.0,33241.0,39989.0,40858.0,42436.0
Annual,Euro per household,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",:,21398.0,23919.0,28209 e,29308 i,:,:
Annual,Euro per household,Euro area - 12 countries (2001-2006),:,:,:,28276 e,29886 i,:,:
Annual,Euro per household,Euro area - 13 countries (2007),:,:,:,28209 e,29836 i,:,:
Annual,Euro per household,Euro area - 17 countries (2011-2013),:,:,:,:,29444 i,:,:
Annual,Euro per household,Euro area - 18 countries (2014),:,:,:,:,29308 i,:,:
Annual,Euro per household,Estonia,:,:,3320.0,6936.0,7784.0,11941.0,15071.0
Annual,Euro per household,"European Economic Area (EU25 - 2004-2006 and IS, LI, NO)",:,:,:,25970 e,26502 i,:,:
Annual,Euro per household,"European Economic Area (EU27 - 2007-2013 and IS, LI, NO)",:,:,:,:,25335 i,:,:
Annual,Euro per household,European Free Trade Association,:,:,:,40328 u,48043 u,:,:
Annual,Euro per household,Greece,11314.0,13754.0,19147.0,27081.0,28283.0,20553.0,19882.0
Annual,Euro per household,Spain,12591.0,16404.0,17076.0,23682.0,29782.0,27420.0,26995.0
Annual,Euro per household,European Union - 15 countries (1995-2004),:,20965.0,25114.0,29403 e,29301 i,:,:
Annual,Euro per household,European Union - 25 countries (2004-2006),:,:,:,25827 e,26280 i,:,:
Annual,Euro per household,European Union - 27 countries (2007-2013),:,:,:,24454 e,25114 i,:,:
Annual,Euro per household,European Union - 27 countries (from 2020),:,:,:,:,24939 e,25663.0,26651 i
Annual,Euro per household,European Union - 28 countries (2013-2020),:,:,:,:,25010 i,:,:
Annual,Euro per household,Finland,:,18547.0,21571.0,29705.0,32818.0,36653.0,36527.0
Annual,Euro per household,France,17304.0,24507.0,25876.0,29632.0,30379.0,31046.0,32754 e
Annual,Euro per household,Croatia,:,:,:,11500.0,12965.0,13076.0,15508.0
Annual,Euro per household,Hungary,:,:,3697.0,6715.0,8492.0,9095.0,14547.0
Annual,Euro per household,Ireland,:,19899.0,28709.0,44909.0,39226.0,41312.0,46882.0
Annual,Euro per household,Italy,16370.0,19531.0,24081.0,28053.0,28702.0,29680.0,27642.0
Annual,Euro per household,Lithuania,:,:,3170.0,5109.0,9352.0,9889.0,12277.0
Annual,Euro per household,Luxembourg,26736.0,38777.0,44190.0,52754.0,55185.0,60044.0,65476.0
Annual,Euro per household,Latvia,:,:,2780.0,5981.0,8021.0,9921.0,13063.0
Annual,Euro per household,Montenegro,:,:,:,:,6760.0,8876.0,8957.0
Annual,Euro per household,North Macedonia,:,:,:,5459.0,5302.0,5288.0,:
Annual,Euro per household,Malta,:,:,18038.0,18829.0,20562.0,22348.0,23770 e
Annual,Euro per household,Netherlands,17448.0,21451.0,24607.0,30360.0,32623.0,35329.0,38370.0
Annual,Euro per household,Norway,:,:,:,40328.0,48043.0,51625.0,46860.0
Annual,Euro per household,Poland,:,:,4479.0,6428.0,9205.0,9998.0,10276.0
Annual,Euro per household,Portugal,6660.0,11333.0,13418.0,17607.0,20391.0,20363.0,21901.0
Annual,Euro per household,Romania,:,:,1373.0,2863.0,5514.0,5833.0,8120.0
Annual,Euro per household,Serbia,:,:,:,:,:,6974.0,8392.0
Annual,Euro per household,Sweden,:,21641.0,28883.0,29885.0,28299.0,34738.0,:
Annual,Euro per household,Slovenia,:,:,13684.0,17738.0,21934.0,20490.0,22933.0
Annual,Euro per household,Slovakia,:,:,3790.0,6550.0,10555.0,12795.0,14107.0
Annual,Euro per household,Türkiye,:,:,:,6960.0,10939.0,13202.0,8399.0
Annual,Euro per household,United Kingdom,16593.0,18433.0,29850.0,34859.0,25507.0,33742.0,:
Annual,Euro per household,Kosovo*,:,:,:,:,:,7503.0,:
Annual,National currency per adult equivalent,Austria,:,15191.0,17534.0,19511.0,22574.0,23590.0,25882.0
Annual,National currency per adult equivalent,Belgium,11260.0,14505.0,16620.0,19754.0,22162.0,23799.0,22930.0
Annual,National currency per adult equivalent,Bulgaria,:,:,:,3517.0,5511.0,7179.0,9340.0
Annual,National currency per adult equivalent,Cyprus,:,:,:,8894.0,21353.0,17717.0,17658 e
Annual,National currency per adult equivalent,Czechia,:,:,:,114400.0,156879.0,165351.0,222910.0
Annual,National currency per adult equivalent,Germany,12879.0,14766.0,16649.0,19438.0,19887.0,21057.0,23596.0
Annual,National currency per adult equivalent,Denmark,:,124989.0,144450.0,166759.0,200585.0,206361.0,215183.0
Annual,National currency per adult equivalent,Euro area - 12 countries (2001-2006),:,:,:,:,: u,:,:
Annual,National currency per adult equivalent,Euro area - 13 countries (2007),:,:,:,:,: u,:,:
Annual,National currency per adult equivalent,Euro area - 17 countries (2011-2013),:,:,:,:,: u,:,:
Annual,National currency per adult equivalent,Estonia,:,:,:,65345.0,5046.0,7708.0,10042.0
Annual,National currency per adult equivalent,"European Economic Area (EU25 - 2004-2006 and IS, LI, NO)",:,:,:,58214 e,:,:,:
Annual,National currency per adult equivalent,European Free Trade Association,:,:,:,212229 u,260751 u,:,:
Annual,National currency per adult equivalent,Greece,2920.0,6282.0,10079.0,15205.0,16075.0,12305.0,11922.0
Annual,National currency per adult equivalent,Spain,5048.0,7793.0,8541.0,12684.0,17221.0,16682.0,16576.0
Annual,National currency per adult equivalent,Finland,:,12397.0,14077.0,19611.0,21999.0,24911.0,26015.0
Annual,National currency per adult equivalent,France,11154.0,15137.0,16106.0,18620.0,19887.0,20389.0,21511 e
Annual,National currency per adult equivalent,Croatia,:,:,:,47901.0,52555.0,54245.0,64869.0
Annual,National currency per adult equivalent,Hungary,:,:,:,972245.0,1474504.0,1818474.0,3318037.0
Annual,National currency per adult equivalent,Ireland,:,10138.0,15059.0,25413.0,22348.0,23887.0,27048.0
Annual,National currency per adult equivalent,Italy,7198.0,10811.0,14064.0,17176.0,18145.0,19189.0,18141.0
Annual,National currency per adult equivalent,Lithuania,:,:,:,11082.0,19000.0,6602.0,8953.0
Annual,National currency per adult equivalent,Luxembourg,16188.0,22938.0,26387.0,33313.0,34966.0,38424.0,43306.0
Annual,National currency per adult equivalent,Latvia,:,:,:,2090.0,4837.0,6108.0,8310.0
Annual,National currency per adult equivalent,Montenegro,:,:,:,:,3491.0,4751.0,4972.0
Annual,National currency per adult equivalent,North Macedonia,:,:,:,137349.0,150169.0,149426.0,:
Annual,National currency per adult equivalent,Malta,:,:,:,4020.0,11272.0,12920.0,13742 e
Annual,National currency per adult equivalent,Netherlands,11292.0,13478.0,16160.0,19660.0,21559.0,23490.0,25624.0
Annual,National currency per adult equivalent,Norway,:,:,:,212229.0,260751.0,314340.0,347568.0
Annual,National currency per adult equivalent,Poland,:,:,:,14200.0,21203.0,24259.0,26455.0
Annual,National currency per adult equivalent,Portugal,2905.0,5712.0,7251.0,9849.0,11843.0,12168.0,13342.0
Annual,National currency per adult equivalent,Romania,:,:,:,5580.0,12999.0,15324.0,23549.0
Annual,National currency per adult equivalent,Serbia,:,:,:,:,:,467940.0,549942.0
Annual,National currency per adult equivalent,Sweden,:,132186.0,158912.0,188610.0,198773.0,219235.0,:
Annual,National currency per adult equivalent,Slovenia,:,:,:,2373990.0,13130.0,11941.0,13712.0
Annual,National currency per adult equivalent,Slovakia,:,:,:,138990.0,5835.0,6980.0,7827.0
Annual,National currency per adult equivalent,Türkiye,:,:,:,6059.0,10672.0,21019.0,36367.0
Annual,National currency per adult equivalent,United Kingdom,6551.0,8845.0,12770.0,14952.0,13649.0,15277.0,:
Annual,National currency per adult equivalent,Kosovo*,:,:,:,:,:,2755.0,:
Annual,National currency per household,Austria,:,26337.0,28145.0,30428.0,34863.0,35931.0,38959.0
Annual,National currency per household,Belgium,18195.0,23454.0,27188.0,31521.0,34406.0,36811.0,35209.0
Annual,National currency per household,Bulgaria,:,:,3115.0,5925.0,9113.0,11489.0,14182.0
Annual,National currency per household,Cyprus,:,:,13035.0,17799.0,39534.0,31206.0,31103 e
Annual,National currency per household,Czechia,:,:,178464.0,213034.0,247912.0,257245.0,348596.0
Annual,National currency per household,Germany,19946.0,22859.0,25228.0,29232.0,29330.0,30788.0,34332.0
Annual,National currency per household,Denmark,:,187822.0,217511.0,247708.0,298317.0,304746.0,316324.0
Annual,National currency per household,Euro area - 12 countries (2001-2006),:,:,:,:,: u,:,:
Annual,National currency per household,Euro area - 13 countries (2007),:,:,:,:,: u,:,:
Annual,National currency per household,Euro area - 17 countries (2011-2013),:,:,:,:,: u,:,:
Annual,National currency per household,Estonia,:,:,51939.0,108529.0,7784.0,11941.0,15071.0
Annual,National currency per household,"European Economic Area (EU25 - 2004-2006 and IS, LI, NO)",:,:,:,97978 e,:,:,:
Annual,National currency per household,European Free Trade Association,:,:,:,322995 u,395093 u,:,:
Annual,National currency per household,Greece,5564.0,11625.0,18206.0,27081.0,28283.0,20553.0,19882.0
Annual,National currency per household,Spain,10413.0,15668.0,17076.0,23682.0,29782.0,27420.0,26995.0
Annual,National currency per household,Finland,:,19312.0,21571.0,29705.0,32818.0,36653.0,36527.0
Annual,National currency per household,France,18578.0,24593.0,25876.0,29632.0,30379.0,31046.0,32754 e
Annual,National currency per household,Croatia,:,:,:,85113.0,94465.0,99559.0,116907.0
Annual,National currency per household,Hungary,:,:,934513.0,1665756.0,2339483.0,2819395.0,5109747.0
Annual,National currency per household,Ireland,:,20052.0,28709.0,44909.0,39226.0,41312.0,46882.0
Annual,National currency per household,Italy,12997.0,19317.0,24081.0,28053.0,28702.0,29680.0,27642.0
Annual,National currency per household,Lithuania,:,:,13515.0,17639.0,32290.0,9889.0,12277.0
Annual,National currency per household,Luxembourg,28817.0,38120.0,44190.0,52754.0,55185.0,60044.0,65476.0
Annual,National currency per household,Latvia,:,:,1739.0,4164.0,8021.0,9921.0,13063.0
Annual,National currency per household,Montenegro,:,:,:,:,6760.0,8876.0,8957.0
Annual,National currency per household,North Macedonia,:,:,:,334629.0,326159.0,325792.0,:
Annual,National currency per household,Malta,:,:,7680.0,7611.0,20562.0,22348.0,23770 e
Annual,National currency per household,Netherlands,18488.0,21008.0,24607.0,30360.0,32623.0,35329.0,38370.0
Annual,National currency per household,Norway,:,:,:,322995.0,395093.0,462021.0,502467.0
Annual,National currency per household,Poland,:,:,18935.0,25859.0,36772.0,41832.0,45655.0
Annual,National currency per household,Portugal,5650.0,11130.0,13418.0,17607.0,20391.0,20363.0,21901.0
Annual,National currency per household,Romania,:,:,22435272.0,10366.0,23227.0,25931.0,39289.0
Annual,National currency per household,Serbia,:,:,:,:,:,842009.0,986715.0
Annual,National currency per household,Sweden,:,198296.0,236669.0,277395.0,300574.0,324921.0,:
Annual,National currency per household,Slovenia,:,:,2661204.0,4249543.0,21934.0,20490.0,22933.0
Annual,National currency per household,Slovakia,:,:,167236.0,252828.0,10555.0,12795.0,14107.0
Annual,National currency per household,Türkiye,:,:,:,11673.0,22146.0,39943.0,67649.0
Annual,National currency per household,United Kingdom,11027.0,14302.0,20148.0,23836.0,21881.0,24491.0,:
Annual,National currency per household,Kosovo*,:,:,:,:,:,7503.0,:
Annual,Purchasing power standard (PPS) per adult equivalent,Austria,:,14029.0,16480.0,19344.0,21509.0,22645.0,23072.0
Annual,Purchasing power standard (PPS) per adult equivalent,Belgium,10466.0,14049.0,16753.0,18831.0,20139.0,22578.0,20128.0
Annual,Purchasing power standard (PPS) per adult equivalent,Bulgaria,:,:,:,4213.0,5644.0,7821.0,8680.0
Annual,Purchasing power standard (PPS) per adult equivalent,Cyprus,:,:,:,17094.0,24111.0,20199.0,19403 e
Annual,Purchasing power standard (PPS) per adult equivalent,Czechia,:,:,:,6520.0,8328.0,9677.0,10955.0
Annual,Purchasing power standard (PPS) per adult equivalent,Germany,10857.0,13345.0,15558.0,18952.0,19234.0,20992.0,22074.0
Annual,Purchasing power standard (PPS) per adult equivalent,Denmark,:,12767.0,15566.0,16199.0,19204.0,20384.0,20601.0
Annual,Purchasing power standard (PPS) per adult equivalent,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",:,12647.0,14871.0,17413 e,18128 i,:,:
Annual,Purchasing power standard (PPS) per adult equivalent,Euro area - 12 countries (2001-2006),:,:,:,17439 e,18423 i,:,:
Annual,Purchasing power standard (PPS) per adult equivalent,Euro area - 13 countries (2007),:,:,:,17413 e,18403 i,:,:
Annual,Purchasing power standard (PPS) per adult equivalent,Euro area - 17 countries (2011-2013),:,:,:,:,18200 i,:,:
Annual,Purchasing power standard (PPS) per adult equivalent,Euro area - 18 countries (2014),:,:,:,:,18128 i,:,:
Annual,Purchasing power standard (PPS) per adult equivalent,Estonia,:,:,:,6531.0,6755.0,10575.0,11783.0
Annual,Purchasing power standard (PPS) per adult equivalent,"European Economic Area (EU25 - 2004-2006 and IS, LI, NO)",:,:,:,16021 e,16508 i,:,:
Annual,Purchasing power standard (PPS) per adult equivalent,"European Economic Area (EU27 - 2007-2013 and IS, LI, NO)",:,:,:,:,15900 i,:,:
Annual,Purchasing power standard (PPS) per adult equivalent,European Free Trade Association,:,:,:,19125 u,22820 u,:,:
Annual,Purchasing power standard (PPS) per adult equivalent,Greece,8115.0,9564.0,12955.0,17391.0,17036.0,14483.0,13510.0
Annual,Purchasing power standard (PPS) per adult equivalent,Spain,7459.0,9742.0,10123.0,13940.0,17858.0,18388.0,16998.0
Annual,Purchasing power standard (PPS) per adult equivalent,European Union - 15 countries (1995-2004),:,12633.0,15316.0,17825 e,17838 i,:,:
Annual,Purchasing power standard (PPS) per adult equivalent,European Union - 25 countries (2004-2006),:,:,:,15990 e,16442 i,:,:
Annual,Purchasing power standard (PPS) per adult equivalent,European Union - 27 countries (2007-2013),:,:,:,15225 e,15832 i,:,:
Annual,Purchasing power standard (PPS) per adult equivalent,European Union - 27 countries (from 2020),:,:,:,:,15921 e,17343.0,17260 i
Annual,Purchasing power standard (PPS) per adult equivalent,European Union - 28 countries (2013-2020),:,:,:,:,15779 i,:,:
Annual,Purchasing power standard (PPS) per adult equivalent,Finland,:,10280.0,11884.0,16082.0,18097.0,20928.0,20519.0
Annual,Purchasing power standard (PPS) per adult equivalent,France,9968.0,13738.0,15310.0,17523.0,18085.0,19484.0,19020 e
Annual,Purchasing power standard (PPS) per adult equivalent,Croatia,:,:,:,9478.0,9605.0,10986.0,12153.0
Annual,Purchasing power standard (PPS) per adult equivalent,Hungary,:,:,:,6241.0,8511.0,10319.0,14245.0
Annual,Purchasing power standard (PPS) per adult equivalent,Ireland,:,11245.0,15604.0,20583.0,18950.0,19552.0,19326.0
Annual,Purchasing power standard (PPS) per adult equivalent,Italy,9481.0,12764.0,15897.0,17623.0,17950.0,19171.0,17906.0
Annual,Purchasing power standard (PPS) per adult equivalent,Lithuania,:,:,:,5892.0,8668.0,10851.0,12723.0
Annual,Purchasing power standard (PPS) per adult equivalent,Luxembourg,14978.0,23255.0,25824.0,32794.0,28621.0,31893.0,32755.0
Annual,Purchasing power standard (PPS) per adult equivalent,Latvia,:,:,:,5316.0,6863.0,8883.0,10544.0
Annual,Purchasing power standard (PPS) per adult equivalent,Montenegro,:,:,:,:,6110.0,8854.0,8288.0
Annual,Purchasing power standard (PPS) per adult equivalent,North Macedonia,:,:,:,5181.0,5454.0,5362.0,:
Annual,Purchasing power standard (PPS) per adult equivalent,Malta,:,:,:,15108.0,14576.0,16111.0,15336 e
Annual,Purchasing power standard (PPS) per adult equivalent,Netherlands,10074.0,13033.0,16850.0,19018.0,20016.0,21692.0,22128.0
Annual,Purchasing power standard (PPS) per adult equivalent,Norway,:,:,:,19125.0,22820.0,25398.0,23797.0
Annual,Purchasing power standard (PPS) per adult equivalent,Poland,:,:,:,5817.0,8801.0,10692.0,9954.0
Annual,Purchasing power standard (PPS) per adult equivalent,Portugal,6133.0,8371.0,10011.0,11674.0,13566.0,14844.0,14924.0
Annual,Purchasing power standard (PPS) per adult equivalent,Romania,:,:,:,2866.0,5385.0,6750.0,8766.0
Annual,Purchasing power standard (PPS) per adult equivalent,Serbia,:,:,:,:,:,7978.0,7962.0
Annual,Purchasing power standard (PPS) per adult equivalent,Sweden,:,11995.0,14552.0,17414.0,17436.0,19286.0,:
Annual,Purchasing power standard (PPS) per adult equivalent,Slovenia,:,:,:,13299.0,15273.0,15014.0,15638.0
Annual,Purchasing power standard (PPS) per adult equivalent,Slovakia,:,:,:,6517.0,8315.0,10550.0,8706.0
Annual,Purchasing power standard (PPS) per adult equivalent,Türkiye,:,:,:,5341.0,7670.0,11381.0,10188.0
Annual,Purchasing power standard (PPS) per adult equivalent,United Kingdom,10330.0,12654.0,17522.0,20047.0,14779.0,15791.0,:
Annual,Purchasing power standard (PPS) per adult equivalent,Kosovo*,:,:,:,:,:,5513.0,:
Annual,Purchasing power standard (PPS) per household,Austria,:,24322.0,26453.0,30167.0,33219.0,34491.0,34729.0
Annual,Purchasing power standard (PPS) per household,Belgium,16912.0,22716.0,27405.0,30048.0,31264.0,34923.0,30906.0
Annual,Purchasing power standard (PPS) per household,Bulgaria,:,:,5562.0,7099.0,9334.0,12517.0,13181.0
Annual,Purchasing power standard (PPS) per household,Cyprus,:,:,29378.0,34208.0,44641.0,35579.0,34177 e
Annual,Purchasing power standard (PPS) per household,Czechia,:,:,11302.0,12142.0,13161.0,15055.0,17132.0
Annual,Purchasing power standard (PPS) per household,Germany,16815.0,20660.0,23575.0,28501.0,28367.0,30693.0,32116.0
Annual,Purchasing power standard (PPS) per household,Denmark,:,19185.0,23439.0,24062.0,28560.0,30102.0,30284.0
Annual,Purchasing power standard (PPS) per household,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",:,21145.0,24291.0,28103 e,28481 i,:,:
Annual,Purchasing power standard (PPS) per household,Euro area - 12 countries (2001-2006),:,:,:,28130 e,28876 i,:,:
Annual,Purchasing power standard (PPS) per household,Euro area - 13 countries (2007),:,:,:,28103 e,28855 i,:,:
Annual,Purchasing power standard (PPS) per household,Euro area - 17 countries (2011-2013),:,:,:,:,28591 i,:,:
Annual,Purchasing power standard (PPS) per household,Euro area - 18 countries (2014),:,:,:,:,28481 i,:,:
Annual,Purchasing power standard (PPS) per household,Estonia,:,:,7144.0,10848.0,10421.0,16382.0,17683.0
Annual,Purchasing power standard (PPS) per household,"European Economic Area (EU25 - 2004-2006 and IS, LI, NO)",:,:,:,25902 e,26083 i,:,:
Annual,Purchasing power standard (PPS) per household,"European Economic Area (EU27 - 2007-2013 and IS, LI, NO)",:,:,:,:,25174 i,:,:
Annual,Purchasing power standard (PPS) per household,European Free Trade Association,:,:,:,29106 u,34578 u,:,:
Annual,Purchasing power standard (PPS) per household,Greece,15465.0,17701.0,23401.0,30975.0,29974.0,24190.0,22530.0
Annual,Purchasing power standard (PPS) per household,Spain,15388.0,19586.0,20238.0,26028.0,30884.0,30223.0,27683.0
Annual,Purchasing power standard (PPS) per household,European Union - 15 countries (1995-2004),:,20917.0,24772.0,28608 e,27997 i,:,:
Annual,Purchasing power standard (PPS) per household,European Union - 25 countries (2004-2006),:,:,:,25870 e,25996 i,:,:
Annual,Purchasing power standard (PPS) per household,European Union - 27 countries (2007-2013),:,:,:,24667 e,25082 i,:,:
Annual,Purchasing power standard (PPS) per household,European Union - 27 countries (from 2020),:,:,:,:,25204 e,26937.0,26540 i
Annual,Purchasing power standard (PPS) per household,European Union - 28 countries (2013-2020),:,:,:,:,25016 i,:,:
Annual,Purchasing power standard (PPS) per household,Finland,:,16014.0,18211.0,24360.0,26998.0,30792.0,28810.0
Annual,Purchasing power standard (PPS) per household,France,16602.0,22319.0,24597.0,27886.0,27627.0,29667.0,28961 e
Annual,Purchasing power standard (PPS) per household,Croatia,:,:,:,16840.0,17264.0,20163.0,21902.0
Annual,Purchasing power standard (PPS) per household,Hungary,:,:,8056.0,10694.0,13504.0,15998.0,21937.0
Annual,Purchasing power standard (PPS) per household,Ireland,:,22243.0,29749.0,36373.0,33262.0,33814.0,33497.0
Annual,Purchasing power standard (PPS) per household,Italy,17119.0,22807.0,27220.0,28782.0,28393.0,29651.0,27283.0
Annual,Purchasing power standard (PPS) per household,Lithuania,:,:,7208.0,9378.0,14730.0,16254.0,17448.0
Annual,Purchasing power standard (PPS) per household,Luxembourg,26662.0,38647.0,43247.0,51932.0,45171.0,49838.0,49524.0
Annual,Purchasing power standard (PPS) per household,Latvia,:,:,5545.0,10589.0,11381.0,14428.0,16576.0
Annual,Purchasing power standard (PPS) per household,Montenegro,:,:,:,:,11831.0,16541.0,14929.0
Annual,Purchasing power standard (PPS) per household,North Macedonia,:,:,:,12622.0,11846.0,11690.0,:
Annual,Purchasing power standard (PPS) per household,Malta,:,:,20785.0,28605.0,26590.0,27868.0,26528 e
Annual,Purchasing power standard (PPS) per household,Netherlands,16494.0,20314.0,25657.0,29368.0,30288.0,32624.0,33134.0
Annual,Purchasing power standard (PPS) per household,Norway,:,:,:,29106.0,34578.0,37330.0,34403.0
Annual,Purchasing power standard (PPS) per household,Poland,:,:,8982.0,10594.0,15263.0,18436.0,17178.0
Annual,Purchasing power standard (PPS) per household,Portugal,11926.0,16311.0,18527.0,20869.0,23357.0,24842.0,24499.0
Annual,Purchasing power standard (PPS) per household,Romania,:,:,3907.0,5324.0,9623.0,11422.0,14625.0
Annual,Purchasing power standard (PPS) per household,Serbia,:,:,:,:,:,14355.0,14285.0
Annual,Purchasing power standard (PPS) per household,Sweden,:,17994.0,21673.0,25612.0,26366.0,28583.0,:
Annual,Purchasing power standard (PPS) per household,Slovenia,:,:,19815.0,23806.0,25514.0,25762.0,26153.0
Annual,Purchasing power standard (PPS) per household,Slovakia,:,:,10545.0,11855.0,15041.0,19341.0,15692.0
Annual,Purchasing power standard (PPS) per household,Türkiye,:,:,:,10291.0,15917.0,21628.0,18952.0
Annual,Purchasing power standard (PPS) per household,United Kingdom,17390.0,20461.0,27646.0,31959.0,23692.0,25316.0,:
Annual,Purchasing power standard (PPS) per household,Kosovo*,:,:,:,:,:,15014.0,:
