Time frequency,Reason,Sex,Unit of measure,Geopolitical entity (reporting)\Time,2023.0
Annual,Family reasons,Total,Percentage,Austria,39.3
Annual,Family reasons,Total,Percentage,Belgium,29.8
Annual,Family reasons,Total,Percentage,Bulgaria,18.2
Annual,Family reasons,Total,Percentage,Cyprus,6.2
Annual,Family reasons,Total,Percentage,Czechia,21.2
Annual,Family reasons,Total,Percentage,Germany,9.0
Annual,Family reasons,Total,Percentage,Denmark,11.6
Annual,Family reasons,Total,Percentage,Euro area – 20 countries (from 2023),13.7
Annual,Family reasons,Total,Percentage,Estonia,27.0
Annual,Family reasons,Total,Percentage,Greece,8.8
Annual,Family reasons,Total,Percentage,Spain,13.3
Annual,Family reasons,Total,Percentage,European Union - 27 countries (from 2020),14.1
Annual,Family reasons,Total,Percentage,Finland,9.1
Annual,Family reasons,Total,Percentage,France,11.4
Annual,Family reasons,Total,Percentage,Croatia,17.7 u
Annual,Family reasons,Total,Percentage,Hungary,42.4
Annual,Family reasons,Total,Percentage,Ireland,13.8 u
Annual,Family reasons,Total,Percentage,Italy,15.2
Annual,Family reasons,Total,Percentage,Lithuania,23.3 u
Annual,Family reasons,Total,Percentage,Luxembourg,33.4
Annual,Family reasons,Total,Percentage,Latvia,32.9
Annual,Family reasons,Total,Percentage,Malta,29.1
Annual,Family reasons,Total,Percentage,Netherlands,8.6
Annual,Family reasons,Total,Percentage,Norway,23.2
Annual,Family reasons,Total,Percentage,Poland,22.3 u
Annual,Family reasons,Total,Percentage,Portugal,20.2
Annual,Family reasons,Total,Percentage,Romania,17.6
Annual,Family reasons,Total,Percentage,Sweden,14.2
Annual,Family reasons,Total,Percentage,Slovenia,33.0
Annual,Family reasons,Total,Percentage,Slovakia,37.6
Annual,Job found,Females,Percentage,Austria,16.5
Annual,Job found,Females,Percentage,Belgium,3.9
Annual,Job found,Females,Percentage,Bulgaria,16.7
Annual,Job found,Females,Percentage,Cyprus,18.1
Annual,Job found,Females,Percentage,Czechia,20.2
Annual,Job found,Females,Percentage,Germany,10.0
Annual,Job found,Females,Percentage,Denmark,9.3
Annual,Job found,Females,Percentage,Euro area – 20 countries (from 2023),24.6
Annual,Job found,Females,Percentage,Estonia,30.8
Annual,Job found,Females,Percentage,Greece,34.9
Annual,Job found,Females,Percentage,Spain,43.8
Annual,Job found,Females,Percentage,European Union - 27 countries (from 2020),23.4
Annual,Job found,Females,Percentage,Finland,14.4
Annual,Job found,Females,Percentage,France,26.2
Annual,Job found,Females,Percentage,Croatia,12.1 u
Annual,Job found,Females,Percentage,Hungary,15.3
Annual,Job found,Females,Percentage,Ireland,7.9 u
Annual,Job found,Females,Percentage,Italy,29.8
Annual,Job found,Females,Percentage,Lithuania,29.2 u
Annual,Job found,Females,Percentage,Luxembourg,24.9
Annual,Job found,Females,Percentage,Latvia,17.4
Annual,Job found,Females,Percentage,Malta,7.3
Annual,Job found,Females,Percentage,Netherlands,5.9
Annual,Job found,Females,Percentage,Norway,16.4
Annual,Job found,Females,Percentage,Poland,28.7 u
Annual,Job found,Females,Percentage,Portugal,21.9
Annual,Job found,Females,Percentage,Romania,17.5
Annual,Job found,Females,Percentage,Sweden,13.6
Annual,Job found,Females,Percentage,Slovenia,20.3
Annual,Job found,Females,Percentage,Slovakia,16.4
Annual,Job found,Males,Percentage,Austria,13.0
Annual,Job found,Males,Percentage,Belgium,11.0
Annual,Job found,Males,Percentage,Bulgaria,26.0
Annual,Job found,Males,Percentage,Cyprus,23.5
Annual,Job found,Males,Percentage,Czechia,26.0
Annual,Job found,Males,Percentage,Germany,14.7
Annual,Job found,Males,Percentage,Denmark,18.1
Annual,Job found,Males,Percentage,Euro area – 20 countries (from 2023),31.2
Annual,Job found,Males,Percentage,Estonia,37.6
Annual,Job found,Males,Percentage,Greece,50.0
Annual,Job found,Males,Percentage,Spain,52.3
Annual,Job found,Males,Percentage,European Union - 27 countries (from 2020),29.9
Annual,Job found,Males,Percentage,Finland,18.7
Annual,Job found,Males,Percentage,France,33.0
Annual,Job found,Males,Percentage,Croatia,15.5 u
Annual,Job found,Males,Percentage,Hungary,26.5
Annual,Job found,Males,Percentage,Ireland,25.8 u
Annual,Job found,Males,Percentage,Italy,40.4
Annual,Job found,Males,Percentage,Lithuania,34.6 u
Annual,Job found,Males,Percentage,Luxembourg,15.2
Annual,Job found,Males,Percentage,Latvia,16.0
Annual,Job found,Males,Percentage,Malta,27.7
Annual,Job found,Males,Percentage,Netherlands,9.1
Annual,Job found,Males,Percentage,Norway,26.7
Annual,Job found,Males,Percentage,Poland,32.2 u
Annual,Job found,Males,Percentage,Portugal,26.4
Annual,Job found,Males,Percentage,Romania,29.6
Annual,Job found,Males,Percentage,Sweden,19.0
Annual,Job found,Males,Percentage,Slovenia,12.9
Annual,Job found,Males,Percentage,Slovakia,10.4
Annual,Job found,Total,Percentage,Austria,14.7
Annual,Job found,Total,Percentage,Belgium,7.2
Annual,Job found,Total,Percentage,Bulgaria,21.4
Annual,Job found,Total,Percentage,Cyprus,20.7
Annual,Job found,Total,Percentage,Czechia,22.7
Annual,Job found,Total,Percentage,Germany,12.4
Annual,Job found,Total,Percentage,Denmark,13.5
Annual,Job found,Total,Percentage,Euro area – 20 countries (from 2023),27.7
Annual,Job found,Total,Percentage,Estonia,34.1
Annual,Job found,Total,Percentage,Greece,42.9
Annual,Job found,Total,Percentage,Spain,47.9
Annual,Job found,Total,Percentage,European Union - 27 countries (from 2020),26.5
Annual,Job found,Total,Percentage,Finland,16.6
Annual,Job found,Total,Percentage,France,29.3
Annual,Job found,Total,Percentage,Croatia,13.8 u
Annual,Job found,Total,Percentage,Hungary,21.1
Annual,Job found,Total,Percentage,Ireland,15.2 u
Annual,Job found,Total,Percentage,Italy,35.1
Annual,Job found,Total,Percentage,Lithuania,31.4 u
Annual,Job found,Total,Percentage,Luxembourg,19.8
Annual,Job found,Total,Percentage,Latvia,16.9
Annual,Job found,Total,Percentage,Malta,17.7
Annual,Job found,Total,Percentage,Netherlands,7.4
Annual,Job found,Total,Percentage,Norway,21.5
Annual,Job found,Total,Percentage,Poland,30.0 u
Annual,Job found,Total,Percentage,Portugal,24.0
Annual,Job found,Total,Percentage,Romania,23.1
Annual,Job found,Total,Percentage,Sweden,16.4
Annual,Job found,Total,Percentage,Slovenia,17.1
Annual,Job found,Total,Percentage,Slovakia,13.6
Annual,Health reasons,Females,Percentage,Austria,0.5
Annual,Health reasons,Females,Percentage,Belgium,3.6
Annual,Health reasons,Females,Percentage,Bulgaria,0.5
Annual,Health reasons,Females,Percentage,Cyprus,0.3
Annual,Health reasons,Females,Percentage,Czechia,0.8
Annual,Health reasons,Females,Percentage,Germany,1.1
Annual,Health reasons,Females,Percentage,Denmark,1.7
Annual,Health reasons,Females,Percentage,Euro area – 20 countries (from 2023),1.0
Annual,Health reasons,Females,Percentage,Estonia,1.3
Annual,Health reasons,Females,Percentage,Greece,3.2
Annual,Health reasons,Females,Percentage,Spain,1.0
Annual,Health reasons,Females,Percentage,European Union - 27 countries (from 2020),1.0
Annual,Health reasons,Females,Percentage,Finland,1.1
Annual,Health reasons,Females,Percentage,France,0.6
Annual,Health reasons,Females,Percentage,Croatia,0.0 u
Annual,Health reasons,Females,Percentage,Hungary,0.0 n
Annual,Health reasons,Females,Percentage,Ireland,0.0 u
Annual,Health reasons,Females,Percentage,Italy,2.5
Annual,Health reasons,Females,Percentage,Lithuania,0.8 u
Annual,Health reasons,Females,Percentage,Luxembourg,2.4
Annual,Health reasons,Females,Percentage,Latvia,0.2
Annual,Health reasons,Females,Percentage,Malta,0.2
Annual,Health reasons,Females,Percentage,Netherlands,0.6
Annual,Health reasons,Females,Percentage,Norway,1.1
Annual,Health reasons,Females,Percentage,Poland,2.6 u
Annual,Health reasons,Females,Percentage,Portugal,1.0
Annual,Health reasons,Females,Percentage,Romania,0.8
Annual,Health reasons,Females,Percentage,Sweden,1.3
Annual,Health reasons,Females,Percentage,Slovenia,0.5
Annual,Health reasons,Females,Percentage,Slovakia,1.8
Annual,Health reasons,Males,Percentage,Austria,0.5
Annual,Health reasons,Males,Percentage,Belgium,0.8
Annual,Health reasons,Males,Percentage,Bulgaria,0.0 n
Annual,Health reasons,Males,Percentage,Cyprus,0.1
Annual,Health reasons,Males,Percentage,Czechia,0.7
Annual,Health reasons,Males,Percentage,Germany,0.9
Annual,Health reasons,Males,Percentage,Denmark,4.8
Annual,Health reasons,Males,Percentage,Euro area – 20 countries (from 2023),1.1
Annual,Health reasons,Males,Percentage,Estonia,1.5
Annual,Health reasons,Males,Percentage,Greece,0.7
Annual,Health reasons,Males,Percentage,Spain,0.6
Annual,Health reasons,Males,Percentage,European Union - 27 countries (from 2020),1.2
Annual,Health reasons,Males,Percentage,Finland,2.7
Annual,Health reasons,Males,Percentage,France,0.8
Annual,Health reasons,Males,Percentage,Croatia,0.2 u
Annual,Health reasons,Males,Percentage,Hungary,0.0 n
Annual,Health reasons,Males,Percentage,Ireland,2.4 u
Annual,Health reasons,Males,Percentage,Italy,3.0
Annual,Health reasons,Males,Percentage,Lithuania,0.0 u
Annual,Health reasons,Males,Percentage,Luxembourg,0.7
Annual,Health reasons,Males,Percentage,Latvia,1.3
Annual,Health reasons,Males,Percentage,Malta,4.1
Annual,Health reasons,Males,Percentage,Netherlands,1.1
Annual,Health reasons,Males,Percentage,Norway,3.2
Annual,Health reasons,Males,Percentage,Poland,1.6 u
Annual,Health reasons,Males,Percentage,Portugal,3.2
Annual,Health reasons,Males,Percentage,Romania,0.0 n
Annual,Health reasons,Males,Percentage,Sweden,2.1
Annual,Health reasons,Males,Percentage,Slovenia,2.6
Annual,Health reasons,Males,Percentage,Slovakia,0.9
Annual,Health reasons,Total,Percentage,Austria,0.5
Annual,Health reasons,Total,Percentage,Belgium,2.3
Annual,Health reasons,Total,Percentage,Bulgaria,0.2
Annual,Health reasons,Total,Percentage,Cyprus,0.2
Annual,Health reasons,Total,Percentage,Czechia,0.8
Annual,Health reasons,Total,Percentage,Germany,1.0
Annual,Health reasons,Total,Percentage,Denmark,3.2
Annual,Health reasons,Total,Percentage,Euro area – 20 countries (from 2023),1.0
Annual,Health reasons,Total,Percentage,Estonia,1.4
Annual,Health reasons,Total,Percentage,Greece,1.9
Annual,Health reasons,Total,Percentage,Spain,0.8
Annual,Health reasons,Total,Percentage,European Union - 27 countries (from 2020),1.1
Annual,Health reasons,Total,Percentage,Finland,1.9
Annual,Health reasons,Total,Percentage,France,0.7
Annual,Health reasons,Total,Percentage,Croatia,0.1 u
Annual,Health reasons,Total,Percentage,Hungary,0.0 n
Annual,Health reasons,Total,Percentage,Ireland,1.0 u
Annual,Health reasons,Total,Percentage,Italy,2.8
Annual,Health reasons,Total,Percentage,Lithuania,0.4 u
Annual,Health reasons,Total,Percentage,Luxembourg,1.5
Annual,Health reasons,Total,Percentage,Latvia,0.6
Annual,Health reasons,Total,Percentage,Malta,2.2
Annual,Health reasons,Total,Percentage,Netherlands,0.9
Annual,Health reasons,Total,Percentage,Norway,2.2
Annual,Health reasons,Total,Percentage,Poland,2.3 u
Annual,Health reasons,Total,Percentage,Portugal,2.0
Annual,Health reasons,Total,Percentage,Romania,0.4
Annual,Health reasons,Total,Percentage,Sweden,1.7
Annual,Health reasons,Total,Percentage,Slovenia,1.4
Annual,Health reasons,Total,Percentage,Slovakia,1.4
Annual,Moved into social or subsidised private housing,Females,Percentage,Austria,20.7
Annual,Moved into social or subsidised private housing,Females,Percentage,Belgium,34.4
Annual,Moved into social or subsidised private housing,Females,Percentage,Bulgaria,11.0
Annual,Moved into social or subsidised private housing,Females,Percentage,Cyprus,57.0
Annual,Moved into social or subsidised private housing,Females,Percentage,Czechia,13.8
Annual,Moved into social or subsidised private housing,Females,Percentage,Germany,16.7
Annual,Moved into social or subsidised private housing,Females,Percentage,Denmark,11.3
Annual,Moved into social or subsidised private housing,Females,Percentage,Euro area – 20 countries (from 2023),24.5
Annual,Moved into social or subsidised private housing,Females,Percentage,Estonia,8.5
Annual,Moved into social or subsidised private housing,Females,Percentage,Greece,6.5
Annual,Moved into social or subsidised private housing,Females,Percentage,Spain,5.5
Annual,Moved into social or subsidised private housing,Females,Percentage,European Union - 27 countries (from 2020),22.9
Annual,Moved into social or subsidised private housing,Females,Percentage,Finland,17.4
Annual,Moved into social or subsidised private housing,Females,Percentage,France,37.6
Annual,Moved into social or subsidised private housing,Females,Percentage,Croatia,16.5 u
Annual,Moved into social or subsidised private housing,Females,Percentage,Hungary,12.4
Annual,Moved into social or subsidised private housing,Females,Percentage,Ireland,41.8 u
Annual,Moved into social or subsidised private housing,Females,Percentage,Italy,12.9
Annual,Moved into social or subsidised private housing,Females,Percentage,Lithuania,15.8 u
Annual,Moved into social or subsidised private housing,Females,Percentage,Luxembourg,8.9
Annual,Moved into social or subsidised private housing,Females,Percentage,Latvia,16.8
Annual,Moved into social or subsidised private housing,Females,Percentage,Malta,13.2
Annual,Moved into social or subsidised private housing,Females,Percentage,Netherlands,40.8
Annual,Moved into social or subsidised private housing,Females,Percentage,Norway,19.7
Annual,Moved into social or subsidised private housing,Females,Percentage,Poland,12.6 u
Annual,Moved into social or subsidised private housing,Females,Percentage,Portugal,15.6
Annual,Moved into social or subsidised private housing,Females,Percentage,Romania,39.4
Annual,Moved into social or subsidised private housing,Females,Percentage,Sweden,2.0
Annual,Moved into social or subsidised private housing,Females,Percentage,Slovenia,12.1
Annual,Moved into social or subsidised private housing,Females,Percentage,Slovakia,7.7
Annual,Moved into social or subsidised private housing,Males,Percentage,Austria,19.3
Annual,Moved into social or subsidised private housing,Males,Percentage,Belgium,36.5
Annual,Moved into social or subsidised private housing,Males,Percentage,Bulgaria,2.1
Annual,Moved into social or subsidised private housing,Males,Percentage,Cyprus,56.0
Annual,Moved into social or subsidised private housing,Males,Percentage,Czechia,11.6
Annual,Moved into social or subsidised private housing,Males,Percentage,Germany,16.0
Annual,Moved into social or subsidised private housing,Males,Percentage,Denmark,6.3
Annual,Moved into social or subsidised private housing,Males,Percentage,Euro area – 20 countries (from 2023),18.8
Annual,Moved into social or subsidised private housing,Males,Percentage,Estonia,4.9
Annual,Moved into social or subsidised private housing,Males,Percentage,Greece,5.1
Annual,Moved into social or subsidised private housing,Males,Percentage,Spain,3.6
Annual,Moved into social or subsidised private housing,Males,Percentage,European Union - 27 countries (from 2020),17.6
Annual,Moved into social or subsidised private housing,Males,Percentage,Finland,15.7
Annual,Moved into social or subsidised private housing,Males,Percentage,France,26.6
Annual,Moved into social or subsidised private housing,Males,Percentage,Croatia,9.1 u
Annual,Moved into social or subsidised private housing,Males,Percentage,Hungary,7.5
Annual,Moved into social or subsidised private housing,Males,Percentage,Ireland,30.8 u
Annual,Moved into social or subsidised private housing,Males,Percentage,Italy,19.0
Annual,Moved into social or subsidised private housing,Males,Percentage,Lithuania,10.5 u
Annual,Moved into social or subsidised private housing,Males,Percentage,Luxembourg,5.6
Annual,Moved into social or subsidised private housing,Males,Percentage,Latvia,22.0
Annual,Moved into social or subsidised private housing,Males,Percentage,Malta,4.7
Annual,Moved into social or subsidised private housing,Males,Percentage,Netherlands,29.5
Annual,Moved into social or subsidised private housing,Males,Percentage,Norway,13.5
Annual,Moved into social or subsidised private housing,Males,Percentage,Poland,17.5 u
Annual,Moved into social or subsidised private housing,Males,Percentage,Portugal,13.9
Annual,Moved into social or subsidised private housing,Males,Percentage,Romania,35.0
Annual,Moved into social or subsidised private housing,Males,Percentage,Sweden,2.0
Annual,Moved into social or subsidised private housing,Males,Percentage,Slovenia,10.8
Annual,Moved into social or subsidised private housing,Males,Percentage,Slovakia,5.3
Annual,Moved into social or subsidised private housing,Total,Percentage,Austria,20.0
Annual,Moved into social or subsidised private housing,Total,Percentage,Belgium,35.4
Annual,Moved into social or subsidised private housing,Total,Percentage,Bulgaria,6.5
Annual,Moved into social or subsidised private housing,Total,Percentage,Cyprus,56.5
Annual,Moved into social or subsidised private housing,Total,Percentage,Czechia,12.8
Annual,Moved into social or subsidised private housing,Total,Percentage,Germany,16.4
Annual,Moved into social or subsidised private housing,Total,Percentage,Denmark,8.9
Annual,Moved into social or subsidised private housing,Total,Percentage,Euro area – 20 countries (from 2023),21.8
Annual,Moved into social or subsidised private housing,Total,Percentage,Estonia,6.7
Annual,Moved into social or subsidised private housing,Total,Percentage,Greece,5.8
Annual,Moved into social or subsidised private housing,Total,Percentage,Spain,4.6
Annual,Moved into social or subsidised private housing,Total,Percentage,European Union - 27 countries (from 2020),20.4
Annual,Moved into social or subsidised private housing,Total,Percentage,Finland,16.5
Annual,Moved into social or subsidised private housing,Total,Percentage,France,32.6
Annual,Moved into social or subsidised private housing,Total,Percentage,Croatia,12.9 u
Annual,Moved into social or subsidised private housing,Total,Percentage,Hungary,9.9
Annual,Moved into social or subsidised private housing,Total,Percentage,Ireland,37.3 u
Annual,Moved into social or subsidised private housing,Total,Percentage,Italy,16.0
Annual,Moved into social or subsidised private housing,Total,Percentage,Lithuania,13.6 u
Annual,Moved into social or subsidised private housing,Total,Percentage,Luxembourg,7.2
Annual,Moved into social or subsidised private housing,Total,Percentage,Latvia,18.7
Annual,Moved into social or subsidised private housing,Total,Percentage,Malta,8.9
Annual,Moved into social or subsidised private housing,Total,Percentage,Netherlands,35.7
Annual,Moved into social or subsidised private housing,Total,Percentage,Norway,16.6
Annual,Moved into social or subsidised private housing,Total,Percentage,Poland,14.3 u
Annual,Moved into social or subsidised private housing,Total,Percentage,Portugal,14.9
Annual,Moved into social or subsidised private housing,Total,Percentage,Romania,37.4
Annual,Moved into social or subsidised private housing,Total,Percentage,Sweden,2.0
Annual,Moved into social or subsidised private housing,Total,Percentage,Slovenia,11.5
Annual,Moved into social or subsidised private housing,Total,Percentage,Slovakia,6.6
Annual,Other reason,Females,Percentage,Austria,25.7
Annual,Other reason,Females,Percentage,Belgium,27.8
Annual,Other reason,Females,Percentage,Bulgaria,47.4
Annual,Other reason,Females,Percentage,Cyprus,17.8
Annual,Other reason,Females,Percentage,Czechia,40.2
Annual,Other reason,Females,Percentage,Germany,62.3
Annual,Other reason,Females,Percentage,Denmark,66.7
Annual,Other reason,Females,Percentage,Euro area – 20 countries (from 2023),35.5
Annual,Other reason,Females,Percentage,Estonia,35.3
Annual,Other reason,Females,Percentage,Greece,46.2
Annual,Other reason,Females,Percentage,Spain,34.1
Annual,Other reason,Females,Percentage,European Union - 27 countries (from 2020),37.8
Annual,Other reason,Females,Percentage,Finland,61.1
Annual,Other reason,Females,Percentage,France,24.6
Annual,Other reason,Females,Percentage,Croatia,53.2 u
Annual,Other reason,Females,Percentage,Hungary,30.0
Annual,Other reason,Females,Percentage,Ireland,35.0 u
Annual,Other reason,Females,Percentage,Italy,30.0
Annual,Other reason,Females,Percentage,Lithuania,30.4 u
Annual,Other reason,Females,Percentage,Luxembourg,31.6
Annual,Other reason,Females,Percentage,Latvia,29.9
Annual,Other reason,Females,Percentage,Malta,44.4
Annual,Other reason,Females,Percentage,Netherlands,43.6
Annual,Other reason,Females,Percentage,Norway,39.3
Annual,Other reason,Females,Percentage,Poland,36.9 u
Annual,Other reason,Females,Percentage,Portugal,44.2
Annual,Other reason,Females,Percentage,Romania,19.9
Annual,Other reason,Females,Percentage,Sweden,68.6
Annual,Other reason,Females,Percentage,Slovenia,34.5
Annual,Other reason,Females,Percentage,Slovakia,34.0
Annual,Other reason,Males,Percentage,Austria,25.4
Annual,Other reason,Males,Percentage,Belgium,22.4
Annual,Other reason,Males,Percentage,Bulgaria,59.9
Annual,Other reason,Males,Percentage,Cyprus,15.0
Annual,Other reason,Males,Percentage,Czechia,45.2
Annual,Other reason,Males,Percentage,Germany,60.1
Annual,Other reason,Males,Percentage,Denmark,58.5
Annual,Other reason,Males,Percentage,Euro area – 20 countries (from 2023),36.0
Annual,Other reason,Males,Percentage,Estonia,26.2
Annual,Other reason,Males,Percentage,Greece,35.7
Annual,Other reason,Males,Percentage,Spain,32.7
Annual,Other reason,Males,Percentage,European Union - 27 countries (from 2020),38.0
Annual,Other reason,Males,Percentage,Finland,50.9
Annual,Other reason,Males,Percentage,France,27.7
Annual,Other reason,Males,Percentage,Croatia,58.1 u
Annual,Other reason,Males,Percentage,Hungary,23.5
Annual,Other reason,Males,Percentage,Ireland,29.2 u
Annual,Other reason,Males,Percentage,Italy,31.9
Annual,Other reason,Males,Percentage,Lithuania,32.3 u
Annual,Other reason,Males,Percentage,Luxembourg,44.0
Annual,Other reason,Males,Percentage,Latvia,32.6
Annual,Other reason,Males,Percentage,Malta,40.0
Annual,Other reason,Males,Percentage,Netherlands,51.3
Annual,Other reason,Males,Percentage,Norway,33.6
Annual,Other reason,Males,Percentage,Poland,20.9 u
Annual,Other reason,Males,Percentage,Portugal,32.5
Annual,Other reason,Males,Percentage,Romania,23.2
Annual,Other reason,Males,Percentage,Sweden,62.9
Annual,Other reason,Males,Percentage,Slovenia,40.1
Annual,Other reason,Males,Percentage,Slovakia,48.8
Annual,Other reason,Total,Percentage,Austria,25.5
Annual,Other reason,Total,Percentage,Belgium,25.3
Annual,Other reason,Total,Percentage,Bulgaria,53.7
Annual,Other reason,Total,Percentage,Cyprus,16.4
Annual,Other reason,Total,Percentage,Czechia,42.4
Annual,Other reason,Total,Percentage,Germany,61.2
Annual,Other reason,Total,Percentage,Denmark,62.8
Annual,Other reason,Total,Percentage,Euro area – 20 countries (from 2023),35.7
Annual,Other reason,Total,Percentage,Estonia,30.8
Annual,Other reason,Total,Percentage,Greece,40.6
Annual,Other reason,Total,Percentage,Spain,33.4
Annual,Other reason,Total,Percentage,European Union - 27 countries (from 2020),37.9
Annual,Other reason,Total,Percentage,Finland,55.9
Annual,Other reason,Total,Percentage,France,26.0
Annual,Other reason,Total,Percentage,Croatia,55.5 u
Annual,Other reason,Total,Percentage,Hungary,26.7
Annual,Other reason,Total,Percentage,Ireland,32.6 u
Annual,Other reason,Total,Percentage,Italy,31.0
Annual,Other reason,Total,Percentage,Lithuania,31.2 u
Annual,Other reason,Total,Percentage,Luxembourg,38.1
Annual,Other reason,Total,Percentage,Latvia,30.9
Annual,Other reason,Total,Percentage,Malta,42.1
Annual,Other reason,Total,Percentage,Netherlands,47.1
Annual,Other reason,Total,Percentage,Norway,36.5
Annual,Other reason,Total,Percentage,Poland,31.1 u
Annual,Other reason,Total,Percentage,Portugal,39.0
Annual,Other reason,Total,Percentage,Romania,21.4
Annual,Other reason,Total,Percentage,Sweden,65.6
Annual,Other reason,Total,Percentage,Slovenia,37.0
Annual,Other reason,Total,Percentage,Slovakia,40.8
Annual,Relationship or family related reasons,Females,Percentage,Denmark,11.0
Annual,Relationship or family related reasons,Females,Percentage,Euro area – 20 countries (from 2023),14.4
Annual,Relationship or family related reasons,Females,Percentage,European Union - 27 countries (from 2020),14.9
Annual,Relationship or family related reasons,Females,Percentage,Netherlands,9.1
Annual,Relationship or family related reasons,Males,Percentage,Denmark,12.3
Annual,Relationship or family related reasons,Males,Percentage,Euro area – 20 countries (from 2023),13.0
Annual,Relationship or family related reasons,Males,Percentage,European Union - 27 countries (from 2020),13.3
Annual,Relationship or family related reasons,Males,Percentage,Netherlands,8.9
Annual,Relationship or family related reasons,Total,Percentage,Denmark,11.6
Annual,Relationship or family related reasons,Total,Percentage,Euro area – 20 countries (from 2023),13.7
Annual,Relationship or family related reasons,Total,Percentage,European Union - 27 countries (from 2020),14.1
Annual,Relationship or family related reasons,Total,Percentage,Netherlands,9.0
