Time frequency,Seasonal adjustment,Direction of flow,Sector,National accounts indicator (ESA 2010),Unit of measure,Geopolitical entity (reporting)\Time,Octobre-Décembre 2021,Janvier-Mars 2022,Avril-Juin 2022,Jullet-Septembre 2022,Octobre-Décembre 2022,Janvier-Mars 2023,Avril-Juin 2023,Jullet-Septembre 2023,Octobre-Décembre 2023,Janvier-Mars 2024,Avril-Juin 2024,Jullet-Septembre 2024
Quarterly,Seasonally and calendar adjusted data,Received,Total economy,"Saving, gross",Million euro (SCA),Finland,15074.0,16749.0,14987.0,17292.0,17450.0,15738.0,15020.0,15227.0,13631.0,16498.0,15965.0,:
Quarterly,Seasonally and calendar adjusted data,Received,Total economy,"Saving, gross",Million euro (SCA),France,150861.0,151589.0,147087.0,146781.0,145895.0,148398.0,149305.0,146520.0,152596.0,155948.0,154576.0,:
Quarterly,Seasonally and calendar adjusted data,Received,Total economy,"Saving, gross",Million euro (SCA),Croatia,3196.0,3432 p,3693 p,3961 p,4165 p,4535 p,4825 p,4692 p,4732 p,4970 p,4845 p,:
Quarterly,Seasonally and calendar adjusted data,Received,Total economy,"Saving, gross",Million euro (SCA),Hungary,11150.0,10776.0,11749.0,11018.0,10696.0,11755.0,12522.0,13051.0,13614.0,13976.0,13808.0,:
Quarterly,Seasonally and calendar adjusted data,Received,Total economy,"Saving, gross",Million euro (SCA),Ireland,42395.0,41418.0,44599.0,42029.0,40133.0,40433.0,45945.0,45438.0,45218.0,44968.0,44633.0,:
Quarterly,Seasonally and calendar adjusted data,Received,Total economy,"Saving, gross",Million euro (SCA),Lithuania,3436.0,3763.0,3880.0,3792.0,3431.0,4323.0,4242.0,4245.0,4247.0,4425.0,4752.0,:
Quarterly,Seasonally and calendar adjusted data,Received,Total economy,"Saving, gross",Million euro (SCA),Luxembourg,5811.0,3171.0,2262.0,4281.0,4347.0,3127.0,1780.0,2466.0,3171.0,3821.0,2243.0,:
Quarterly,Seasonally and calendar adjusted data,Received,Total economy,"Saving, gross",Million euro (SCA),Latvia,1778.0,1978.0,1854.0,1772.0,1335.0,2180.0,2162.0,1685.0,1880.0,1684.0,1922.0,:
Quarterly,Seasonally and calendar adjusted data,Received,Total economy,"Saving, gross",Million euro (SCA),Malta,1186.0,1045.0,889.0,1148.0,1131.0,1115.0,1302.0,1278.0,1251.0,1275.0,1413.0,:
Quarterly,Seasonally and calendar adjusted data,Received,Total economy,"Saving, gross",Million euro (SCA),Netherlands,64998.0,75940.0,70745.0,72178.0,74194.0,76166.0,81983.0,78368.0,80169.0,79101.0,82988.0,:
Quarterly,Seasonally and calendar adjusted data,Received,Total economy,"Saving, gross",Million euro (SCA),Norway,48368.0,70083.0,68510.0,79592.0,59656.0,55772.0,45217.0,:,:,:,:,:
Quarterly,Seasonally and calendar adjusted data,Received,Total economy,"Saving, gross",Million euro (SCA),Poland,28761.0,31353.0,28247.0,33678.0,34633.0,39160.0,37268.0,36618.0,38849.0,37632.0,:,:
Quarterly,Seasonally and calendar adjusted data,Received,Total economy,"Saving, gross",Million euro (SCA),Portugal,11014.0,11668.0,11501.0,11971.0,11466.0,14318 p,13641 p,13890 p,13568 p,16134 p,15359 p,15003 p
Quarterly,Seasonally and calendar adjusted data,Received,Total economy,"Saving, gross",Million euro (SCA),Sweden,45327.0,42032.0,43079.0,43444.0,42657.0,44097.0,41857.0,42100.0,42909.0,44194.0,44798.0,44110.0
Quarterly,Seasonally and calendar adjusted data,Received,Total economy,"Saving, gross",Million euro (SCA),Slovenia,3199.0,3358.0,3247.0,3503.0,3157.0,4106.0,4437.0,4154.0,4341.0,4257.0,4475.0,:
Quarterly,Seasonally and calendar adjusted data,Received,Total economy,"Saving, gross",Million euro (SCA),Slovakia,4415 e,3677 e,3998 e,3972 e,3675 e,4716 e,5787 e,6149 e,6946 e,5923 e,5952 e,:
