Time frequency,Agricultural area,Legal type of the holding,Unit of measure,Eurofarm indicators,Geopolitical entity (reporting)\Time,2005.0,2007.0,2010.0,2013.0
Annual,Total,Total,Thousand full-time equivalents (FTE),pers: Labour force - members of sole holders' family,Czechia,27.77,44.76,23.21,26.08
Annual,Total,Total,Thousand full-time equivalents (FTE),pers: Labour force - members of sole holders' family,Germany,416.37,382.22,283.31,249.52
Annual,Total,Total,Thousand full-time equivalents (FTE),pers: Labour force - members of sole holders' family,Denmark,22.44,19.93,16.76,17.21
Annual,Total,Total,Thousand full-time equivalents (FTE),pers: Labour force - members of sole holders' family,Estonia,39.91,29.04,21.8,14.64
Annual,Total,Total,Thousand full-time equivalents (FTE),pers: Labour force - members of sole holders' family,Greece,668.76,619.08,464.11,504.72
Annual,Total,Total,Thousand full-time equivalents (FTE),pers: Labour force - members of sole holders' family,Spain,955.35,927.04,1089.9,643.81
Annual,Total,Total,Thousand full-time equivalents (FTE),pers: Labour force - members of sole holders' family,Finland,70.52,62.61,48.71,48.39
Annual,Total,Total,Thousand full-time equivalents (FTE),pers: Labour force - members of sole holders' family,France,242.13,205.58,165.95,137.44
Annual,Total,Total,Thousand full-time equivalents (FTE),pers: Labour force - members of sole holders' family,Croatia,:,248.71,273.19,223.42
Annual,Total,Total,Thousand full-time equivalents (FTE),pers: Labour force - members of sole holders' family,Hungary,618.44,552.85,485.5,480.26
Annual,Total,Total,Thousand full-time equivalents (FTE),pers: Labour force - members of sole holders' family,Ireland,103.27,100.96,116.08,113.18
Annual,Total,Total,Thousand full-time equivalents (FTE),pers: Labour force - members of sole holders' family,Iceland,:,:,1.93,:
Annual,Total,Total,Thousand full-time equivalents (FTE),pers: Labour force - members of sole holders' family,Italy,1427.99,1393.03,1625.86,996.88
Annual,Total,Total,Thousand full-time equivalents (FTE),pers: Labour force - members of sole holders' family,Lithuania,258.58,222.86,141.5,94.25
Annual,Total,Total,Thousand full-time equivalents (FTE),pers: Labour force - members of sole holders' family,Luxembourg,2.69,2.49,1.98,1.81
Annual,Total,Total,Thousand full-time equivalents (FTE),pers: Labour force - members of sole holders' family,Latvia,111.47,88.7,80.66,72.47
Annual,Total,Total,Thousand full-time equivalents (FTE),pers: Labour force - members of sole holders' family,Montenegro,:,:,49.38,:
Annual,Total,Total,Thousand full-time equivalents (FTE),pers: Labour force - members of sole holders' family,Malta,6.7,5.91,5.52,5.12
Annual,Total,Total,Thousand full-time equivalents (FTE),pers: Labour force - members of sole holders' family,Netherlands,82.69,77.41,79.97,70.2
Annual,Total,Total,Thousand full-time equivalents (FTE),pers: Labour force - members of sole holders' family,Norway,77.62,70.29,61.76,64.01
Annual,Total,Total,Thousand full-time equivalents (FTE),pers: Labour force - members of sole holders' family,Poland,2571.48,2592.49,2233.53,2063.94
Annual,Total,Total,Thousand full-time equivalents (FTE),pers: Labour force - members of sole holders' family,Portugal,439.05,367.58,360.45,312.34
Annual,Total,Total,Thousand full-time equivalents (FTE),pers: Labour force - members of sole holders' family,Romania,4197.5,2482.14,3222.95,2890.85
Annual,Total,Total,Thousand full-time equivalents (FTE),pers: Labour force - members of sole holders' family,Sweden,61.95,60.91,53.98,46.78
Annual,Total,Total,Thousand full-time equivalents (FTE),pers: Labour force - members of sole holders' family,Slovenia,126.98,122.29,134.03,131.45
Annual,Total,Total,Thousand full-time equivalents (FTE),pers: Labour force - members of sole holders' family,Slovakia,92.27,89.69,23.88,18.27
Annual,Total,Total,Thousand full-time equivalents (FTE),pers: Labour force - members of sole holders' family,United Kingdom,235.54,189.76,142.31,147.15
Annual,Total,Total,Thousand full-time equivalents (FTE),pers: Regular non family labour force,Austria,24.18,29.5,27.08,28.91
Annual,Total,Total,Thousand full-time equivalents (FTE),pers: Regular non family labour force,Belgium,13.88,13.56,14.44,15.55
Annual,Total,Total,Thousand full-time equivalents (FTE),pers: Regular non family labour force,Bulgaria,57.43,52.2,57.43,57.99
Annual,Total,Total,Thousand full-time equivalents (FTE),pers: Regular non family labour force,Switzerland,41.66,42.11,44.47,:
Annual,Total,Total,Thousand full-time equivalents (FTE),pers: Regular non family labour force,Cyprus,5.32,5.55,4.31,4.3
Annual,Total,Total,Thousand full-time equivalents (FTE),pers: Regular non family labour force,Czechia,116.46,110.73,89.76,82.71
Annual,Total,Total,Thousand full-time equivalents (FTE),pers: Regular non family labour force,Germany,168.7,167.58,172.36,176.97
Annual,Total,Total,Thousand full-time equivalents (FTE),pers: Regular non family labour force,Denmark,23.53,21.5,22.64,25.95
Annual,Total,Total,Thousand full-time equivalents (FTE),pers: Regular non family labour force,Estonia,14.38,14.5,12.92,13.32
Annual,Total,Total,Thousand full-time equivalents (FTE),pers: Regular non family labour force,Greece,24.86,29.58,26.26,25.07
Annual,Total,Total,Thousand full-time equivalents (FTE),pers: Regular non family labour force,Spain,202.51,210.17,275.26,345.49
Annual,Total,Total,Thousand full-time equivalents (FTE),pers: Regular non family labour force,Finland,14.04,13.74,14.12,18.98
Annual,Total,Total,Thousand full-time equivalents (FTE),pers: Regular non family labour force,France,425.98,427.21,446.41,416.03
Annual,Total,Total,Thousand full-time equivalents (FTE),pers: Regular non family labour force,Croatia,:,11.82,14.33,13.46
Annual,Total,Total,Thousand full-time equivalents (FTE),pers: Regular non family labour force,Hungary,97.5,89.29,90.68,97.37
Annual,Total,Total,Thousand full-time equivalents (FTE),pers: Regular non family labour force,Ireland,14.06,15.25,16.41,17.24
Annual,Total,Total,Thousand full-time equivalents (FTE),pers: Regular non family labour force,Iceland,:,:,1.73,:
Annual,Total,Total,Thousand full-time equivalents (FTE),pers: Regular non family labour force,Italy,151.97,117.61,163.15,146.37
Annual,Total,Total,Thousand full-time equivalents (FTE),pers: Regular non family labour force,Lithuania,26.52,28.33,27.92,33.88
Annual,Total,Total,Thousand full-time equivalents (FTE),pers: Regular non family labour force,Luxembourg,0.61,0.55,0.88,1.16
Annual,Total,Total,Thousand full-time equivalents (FTE),pers: Regular non family labour force,Latvia,20.87,21.26,17.44,20.31
Annual,Total,Total,Thousand full-time equivalents (FTE),pers: Regular non family labour force,Montenegro,:,:,0.76,:
Annual,Total,Total,Thousand full-time equivalents (FTE),pers: Regular non family labour force,Malta,0.58,0.66,0.87,0.56
Annual,Total,Total,Thousand full-time equivalents (FTE),pers: Regular non family labour force,Netherlands,76.91,73.91,63.71,59.82
Annual,Total,Total,Thousand full-time equivalents (FTE),pers: Regular non family labour force,Norway,21.81,22.79,17.37,17.96
Annual,Total,Total,Thousand full-time equivalents (FTE),pers: Regular non family labour force,Poland,67.15,62.17,86.47,78.46
Annual,Total,Total,Thousand full-time equivalents (FTE),pers: Regular non family labour force,Portugal,50.73,46.15,50.25,60.56
Annual,Total,Total,Thousand full-time equivalents (FTE),pers: Regular non family labour force,Romania,79.33,71.77,105.63,89.8
Annual,Total,Total,Thousand full-time equivalents (FTE),pers: Regular non family labour force,Sweden,21.45,21.14,21.7,21.97
Annual,Total,Total,Thousand full-time equivalents (FTE),pers: Regular non family labour force,Slovenia,3.55,3.1,3.25,2.63
Annual,Total,Total,Thousand full-time equivalents (FTE),pers: Regular non family labour force,Slovakia,60.87,55.71,44.9,40.92
Annual,Total,Total,Thousand full-time equivalents (FTE),pers: Regular non family labour force,United Kingdom,138.31,120.46,99.27,110.14
Annual,Total,Total,Thousand full-time equivalents (FTE),pers: Female: Regular labour force,Austria,187.65,178.53,141.63,138.32
Annual,Total,Total,Thousand full-time equivalents (FTE),pers: Female: Regular labour force,Belgium,32.48,30.28,27.24,24.95
Annual,Total,Total,Thousand full-time equivalents (FTE),pers: Female: Regular labour force,Bulgaria,473.9,411.69,321.2,236.6
Annual,Total,Total,Thousand full-time equivalents (FTE),pers: Female: Regular labour force,Switzerland,66.54,63.54,62.93,:
Annual,Total,Total,Thousand full-time equivalents (FTE),pers: Female: Regular labour force,Cyprus,34.49,33.56,31.58,29.34
Annual,Total,Total,Thousand full-time equivalents (FTE),pers: Female: Regular labour force,Czechia,61.98,68.81,44.38,42.97
Annual,Total,Total,Thousand full-time equivalents (FTE),pers: Female: Regular labour force,Germany,361.72,337.09,259.08,238.21
Annual,Total,Total,Thousand full-time equivalents (FTE),pers: Female: Regular labour force,Denmark,26.06,24.4,20.95,21.3
Annual,Total,Total,Thousand full-time equivalents (FTE),pers: Female: Regular labour force,Estonia,39.11,31.17,23.52,19.35
Annual,Total,Total,Thousand full-time equivalents (FTE),pers: Female: Regular labour force,Greece,629.89,600.82,480.31,472.67
Annual,Total,Total,Thousand full-time equivalents (FTE),pers: Female: Regular labour force,Spain,692.98,662.63,762.98,504.32
Annual,Total,Total,Thousand full-time equivalents (FTE),pers: Female: Regular labour force,Finland,53.1,48.49,40.9,40.02
Annual,Total,Total,Thousand full-time equivalents (FTE),pers: Female: Regular labour force,France,369.48,338.49,322.8,271.26
Annual,Total,Total,Thousand full-time equivalents (FTE),pers: Female: Regular labour force,Croatia,:,205.71,230.74,173.05
Annual,Total,Total,Thousand full-time equivalents (FTE),pers: Female: Regular labour force,Hungary,662.72,591.28,528.01,484.77
Annual,Total,Total,Thousand full-time equivalents (FTE),pers: Female: Regular labour force,Ireland,69.22,66.67,74.09,74.09
Annual,Total,Total,Thousand full-time equivalents (FTE),pers: Female: Regular labour force,Iceland,:,:,2.05,:
Annual,Total,Total,Thousand full-time equivalents (FTE),pers: Female: Regular labour force,Italy,1299.18,1255.85,1448.42,866.84
Annual,Total,Total,Thousand full-time equivalents (FTE),pers: Female: Regular labour force,Lithuania,268.67,247.26,184.42,143.53
Annual,Total,Total,Thousand full-time equivalents (FTE),pers: Female: Regular labour force,Luxembourg,1.99,1.84,1.6,1.51
Annual,Total,Total,Thousand full-time equivalents (FTE),pers: Female: Regular labour force,Latvia,132.17,109.66,89.25,82.69
Annual,Total,Total,Thousand full-time equivalents (FTE),pers: Female: Regular labour force,Montenegro,:,:,39.17,:
Annual,Total,Total,Thousand full-time equivalents (FTE),pers: Female: Regular labour force,Malta,3.7,3.58,3.94,3.02
Annual,Total,Total,Thousand full-time equivalents (FTE),pers: Female: Regular labour force,Netherlands,83.5,79.96,75.21,61.37
Annual,Total,Total,Thousand full-time equivalents (FTE),pers: Female: Regular labour force,Norway,54.14,50.8,41.71,44.11
Annual,Total,Total,Thousand full-time equivalents (FTE),pers: Female: Regular labour force,Poland,2384.06,2339.88,1702.22,1625.93
Annual,Total,Total,Thousand full-time equivalents (FTE),pers: Female: Regular labour force,Portugal,377.08,319.61,321.4,279.5
Annual,Total,Total,Thousand full-time equivalents (FTE),pers: Female: Regular labour force,Romania,4174.14,2983.54,3358.88,3161.53
Annual,Total,Total,Thousand full-time equivalents (FTE),pers: Female: Regular labour force,Sweden,53.29,52.91,49.53,46.15
Annual,Total,Total,Thousand full-time equivalents (FTE),pers: Female: Regular labour force,Slovenia,95.64,92.13,95.47,89.42
Annual,Total,Total,Thousand full-time equivalents (FTE),pers: Female: Regular labour force,Slovakia,89.9,85.52,30.14,24.92
Annual,Total,Total,Thousand full-time equivalents (FTE),pers: Female: Regular labour force,United Kingdom,209.75,165.06,118.46,124.87
Annual,Total,Total,Thousand full-time equivalents (FTE),pers: Regular Labour force,Austria,437.2,418.64,346.26,337.58
Annual,Total,Total,Thousand full-time equivalents (FTE),pers: Regular Labour force,Belgium,94.98,89.04,80.94,74.83
Annual,Total,Total,Thousand full-time equivalents (FTE),pers: Regular Labour force,Bulgaria,1075.82,949.18,738.9,557.67
Annual,Total,Total,Thousand full-time equivalents (FTE),pers: Regular Labour force,Switzerland,181.09,172.99,166.37,:
Annual,Total,Total,Thousand full-time equivalents (FTE),pers: Regular Labour force,Cyprus,83.72,84.48,82.04,77.39
Annual,Total,Total,Thousand full-time equivalents (FTE),pers: Regular Labour force,Czechia,183.65,191.84,132.73,132.13
Annual,Total,Total,Thousand full-time equivalents (FTE),pers: Regular Labour force,Germany,970.04,915.13,749.74,706.26
Annual,Total,Total,Thousand full-time equivalents (FTE),pers: Regular Labour force,Denmark,96.65,84.81,78.7,79.58
Annual,Total,Total,Thousand full-time equivalents (FTE),pers: Regular Labour force,Estonia,80.77,65.25,52.34,44.22
Annual,Total,Total,Thousand full-time equivalents (FTE),pers: Regular Labour force,Greece,1526.7,1508.18,1212.77,1238.49
Annual,Total,Total,Thousand full-time equivalents (FTE),pers: Regular Labour force,Spain,2102.69,2050.93,2227.02,1782.69
Annual,Total,Total,Thousand full-time equivalents (FTE),pers: Regular Labour force,Finland,154.06,143.39,125.29,120.02
Annual,Total,Total,Thousand full-time equivalents (FTE),pers: Regular Labour force,France,1142.05,1060.31,1014.75,907.08
Annual,Total,Total,Thousand full-time equivalents (FTE),pers: Regular Labour force,Croatia,:,435.74,513.68,388.37
Annual,Total,Total,Thousand full-time equivalents (FTE),pers: Regular Labour force,Hungary,1422.65,1260.63,1143.5,1059.94
Annual,Total,Total,Thousand full-time equivalents (FTE),pers: Regular Labour force,Ireland,247.75,242.86,272.04,269.51
Annual,Total,Total,Thousand full-time equivalents (FTE),pers: Regular Labour force,Iceland,:,:,5.75,:
Annual,Total,Total,Thousand full-time equivalents (FTE),pers: Regular Labour force,Italy,3279.42,3174.15,3392.7,2139.06
Annual,Total,Total,Thousand full-time equivalents (FTE),pers: Regular Labour force,Lithuania,536.98,478.1,366.09,297.95
Annual,Total,Total,Thousand full-time equivalents (FTE),pers: Regular Labour force,Luxembourg,5.64,5.24,4.98,4.95
Annual,Total,Total,Thousand full-time equivalents (FTE),pers: Regular Labour force,Latvia,256.49,216.35,180.99,173.92
Annual,Total,Total,Thousand full-time equivalents (FTE),pers: Regular Labour force,Montenegro,:,:,98.96,:
Annual,Total,Total,Thousand full-time equivalents (FTE),pers: Regular Labour force,Malta,17.97,17.15,18.5,14.87
Annual,Total,Total,Thousand full-time equivalents (FTE),pers: Regular Labour force,Netherlands,237.39,224.07,211.63,193.14
Annual,Total,Total,Thousand full-time equivalents (FTE),pers: Regular Labour force,Norway,151.72,142.51,125.27,124.9
Annual,Total,Total,Thousand full-time equivalents (FTE),pers: Regular Labour force,Poland,5111.47,5026.76,3802.59,3558.71
Annual,Total,Total,Thousand full-time equivalents (FTE),pers: Regular Labour force,Portugal,806.85,682.29,708.08,626.39
Annual,Total,Total,Thousand full-time equivalents (FTE),pers: Regular Labour force,Romania,8514.71,6467.56,7156.93,6577.93
Annual,Total,Total,Thousand full-time equivalents (FTE),pers: Regular Labour force,Sweden,153.8,149.68,141.53,130.71
Annual,Total,Total,Thousand full-time equivalents (FTE),pers: Regular Labour force,Slovenia,207.57,200.59,208.49,200.63
Annual,Total,Total,Thousand full-time equivalents (FTE),pers: Regular Labour force,Slovakia,219.83,212.35,90.96,80.02
Annual,Total,Total,Thousand full-time equivalents (FTE),pers: Regular Labour force,United Kingdom,641.85,520.13,416.66,431.26
