Annual,Number,GT1,BR,8.0,4.0,6.0,4.0,9.0,19.0,24.0,15.0,28.0,22.0,13.0,13.0,18.0,6 p
Annual,Number,GT1,CA,22.0,34.0,39.0,47.0,44.0,45.0,100.0,92.0,60.0,78.0,145.0,71.0,74.0,54 p
Annual,Number,GT1,CH,111.0,159.0,212.0,241.0,317.0,205.0,164.0,169.0,207.0,160.0,172.0,186.0,158.0,161 p
Annual,Number,GT1,CN_X_HK,10.0,29.0,40.0,62.0,107.0,136.0,112.0,169.0,209.0,283.0,372.0,374.0,502.0,516 p
Annual,Number,GT1,CY,3.0,:,2.0,7.0,1.0,2.0,1.0,7.0,8.0,5.0,10.0,7.0,5.0,10 p
Annual,Number,GT1,CZ,5.0,15.0,45.0,75.0,83.0,68.0,87.0,106.0,138.0,115.0,130.0,126.0,111.0,80 p
Annual,Number,GT1,DE,1203.0,1570.0,1778.0,1975.0,2247.0,2208.0,2100.0,2185.0,2263.0,2263.0,2063.0,1825.0,1777.0,1638 p
Annual,Number,GT1,DK,175.0,157.0,160.0,168.0,182.0,176.0,185.0,162.0,184.0,182.0,145.0,170.0,184.0,152 p
Annual,Number,GT1,EE,:,3.0,1.0,8.0,5.0,4.0,8.0,11.0,16.0,23.0,25.0,14.0,20.0,19 p
Annual,Number,GT1,EL,1.0,4.0,7.0,4.0,15.0,15.0,14.0,20.0,19.0,18.0,32.0,18.0,32.0,27 p
Annual,Number,GT1,ES,375.0,434.0,552.0,520.0,536.0,527.0,492.0,528.0,485.0,472.0,424.0,417.0,409.0,375 p
Annual,Number,GT1,EU27_2020,3635.0,4787.0,5602.0,5994.0,6501.0,6672.0,6617.0,6728.0,6941.0,7059.0,6570.0,6294.0,6109.0,5818 p
Annual,Number,GT1,EU28,4147.0,5390.0,6309.0,6661.0,7324.0,7375.0,7210.0,7474.0,7690.0,7865.0,7326.0,6987.0,6785.0,6489 p
Annual,Number,GT1,FI,58.0,101.0,108.0,104.0,123.0,124.0,121.0,126.0,118.0,145.0,154.0,134.0,123.0,109 p
Annual,Number,GT1,FR,421.0,596.0,688.0,743.0,782.0,821.0,804.0,777.0,782.0,810.0,714.0,602.0,601.0,536 p
Annual,Number,GT1,HK,91.0,119.0,118.0,107.0,133.0,99.0,109.0,92.0,108.0,102.0,103.0,109.0,94.0,90 p
Annual,Number,GT1,HR,2.0,4.0,1.0,2.0,2.0,6.0,3.0,:,:,2.0,4.0,6.0,10.0,3 p
Annual,Number,GT1,HU,1.0,16.0,23.0,14.0,32.0,26.0,27.0,31.0,26.0,23.0,21.0,26.0,29.0,31 p
