Time frequency,Sex,Age class,Unit of measure,Geopolitical entity (reporting)\Time,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Total,Less than 65 years,Percentage,Latvia,7.7,7.0,7.3,7.3,7.4,7.4,6.6,7.2,7.0
Annual,Total,Less than 65 years,Percentage,Malta,9.2,6.8,6.6,5.3,4.9,5.4,5.3,3.8,3.6
Annual,Total,Less than 65 years,Percentage,Netherlands,10.0,9.5,9.4,8.4,8.9,8.7,8.6,8.4,8.2
Annual,Total,Less than 65 years,Percentage,Poland,6.9,6.6,5.8,5.7,5.0,4.3,4.2,3.8,3.9
Annual,Total,Less than 65 years,Percentage,Portugal,10.2,8.5,7.7,6.9,6.2,5.0,5.3,5.6,6.3
Annual,Total,Less than 65 years,Percentage,Romania,6.2,6.4,5.4,6.0,4.5,4.7,3.5,4.2,5.2
Annual,Total,Less than 65 years,Percentage,Sweden,7.8,7.8,8.2,8.3,8.3,7.9,8.8,8.1,8.0
Annual,Total,Less than 65 years,Percentage,Slovenia,5.8,6.0,5.2,4.4,4.3,3.9,3.6,3.8,3.8
Annual,Total,Less than 65 years,Percentage,Slovakia,7.0,6.4,5.3,5.2,6.3,4.3,4.9,3.8,4.6
Annual,Total,Less than 65 years,Percentage point change (t-(t-3)),Austria,:,:,:,0.1,-0.4,-1.1,1.0,-0.9,-0.4
Annual,Total,Less than 65 years,Percentage point change (t-(t-3)),Belgium,:,:,:,-1.9,-2.4,-2.2,-1.2,-1.3,-1.8
Annual,Total,Less than 65 years,Percentage point change (t-(t-3)),Bulgaria,:,:,:,-2.5,-2.3,-2.7,-0.6,-0.6,-1.4
Annual,Total,Less than 65 years,Percentage point change (t-(t-3)),Cyprus,:,:,:,-2.3,-3.5,-3.4,-2.3,-2.5,-0.9
Annual,Total,Less than 65 years,Percentage point change (t-(t-3)),Czechia,:,:,:,-2.3,-2.3,-1.3,0.9,0.1,0.7
Annual,Total,Less than 65 years,Percentage point change (t-(t-3)),Germany,:,:,:,-1.5,-1.8,-0.4 b,1.5,2.2,1.6 b
Annual,Total,Less than 65 years,Percentage point change (t-(t-3)),Denmark,:,:,:,-1.9,-1.6,-1.4,-0.3,-0.7,0.7
Annual,Total,Less than 65 years,Percentage point change (t-(t-3)),Euro area – 20 countries (from 2023),:,:,:,-1.8,-2.1,-0.8,0.9,0.4,-0.3
Annual,Total,Less than 65 years,Percentage point change (t-(t-3)),Estonia,:,:,:,-0.9,-0.2,-0.6,-0.2,0.4,1.1
Annual,Total,Less than 65 years,Percentage point change (t-(t-3)),Greece,:,:,:,-1.7,-3.0,-2.5,-1.5,-3.2,-3.5
Annual,Total,Less than 65 years,Percentage point change (t-(t-3)),Spain,:,:,:,-4.6,-4.0,-2.8,0.8,-2.2,-1.6
Annual,Total,Less than 65 years,Percentage point change (t-(t-3)),European Union - 27 countries (from 2020),:,:,:,-1.6,-2.0,-0.8,0.5,0.3,-0.3
Annual,Total,Less than 65 years,Percentage point change (t-(t-3)),Finland,:,:,:,-0.4,-4.0 b,-3.1,-2.5,2.0 b,0.4
Annual,Total,Less than 65 years,Percentage point change (t-(t-3)),France,:,:,:,-0.8,-0.7,2.0 b,3.3,2.8 b,-0.5 b
Annual,Total,Less than 65 years,Percentage point change (t-(t-3)),Croatia,:,:,:,-3.0,-3.6,-3.4,-1.8,-1.2,-1.7
Annual,Total,Less than 65 years,Percentage point change (t-(t-3)),Hungary,:,:,:,-3.3,-2.8,-1.4,-0.1,1.3,0.0
Annual,Total,Less than 65 years,Percentage point change (t-(t-3)),Ireland,:,:,:,-5.6,-4.9 b,-4.7 b,-0.8,-3.3 b,-2.3 b
Annual,Total,Less than 65 years,Percentage point change (t-(t-3)),Italy,:,:,:,-0.5,-2.5,-0.6,0.1,0.2,-1.3
Annual,Total,Less than 65 years,Percentage point change (t-(t-3)),Lithuania,:,:,:,0.1,-2.6,-2.2,-1.1,0.7,0.8
Annual,Total,Less than 65 years,Percentage point change (t-(t-3)),Luxembourg,:,:,:,2.4,0.4,0.6 b,-2.3 b,-3.4 b,-3.2 b
Annual,Total,Less than 65 years,Percentage point change (t-(t-3)),Latvia,:,:,:,-0.4,0.4,0.1,-0.7,-0.2,-0.4
Annual,Total,Less than 65 years,Percentage point change (t-(t-3)),Malta,:,:,:,-3.9,-1.9,-1.2,0.0,-1.1,-1.8
Annual,Total,Less than 65 years,Percentage point change (t-(t-3)),Netherlands,:,:,:,-1.6,-0.6,-0.7,0.2,-0.5,-0.5
Annual,Total,Less than 65 years,Percentage point change (t-(t-3)),Poland,:,:,:,-1.2,-1.6,-1.5,-1.5,-1.2,-0.4
Annual,Total,Less than 65 years,Percentage point change (t-(t-3)),Portugal,:,:,:,-3.3,-2.3,-2.7,-1.6,-0.6,1.3
Annual,Total,Less than 65 years,Percentage point change (t-(t-3)),Romania,:,:,:,-0.2,-1.9,-0.7,-2.5,-0.3,0.5
Annual,Total,Less than 65 years,Percentage point change (t-(t-3)),Sweden,:,:,:,0.5,0.5,-0.3,0.5,-0.2,0.1
Annual,Total,Less than 65 years,Percentage point change (t-(t-3)),Slovenia,:,:,:,-1.4,-1.7,-1.3,-0.8,-0.5,-0.1
Annual,Total,Less than 65 years,Percentage point change (t-(t-3)),Slovakia,:,:,:,-1.8,-0.1,-1.0,-0.3,-2.5,0.3
