Time frequency,Unit of measure,Mode of transport,Geopolitical entity (reporting)\Time,2000.0,2010.0
Annual,Participation rate (%),Other,France,:,59.3
Annual,Participation rate (%),Other,Hungary,:,36.7
Annual,Participation rate (%),Other,Italy,5.7,61.6
Annual,Participation rate (%),Other,Lithuania,1.1,:
Annual,Participation rate (%),Other,Luxembourg,:,69.6
Annual,Participation rate (%),Other,Latvia,4.6,:
Annual,Participation rate (%),Other,Netherlands,:,77.1
Annual,Participation rate (%),Other,Norway,2.1,60.0
Annual,Participation rate (%),Other,Poland,0.2,53.3
Annual,Participation rate (%),Other,Romania,:,31.1
Annual,Participation rate (%),Other,Serbia,:,33.7
Annual,Participation rate (%),Other,Slovenia,9.9,:
Annual,Participation rate (%),Other,Türkiye,:,61.6
Annual,Participation rate (%),Other,United Kingdom,:,53.9
Annual,Participation rate (%),"Private cars, motorcycles, vans",Austria,:,48.2
Annual,Participation rate (%),"Private cars, motorcycles, vans",Belgium,67.2,65.4
Annual,Participation rate (%),"Private cars, motorcycles, vans",Bulgaria,12.2,:
Annual,Participation rate (%),"Private cars, motorcycles, vans",Germany,65.6,58.5
Annual,Participation rate (%),"Private cars, motorcycles, vans",Estonia,29.9,43.7
Annual,Participation rate (%),"Private cars, motorcycles, vans",Greece,:,43.8
Annual,Participation rate (%),"Private cars, motorcycles, vans",Spain,28.3,51.0
Annual,Participation rate (%),"Private cars, motorcycles, vans",Finland,57.3,57.4
Annual,Participation rate (%),"Private cars, motorcycles, vans",France,:,61.9
Annual,Participation rate (%),"Private cars, motorcycles, vans",Hungary,:,29.8
Annual,Participation rate (%),"Private cars, motorcycles, vans",Italy,66.0,64.1
Annual,Participation rate (%),"Private cars, motorcycles, vans",Lithuania,29.9,:
Annual,Participation rate (%),"Private cars, motorcycles, vans",Luxembourg,:,71.1
Annual,Participation rate (%),"Private cars, motorcycles, vans",Latvia,26.1,:
Annual,Participation rate (%),"Private cars, motorcycles, vans",Netherlands,:,55.1
Annual,Participation rate (%),"Private cars, motorcycles, vans",Norway,70.9,71.6
Annual,Participation rate (%),"Private cars, motorcycles, vans",Poland,33.0,42.9
Annual,Participation rate (%),"Private cars, motorcycles, vans",Romania,:,12.4
Annual,Participation rate (%),"Private cars, motorcycles, vans",Serbia,:,28.3
Annual,Participation rate (%),"Private cars, motorcycles, vans",Slovenia,56.8,:
Annual,Participation rate (%),"Private cars, motorcycles, vans",Türkiye,:,21.8
Annual,Participation rate (%),"Private cars, motorcycles, vans",United Kingdom,:,61.0
Annual,Participation rate (%),Public transport,Austria,:,13.1
Annual,Participation rate (%),Public transport,Belgium,10.2,10.0
Annual,Participation rate (%),Public transport,Bulgaria,20.1,:
Annual,Participation rate (%),Public transport,Germany,12.6,12.8
Annual,Participation rate (%),Public transport,Estonia,24.4,18.3
Annual,Participation rate (%),Public transport,Greece,:,10.9
Annual,Participation rate (%),Public transport,Spain,9.2,10.4
Annual,Participation rate (%),Public transport,Finland,11.1,10.5
Annual,Participation rate (%),Public transport,France,:,9.1
Annual,Participation rate (%),Public transport,Hungary,:,17.6
Annual,Participation rate (%),Public transport,Italy,6.7,6.5
Annual,Participation rate (%),Public transport,Lithuania,19.3,:
Annual,Participation rate (%),Public transport,Luxembourg,:,15.3
Annual,Participation rate (%),Public transport,Latvia,23.2,:
Annual,Participation rate (%),Public transport,Netherlands,:,8.1
Annual,Participation rate (%),Public transport,Norway,13.8,14.2
Annual,Participation rate (%),Public transport,Poland,18.7,12.6
Annual,Participation rate (%),Public transport,Romania,:,20.4
Annual,Participation rate (%),Public transport,Serbia,:,15.0
Annual,Participation rate (%),Public transport,Slovenia,6.7,:
Annual,Participation rate (%),Public transport,Türkiye,:,16.6
Annual,Participation rate (%),Public transport,United Kingdom,:,16.0
Annual,Participation time (hh:mm),Bicycles,Austria,:,0:44
Annual,Participation time (hh:mm),Bicycles,Belgium,0:51,1:02
Annual,Participation time (hh:mm),Bicycles,Bulgaria,0:48,:
Annual,Participation time (hh:mm),Bicycles,Germany,0:45,0:46
Annual,Participation time (hh:mm),Bicycles,Estonia,0:51,1:00
Annual,Participation time (hh:mm),Bicycles,Greece,:,1:09
Annual,Participation time (hh:mm),Bicycles,Spain,0:36,0:55
Annual,Participation time (hh:mm),Bicycles,Finland,0:45,0:46
Annual,Participation time (hh:mm),Bicycles,France,:,1:22
Annual,Participation time (hh:mm),Bicycles,Hungary,:,0:47
Annual,Participation time (hh:mm),Bicycles,Italy,0:41,0:41
Annual,Participation time (hh:mm),Bicycles,Lithuania,0:56,:
Annual,Participation time (hh:mm),Bicycles,Luxembourg,:,0:45
Annual,Participation time (hh:mm),Bicycles,Latvia,0:58,:
Annual,Participation time (hh:mm),Bicycles,Netherlands,:,0:50
Annual,Participation time (hh:mm),Bicycles,Norway,0:36,0:42
Annual,Participation time (hh:mm),Bicycles,Poland,0:48,0:50
Annual,Participation time (hh:mm),Bicycles,Romania,:,0:57
Annual,Participation time (hh:mm),Bicycles,Serbia,:,0:51
Annual,Participation time (hh:mm),Bicycles,Slovenia,0:37,:
Annual,Participation time (hh:mm),Bicycles,Türkiye,:,0:54
Annual,Participation time (hh:mm),Bicycles,United Kingdom,:,1:04
Annual,Participation time (hh:mm),On foot,Austria,:,0:41
Annual,Participation time (hh:mm),On foot,Belgium,0:41,0:54
Annual,Participation time (hh:mm),On foot,Bulgaria,0:50,:
Annual,Participation time (hh:mm),On foot,Germany,0:40,0:35
Annual,Participation time (hh:mm),On foot,Estonia,0:46,0:50
Annual,Participation time (hh:mm),On foot,Greece,:,0:44
Annual,Participation time (hh:mm),On foot,Spain,0:39,0:45
Annual,Participation time (hh:mm),On foot,Finland,0:38,0:40
Annual,Participation time (hh:mm),On foot,France,:,1:12
Annual,Participation time (hh:mm),On foot,Hungary,:,0:51
Annual,Participation time (hh:mm),On foot,Italy,0:40,0:39
Annual,Participation time (hh:mm),On foot,Lithuania,0:51,:
Annual,Participation time (hh:mm),On foot,Luxembourg,:,0:39
Annual,Participation time (hh:mm),On foot,Latvia,0:56,:
Annual,Participation time (hh:mm),On foot,Netherlands,:,0:37
Annual,Participation time (hh:mm),On foot,Norway,0:33,0:37
Annual,Participation time (hh:mm),On foot,Poland,0:48,0:44
Annual,Participation time (hh:mm),On foot,Romania,:,0:59
Annual,Participation time (hh:mm),On foot,Serbia,:,1:03
Annual,Participation time (hh:mm),On foot,Slovenia,0:38,:
Annual,Participation time (hh:mm),On foot,Türkiye,:,0:52
Annual,Participation time (hh:mm),On foot,United Kingdom,:,1:02
Annual,Participation time (hh:mm),Other,Austria,:,6:58
Annual,Participation time (hh:mm),Other,Belgium,0:42,2:31
Annual,Participation time (hh:mm),Other,Bulgaria,1:01,:
Annual,Participation time (hh:mm),Other,Germany,0:40,22:49
Annual,Participation time (hh:mm),Other,Estonia,0:37,2:36
Annual,Participation time (hh:mm),Other,Greece,:,2:13
Annual,Participation time (hh:mm),Other,Spain,0:57,2:33
Annual,Participation time (hh:mm),Other,Finland,0:33,2:32
Annual,Participation time (hh:mm),Other,France,:,2:40
Annual,Participation time (hh:mm),Other,Hungary,:,1:49
Annual,Participation time (hh:mm),Other,Italy,0:40,2:31
Annual,Participation time (hh:mm),Other,Lithuania,1:01,:
Annual,Participation time (hh:mm),Other,Luxembourg,:,2:30
Annual,Participation time (hh:mm),Other,Latvia,1:07,:
Annual,Participation time (hh:mm),Other,Netherlands,:,2:45
Annual,Participation time (hh:mm),Other,Norway,0:26,2:05
Annual,Participation time (hh:mm),Other,Poland,0:51,1:57
Annual,Participation time (hh:mm),Other,Romania,:,1:49
Annual,Participation time (hh:mm),Other,Serbia,:,1:45
Annual,Participation time (hh:mm),Other,Slovenia,0:38,:
Annual,Participation time (hh:mm),Other,Türkiye,:,2:21
Annual,Participation time (hh:mm),Other,United Kingdom,:,3:09
Annual,Participation time (hh:mm),"Private cars, motorcycles, vans",Austria,:,1:10
Annual,Participation time (hh:mm),"Private cars, motorcycles, vans",Belgium,1:28,1:24
Annual,Participation time (hh:mm),"Private cars, motorcycles, vans",Bulgaria,1:06,:
Annual,Participation time (hh:mm),"Private cars, motorcycles, vans",Germany,1:22,1:18
Annual,Participation time (hh:mm),"Private cars, motorcycles, vans",Estonia,1:09,1:22
Annual,Participation time (hh:mm),"Private cars, motorcycles, vans",Greece,:,1:05
Annual,Participation time (hh:mm),"Private cars, motorcycles, vans",Spain,1:14,1:17
Annual,Participation time (hh:mm),"Private cars, motorcycles, vans",Finland,1:16,1:21
Annual,Participation time (hh:mm),"Private cars, motorcycles, vans",France,:,1:32
Annual,Participation time (hh:mm),"Private cars, motorcycles, vans",Hungary,:,1:17
Annual,Participation time (hh:mm),"Private cars, motorcycles, vans",Italy,1:25,1:24
Annual,Participation time (hh:mm),"Private cars, motorcycles, vans",Lithuania,1:11,:
Annual,Participation time (hh:mm),"Private cars, motorcycles, vans",Luxembourg,:,1:26
Annual,Participation time (hh:mm),"Private cars, motorcycles, vans",Latvia,1:28,:
Annual,Participation time (hh:mm),"Private cars, motorcycles, vans",Netherlands,:,1:23
Annual,Participation time (hh:mm),"Private cars, motorcycles, vans",Norway,1:11,1:17
Annual,Participation time (hh:mm),"Private cars, motorcycles, vans",Poland,1:06,1:10
Annual,Participation time (hh:mm),"Private cars, motorcycles, vans",Romania,:,1:12
Annual,Participation time (hh:mm),"Private cars, motorcycles, vans",Serbia,:,1:11
Annual,Participation time (hh:mm),"Private cars, motorcycles, vans",Slovenia,1:12,:
Annual,Participation time (hh:mm),"Private cars, motorcycles, vans",Türkiye,:,1:20
Annual,Participation time (hh:mm),"Private cars, motorcycles, vans",United Kingdom,:,1:25
Annual,Participation time (hh:mm),Public transport,Austria,:,1:20
Annual,Participation time (hh:mm),Public transport,Belgium,1:26,1:34
Annual,Participation time (hh:mm),Public transport,Bulgaria,1:08,:
Annual,Participation time (hh:mm),Public transport,Germany,1:36,1:53
Annual,Participation time (hh:mm),Public transport,Estonia,1:04,1:08
Annual,Participation time (hh:mm),Public transport,Greece,:,1:10
Annual,Participation time (hh:mm),Public transport,Spain,1:27,1:21
Annual,Participation time (hh:mm),Public transport,Finland,1:29,1:44
Annual,Participation time (hh:mm),Public transport,France,:,1:38
Annual,Participation time (hh:mm),Public transport,Hungary,:,1:20
Annual,Participation time (hh:mm),Public transport,Italy,1:31,1:53
Annual,Participation time (hh:mm),Public transport,Lithuania,1:04,:
Annual,Participation time (hh:mm),Public transport,Luxembourg,:,1:16
Annual,Participation time (hh:mm),Public transport,Latvia,1:10,:
Annual,Participation time (hh:mm),Public transport,Netherlands,:,1:34
Annual,Participation time (hh:mm),Public transport,Norway,1:10,1:21
Annual,Participation time (hh:mm),Public transport,Poland,1:05,1:18
Annual,Participation time (hh:mm),Public transport,Romania,:,1:02
Annual,Participation time (hh:mm),Public transport,Serbia,:,1:21
Annual,Participation time (hh:mm),Public transport,Slovenia,1:21,:
Annual,Participation time (hh:mm),Public transport,Türkiye,:,1:25
Annual,Participation time (hh:mm),Public transport,United Kingdom,:,1:46
Annual,Time spent (hh:mm),Bicycles,Austria,:,0:02
Annual,Time spent (hh:mm),Bicycles,Belgium,0:05,0:06
Annual,Time spent (hh:mm),Bicycles,Bulgaria,0:00,:
Annual,Time spent (hh:mm),Bicycles,Germany,0:05,0:04
Annual,Time spent (hh:mm),Bicycles,Estonia,0:02,0:02
Annual,Time spent (hh:mm),Bicycles,Greece,:,0:01
Annual,Time spent (hh:mm),Bicycles,Spain,0:00,0:00
Annual,Time spent (hh:mm),Bicycles,Finland,0:04,0:03
Annual,Time spent (hh:mm),Bicycles,France,:,0:02
Annual,Time spent (hh:mm),Bicycles,Hungary,:,0:06
Annual,Time spent (hh:mm),Bicycles,Italy,0:02,0:02
Annual,Time spent (hh:mm),Bicycles,Lithuania,0:02,:
Annual,Time spent (hh:mm),Bicycles,Luxembourg,:,0:01
Annual,Time spent (hh:mm),Bicycles,Latvia,0:01,:
Annual,Time spent (hh:mm),Bicycles,Netherlands,:,0:13
Annual,Time spent (hh:mm),Bicycles,Norway,0:02,0:02
Annual,Time spent (hh:mm),Bicycles,Poland,0:03,0:02
Annual,Time spent (hh:mm),Bicycles,Romania,:,0:01
Annual,Time spent (hh:mm),Bicycles,Serbia,:,0:04
Annual,Time spent (hh:mm),Bicycles,Slovenia,0:01,:
Annual,Time spent (hh:mm),Bicycles,Türkiye,:,0:00
Annual,Time spent (hh:mm),Bicycles,United Kingdom,:,0:02
Annual,Time spent (hh:mm),On foot,Austria,:,0:09
Annual,Time spent (hh:mm),On foot,Belgium,0:11,0:17
Annual,Time spent (hh:mm),On foot,Bulgaria,0:36,:
Annual,Time spent (hh:mm),On foot,Germany,0:12,0:07
Annual,Time spent (hh:mm),On foot,Estonia,0:25,0:22
Annual,Time spent (hh:mm),On foot,Greece,:,0:25
Annual,Time spent (hh:mm),On foot,Spain,0:08,0:24
Annual,Time spent (hh:mm),On foot,Finland,0:10,0:10
Annual,Time spent (hh:mm),On foot,France,:,0:23
Annual,Time spent (hh:mm),On foot,Hungary,:,0:23
Annual,Time spent (hh:mm),On foot,Italy,0:18,0:17
Annual,Time spent (hh:mm),On foot,Lithuania,0:31,:
Annual,Time spent (hh:mm),On foot,Luxembourg,:,0:13
Annual,Time spent (hh:mm),On foot,Latvia,0:38,:
Annual,Time spent (hh:mm),On foot,Netherlands,:,0:08
Annual,Time spent (hh:mm),On foot,Norway,0:10,0:12
Annual,Time spent (hh:mm),On foot,Poland,0:32,0:22
Annual,Time spent (hh:mm),On foot,Romania,:,0:32
Annual,Time spent (hh:mm),On foot,Serbia,:,0:43
Annual,Time spent (hh:mm),On foot,Slovenia,0:14,:
Annual,Time spent (hh:mm),On foot,Türkiye,:,0:15
Annual,Time spent (hh:mm),On foot,United Kingdom,:,0:26
Annual,Time spent (hh:mm),Other,Austria,:,6:29
Annual,Time spent (hh:mm),Other,Belgium,0:03,1:05
Annual,Time spent (hh:mm),Other,Bulgaria,0:01,:
Annual,Time spent (hh:mm),Other,Germany,0:01,22:49
Annual,Time spent (hh:mm),Other,Estonia,0:03,1:17
Annual,Time spent (hh:mm),Other,Greece,:,1:05
Annual,Time spent (hh:mm),Other,Spain,0:33,1:38
Annual,Time spent (hh:mm),Other,Finland,0:02,1:48
Annual,Time spent (hh:mm),Other,France,:,1:35
Annual,Time spent (hh:mm),Other,Hungary,:,0:40
Annual,Time spent (hh:mm),Other,Italy,0:02,1:33
Annual,Time spent (hh:mm),Other,Lithuania,0:01,:
Annual,Time spent (hh:mm),Other,Luxembourg,:,1:44
Annual,Time spent (hh:mm),Other,Latvia,0:03,:
Annual,Time spent (hh:mm),Other,Netherlands,:,2:07
Annual,Time spent (hh:mm),Other,Norway,0:01,1:15
Annual,Time spent (hh:mm),Other,Poland,0:00,1:02
Annual,Time spent (hh:mm),Other,Romania,:,0:34
Annual,Time spent (hh:mm),Other,Serbia,:,0:36
Annual,Time spent (hh:mm),Other,Slovenia,0:04,:
Annual,Time spent (hh:mm),Other,Türkiye,:,1:27
Annual,Time spent (hh:mm),Other,United Kingdom,:,1:42
Annual,Time spent (hh:mm),"Private cars, motorcycles, vans",Austria,:,0:34
Annual,Time spent (hh:mm),"Private cars, motorcycles, vans",Belgium,0:59,0:55
Annual,Time spent (hh:mm),"Private cars, motorcycles, vans",Bulgaria,0:08,:
Annual,Time spent (hh:mm),"Private cars, motorcycles, vans",Germany,0:54,0:46
Annual,Time spent (hh:mm),"Private cars, motorcycles, vans",Estonia,0:21,0:36
Annual,Time spent (hh:mm),"Private cars, motorcycles, vans",Greece,:,0:28
Annual,Time spent (hh:mm),"Private cars, motorcycles, vans",Spain,0:21,0:39
Annual,Time spent (hh:mm),"Private cars, motorcycles, vans",Finland,0:43,0:47
Annual,Time spent (hh:mm),"Private cars, motorcycles, vans",France,:,0:57
Annual,Time spent (hh:mm),"Private cars, motorcycles, vans",Hungary,:,0:23
Annual,Time spent (hh:mm),"Private cars, motorcycles, vans",Italy,0:56,0:54
Annual,Time spent (hh:mm),"Private cars, motorcycles, vans",Lithuania,0:21,:
Annual,Time spent (hh:mm),"Private cars, motorcycles, vans",Luxembourg,:,1:01
Annual,Time spent (hh:mm),"Private cars, motorcycles, vans",Latvia,0:23,:
Annual,Time spent (hh:mm),"Private cars, motorcycles, vans",Netherlands,:,0:46
Annual,Time spent (hh:mm),"Private cars, motorcycles, vans",Norway,0:51,0:56
Annual,Time spent (hh:mm),"Private cars, motorcycles, vans",Poland,0:22,0:30
Annual,Time spent (hh:mm),"Private cars, motorcycles, vans",Romania,:,0:09
Annual,Time spent (hh:mm),"Private cars, motorcycles, vans",Serbia,:,0:20
Annual,Time spent (hh:mm),"Private cars, motorcycles, vans",Slovenia,0:41,:
Annual,Time spent (hh:mm),"Private cars, motorcycles, vans",Türkiye,:,0:17
Annual,Time spent (hh:mm),"Private cars, motorcycles, vans",United Kingdom,:,0:52
Annual,Time spent (hh:mm),Public transport,Austria,:,0:10
Annual,Time spent (hh:mm),Public transport,Belgium,0:09,0:09
Annual,Time spent (hh:mm),Public transport,Bulgaria,0:14,:
Annual,Time spent (hh:mm),Public transport,Germany,0:12,0:15
Annual,Time spent (hh:mm),Public transport,Estonia,0:16,0:12
Annual,Time spent (hh:mm),Public transport,Greece,:,0:08
Annual,Time spent (hh:mm),Public transport,Spain,0:08,0:08
Annual,Time spent (hh:mm),Public transport,Finland,0:10,0:11
Annual,Time spent (hh:mm),Public transport,France,:,0:09
Annual,Time spent (hh:mm),Public transport,Hungary,:,0:14
Annual,Time spent (hh:mm),Public transport,Italy,0:06,0:07
Annual,Time spent (hh:mm),Public transport,Lithuania,0:12,:
Annual,Time spent (hh:mm),Public transport,Luxembourg,:,0:12
Annual,Time spent (hh:mm),Public transport,Latvia,0:16,:
Annual,Time spent (hh:mm),Public transport,Netherlands,:,0:08
Annual,Time spent (hh:mm),Public transport,Norway,0:10,0:12
Annual,Time spent (hh:mm),Public transport,Poland,0:12,0:10
Annual,Time spent (hh:mm),Public transport,Romania,:,0:13
Annual,Time spent (hh:mm),Public transport,Serbia,:,0:12
Annual,Time spent (hh:mm),Public transport,Slovenia,0:05,:
Annual,Time spent (hh:mm),Public transport,Türkiye,:,0:14
Annual,Time spent (hh:mm),Public transport,United Kingdom,:,0:17
