Time frequency,Live animals,Unit of measure,Geopolitical entity (reporting)\Time,1960.0,1961.0,1962.0,1963.0,1964.0,1965.0,1966.0,1967.0,1968.0,1969.0,1970.0,1971.0,1972.0,1973.0,1974.0,1975.0,1976.0,1977.0,1978.0,1979.0,1980.0,1981.0,1982.0,1983.0,1984.0,1985.0,1986.0,1987.0,1988.0,1989.0,1990.0,1991.0,1992.0,1993.0,1994.0,1995.0,1996.0,1997.0
Annual,"Live asses, mules and hinnies",Thousand heads (animals),Federal Republic of Germany (former territory of the FRG only),:,:,:,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,:,:,:,:,:,:,:
Annual,"Live asses, mules and hinnies",Thousand heads (animals),Denmark,:,:,:,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,:,:,:,:,:,:,:
Annual,"Live asses, mules and hinnies",Thousand heads (animals),Greece,:,:,:,:,:,654.0,634.0,610.0,587.0,559.0,536.0,514.0,487.0,466.0,443.0,431.0,416.0,398.0,377.0,356.0,341.0,325.0,308.0,293.0,277.0,262.0,243.0,243.0,243.0,243.0,243.0,:,:,:,:,:,:,:
Annual,"Live asses, mules and hinnies",Thousand heads (animals),Spain,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,358.0,347.0,329.0,305.0,288.0,257.0,257.0,257.0,257.0,257.0,:,:,:,:,:,:,:
Annual,"Live asses, mules and hinnies",Thousand heads (animals),European Community - 10 countries (1981-1985),:,:,:,:,:,:,:,:,:,:,1080.19,1016.19,948.76,885.47,830.05,794.65,777.04,728.65,688.97,647.97,613.93,594.87,533.94,512.21,488.41,464.9,437.8,437.6,418.14,421.15,420.851,:,:,:,:,:,:,:
Annual,"Live asses, mules and hinnies",Thousand heads (animals),European Community - 12 countries (1986-1994),:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,801.851,:,:,:,:,:,:,:
Annual,"Live asses, mules and hinnies",Thousand heads (animals),European Community - 9 countries (1973-1980),:,:,:,:,:,:,:,:,:,:,544.19,502.19,461.76,419.47,387.05,363.65,361.04,330.65,311.97,291.97,272.93,269.87,225.94,219.21,211.41,202.9,194.8,194.6,175.14,178.15,177.851,:,:,:,:,:,:,:
Annual,"Live asses, mules and hinnies",Thousand heads (animals),France,143.0,127.0,110.0,101.0,94.0,84.0,80.0,79.0,71.0,67.0,60.19,57.19,54.76,52.07,49.45,44.45,42.04,37.85,35.12,32.97,28.63,28.07,26.1,25.21,23.91,19.6,18.9,18.2,12.7,13.0,12.7,12.4,:,:,:,:,:,:
Annual,"Live asses, mules and hinnies",Thousand heads (animals),Ireland,:,:,:,:,:,:,:,:,:,:,47.0,45.0,44.0,24.4,26.6,32.2,32.0,32.8,34.1,32.0,34.3,33.8,33.5,33.5,32.7,33.7,33.9,34.4,34.4,34.4,34.4,:,:,:,:,:,:,:
Annual,"Live asses, mules and hinnies",Thousand heads (animals),Italy,:,:,:,701.0,688.0,627.0,600.0,548.0,510.0,481.0,437.0,400.0,363.0,343.0,311.0,287.0,287.0,260.0,242.75,227.0,210.0,208.0,165.9,160.5,154.8,149.6,142.0,142.0,128.04,128.04,128.04,:,:,:,:,:,:,:
Annual,"Live asses, mules and hinnies",Thousand heads (animals),Luxembourg,:,:,:,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,:,:,:,:,:,:,:
Annual,"Live asses, mules and hinnies",Thousand heads (animals),Netherlands,:,:,:,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,:,:,:,:
Annual,"Live asses, mules and hinnies",Thousand heads (animals),Portugal,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,120.0,120.0,120.0,124.0,124.0,:,:,:,:,:,:,:
Annual,"Live asses, mules and hinnies",Thousand heads (animals),United Kingdom,:,:,:,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,:,:,:,:,:,:,:
