Time frequency,Unit of measure,Statistical classification of economic activities in the European Community (NACE Rev. 2),Geopolitical entity (reporting)\Time,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0
Annual,"Index, 2015=100","Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply",Ukraine,:,:,148.5 d,140.5 d,111.7 d,125.2 d,135.2 d,134.0 d,128.4 d,114.0 d,100.0 d,104.0 d,105.5 d,108.7 d,108.2 d,103.0 d,105.4 d,66.7 d
Annual,"Index, 2015=100",Manufacturing,Armenia,:,:,:,:,:,76.9 d,86.5 d,91.6 d,98.6 d,104.3 d,100.0 d,106.8 d,122.5 d,133.8 d,143.5,141.0,146.4,169.3
Annual,"Index, 2015=100",Manufacturing,Azerbaijan,62.0,66.3,71.1,75.8,70.0,76.6,82.0,86.4,91.4,93.5,100.0,101.0,99.0,106.9,119.2,131.8,157.7,164.4
Annual,"Index, 2015=100",Manufacturing,Belarus,:,:,:,:,:,96.1 d,106.6 d,113.6 d,107.5 d,107.6 d,100.0 d,99.9 d,106.8 d,113.0 d,114.5,114.3,:,:
Annual,"Index, 2015=100",Manufacturing,Georgia,:,:,:,:,:,79.5,91.8,102.2,110.6,114.4,99.9,103.3,104.9,110.1,111.1,104.4,110.1,122.6
Annual,"Index, 2015=100",Manufacturing,Moldova,:,:,:,:,:,71.9 d,81.9 d,81.4 d,90.1 d,97.8 d,100.0 d,101.8 d,106.5 d,109.5 d,113.0 d,104.9 d,117.0 d,111.8 d
Annual,"Index, 2015=100",Manufacturing,Ukraine,:,:,162.3 d,152.7 d,112.2 d,130.8 d,143.8 d,140.4 d,130.5 d,115.1 d,100.0 d,105.7 d,111.5 d,114.6 d,115.5 d,108.1 d,111.1 d,65.7 d
Annual,"Index, 2015=100","Electricity, gas, steam and air conditioning supply",Armenia,:,:,:,:,:,68.0 d,83.9 d,93.4 d,96.6 d,96.9 d,100.0 d,103.3 d,103.9 d,110.2 d,110.0,110.0,118.7,120.3
Annual,"Index, 2015=100","Electricity, gas, steam and air conditioning supply",Azerbaijan,71.8,79.1,73.7,79.9,70.0,75.7,82.1,91.7,94.6,100.4,100.0,99.5,96.9,103.7,107.3,107.9,115.8,119.4
Annual,"Index, 2015=100","Electricity, gas, steam and air conditioning supply",Belarus,:,:,:,:,:,105.8 d,99.1 d,99.2 d,99.6 d,102.7 d,100.0 d,99.1 d,101.8 d,108.9 d,107.9,103.8,:,:
Annual,"Index, 2015=100","Electricity, gas, steam and air conditioning supply",Georgia,:,:,:,:,:,86.7,92.9,98.9,106.8,106.1,100.5,103.4,114.4,123.7,128.8,123.0,175.8,224.9
Annual,"Index, 2015=100","Electricity, gas, steam and air conditioning supply",Moldova,:,:,:,:,:,99.9 d,98.0 d,98.9 d,94.7 d,98.9 d,100.0 d,99.1 d,97.8 d,105.5 d,100.3 d,102.0 d,119.2 d,109.5 d
Annual,"Index, 2015=100","Electricity, gas, steam and air conditioning supply",Ukraine,:,:,136.8 d,132.3 d,117.2 d,128.3 d,132.1 d,132.5 d,131.5 d,114.6 d,100.0 d,102.3 d,97.0 d,99.7 d,95.3 d,94.0 d,95.3 d,66.1 d
Annual,"Index, 2015=100",Construction,Armenia,118.4 d,163.7 d,196.1 d,202.1 d,126.5 d,123.3 d,112.3 d,109.4 d,101.0 d,101.2 d,100.0 d,87.5 d,89.6 d,93.5 d,98.3 d,89.8 d,:,:
Annual,"Index, 2015=100",Construction,Azerbaijan,23.0,31.3,39.8,55.3,53.4,65.7,87.4,108.6,121.9,119.6,100.0,102.3,96.8,101.9,111.7,115.5,101.0,118.6
Annual,"Index, 2015=100",Construction,Belarus,:,:,:,:,:,117.1 d,124.9 d,114.2 d,119.6 d,112.7 d,100.0 d,85.2 d,82.0 d,86.3 d,90.7 d,89.3 d,:,:
Annual,"Index, 2015=100",Construction,Ukraine,:,:,:,:,:,:,176.2 d,163.7 d,145.7 d,115.0 d,100.0 d,117.9 d,149.9 d,163.1 d,200.4 d,211.0 d,225.6 d,79.6 d
