Time frequency,Source of funds,Unit of measure,Geopolitical entity (reporting)\Time,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Business enterprise sector,Percentage of total,Greece,31.01,30.28,29.84,31.4,40.22,44.77,42.5,41.43,39.95,38.3,37.91,:
Annual,Business enterprise sector,Percentage of total,Spain,45.64,46.3,46.41,45.85,46.7,47.78,49.49,49.09,49.18,50.24,49.34,:
Annual,Business enterprise sector,Percentage of total,European Union - 27 countries (from 2020),56.47 e,56.66 e,56.81 e,56.86 e,58.01 e,59.03 e,59.2 e,58.98 e,57.75 e,57.65 e,:,:
Annual,Business enterprise sector,Percentage of total,Finland,63.06,60.84,53.53,54.76,56.99,58.01,55.8,54.33,55.96,58.08,58.07,:
Annual,Business enterprise sector,Percentage of total,France,55.33,55.07,55.65,:,55.97,56.19 p,56.63 p,56.75,56.44,55.43,56.3,:
Annual,Business enterprise sector,Percentage of total,Croatia,38.22,42.79,42.91,46.64,42.87,42.58,33.19,36.55,37.62,38.44,40.35,:
Annual,Business enterprise sector,Percentage of total,Hungary,46.88,46.8,48.28,49.72,56.43,52.68,52.35 b,52.9,50.23,50.57,44.9,:
Annual,Business enterprise sector,Percentage of total,Ireland,50.18 e,52.61 e,52.16,48.69,49.0,51.34,53.08 e,66.05,:,55.52,:,:
Annual,Business enterprise sector,Percentage of total,Iceland,:,36.92 b,35.73,41.42 b,42.83,39.55,44.97,41.68,41.02,48.85,52.48,:
Annual,Business enterprise sector,Percentage of total,Italy,44.29,45.19,47.28 e,49.99,52.08 b,53.68,54.5,55.94,52.84,53.91,53.2,:
Annual,Business enterprise sector,Percentage of total,Japan,76.12,75.48 b,77.26,77.97,78.09,78.27,79.06 b,78.91,78.31,78.07,78.49,:
Annual,Business enterprise sector,Percentage of total,South Korea,74.73,75.68,75.33,74.55,75.42,76.23,76.64,76.95,76.57,76.12,76.31,:
Annual,Business enterprise sector,Percentage of total,Lithuania,26.47,27.47,32.71,28.53,38.97,35.42,38.04,34.0,37.32,36.06,39.93,:
Annual,Business enterprise sector,Percentage of total,Luxembourg,18.15 b,16.51,0.92,48.27,0.51,49.58,:,51.27,:,44.18,:,:
Annual,Business enterprise sector,Percentage of total,Latvia,23.73,21.79,27.83,20.04,21.56,24.15,22.34,24.28,31.24,33.47,37.32,:
Annual,Business enterprise sector,Percentage of total,Montenegro,:,42.31,28.53,29.85,:,18.72,37.77,11.79,:,:,:,:
Annual,Business enterprise sector,Percentage of total,North Macedonia,:,:,:,16.78,24.06,27.4,30.05,23.61,22.32,:,25.91,:
Annual,Business enterprise sector,Percentage of total,Malta,43.95,39.71,46.46,45.63,54.47,56.36,59.59,58.66,60.25,61.3,58.28,:
Annual,Business enterprise sector,Percentage of total,Netherlands,51.56 b,55.44 b,55.44,54.42,55.83,56.41,56.74,57.6,56.88,56.52,58.34 b,:
Annual,Business enterprise sector,Percentage of total,Norway,:,43.14,:,44.23,43.2,42.83,42.03,43.23,44.48,43.45,44.62,:
Annual,Business enterprise sector,Percentage of total,Poland,32.3,37.33,39.0,39.0,53.1,52.54,53.19,50.68,50.64,50.97,54.76,:
Annual,Business enterprise sector,Percentage of total,Portugal,46.04,42.27,41.8,42.65,44.4,46.51,47.33,48.26,52.15,53.66,56.56,:
Annual,Business enterprise sector,Percentage of total,Romania,34.41,31.02,32.92,37.29,49.37,54.4,57.08,54.58,55.62,55.17,56.24,:
Annual,Business enterprise sector,Percentage of total,Serbia,5.78,7.53,8.19,12.78,9.22,10.05,10.02,9.09,2.1,0.64,1.25,0.89
Annual,Business enterprise sector,Percentage of total,Russia,27.23,28.16,27.07,26.47,:,30.17,29.49,30.21,:,:,:,:
Annual,Business enterprise sector,Percentage of total,Sweden,:,60.96 e,:,57.26,:,60.76,:,62.42,:,60.65,:,:
Annual,Business enterprise sector,Percentage of total,Slovenia,62.22,63.85,68.39,69.21,69.25,63.15,51.83,51.93,49.5,48.73,44.12,:
Annual,Business enterprise sector,Percentage of total,Slovakia,37.71,40.19,32.21,25.06,46.22,49.03,48.85,46.76,43.69,45.7,47.14,:
Annual,Business enterprise sector,Percentage of total,Türkiye,46.77,48.87,50.87,44.11,43.07,43.75,47.29,49.57,49.62,54.58,50.16,:
Annual,Business enterprise sector,Percentage of total,United Kingdom,45.61 e,46.21,48.04 e,48.96,51.77 e,53.72,54.8,:,:,:,:,:
Annual,Business enterprise sector,Percentage of total,United States,59.52 d,61.09 d,61.94 d,63.3 b,64.03,63.46,64.13,65.71,66.31,68.93 b,70.03 p,:
Annual,Government sector,Percentage of total,Austria,37.75 de,33.57,35.62 e,32.59,30.34 e,27.62,30.25 e,26.97,33.33 e,28.46,31.21 e,32.57 p
Annual,Government sector,Percentage of total,Bosnia and Herzegovina,26.77,25.94,46.69,:,:,:,:,44.49,45.03,43.12,:,:
Annual,Government sector,Percentage of total,Belgium,24.51,24.27,:,22.51,:,19.96,:,17.82,:,17.26,:,:
Annual,Government sector,Percentage of total,Bulgaria,31.51,31.62,26.42,20.35,21.84,24.33,23.4,23.62,25.34,26.07,24.58,:
Annual,Government sector,Percentage of total,Switzerland,25.41,:,:,27.06,:,27.79,:,27.27,:,26.81,:,:
Annual,Government sector,Percentage of total,China except Hong Kong,21.57,21.11,20.25,21.26,20.03,19.81,20.22,20.49,19.78,18.96,17.77,:
Annual,Government sector,Percentage of total,Cyprus,64.82,59.5,53.03,50.56,41.11,38.48,33.83,35.43,35.46,36.74,:,:
Annual,Government sector,Percentage of total,Czechia,36.78,34.74,32.94,32.21,35.62,34.55,34.1,33.67,34.02,32.32,30.31,29.94 p
Annual,Government sector,Percentage of total,Germany,29.21,29.1,28.71,27.9,28.52,27.72,27.85,27.8,29.7,29.96,:,:
Annual,Government sector,Percentage of total,Denmark,29.17 de,29.89 d,:,30.2,:,28.34,:,28.7 p,:,:,:,:
Annual,Government sector,Percentage of total,Euro area - 19 countries  (2015-2022),33.35 e,32.99 e,32.39 e,31.6 e,30.89 e,29.78 e,29.54 e,29.24,30.3 e,30.52,:,:
Annual,Government sector,Percentage of total,Euro area – 20 countries (from 2023),33.37 e,33 e,32.4 e,31.61 e,30.91 e,29.8 e,29.57 e,29.26,30.32 e,30.54,:,:
Annual,Government sector,Percentage of total,Estonia,38.31,47.22,49.47,46.36,37.6,40.19,42.79,37.23,36.99,36.98,37.21,:
Annual,Government sector,Percentage of total,Greece,50.36,52.27,53.28,53.06,42.57,37.62,40.62,41.14,42.67,44.46,42.77,:
Annual,Government sector,Percentage of total,Spain,43.13,41.63,41.36,40.93,39.95,38.9,37.61,37.89,38.51,37.46,37.7,:
Annual,Government sector,Percentage of total,European Union - 27 countries (from 2020),33.33 e,32.9 e,32.38 e,: @C,30.74 e,29.71 e,29.49 e,29.3 e,30.16 e,30.29 e,:,:
Annual,Government sector,Percentage of total,Finland,26.69,26.03,27.5,28.89,28.87,29.01,28.27,27.79,27.68,25.58,25.86,:
Annual,Government sector,Percentage of total,France,35.35,35.3,34.59,:,32.44,32.48 p,31.53 p,31.35,31.76,32.46,31.96,:
Annual,Government sector,Percentage of total,Croatia,45.48,39.74,41.73,36.36,41.42,43.11,42.39,39.12,36.92,35.94,30.63,:
Annual,Government sector,Percentage of total,Hungary,36.87,35.88,33.49,34.62,26.25,31.89,32.35 b,33.28,32.48,35.08,34.62 d,:
Annual,Government sector,Percentage of total,Ireland,27.53 e,27.48 e,27.44,26.11,25.81,23.81,20.81 e,18.33,:,16.76,:,:
Annual,Government sector,Percentage of total,Iceland,:,37.21 b,34.13,28.81 b,31.99,31.55,33.13,26.76,27.84,24.99,25.78,:
Annual,Government sector,Percentage of total,Italy,42.55,41.44,39.71 e,37.98,35.23 b,32.28,32.76,32.32,33.69,35.15,35.57,:
Annual,Government sector,Percentage of total,Japan,16.84 e,17.3 be,16.02 e,15.41 e,15.02 e,15 e,14.56 be,14.67 e,15.19 e,15.46 e,15.1 e,:
Annual,Government sector,Percentage of total,South Korea,23.85,22.83,22.96,23.66,22.68,21.58,20.56,20.68,22.4,22.8,22.64,:
Annual,Government sector,Percentage of total,Lithuania,39.7,34.54,33.09,35.35,39.19,36.36,32.41,32.28,29.09,29.76,30.38,:
Annual,Government sector,Percentage of total,Luxembourg,45.07 b,48.38,42.79,46.58,40.32,43.07,:,43.16,:,46.99,:,:
Annual,Government sector,Percentage of total,Latvia,23.92,23.94,25.61,32.72,47.74,43.58,34.32,35.4,35.87,33.89,31.85,:
Annual,Government sector,Percentage of total,Montenegro,:,31.66,46.57,57.79,:,64.13,49.03,73.54,:,:,:,:
Annual,Government sector,Percentage of total,North Macedonia,:,:,:,52.86,46.8,46.57,45.25,49.27,47.39,:,46.01,:
Annual,Government sector,Percentage of total,Malta,32.98,35.37,31.1,32.81,33.36,31.28,29.89,31.18,30.31,31.06,30.53,:
Annual,Government sector,Percentage of total,Netherlands,32.43 b,31.21 b,31.28,31.55,30.22,29.4,29.58,29.4,30.3,30.68,29 b,:
Annual,Government sector,Percentage of total,Norway,:,45.84,:,44.92,45.65,46.67,48.03,46.97,46.13,46.55,45.05,:
Annual,Government sector,Percentage of total,Poland,51.33,47.24,45.21,41.82,38.86,38.28,35.42,38.82,38.97,37.39,33.48,:
Annual,Government sector,Percentage of total,Portugal,43.13,46.39,47.14,44.3,42.64,41.04,40.58,40.24,37.29,35.58,33.2,:
Annual,Government sector,Percentage of total,Romania,49.95,52.29,48.55,41.69,39.59,35.93,33.32,34.39,32.86,31.65,30.9,:
Annual,Government sector,Percentage of total,Serbia,51.3,59.51,53.48,50.63,45.55,46.55,43.14,45.89,43.37,37.45,39.27,40.24
Annual,Government sector,Percentage of total,Russia,67.84,67.64,69.22,69.52,:,66.17,67.03,66.29,:,:,:,:
Annual,Government sector,Percentage of total,Sweden,:,28.27 e,:,: @C,:,25.02,:,24.24,:,23.25,:,:
Annual,Government sector,Percentage of total,Slovenia,28.67,26.87,21.78,19.89,20.19,22.85,23.71,24.72,25.07,24.31,26.09,:
Annual,Government sector,Percentage of total,Slovakia,41.57 e,38.9 e,41.38 e,31.94,40.99,35.5,38.01,40.45,39.61,37.92,33.58,:
Annual,Government sector,Percentage of total,Türkiye,28.19,26.55,26.26,35.45,34.1,32.83,32.23,30.82,30.09,27.45,32.83,:
Annual,Government sector,Percentage of total,United Kingdom,28.67 e,29.12,28.36 e,27.67,26.26 e,25.99,25.94,:,:,:,:,:
Annual,Government sector,Percentage of total,United States,29.63 d,27.52 d,25.92 d,24.68 d,23.27 d,22.75 d,22.3 d,21.07 d,21.32 d,18.78 bd,18.11 dp,:
Annual,Higher education sector,Percentage of total,Austria,:,0.59,0 e,0.6,0 d,0.78,0 d,0.94,:,1.04,:,:
Annual,Higher education sector,Percentage of total,Bosnia and Herzegovina,7.4,3.71,0.0,:,:,:,:,9.75,0.03,9.07,:,:
Annual,Higher education sector,Percentage of total,Belgium,1.01,1.06,:,1.99,:,2.99,:,2.62,:,2.56,:,:
Annual,Higher education sector,Percentage of total,Bulgaria,0.17,0.13,0.05,0.08,0.07,0.06,0.09,0.1,0.22,0.66,0.5,:
Annual,Higher education sector,Percentage of total,Switzerland,1.15,:,:,1.58,:,1.48,:,1.45,:,1.36,:,:
Annual,Higher education sector,Percentage of total,Cyprus,4.48,5.4,5.22,5.77,4.58,5.36,4.54,4.09,3.53,3.43,:,:
Annual,Higher education sector,Percentage of total,Czechia,0.91,0.45,0.55,0.71,0.78,1.04,1.03,1.04,1.25,0.99,1.18,1.34 p
Annual,Higher education sector,Percentage of total,Germany,:,:,:,:,:,:,:,:,:,0 d,:,:
Annual,Higher education sector,Percentage of total,Denmark,:,:,:,0.0,:,0 d,:,:,:,:,:,:
Annual,Higher education sector,Percentage of total,Euro area - 19 countries  (2015-2022),0.74 e,0.75 e,0.8 e,:,1.22 e,1.19 e,1.24 e,1.19 e,1.2 e,1.2 e,1.24 e,:
Annual,Higher education sector,Percentage of total,Euro area – 20 countries (from 2023),0.74 e,0.75 e,0.8 e,:,1.22 e,1.19 e,1.25 e,1.2 e,1.21 e,1.21 e,1.25 e,:
Annual,Higher education sector,Percentage of total,Estonia,0.33,0.27,0.89,0.21,0.33,0.99,1.41,0.16,0.23,1.37,0.86,:
Annual,Higher education sector,Percentage of total,Greece,1.96,2.6,2.79,2.46,2.25,2.16,1.91,2.18,2.57,2.55,2.54,:
Annual,Higher education sector,Percentage of total,Spain,3.94,4.08,4.15,4.31,4.36,4.32,4.35,4.19,3.84,3.98,3.72,:
Annual,Higher education sector,Percentage of total,European Union - 27 countries (from 2020),0.76 e,0.75 e,0.8 e,:,1.17 e,1.15 e,1.23 e,1.17 e,1.18 e,1.19 e,1.23 e,:
Annual,Higher education sector,Percentage of total,Finland,0.16,0.23,0.23,0.3,0.42,0.52,0.48,0.71,0.6,0.59,0.71,:
Annual,Higher education sector,Percentage of total,France,0.94,0.96,1.02,:,2.77,2.74 p,3.01 p,2.9,2.94,2.94,3.22,:
Annual,Higher education sector,Percentage of total,Croatia,1.68,1.68,2.07,2.03,4.82,3.49,4.53,4.39,4.17,4.76,3.9,:
Annual,Higher education sector,Percentage of total,Hungary,:,:,:,:,:,:,0 b,0.22,0.24,0.22,0.59,:
Annual,Higher education sector,Percentage of total,Ireland,0.68 e,0.7 e,1.2,0.98,0.78,0.82,0.91 e,0.63,:,0.56,:,:
Annual,Higher education sector,Percentage of total,Iceland,:,5.81 b,4.82,4.17,3.95,4.35,3.16,3.84,4.48,4.61,4.06,:
Annual,Higher education sector,Percentage of total,Italy,0.94,1.02,0.99 e,0.99,0.89 b,0.79,0.72,0.71,0.76,0.68,0.56,:
Annual,Higher education sector,Percentage of total,Japan,5.83 e,5.86 be,5.54 e,5.4 e,5.42 e,5.3 e,5.1 be,5.19 e,5.18 e,5.17 e,5 e,:
Annual,Higher education sector,Percentage of total,South Korea,0.6,0.73,0.66,0.64,0.64,0.59,0.55,0.48,0.47,0.46,0.44,:
Annual,Higher education sector,Percentage of total,Lithuania,0.5,0.13,0.17,1.46,2.44,3.65,3.26,2.97,2.44,2.59,3.01,:
Annual,Higher education sector,Percentage of total,Luxembourg,0.92 b,1.73,1.16,1.61,1.28,1.37,:,1.37,:,1.27,:,:
Annual,Higher education sector,Percentage of total,Latvia,1.96,2.65,2.33,2.23,2.9,2.47,1.83,1.69,1.58,2.22,3.09,:
Annual,Higher education sector,Percentage of total,Montenegro,:,3.49,4.16,6.44,:,6.88,5.37,5.3,:,:,:,:
Annual,Higher education sector,Percentage of total,North Macedonia,:,:,:,24.98,23.56,19.92,20.22,21.46,24.68,:,23.83,:
Annual,Higher education sector,Percentage of total,Malta,1.34,1.4,1.28,1.1,1.31,1.31,1.32,1.01,0.71,0.77,1.05,:
Annual,Higher education sector,Percentage of total,Netherlands,0.42 b,0.15 b,0.18,0.19,0.18,0.19,0.21,0.2,0.21,0.11,0.16 b,:
Annual,Higher education sector,Percentage of total,Norway,:,0.53,:,0.43,0.45,0.44,0.45,0.46,0.45,0.61,0.6,:
Annual,Higher education sector,Percentage of total,Poland,2.6,2.13,2.23,2.2,2.35,2.96,4.11,2.95,2.72,3.05,3.33,:
Annual,Higher education sector,Percentage of total,Portugal,3.58,3.92,4.17,4.39,3.67,3.91,3.82,3.49,2.86,3.26,2.9,:
Annual,Higher education sector,Percentage of total,Romania,0.97,1.15,1.44,1.7,1.14,1.7,0.46,0.42,0.59,0.48,0.4,:
Annual,Higher education sector,Percentage of total,Serbia,33.68,25.12,25.86,24.02,32.25,23.48,25.25,25.31,44.74,45.94,41.9,28.39
Annual,Higher education sector,Percentage of total,Russia,0.84,1.04,1.07,1.19,:,0.78,0.86,0.79,:,:,:,:
Annual,Higher education sector,Percentage of total,Sweden,:,0.99 e,:,0.94,:,0.74,:,0.86,:,0.85,:,:
Annual,Higher education sector,Percentage of total,Slovenia,0.43,0.35,0.51,0.34,0.39,0.45,0.46,0.47,0.74,0.52,0.37,:
Annual,Higher education sector,Percentage of total,Slovakia,1.73,2.74,2.2,3.26,1.94,1.55,1.66,1.77,2.04,1.97,1.88,:
Annual,Higher education sector,Percentage of total,Türkiye,21.06,20.44,18.42,19.23,19.66,20.49,18.86,18.37,18.64,16.42,15.65,:
Annual,Higher education sector,Percentage of total,United Kingdom,1.15 e,1.27,1.24 e,1.37,1.36 e,0.69,0.57,:,:,:,:,:
Annual,Higher education sector,Percentage of total,United States,3.29 d,3.37 d,3.39 d,3.4 d,3.54 d,3.53 d,3.41 d,3.24 d,3.1 d,2.9 bd,2.77 dp,:
Annual,Private non-profit sector,Percentage of total,Austria,0.46 e,0.48,0.48 e,0.52,0.51 e,0.35,0.34 e,0.27,0.29 e,0.31,0.31 e,0.31 p
Annual,Private non-profit sector,Percentage of total,Bosnia and Herzegovina,0.05,0.0,0.42,:,:,:,:,1.52,20.54,0.39,:,:
Annual,Private non-profit sector,Percentage of total,Belgium,0.43,0.43,:,0.36,:,0.51,:,0.59,:,0.52,:,:
Annual,Private non-profit sector,Percentage of total,Bulgaria,1.27,0.46,0.41,0.14,0.31,0.22,0.29,0.25,0.25,0.22,0.22,:
Annual,Private non-profit sector,Percentage of total,Switzerland,0.57,:,:,0.56,:,0.5,:,0.5,:,0.43,:,:
Annual,Private non-profit sector,Percentage of total,Cyprus,0.67,0.58,0.57,0.63,0.75,0.88,0.98,1.3,1.95,1.95,:,:
Annual,Private non-profit sector,Percentage of total,Czechia,0.0,0.06,0.1,0.05,0.09,0.08,0.09,0.07,0.07,0.09,0.08,0.06 p
Annual,Private non-profit sector,Percentage of total,Germany,0.39,0.31,0.31 d,0.28,0.31,0.35,0.35,0.36,0.37,0.32,:,:
Annual,Private non-profit sector,Percentage of total,Denmark,3.76 e,4.37,:,4.42,:,5.36,:,6.28 p,:,:,:,:
Annual,Private non-profit sector,Percentage of total,Euro area - 19 countries  (2015-2022),0.95 e,0.89 e,0.92 e,0.9 e,0.86 e,0.79 e,0.78 e,0.79 e,0.82 e,0.9 e,0.96 e,:
Annual,Private non-profit sector,Percentage of total,Euro area – 20 countries (from 2023),0.95 e,0.89 e,0.91 e,0.9 e,0.85 e,0.78 e,0.78 e,0.79 e,0.82 e,0.89 e,0.96 e,:
Annual,Private non-profit sector,Percentage of total,Estonia,0.09,0.11,0.12,0.24,0.29,0.27,0.33,0.21,0.26,0.19,1.09,:
Annual,Private non-profit sector,Percentage of total,Greece,0.9,0.86,0.87,0.42,0.4,0.47,0.62,0.62,0.39,0.32,0.27,:
Annual,Private non-profit sector,Percentage of total,Spain,0.64,0.63,0.67,0.87,0.89,0.78,0.66,0.66,0.75,0.87,0.76,:
Annual,Private non-profit sector,Percentage of total,European Union - 27 countries (from 2020),1.15 e,1.1 e,1.13 e,1.13 e,:,1.05 e,:,1.07 e,:,1.17 e,:,:
Annual,Private non-profit sector,Percentage of total,Finland,1.29,1.36,1.43,1.53,1.59,1.69,1.55,1.68,1.67,1.74,1.78,:
Annual,Private non-profit sector,Percentage of total,France,0.78,0.78,0.95,:,0.99,0.95 p,0.97 p,0.95,1.09,1.49,1.0,:
Annual,Private non-profit sector,Percentage of total,Croatia,0.25,0.31,0.45,0.49,0.09,0.07,0.07,0.07,0.04,0.09,0.27,:
Annual,Private non-profit sector,Percentage of total,Hungary,0.85,0.75,0.69,0.71,0.74,0.55,0.49 b,0.5,0.45,0.34,0.26,:
Annual,Private non-profit sector,Percentage of total,Ireland,0.59 e,0.59 e,0.45,0.61,0.77,0.71,0.75 e,0.93,:,0.9,:,:
Annual,Private non-profit sector,Percentage of total,Iceland,:,0.08 b,2.04,0.03,0.03,0.0,0.01,0.0,0.0,0.01,0.01,:
Annual,Private non-profit sector,Percentage of total,Italy,2.78,2.69,2.59 e,2.73,2.04 b,1.53,1.47,1.43,1.42,1.45,1.22,:
Annual,Private non-profit sector,Percentage of total,Japan,0.77,0.83 b,0.73,0.74,0.74,0.79,0.66 b,0.64,0.78,0.69,0.7,:
Annual,Private non-profit sector,Percentage of total,South Korea,0.47,0.46,0.35,0.4,0.32,0.34,0.31,0.28,0.31,0.33,0.3,:
Annual,Private non-profit sector,Percentage of total,Lithuania,0.16,0.75,0.19,0.31,0.2,0.14,0.13,0.17,0.18,0.26,0.26,:
Annual,Private non-profit sector,Percentage of total,Luxembourg,1.42 b,1.04,0.21,0.21,0.22,0.26,:,0.26,:,0.45,:,:
Annual,Private non-profit sector,Percentage of total,Montenegro,:,0.02,0.04,0.0,:,0.0,0.07,0.07,:,:,:,:
Annual,Private non-profit sector,Percentage of total,North Macedonia,:,:,:,0.15,0.39,0.18,0.2,0.08,0.02,:,0.04,:
Annual,Private non-profit sector,Percentage of total,Malta,0.32,0.2,0.16,0.06,0.13,0.28,0.34,0.42,0.51,0.73,0.82,:
Annual,Private non-profit sector,Percentage of total,Netherlands,3.07 b,2.52 b,2.41,2.31,2.31,2.14,2.3,2.42,2.24,2.36,2.29 b,:
Annual,Private non-profit sector,Percentage of total,Norway,:,1.03,:,1.2,1.23,1.22,1.25,1.12,1.1,1.32,1.31,:
Annual,Private non-profit sector,Percentage of total,Poland,0.41,0.18,0.2,0.23,0.21,0.26,0.24,0.5,0.5,0.41,0.32,:
Annual,Private non-profit sector,Percentage of total,Portugal,2.08,1.3,1.28,1.28,1.28,1.22,1.05,1.19,1.18,1.18,1.2,:
Annual,Private non-profit sector,Percentage of total,Romania,0.24,0.05,0.09,0.09,0.05,0.04,0.14,0.06,0.04,0.14,0.19,:
Annual,Private non-profit sector,Percentage of total,Serbia,0.06,0.03,0.02,0.01,0.01,0.01,0.03,0.05,0.16,0.1,0.01,0.16
Annual,Private non-profit sector,Percentage of total,Russia,0.13,0.12,0.16,0.17,:,0.26,0.27,0.31,:,:,:,:
Annual,Private non-profit sector,Percentage of total,Sweden,:,3.07 e,:,3.34,:,3.29,:,3.39,:,3.28,:,:
Annual,Private non-profit sector,Percentage of total,Slovenia,0.11,0.02,0.05,0.01,0.01,0.44,0.16,0.03,0.06,0.04,0.07,:
Annual,Private non-profit sector,Percentage of total,Slovakia,0.34,0.2,0.52,0.32,0.14,0.17,0.25,0.29,0.38,0.54,0.57,:
Annual,Private non-profit sector,Percentage of total,Türkiye,3.38,3.3,3.38,0.03,0.1,0.11,0.02,0.02,0.06,0.03,0.02,:
Annual,Private non-profit sector,Percentage of total,United Kingdom,4.73 e,4.72,4.81 e,4.91,4.99 e,5.16,5.02,:,:,:,:,:
Annual,Private non-profit sector,Percentage of total,United States,3.48 d,3.55 d,3.71 d,3.72 d,3.48 d,3.29 d,3.05 d,2.84 d,2.62 d,2.43 bd,2.21 dp,:
Annual,Rest of the world,Percentage of total,Austria,16.11 e,16.61,16.19 e,16.55,16.17 e,16.6,16.32 e,16.97,16.58 e,17.23,16.81 e,15.97 p
Annual,Rest of the world,Percentage of total,Bosnia and Herzegovina,48.67,53.9,11.22,:,:,:,:,8.13,5.05,8.75,:,:
Annual,Rest of the world,Percentage of total,Belgium,13.44,13.67,:,16.55,:,13.04,:,14.68,:,15.24,:,:
Annual,Rest of the world,Percentage of total,Bulgaria,46.28,48.27,50.88,43.84,34.18,32.18,33.09,38.39,38.76,40.13,39.96,:
Annual,Rest of the world,Percentage of total,Switzerland,12.07,:,:,8.88,:,5.78,:,6.08,:,5.49,:,:
Annual,Rest of the world,Percentage of total,China except Hong Kong,0.97,0.89,0.83,0.74,0.66,0.64,0.36,0.11,0.37,0.21,0.17,:
Annual,Rest of the world,Percentage of total,Cyprus,17.07,18.76,22.22,22.99,18.63,22.52,25.83,22.8,21.07,22.22,:,:
Annual,Rest of the world,Percentage of total,Czechia,25.92,27.15,30.48,32.5,23.98,25.01,24.87,27.04,29.08,30.55,31.2,31.06 p
Annual,Rest of the world,Percentage of total,Germany,4.32,5.15,5.0,6.15,5.95,5.75,5.8,7.38,7.31,6.94,:,:
Annual,Rest of the world,Percentage of total,Denmark,7.17 e,6.7,:,6.27,:,9.17,:,5.46 p,:,:,:,:
Annual,Rest of the world,Percentage of total,Euro area - 19 countries  (2015-2022),7.86 e,8.31 e,8.4 e,8.91 e,8.69 e,8.75 e,8.75 e,9.32,9.51 e,9.26,:,:
Annual,Rest of the world,Percentage of total,Euro area – 20 countries (from 2023),7.87 e,8.32 e,8.4 e,8.92 e,8.69 e,8.76 e,8.77 e,9.34,9.54 e,9.29,:,:
Annual,Rest of the world,Percentage of total,Estonia,9.98,10.34,12.46,12.18,13.55,14.97,14.65,13.3,12.39,10.51,11.37,:
Annual,Rest of the world,Percentage of total,Greece,15.77,13.98,13.22,12.66,14.55,14.98,14.34,14.62,14.42,14.38,16.5,:
Annual,Rest of the world,Percentage of total,Spain,6.65,7.36,7.41,8.04,8.09,8.21,7.9,8.16,7.71,7.45,8.47,:
Annual,Rest of the world,Percentage of total,European Union - 27 countries (from 2020),8.3 e,8.58 e,8.86 e,: @C,8.97 e,9.06 e,9.02 e,9.48 e,9.78 e,9.7 e,:,:
Annual,Rest of the world,Percentage of total,Finland,8.81,11.54,17.32,14.52,12.12,10.77,13.89,15.49,14.09,14.02,13.58,:
Annual,Rest of the world,Percentage of total,France,7.6,7.89,7.79,:,7.83,7.84 p,7.71 p,8.05,7.76,7.69,7.51,:
Annual,Rest of the world,Percentage of total,Croatia,14.37,15.5,12.84,14.48,10.79,10.75,19.81,19.86,21.25,20.78,24.85,:
Annual,Rest of the world,Percentage of total,Hungary,15.4,16.57,17.54,14.95,16.58,14.88,14.81 b,13.1,16.61,13.8,19.63,:
Annual,Rest of the world,Percentage of total,Ireland,21.02 e,18.63 e,18.74,23.61,23.63,23.32,24.45 e,14.05,:,26.25,:,:
