Time frequency,Unit of measure,Sex,Age class,International Standard Classification of Education (ISCED 2011),Geopolitical entity (reporting)\Time,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Percentage,Total,From 25 to 64 years,"Less than primary, primary and lower secondary education (levels 0-2)",Croatia,18.1 b,20.4,24.6 b,21.5,16.9,19.1,11.2,8.4,9.4,10.7 b,11.4,11.4
Annual,Percentage,Total,From 25 to 64 years,"Less than primary, primary and lower secondary education (levels 0-2)",Hungary,22.9,21.6,16.7 b,15.5,11.8,10.1,8.7 b,8.0,9.9,9.5 b,10.5,11.4
Annual,Percentage,Total,From 25 to 64 years,"Less than primary, primary and lower secondary education (levels 0-2)",Ireland,23.6,20.8,18.8 b,16.0,13.9,10.7 b,8.4,6.9,6.4,8.5 b,7.4,6.8
Annual,Percentage,Total,From 25 to 64 years,"Less than primary, primary and lower secondary education (levels 0-2)",Iceland,7.3,5.7,4.7 b,4.0,2.7,2.1,2.7,3.2,6.3 b,6.8 b,5.3,4.0
Annual,Percentage,Total,From 25 to 64 years,"Less than primary, primary and lower secondary education (levels 0-2)",Italy,12.2,14.4,15.2 b,14.2,14.3,14.3,13.4 b,12.7,12.0,12.4 b,10.9,10.7
Annual,Percentage,Total,From 25 to 64 years,"Less than primary, primary and lower secondary education (levels 0-2)",Lithuania,36.1,32.9,28.6 b,26.2,26.2,21.4,19.0,19.2,21.9,15.3 b,16.8,17.8
Annual,Percentage,Total,From 25 to 64 years,"Less than primary, primary and lower secondary education (levels 0-2)",Luxembourg,6.4,8.6,7.7 b,8.2 b,7.0,6.4,6.5,6.3,8.1,5.8 b,5.2,5.0 u
Annual,Percentage,Total,From 25 to 64 years,"Less than primary, primary and lower secondary education (levels 0-2)",Latvia,22.9,22.6,23.6 b,22.4,19.8,18.3,17.0,13.3,17.8,13.7 b,13.8,12.3
Annual,Percentage,Total,From 25 to 64 years,"Less than primary, primary and lower secondary education (levels 0-2)",Montenegro,35.2,39.5,32.8 b,28.7,22.1,21.7,21.0,26.9,35.2,:,:,:
Annual,Percentage,Total,From 25 to 64 years,"Less than primary, primary and lower secondary education (levels 0-2)",North Macedonia,36.4,33.2,31.0 b,29.9,28.8,25.6,23.1,23.7,21.4,:,:,:
Annual,Percentage,Total,From 25 to 64 years,"Less than primary, primary and lower secondary education (levels 0-2)",Malta,7.8,8.2,7.7 b,7.4,6.5,5.1,4.5,3.7,5.6,4.7 b,3.6,4.0
Annual,Percentage,Total,From 25 to 64 years,"Less than primary, primary and lower secondary education (levels 0-2)",Netherlands,7.0,9.0 b,10.1 b,9.3,7.6,6.6,5.1,4.2 b,4.6,4.4 b,3.4,3.0
Annual,Percentage,Total,From 25 to 64 years,"Less than primary, primary and lower secondary education (levels 0-2)",Norway,4.1,5.4,6.3 b,7.5,7.6,7.3,6.3,5.7,6.7,6.8 b,4.5,5.1
Annual,Percentage,Total,From 25 to 64 years,"Less than primary, primary and lower secondary education (levels 0-2)",Poland,17.8,19.3,18.0 b,15.5,13.0,11.0,9.3,8.1 b,8.2,7.3 b,7.1,6.2
Annual,Percentage,Total,From 25 to 64 years,"Less than primary, primary and lower secondary education (levels 0-2)",Portugal,15.9,17.1,14.8 b,13.1,11.6,9.3,6.9,6.4,6.3,6.3 b,6.3,6.7
Annual,Percentage,Total,From 25 to 64 years,"Less than primary, primary and lower secondary education (levels 0-2)",Romania,6.5,6.6,6.4 b,7.7,7.3,6.3,5.4,5.7,7.9,12.4 b,12.9,13.0
Annual,Percentage,Total,From 25 to 64 years,"Less than primary, primary and lower secondary education (levels 0-2)",Serbia,23.3,21.2,18.6 b,15.8,13.7,12.3,13.4,11.4,9.6,14.6 b,12.9,13.3
Annual,Percentage,Total,From 25 to 64 years,"Less than primary, primary and lower secondary education (levels 0-2)",Sweden,12.3,13.4,13.9 b,14.1,14.4,14.7,15.2 b,16.0,20.7,23.9 b,20.5,19.5
Annual,Percentage,Total,From 25 to 64 years,"Less than primary, primary and lower secondary education (levels 0-2)",Slovenia,14.0,17.8,15.5 b,13.6,14.0,10.5,8.7,9.1,9.6,7.8 bu,8.2 u,7.4 b
Annual,Percentage,Total,From 25 to 64 years,"Less than primary, primary and lower secondary education (levels 0-2)",Slovakia,41.5,40.0,39.3 b,34.4,29.4,27.4,27.6,28.4,27.8,39.0 b,38.7,34.8
Annual,Percentage,Total,From 25 to 64 years,"Less than primary, primary and lower secondary education (levels 0-2)",Türkiye,6.7,7.3,8.4 b,8.9,9.1,8.9,9.1,12.3,11.8,10.4 b,8.6,7.6
Annual,Percentage,Total,From 25 to 64 years,"Less than primary, primary and lower secondary education (levels 0-2)",United Kingdom,10.3,10.6,8.4 b,7.3,6.2,5.4,5.0,4.9,:,:,:,:
Annual,Percentage,Total,From 25 to 64 years,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Austria,4.0,4.3,4.5 b,4.9,5.2,4.7,3.8,3.6,4.5,5.4 b,3.8,4.2
Annual,Percentage,Total,From 25 to 64 years,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Bosnia and Herzegovina,:,:,:,:,:,:,:,:,:,15.3 b,13.2,11.6
Annual,Percentage,Total,From 25 to 64 years,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Belgium,6.7,6.8,7.3 b,7.5,7.0,6.1 b,5.1,4.6,4.9,5.8 b,5.2,5.2
Annual,Percentage,Total,From 25 to 64 years,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Bulgaria,10.2,11.2,9.8 b,7.6,6.2,4.9,4.2,3.2 b,4.2,4.5 b,3.7,3.8
Annual,Percentage,Total,From 25 to 64 years,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Switzerland,3.7,3.8,4.1 b,3.9,4.4,4.2,4.4,4.0,4.6,4.8 b,3.5,3.1
Annual,Percentage,Total,From 25 to 64 years,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Cyprus,11.2,14.8,15.6 b,14.6,12.4,10.2,7.5,7.4,7.8,7.3 b,5.8,5.3
Annual,Percentage,Total,From 25 to 64 years,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Czechia,5.7,6.1,5.4 b,4.4,3.2,2.5,1.9,1.6,2.2,2.5 b,1.9,2.1
Annual,Percentage,Total,From 25 to 64 years,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Germany,5.3 b,5.1,4.6 b,4.3,3.7,3.3,2.9,2.6,3.1 b,3.0 b,2.6,2.4
Annual,Percentage,Total,From 25 to 64 years,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Denmark,6.2,5.8,5.4 b,4.7,4.4 b,3.9 b,3.4,3.5,4.0,3.6 b,2.8,3.5 b
Annual,Percentage,Total,From 25 to 64 years,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Euro area – 20 countries (from 2023),8.8,9.3,9.0 b,8.6,7.9,7.2,6.5,6.1,6.4,6.4 b,5.6,5.4
Annual,Percentage,Total,From 25 to 64 years,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Estonia,9.6,8.8,7.6 b,6.2,7.6,6.2,5.2,4.5,6.7,6.4 b,5.1,6.9
Annual,Percentage,Total,From 25 to 64 years,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Greece,24.5,28.1,27.7 b,25.5,24.2,22.3,20.4,18.6,17.3,15.6 b,13.1,11.6
Annual,Percentage,Total,From 25 to 64 years,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Spain,21.5,23.2,21.6 b,19.2,17.0,15.1,13.8,12.7,14.5,14.2 bd,12.6 d,11.5 d
Annual,Percentage,Total,From 25 to 64 years,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),European Union - 27 countries (from 2020),8.5,8.9,8.5 b,7.9,7.1,6.3,5.7,5.2,5.5,5.6 b,4.9,4.8
Annual,Percentage,Total,From 25 to 64 years,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Finland,7.1,7.5,8.1 b,8.8,8.2,8.3,7.5,6.2,7.5,7.3 b,6.8,7.0
Annual,Percentage,Total,From 25 to 64 years,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),France,7.8,8.5 b,9.0 b,9.1,9.0,8.5,8.2,7.9,7.4,7.1 bd,6.7 d,6.7 d
Annual,Percentage,Total,From 25 to 64 years,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Croatia,14.7 b,15.4,15.3 b,14.9,12.3,9.5,7.2,5.8,6.8,6.8 b,6.0,5.6
Annual,Percentage,Total,From 25 to 64 years,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Hungary,9.5,8.8,6.5 b,5.7,4.2,3.3,3.0 b,2.6,3.5,3.4 b,2.9,3.3
Annual,Percentage,Total,From 25 to 64 years,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Ireland,16.2,15.0,12.8 b,10.7,8.5,7.1 b,5.5,4.8,5.3,6.5 b,4.5,4.0
Annual,Percentage,Total,From 25 to 64 years,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Iceland,4.1,4.1,4.0 b,3.1,3.0,2.0,2.0,3.0,5.7 b,6.0 b,2.9,2.5
Annual,Percentage,Total,From 25 to 64 years,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Italy,7.7,8.9,9.1 b,8.9,8.8,8.6,8.4 b,7.9,7.2,7.7 b,6.5,6.2
Annual,Percentage,Total,From 25 to 64 years,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Lithuania,15.7,13.9,13.2 b,11.5,10.1,9.2,8.0,8.1,10.8,9.2 b,7.5,8.8
Annual,Percentage,Total,From 25 to 64 years,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Luxembourg,4.2,5.5,5.1 b,5.4 b,5.7,4.7,4.8,5.1,5.2,4.3 b,2.9,4.5 u
Annual,Percentage,Total,From 25 to 64 years,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Latvia,16.7,12.5,11.2 b,10.7,11.3,9.9,8.3,6.9,8.8,8.8 b,7.4,8.0
Annual,Percentage,Total,From 25 to 64 years,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Montenegro,18.7,18.4,17.5 b,16.8,17.2,15.6,14.6,14.1,15.9,:,:,:
Annual,Percentage,Total,From 25 to 64 years,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),North Macedonia,28.7,25.8,25.1 b,23.7,20.6,19.5,18.0,14.0,13.8,:,:,:
Annual,Percentage,Total,From 25 to 64 years,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Malta,2.3,2.5,2.5 b,2.7,2.5,1.9,2.9,3.2,3.8,3.2 b,2.4,2.5
Annual,Percentage,Total,From 25 to 64 years,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Netherlands,4.9,6.7 b,7.1 b,6.8,5.7,4.4,3.3,2.8 b,2.7,3.1 b,2.4,2.3
Annual,Percentage,Total,From 25 to 64 years,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Norway,2.3,2.3,2.6 b,3.4,3.5,3.2,2.9,2.9,3.6,2.8 b,1.9,2.0
Annual,Percentage,Total,From 25 to 64 years,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Poland,9.3,9.7,8.6 b,7.2,5.8,4.7,3.7,3.0 b,2.8,3.3 b,2.9,2.9
Annual,Percentage,Total,From 25 to 64 years,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Portugal,14.4,14.4,12.6 b,11.3,10.4,8.1,6.5,5.8,6.7,6.3 b,5.8,6.0
Annual,Percentage,Total,From 25 to 64 years,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Romania,5.9,6.3,5.8 b,6.0,5.1,4.1,3.4,3.0,4.2,4.0 b,4.0,4.0
Annual,Percentage,Total,From 25 to 64 years,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Serbia,24.1,22.0,18.7 b,17.1,15.0,13.1,12.4,10.0,8.3,10.4 b,9.2,8.7
Annual,Percentage,Total,From 25 to 64 years,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Sweden,5.1,5.2,5.1 b,4.8,4.5,4.0,3.6 b,3.9,4.9,5.8 b,4.9,5.0
Annual,Percentage,Total,From 25 to 64 years,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Slovenia,8.1,9.8,9.7 b,9.4,7.6,6.4,5.3,4.4,5.0,4.6 b,3.8,3.2 b
Annual,Percentage,Total,From 25 to 64 years,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Slovakia,11.7,12.3,11.3 b,9.9,8.4,7.0,5.5,4.4,5.6,5.7 b,5.0,4.9
Annual,Percentage,Total,From 25 to 64 years,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Türkiye,7.6,7.9,9.1 b,9.1,10.0,9.7,9.4,12.0,11.8,10.5 b,9.4,8.8
Annual,Percentage,Total,From 25 to 64 years,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),United Kingdom,6.0,5.8,4.9 b,4.2,3.8,3.3,3.3,2.8,:,:,:,:
Annual,Percentage,Total,From 25 to 64 years,Tertiary education (levels 5-8),Austria,2.3,3.4,3.7 b,3.6,3.4,3.0,3.0,2.8,3.2,3.8 b,3.0,3.1
Annual,Percentage,Total,From 25 to 64 years,Tertiary education (levels 5-8),Bosnia and Herzegovina,:,:,:,:,:,:,:,:,:,11.3 b,10.7,9.0
Annual,Percentage,Total,From 25 to 64 years,Tertiary education (levels 5-8),Belgium,3.4,4.3,4.2 b,4.1,3.7,3.8 b,3.2,2.9,3.2,3.2 b,2.8,2.7
Annual,Percentage,Total,From 25 to 64 years,Tertiary education (levels 5-8),Bulgaria,5.6,6.1,5.0 b,3.7,3.3,2.9,2.2,1.8 b,2.4,1.8 b,1.6,1.8
Annual,Percentage,Total,From 25 to 64 years,Tertiary education (levels 5-8),Switzerland,3.0,3.4,3.4 b,3.4,3.3,3.8,3.5,3.3,3.5,3.4 b,3.0,3.1
Annual,Percentage,Total,From 25 to 64 years,Tertiary education (levels 5-8),Cyprus,8.7,10.9,10.8 b,10.7,9.6,8.8,6.9,5.7,6.4,5.8 b,5.1,5.1
Annual,Percentage,Total,From 25 to 64 years,Tertiary education (levels 5-8),Czechia,2.6,2.5,2.6 b,2.2,1.8,1.4,1.1,1.0,1.4,1.4 b,0.9,1.3
Annual,Percentage,Total,From 25 to 64 years,Tertiary education (levels 5-8),Germany,2.3 b,2.4,2.5 b,2.3,2.2,2.0,1.9,1.8,2.6 b,2.4 b,2.0,2.2
Annual,Percentage,Total,From 25 to 64 years,Tertiary education (levels 5-8),Denmark,4.8,4.7,4.6 b,4.6,4.5 b,4.4 b,4.0,4.1,4.6,3.9 b,3.4,3.8 b
Annual,Percentage,Total,From 25 to 64 years,Tertiary education (levels 5-8),Euro area – 20 countries (from 2023),6.4,6.9,6.9 b,6.4,5.8,5.2,4.8,4.5,5.0,4.7 b,4.0,3.9
Annual,Percentage,Total,From 25 to 64 years,Tertiary education (levels 5-8),Estonia,5.9,5.5,4.7 b,3.9,3.7,3.3,3.5,2.6,4.7,3.5 b,3.7,3.6
Annual,Percentage,Total,From 25 to 64 years,Tertiary education (levels 5-8),Greece,17.1,19.4,19.1 b,19.0,17.2,15.7,13.7,11.6,11.5,10.6 b,8.5,7.7
Annual,Percentage,Total,From 25 to 64 years,Tertiary education (levels 5-8),Spain,13.9,14.9,13.8 b,12.4,10.9,9.3,8.4,8.1,9.5,8.7 bd,7.2 d,6.8 d
Annual,Percentage,Total,From 25 to 64 years,Tertiary education (levels 5-8),European Union - 27 countries (from 2020),6.0,6.4,6.3 b,5.8,5.2,4.6,4.2,4.0,4.4,4.2 b,3.5,3.5
Annual,Percentage,Total,From 25 to 64 years,Tertiary education (levels 5-8),Finland,3.9,4.5,5.1 b,6.0,5.8,5.3,4.2,3.9,4.3,4.6 b,4.0,3.9
Annual,Percentage,Total,From 25 to 64 years,Tertiary education (levels 5-8),France,4.8,5.3 b,5.8 b,5.7,5.1,4.8,5.0,4.7,4.7,4.7 bd,4.3 d,4.5 d
Annual,Percentage,Total,From 25 to 64 years,Tertiary education (levels 5-8),Croatia,9.9 b,10.0,9.1 b,8.8,7.2,6.5,5.7,4.9,4.6,4.3 b,4.6,3.5
Annual,Percentage,Total,From 25 to 64 years,Tertiary education (levels 5-8),Hungary,4.0,3.5,2.7 b,2.2,1.7,1.5,1.3 b,1.4,1.7,1.5 b,1.3,1.5
Annual,Percentage,Total,From 25 to 64 years,Tertiary education (levels 5-8),Ireland,7.3,6.8,6.4 b,5.2,4.7,3.7 b,3.6,2.9,3.7,3.8 b,2.8,2.6
Annual,Percentage,Total,From 25 to 64 years,Tertiary education (levels 5-8),Iceland,2.9,3.7,3.6 b,2.8,1.7,1.6,1.9,2.2,3.8 b,4.0 b,2.4,2.4
Annual,Percentage,Total,From 25 to 64 years,Tertiary education (levels 5-8),Italy,6.3,6.9,7.6 b,6.8,6.5,6.2,5.7 b,5.6,5.1,4.8 b,3.9,3.6
Annual,Percentage,Total,From 25 to 64 years,Tertiary education (levels 5-8),Lithuania,4.8,4.4,3.7 b,3.2,2.7,2.7,2.6,2.8,4.1,4.0 b,3.4,3.8
Annual,Percentage,Total,From 25 to 64 years,Tertiary education (levels 5-8),Luxembourg,3.4,3.7,3.6 b,4.6 b,3.8,3.7,4.1,3.4,4.5,3.7 b,3.4,3.6
Annual,Percentage,Total,From 25 to 64 years,Tertiary education (levels 5-8),Latvia,6.2,5.5,5.1 b,4.5,4.0,3.6,3.7,3.6,5.2,4.8 b,4.2,3.3
Annual,Percentage,Total,From 25 to 64 years,Tertiary education (levels 5-8),Montenegro,10.0,8.7,9.0 b,9.4,11.5,10.7,10.0,11.0,12.0,:,:,:
Annual,Percentage,Total,From 25 to 64 years,Tertiary education (levels 5-8),North Macedonia,18.8,20.1,19.6 b,18.9,17.6,17.1,16.6,13.3,12.9,:,:,:
Annual,Percentage,Total,From 25 to 64 years,Tertiary education (levels 5-8),Malta,1.4 u,1.7 u,2.4 b,1.6 u,1.4 u,1.8,2.2,3.2,3.1,1.6 b,2.9,2.5
Annual,Percentage,Total,From 25 to 64 years,Tertiary education (levels 5-8),Netherlands,3.2,3.9 b,3.9 b,3.7,3.4,2.8,2.3,2.1 b,2.4,2.6 b,2.4,2.4
Annual,Percentage,Total,From 25 to 64 years,Tertiary education (levels 5-8),Norway,1.6,1.8,2.1 b,2.5,3.0,2.3,2.2,2.0,2.5,2.5 b,1.8,2.1
Annual,Percentage,Total,From 25 to 64 years,Tertiary education (levels 5-8),Poland,4.9,5.0,4.1 b,3.5,3.0,2.2,1.8,1.8 b,1.8,1.7 b,1.2,1.2
Annual,Percentage,Total,From 25 to 64 years,Tertiary education (levels 5-8),Portugal,10.2,11.4,8.9 b,8.1,7.4,5.6,4.7,4.7,5.1,4.5 b,4.0,3.8
Annual,Percentage,Total,From 25 to 64 years,Tertiary education (levels 5-8),Romania,4.1,4.3,4.7 b,3.5,2.7,2.1,1.8,1.2,2.0,1.6 b,1.3,1.2
Annual,Percentage,Total,From 25 to 64 years,Tertiary education (levels 5-8),Serbia,15.9,17.2,14.5 b,14.3,13.4,11.8,10.6,8.1,7.6,8.3 b,5.9,6.4
Annual,Percentage,Total,From 25 to 64 years,Tertiary education (levels 5-8),Sweden,4.0,4.0,4.0 b,4.0,3.8,3.9,3.6 b,3.5,4.6,4.3 b,3.2,3.7
Annual,Percentage,Total,From 25 to 64 years,Tertiary education (levels 5-8),Slovenia,5.8,5.8,6.0 b,5.7,6.0,5.2,3.6,3.0,3.0,3.2 b,2.6,2.1 b
Annual,Percentage,Total,From 25 to 64 years,Tertiary education (levels 5-8),Slovakia,6.0,6.5,5.8 b,5.6,5.1,3.6,2.8,2.3,3.3,2.9 b,2.2,1.9
Annual,Percentage,Total,From 25 to 64 years,Tertiary education (levels 5-8),Türkiye,6.7,6.9,8.1 b,8.3,9.3,9.4,9.8,10.6,10.0,10.0 b,9.4,8.2
Annual,Percentage,Total,From 25 to 64 years,Tertiary education (levels 5-8),United Kingdom,3.7,3.2,2.7 b,2.5,2.6,2.4,2.1,2.0,:,:,:,:
