Time frequency,Statistical information,Risk of poverty threshold,Unit of measure,Geopolitical entity (reporting)\Time,2020.0
Annual,Median equivalised income,Below 60%,Percentage,Montenegro,40.4
Annual,Median equivalised income,Below 60%,Percentage,North Macedonia,26.5
Annual,Median equivalised income,Below 60%,Percentage,Malta,17.4
Annual,Median equivalised income,Below 60%,Percentage,Netherlands,29.8
Annual,Median equivalised income,Below 60%,Percentage,Norway,12.9
Annual,Median equivalised income,Below 60%,Percentage,Poland,29.3
Annual,Median equivalised income,Below 60%,Percentage,Portugal,25.5
Annual,Median equivalised income,Below 60%,Percentage,Romania,44.0
Annual,Median equivalised income,Below 60%,Percentage,Serbia,42.0
Annual,Median equivalised income,Below 60%,Percentage,Sweden,23.9
Annual,Median equivalised income,Below 60%,Percentage,Slovenia,49.4
Annual,Median equivalised income,Below 60%,Percentage,Slovakia,59.4
Annual,Median equivalised income,Total,Percentage,Albania,9.8
Annual,Median equivalised income,Total,Percentage,Austria,29.5
Annual,Median equivalised income,Total,Percentage,Belgium,20.6
Annual,Median equivalised income,Total,Percentage,Bulgaria,45.0
Annual,Median equivalised income,Total,Percentage,Switzerland,42.0
Annual,Median equivalised income,Total,Percentage,Cyprus,42.7
Annual,Median equivalised income,Total,Percentage,Czechia,44.3
Annual,Median equivalised income,Total,Percentage,Germany,: u
Annual,Median equivalised income,Total,Percentage,Denmark,21.7
Annual,Median equivalised income,Total,Percentage,Estonia,51.2
Annual,Median equivalised income,Total,Percentage,Greece,59.6
Annual,Median equivalised income,Total,Percentage,Spain,27.3
Annual,Median equivalised income,Total,Percentage,European Union - 27 countries (from 2020),31.6 u
Annual,Median equivalised income,Total,Percentage,Finland,19.6
Annual,Median equivalised income,Total,Percentage,France,30.7
Annual,Median equivalised income,Total,Percentage,Croatia,57.9
Annual,Median equivalised income,Total,Percentage,Hungary,37.8
Annual,Median equivalised income,Total,Percentage,Ireland,32.1
Annual,Median equivalised income,Total,Percentage,Lithuania,49.1 u
Annual,Median equivalised income,Total,Percentage,Luxembourg,21.3
Annual,Median equivalised income,Total,Percentage,Latvia,45.2
Annual,Median equivalised income,Total,Percentage,Montenegro,45.3
Annual,Median equivalised income,Total,Percentage,North Macedonia,37.7
Annual,Median equivalised income,Total,Percentage,Malta,37.5
Annual,Median equivalised income,Total,Percentage,Netherlands,28.6
Annual,Median equivalised income,Total,Percentage,Norway,15.0
Annual,Median equivalised income,Total,Percentage,Poland,43.4
Annual,Median equivalised income,Total,Percentage,Portugal,20.4
Annual,Median equivalised income,Total,Percentage,Romania,55.1
Annual,Median equivalised income,Total,Percentage,Serbia,48.6
Annual,Median equivalised income,Total,Percentage,Sweden,18.8
Annual,Median equivalised income,Total,Percentage,Slovenia,47.4
Annual,Median equivalised income,Total,Percentage,Slovakia,49.3
