Time frequency,Plantation density,Unit of measure,Age class,Fruit species and groups of varieties,Geopolitical entity (reporting)\Time,2002.0,2007.0,2012.0,2017.0
Annual,Total,Hectare,Total,Dessert apple trees,Italy,54285.1,55224.8,52251.41,55809.89
Annual,Total,Hectare,Total,Dessert apple trees,Lithuania,:,2427.8,1401.1,1511.6
Annual,Total,Hectare,Total,Dessert apple trees,Luxembourg,914.2,29.97,39.0,:
Annual,Total,Hectare,Total,Dessert apple trees,Latvia,:,1299.5,2390.5,3191.1
Annual,Total,Hectare,Total,Dessert apple trees,Malta,:,:,: m,:
Annual,Total,Hectare,Total,Dessert apple trees,Netherlands,11176.4,9379.99,7948.05,6949.59
Annual,Total,Hectare,Total,Dessert apple trees,Poland,:,165715.0,143113.34,160843.8
Annual,Total,Hectare,Total,Dessert apple trees,Portugal,13631.3,11711.0,10095.18,11306.18
Annual,Total,Hectare,Total,Dessert apple trees,Romania,:,60494.3,51225.74,55050.45
Annual,Total,Hectare,Total,Dessert apple trees,Serbia,:,:,:,25281.0
Annual,Total,Hectare,Total,Dessert apple trees,Sweden,1342.42,1101.83,1494.1,1655.28
Annual,Total,Hectare,Total,Dessert apple trees,Slovenia,:,2438.48,2701.93,2355.44
Annual,Total,Hectare,Total,Dessert apple trees,Slovakia,:,2655.86,3781.58,2321.44
Annual,Total,Hectare,Total,Dessert apple trees,United Kingdom,5627.97,4810.08,5396.4,5743.08
Annual,Total,Hectare,Total,Apple trees plantation for industrial processing,Bulgaria,:,:,0.0,190.09
Annual,Total,Hectare,Total,Apple trees plantation for industrial processing,Czechia,:,:,0.0,:
Annual,Total,Hectare,Total,Apple trees plantation for industrial processing,Germany,:,:,4029.51,5719.69
Annual,Total,Hectare,Total,Apple trees plantation for industrial processing,Denmark,:,:,0.0,59.0
Annual,Total,Hectare,Total,Apple trees plantation for industrial processing,Estonia,:,:,0.0,:
Annual,Total,Hectare,Total,Apple trees plantation for industrial processing,Spain,:,:,4107.46,4309.61
Annual,Total,Hectare,Total,Apple trees plantation for industrial processing,European Union - 27 countries (from 2020),:,:,:,10278.39
Annual,Total,Hectare,Total,Apple trees plantation for industrial processing,European Union - 28 countries (2013-2020),:,:,8630.91,10278.39
Annual,Total,Hectare,Total,Apple trees plantation for industrial processing,Finland,:,:,0.0,:
Annual,Total,Hectare,Total,Apple trees plantation for industrial processing,France,:,:,0.0,:
Annual,Total,Hectare,Total,Apple trees plantation for industrial processing,Croatia,:,:,0.0,:
Annual,Total,Hectare,Total,Apple trees plantation for industrial processing,Ireland,:,:,493.94,:
Annual,Total,Hectare,Total,Apple trees plantation for industrial processing,Luxembourg,:,:,0.0,:
Annual,Total,Hectare,Total,Apple trees plantation for industrial processing,Latvia,:,:,0.0,:
Annual,Total,Hectare,Total,Apple trees plantation for industrial processing,Malta,:,:,0.0,:
Annual,Total,Hectare,Total,Apple trees plantation for industrial processing,Netherlands,:,:,0.0,:
Annual,Total,Hectare,Total,Apple trees plantation for industrial processing,Romania,:,:,0.0,:
Annual,Total,Hectare,Total,Apple trees plantation for industrial processing,Sweden,:,:,0.0,0.0
Annual,Total,Hectare,Total,Apple trees plantation for industrial processing,Slovakia,:,:,0.0,:
Annual,Total,Hectare,Total,Table grape vines,Bulgaria,:,:,0.0,2738.02
Annual,Total,Hectare,Total,Table grape vines,Czechia,:,:,0.0,:
Annual,Total,Hectare,Total,Table grape vines,Germany,:,:,0.0,:
Annual,Total,Hectare,Total,Table grape vines,Denmark,:,:,0.0,:
Annual,Total,Hectare,Total,Table grape vines,Estonia,:,:,0.0,:
Annual,Total,Hectare,Total,Table grape vines,Spain,:,:,11391.23,12547.64
Annual,Total,Hectare,Total,Table grape vines,European Union - 27 countries (from 2020),:,:,:,60351.4
Annual,Total,Hectare,Total,Table grape vines,European Union - 28 countries (2013-2020),:,:,57142.73,60351.4
Annual,Total,Hectare,Total,Table grape vines,Finland,:,:,0.0,:
Annual,Total,Hectare,Total,Table grape vines,France,:,:,4869.17,:
Annual,Total,Hectare,Total,Table grape vines,Ireland,:,:,0.0,:
Annual,Total,Hectare,Total,Table grape vines,Italy,:,:,35663.25,39714.54
Annual,Total,Hectare,Total,Table grape vines,Lithuania,:,:,0.0,:
Annual,Total,Hectare,Total,Table grape vines,Luxembourg,:,:,0.0,:
Annual,Total,Hectare,Total,Table grape vines,Latvia,:,:,0.0,:
Annual,Total,Hectare,Total,Table grape vines,Romania,:,:,5219.08,5351.19
Annual,Total,Hectare,Total,Table grape vines,Sweden,:,:,0.0,:
Annual,Total,Hectare,Total,Table grape vines,United Kingdom,:,:,0.0,:
Annual,Total,Hectare,Total,Lemon trees,Austria,:,0.0,0.0,:
Annual,Total,Hectare,Total,Lemon trees,Belgium,:,0.0,0.0,:
Annual,Total,Hectare,Total,Lemon trees,Bulgaria,:,0.0,0.0,:
Annual,Total,Hectare,Total,Lemon trees,Cyprus,:,665.0,368.56,312.09
Annual,Total,Hectare,Total,Lemon trees,Czechia,:,0.0,0.0,:
Annual,Total,Hectare,Total,Lemon trees,Germany,0.0,0.0,0.0,:
Annual,Total,Hectare,Total,Lemon trees,Denmark,:,0.0,0.0,:
Annual,Total,Hectare,Total,Lemon trees,Estonia,:,0.0,0.0,:
Annual,Total,Hectare,Total,Lemon trees,Greece,6168.92,5180.49,3681.87,3984.61
Annual,Total,Hectare,Total,Lemon trees,Spain,43851.3,39859.0,33303.03,39107.85
Annual,Total,Hectare,Total,Lemon trees,European Union - 27 countries (from 2020),:,:,:,60098.5
Annual,Total,Hectare,Total,Lemon trees,European Union - 28 countries (2013-2020),:,:,54865.55,60098.5
Annual,Total,Hectare,Total,Lemon trees,Finland,:,0.0,0.0,:
Annual,Total,Hectare,Total,Lemon trees,France,36.84,22.7,793.45,:
Annual,Total,Hectare,Total,Lemon trees,Croatia,:,:,: m,:
Annual,Total,Hectare,Total,Lemon trees,Hungary,:,0.0,0.0,:
Annual,Total,Hectare,Total,Lemon trees,Ireland,:,0.0,0.0,:
Annual,Total,Hectare,Total,Lemon trees,Italy,17619.8,16633.6,15843.64,16693.97
Annual,Total,Hectare,Total,Lemon trees,Lithuania,:,0.0,0.0,:
Annual,Total,Hectare,Total,Lemon trees,Luxembourg,:,0.0,0.0,:
Annual,Total,Hectare,Total,Lemon trees,Latvia,:,0.0,0.0,:
Annual,Total,Hectare,Total,Lemon trees,Malta,:,:,: m,:
Annual,Total,Hectare,Total,Lemon trees,Netherlands,:,0.0,0.0,:
Annual,Total,Hectare,Total,Lemon trees,Poland,:,0.0,0.0,:
Annual,Total,Hectare,Total,Lemon trees,Portugal,356.98,494.04,875.0,:
Annual,Total,Hectare,Total,Lemon trees,Romania,:,0.0,0.0,:
Annual,Total,Hectare,Total,Lemon trees,Sweden,:,0.0,0.0,:
Annual,Total,Hectare,Total,Lemon trees,Slovenia,:,0.0,: m,:
Annual,Total,Hectare,Total,Lemon trees,Slovakia,:,0.0,0.0,:
Annual,Total,Hectare,Total,Lemon trees,United Kingdom,:,0.0,0.0,:
Annual,Total,Hectare,Total,Olive trees,Austria,:,:,0.0,:
Annual,Total,Hectare,Total,Olive trees,Belgium,:,:,0.0,:
Annual,Total,Hectare,Total,Olive trees,Bulgaria,:,:,0.0,:
Annual,Total,Hectare,Total,Olive trees,Cyprus,:,:,10802.29,10790.35
Annual,Total,Hectare,Total,Olive trees,Czechia,:,:,0.0,:
Annual,Total,Hectare,Total,Olive trees,Germany,:,:,0.0,:
Annual,Total,Hectare,Total,Olive trees,Denmark,:,:,0.0,:
Annual,Total,Hectare,Total,Olive trees,Estonia,:,:,0.0,:
Annual,Total,Hectare,Total,Olive trees,Greece,:,:,705960.99,670679.36
Annual,Total,Hectare,Total,Olive trees,Spain,:,:,2478443.97,2505786.08
Annual,Total,Hectare,Total,Olive trees,European Union - 27 countries (from 2020),:,:,:,4592102.57
Annual,Total,Hectare,Total,Olive trees,European Union - 28 countries (2013-2020),:,:,4652682.27,4592102.57
Annual,Total,Hectare,Total,Olive trees,Finland,:,:,0.0,:
Annual,Total,Hectare,Total,Olive trees,France,:,:,17052.0,15345.23
Annual,Total,Hectare,Total,Olive trees,Croatia,:,:,16553.9,17010.87
Annual,Total,Hectare,Total,Olive trees,Hungary,:,:,0.0,:
Annual,Total,Hectare,Total,Olive trees,Ireland,:,:,0.0,:
Annual,Total,Hectare,Total,Olive trees,Italy,:,:,1110701.05,1070833.53
Annual,Total,Hectare,Total,Olive trees,Lithuania,:,:,0.0,:
Annual,Total,Hectare,Total,Olive trees,Luxembourg,:,:,0.0,:
Annual,Total,Hectare,Total,Olive trees,Latvia,:,:,0.0,:
Annual,Total,Hectare,Total,Olive trees,Malta,:,:,: m,:
Annual,Total,Hectare,Total,Olive trees,Netherlands,:,:,0.0,:
Annual,Total,Hectare,Total,Olive trees,Poland,:,:,0.0,:
Annual,Total,Hectare,Total,Olive trees,Portugal,:,:,312276.06,300415.17
Annual,Total,Hectare,Total,Olive trees,Romania,:,:,0.0,:
Annual,Total,Hectare,Total,Olive trees,Sweden,:,:,0.0,:
Annual,Total,Hectare,Total,Olive trees,Slovenia,:,:,892 e,1241.99
Annual,Total,Hectare,Total,Olive trees,Slovakia,:,:,0.0,:
Annual,Total,Hectare,Total,Olive trees,United Kingdom,:,:,0.0,:
Annual,Total,Hectare,Total,Orange trees,Austria,0.0,0.0,0.0,:
Annual,Total,Hectare,Total,Orange trees,Belgium,0.0,0.0,0.0,:
Annual,Total,Hectare,Total,Orange trees,Bulgaria,:,0.0,0.0,:
Annual,Total,Hectare,Total,Orange trees,Cyprus,:,1554.0,1201.31,1108.67
Annual,Total,Hectare,Total,Orange trees,Czechia,:,0.0,0.0,:
Annual,Total,Hectare,Total,Orange trees,Germany,0.0,0.0,0.0,:
Annual,Total,Hectare,Total,Orange trees,Denmark,0.0,0.0,0.0,:
Annual,Total,Hectare,Total,Orange trees,Estonia,:,0.0,0.0,:
Annual,Total,Hectare,Total,Orange trees,Greece,33029.1,32439.9,27017.5,28783.71
Annual,Total,Hectare,Total,Orange trees,Spain,131435.0,158824.0,149971.11,135092.23
Annual,Total,Hectare,Total,Orange trees,European Union - 27 countries (from 2020),:,:,:,255533.84
Annual,Total,Hectare,Total,Orange trees,European Union - 28 countries (2013-2020),:,:,267255.34,255533.84
Annual,Total,Hectare,Total,Orange trees,Finland,0.0,0.0,0.0,:
Annual,Total,Hectare,Total,Orange trees,France,28.96,28.55,801.58,:
Annual,Total,Hectare,Total,Orange trees,Croatia,:,:,: m,:
Annual,Total,Hectare,Total,Orange trees,Hungary,:,0.0,0.0,:
Annual,Total,Hectare,Total,Orange trees,Ireland,0.0,0.0,0.0,:
Annual,Total,Hectare,Total,Orange trees,Italy,76042.2,73785.9,77518.88,78347.71
Annual,Total,Hectare,Total,Orange trees,Lithuania,:,0.0,0.0,:
Annual,Total,Hectare,Total,Orange trees,Luxembourg,0.0,0.0,0.0,:
Annual,Total,Hectare,Total,Orange trees,Latvia,:,0.0,0.0,:
Annual,Total,Hectare,Total,Orange trees,Malta,:,:,: m,:
Annual,Total,Hectare,Total,Orange trees,Netherlands,0.0,0.0,0.0,:
Annual,Total,Hectare,Total,Orange trees,Poland,:,0.0,0.0,:
Annual,Total,Hectare,Total,Orange trees,Portugal,11582.0,12416.0,10744.93,12201.52
Annual,Total,Hectare,Total,Orange trees,Romania,:,0.0,0.0,:
Annual,Total,Hectare,Total,Orange trees,Sweden,0.0,0.0,0.0,:
Annual,Total,Hectare,Total,Orange trees,Slovenia,:,0.0,0.0,:
Annual,Total,Hectare,Total,Orange trees,Slovakia,:,0.0,0.0,:
Annual,Total,Hectare,Total,Orange trees,United Kingdom,0.0,0.0,0.0,:
Annual,Total,Hectare,Total,Dessert peach and nectarine trees,Austria,:,:,211.01,218.38
Annual,Total,Hectare,Total,Dessert peach and nectarine trees,Bulgaria,:,:,3738.45,2795.63
Annual,Total,Hectare,Total,Dessert peach and nectarine trees,Cyprus,:,:,361.6,298.82
Annual,Total,Hectare,Total,Dessert peach and nectarine trees,Czechia,:,:,761.38,:
Annual,Total,Hectare,Total,Dessert peach and nectarine trees,Germany,:,:,0.0,:
Annual,Total,Hectare,Total,Dessert peach and nectarine trees,Denmark,:,:,0.0,:
Annual,Total,Hectare,Total,Dessert peach and nectarine trees,Estonia,:,:,0.0,:
Annual,Total,Hectare,Total,Dessert peach and nectarine trees,Greece,:,:,32229.1,18434.21
Annual,Total,Hectare,Total,Dessert peach and nectarine trees,Spain,:,:,65459.48,73175.58
Annual,Total,Hectare,Total,Dessert peach and nectarine trees,European Union - 27 countries (from 2020),:,:,:,168020.74
Annual,Total,Hectare,Total,Dessert peach and nectarine trees,European Union - 28 countries (2013-2020),:,:,180477.45,168020.74
Annual,Total,Hectare,Total,Dessert peach and nectarine trees,Finland,:,:,0.0,:
Annual,Total,Hectare,Total,Dessert peach and nectarine trees,France,:,:,10492.69,10580.89
Annual,Total,Hectare,Total,Dessert peach and nectarine trees,Croatia,:,:,1042.27,:
Annual,Total,Hectare,Total,Dessert peach and nectarine trees,Hungary,:,:,3627.16,3261.85
Annual,Total,Hectare,Total,Dessert peach and nectarine trees,Ireland,:,:,0.0,:
Annual,Total,Hectare,Total,Dessert peach and nectarine trees,Italy,:,:,56418.52,54195.94
Annual,Total,Hectare,Total,Dessert peach and nectarine trees,Lithuania,:,:,0.0,:
Annual,Total,Hectare,Total,Dessert peach and nectarine trees,Luxembourg,:,:,0.0,:
Annual,Total,Hectare,Total,Dessert peach and nectarine trees,Latvia,:,:,0.0,:
Annual,Total,Hectare,Total,Dessert peach and nectarine trees,Malta,:,:,: m,:
Annual,Total,Hectare,Total,Dessert peach and nectarine trees,Netherlands,:,:,0.0,:
Annual,Total,Hectare,Total,Dessert peach and nectarine trees,Poland,:,:,1315.26,716.34
Annual,Total,Hectare,Total,Dessert peach and nectarine trees,Portugal,:,:,2535.83,2497.59
Annual,Total,Hectare,Total,Dessert peach and nectarine trees,Romania,:,:,1886.75,1845.55
Annual,Total,Hectare,Total,Dessert peach and nectarine trees,Serbia,:,:,:,7160.0
Annual,Total,Hectare,Total,Dessert peach and nectarine trees,Sweden,:,:,0.0,:
Annual,Total,Hectare,Total,Dessert peach and nectarine trees,Slovenia,:,:,397.9,:
Annual,Total,Hectare,Total,Dessert peach and nectarine trees,United Kingdom,:,:,0.0,:
Annual,Total,Hectare,Total,Peach and nectarine trees for industrial processing (including group of Pavie),Bulgaria,:,:,614.03,867.29
Annual,Total,Hectare,Total,Peach and nectarine trees for industrial processing (including group of Pavie),Czechia,:,:,0.0,:
Annual,Total,Hectare,Total,Peach and nectarine trees for industrial processing (including group of Pavie),Germany,:,:,0.0,:
Annual,Total,Hectare,Total,Peach and nectarine trees for industrial processing (including group of Pavie),Denmark,:,:,0.0,:
Annual,Total,Hectare,Total,Peach and nectarine trees for industrial processing (including group of Pavie),Estonia,:,:,0.0,:
Annual,Total,Hectare,Total,Peach and nectarine trees for industrial processing (including group of Pavie),Greece,:,:,:,15336.27
Annual,Total,Hectare,Total,Peach and nectarine trees for industrial processing (including group of Pavie),Spain,:,:,11704.28,5739.51
Annual,Total,Hectare,Total,Peach and nectarine trees for industrial processing (including group of Pavie),European Union - 27 countries (from 2020),:,:,:,22528.43
Annual,Total,Hectare,Total,Peach and nectarine trees for industrial processing (including group of Pavie),European Union - 28 countries (2013-2020),:,:,:,22528.43
Annual,Total,Hectare,Total,Peach and nectarine trees for industrial processing (including group of Pavie),Finland,:,:,0.0,:
Annual,Total,Hectare,Total,Peach and nectarine trees for industrial processing (including group of Pavie),France,:,:,292.51,338.69
Annual,Total,Hectare,Total,Peach and nectarine trees for industrial processing (including group of Pavie),Croatia,:,:,0.0,:
Annual,Total,Hectare,Total,Peach and nectarine trees for industrial processing (including group of Pavie),Hungary,:,:,348.66,246.68
Annual,Total,Hectare,Total,Peach and nectarine trees for industrial processing (including group of Pavie),Ireland,:,:,0.0,:
Annual,Total,Hectare,Total,Peach and nectarine trees for industrial processing (including group of Pavie),Italy,:,:,5685.29,:
Annual,Total,Hectare,Total,Peach and nectarine trees for industrial processing (including group of Pavie),Lithuania,:,:,0.0,:
Annual,Total,Hectare,Total,Peach and nectarine trees for industrial processing (including group of Pavie),Luxembourg,:,:,0.0,:
Annual,Total,Hectare,Total,Peach and nectarine trees for industrial processing (including group of Pavie),Latvia,:,:,0.0,:
Annual,Total,Hectare,Total,Peach and nectarine trees for industrial processing (including group of Pavie),Malta,:,:,0.0,:
Annual,Total,Hectare,Total,Peach and nectarine trees for industrial processing (including group of Pavie),Netherlands,:,:,0.0,:
Annual,Total,Hectare,Total,Peach and nectarine trees for industrial processing (including group of Pavie),Romania,:,:,0.0,:
Annual,Total,Hectare,Total,Peach and nectarine trees for industrial processing (including group of Pavie),Sweden,:,:,0.0,:
Annual,Total,Hectare,Total,Peach and nectarine trees for industrial processing (including group of Pavie),United Kingdom,:,:,0.0,:
Annual,Total,Hectare,Total,Dessert pear trees,Austria,469.84,506.38,534.52,620.88
Annual,Total,Hectare,Total,Dessert pear trees,Belgium,6388.97,7224.56,8317.59,8941.41
Annual,Total,Hectare,Total,Dessert pear trees,Bulgaria,:,298.36,540.03,:
Annual,Total,Hectare,Total,Dessert pear trees,Cyprus,:,146.0,86.53,70.85
Annual,Total,Hectare,Total,Dessert pear trees,Czechia,:,715.54,1025.96,870.1
Annual,Total,Hectare,Total,Dessert pear trees,Germany,1685.01,1580.8,1360.67,1456.81
Annual,Total,Hectare,Total,Dessert pear trees,Denmark,399.75,400.63,362.67,313.54
Annual,Total,Hectare,Total,Dessert pear trees,Estonia,:,0.0,0.0,:
Annual,Total,Hectare,Total,Dessert pear trees,Greece,3386.4,3126.89,3211.64,3304.31
Annual,Total,Hectare,Total,Dessert pear trees,Spain,31306.0,25845.4,21988.64,18108.0
Annual,Total,Hectare,Total,Dessert pear trees,European Union - 27 countries (from 2020),:,:,:,98204.14
Annual,Total,Hectare,Total,Dessert pear trees,European Union - 28 countries (2013-2020),:,:,104038.67,99702.73
Annual,Total,Hectare,Total,Dessert pear trees,Finland,:,0.0,: m,:
Annual,Total,Hectare,Total,Dessert pear trees,France,9038.77,6706.57,5024.6,5249.75
Annual,Total,Hectare,Total,Dessert pear trees,Croatia,:,:,554.0,:
Annual,Total,Hectare,Total,Dessert pear trees,Hungary,:,2812.11,2426.31,2334.71
Annual,Total,Hectare,Total,Dessert pear trees,Ireland,:,0.0,: m,:
Annual,Total,Hectare,Total,Dessert pear trees,Italy,38419.7,32075.2,30182.51,28623.15
Annual,Total,Hectare,Total,Dessert pear trees,Lithuania,:,31.5,38.69,:
Annual,Total,Hectare,Total,Dessert pear trees,Luxembourg,66.55,7.88,18.0,:
Annual,Total,Hectare,Total,Dessert pear trees,Latvia,:,257.5,: m,:
Annual,Total,Hectare,Total,Dessert pear trees,Malta,:,:,: m,:
Annual,Total,Hectare,Total,Dessert pear trees,Netherlands,5841.04,7030.08,8168.55,9741.74
Annual,Total,Hectare,Total,Dessert pear trees,Poland,:,7048.05,5883.86,5031.73
Annual,Total,Hectare,Total,Dessert pear trees,Portugal,10034.5,9228.38,9216.57,10305.92
Annual,Total,Hectare,Total,Dessert pear trees,Romania,:,4833.59,3216.99,3231.29
Annual,Total,Hectare,Total,Dessert pear trees,Serbia,:,:,:,5734.0
Annual,Total,Hectare,Total,Dessert pear trees,Sweden,172.39,122.15,196.24,:
Annual,Total,Hectare,Total,Dessert pear trees,Slovenia,:,196.29,212.6,:
Annual,Total,Hectare,Total,Dessert pear trees,Slovakia,:,147.55,: m,:
Annual,Total,Hectare,Total,Dessert pear trees,United Kingdom,2040.87,1536.22,1471.52,1498.59
Annual,Total,Hectare,Total,Pear trees for industrial processing,Bulgaria,:,:,0.0,:
Annual,Total,Hectare,Total,Pear trees for industrial processing,Czechia,:,:,0.0,:
Annual,Total,Hectare,Total,Pear trees for industrial processing,Germany,:,:,572.04,680.38
Annual,Total,Hectare,Total,Pear trees for industrial processing,Denmark,:,:,0.0,:
Annual,Total,Hectare,Total,Pear trees for industrial processing,Estonia,:,:,0.0,:
Annual,Total,Hectare,Total,Pear trees for industrial processing,Spain,:,:,0.0,:
Annual,Total,Hectare,Total,Pear trees for industrial processing,European Union - 27 countries (from 2020),:,:,:,680.38
Annual,Total,Hectare,Total,Pear trees for industrial processing,European Union - 28 countries (2013-2020),:,:,:,680.38
Annual,Total,Hectare,Total,Pear trees for industrial processing,Finland,:,:,0.0,:
Annual,Total,Hectare,Total,Pear trees for industrial processing,France,:,:,0.0,:
Annual,Total,Hectare,Total,Pear trees for industrial processing,Croatia,:,:,0.0,:
Annual,Total,Hectare,Total,Pear trees for industrial processing,Ireland,:,:,0.0,:
Annual,Total,Hectare,Total,Pear trees for industrial processing,Lithuania,:,:,0.0,:
Annual,Total,Hectare,Total,Pear trees for industrial processing,Luxembourg,:,:,0.0,:
Annual,Total,Hectare,Total,Pear trees for industrial processing,Latvia,:,:,0.0,:
Annual,Total,Hectare,Total,Pear trees for industrial processing,Malta,:,:,0.0,:
Annual,Total,Hectare,Total,Pear trees for industrial processing,Netherlands,:,:,0.0,:
Annual,Total,Hectare,Total,Pear trees for industrial processing,Romania,:,:,0.0,:
Annual,Total,Hectare,Total,Pear trees for industrial processing,Sweden,:,:,0.0,:
Annual,Total,Hectare,Total,Pear trees for industrial processing,Slovakia,:,:,0.0,:
Annual,Total,Hectare,Total,Small citrus fruit trees,Austria,:,:,0.0,:
Annual,Total,Hectare,Total,Small citrus fruit trees,Belgium,:,:,0.0,:
Annual,Total,Hectare,Total,Small citrus fruit trees,Bulgaria,:,:,0.0,:
Annual,Total,Hectare,Total,Small citrus fruit trees,Cyprus,:,:,1163.22,933.11
Annual,Total,Hectare,Total,Small citrus fruit trees,Czechia,:,:,0.0,:
Annual,Total,Hectare,Total,Small citrus fruit trees,Germany,:,:,0.0,:
Annual,Total,Hectare,Total,Small citrus fruit trees,Denmark,:,:,0.0,:
Annual,Total,Hectare,Total,Small citrus fruit trees,Estonia,:,:,0.0,:
Annual,Total,Hectare,Total,Small citrus fruit trees,Greece,:,:,5775.47,6464.4
Annual,Total,Hectare,Total,Small citrus fruit trees,Spain,:,:,103082.56,99989.37
Annual,Total,Hectare,Total,Small citrus fruit trees,European Union - 27 countries (from 2020),:,:,:,139594.86
Annual,Total,Hectare,Total,Small citrus fruit trees,European Union - 28 countries (2013-2020),:,:,146613.95,139594.86
Annual,Total,Hectare,Total,Small citrus fruit trees,Finland,:,:,0.0,:
Annual,Total,Hectare,Total,Small citrus fruit trees,France,:,:,2024.03,1748.79
Annual,Total,Hectare,Total,Small citrus fruit trees,Croatia,:,:,1474.9,1721.78
Annual,Total,Hectare,Total,Small citrus fruit trees,Hungary,:,:,0.0,:
Annual,Total,Hectare,Total,Small citrus fruit trees,Ireland,:,:,0.0,:
Annual,Total,Hectare,Total,Small citrus fruit trees,Italy,:,:,31132.81,26716.86
Annual,Total,Hectare,Total,Small citrus fruit trees,Lithuania,:,:,0.0,:
Annual,Total,Hectare,Total,Small citrus fruit trees,Luxembourg,:,:,0.0,:
Annual,Total,Hectare,Total,Small citrus fruit trees,Latvia,:,:,0.0,:
Annual,Total,Hectare,Total,Small citrus fruit trees,Malta,:,:,: m,:
Annual,Total,Hectare,Total,Small citrus fruit trees,Netherlands,:,:,0.0,:
Annual,Total,Hectare,Total,Small citrus fruit trees,Poland,:,:,0.0,:
Annual,Total,Hectare,Total,Small citrus fruit trees,Portugal,:,:,1960.94,2020.54
Annual,Total,Hectare,Total,Small citrus fruit trees,Romania,:,:,0.0,:
