Time frequency,Country of citizenship,Sex,Unit of measure,Age class,Applicant type,Geopolitical entity (reporting)\Time,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Extra-EU27 (from 2020),Total,Person,Total,First time applicant,Netherlands,9660.0,9815.0,21780.0,43035.0,19285.0,16090.0,20465.0,22485.0,13660.0,24730.0,35500.0,38320.0
Annual,Extra-EU27 (from 2020),Total,Person,Total,First time applicant,Norway,9210.0,11430.0,10910.0,30475.0,3245.0,3350.0,2530.0,2165.0,1325.0,1595.0,4650.0,5135.0
Annual,Extra-EU27 (from 2020),Total,Person,Total,First time applicant,Poland,9175.0,13970.0,5610.0,10255.0,9780.0,3005.0,2405.0,2765.0,1510.0,6240.0,7700.0,7720.0
Annual,Extra-EU27 (from 2020),Total,Person,Total,First time applicant,Portugal,290.0,500.0,440.0,870.0,710.0,1015.0,1240.0,1735.0,900.0,1350.0,1975.0,2600.0
Annual,Extra-EU27 (from 2020),Total,Person,Total,First time applicant,Romania,2420.0,1405.0,1500.0,1225.0,1855.0,4700.0,1945.0,2455.0,6025.0,9065.0,12065.0,9875.0
Annual,Extra-EU27 (from 2020),Total,Person,Total,First time applicant,Sweden,43835.0,49230.0,74980.0,156115.0,22335.0,22190.0,18635.0,20770.0,11765.0,9015.0,13180.0,8945.0
Annual,Extra-EU27 (from 2020),Total,Person,Total,First time applicant,Slovenia,260.0,240.0,355.0,260.0,1265.0,1435.0,2800.0,3615.0,3465.0,5220.0,6645.0,7185.0
Annual,Extra-EU27 (from 2020),Total,Person,Total,First time applicant,Slovakia,550.0,290.0,230.0,270.0,100.0,150.0,155.0,215.0,265.0,330.0,500.0,370.0
Annual,Extra-EU27 (from 2020),Total,Person,Total,First time applicant,United Kingdom,27885.0,29640.0,32120.0,39720.0,39240.0,34355.0,38400.0,44250.0,:,:,:,:
Annual,Extra-EU27 (from 2020),Total,Person,Total,Subsequent applicant,Austria,:,:,:,:,:,:,:,:,:,2010.0,2470.0,3075.0
Annual,Extra-EU27 (from 2020),Total,Person,Total,Subsequent applicant,Belgium,:,:,:,:,:,:,:,:,:,5425.0,4640.0,5900.0
Annual,Extra-EU27 (from 2020),Total,Person,Total,Subsequent applicant,Bulgaria,:,:,:,:,:,:,:,:,:,100.0,125.0,115.0
Annual,Extra-EU27 (from 2020),Total,Person,Total,Subsequent applicant,Switzerland,:,:,:,:,:,:,:,:,:,1630.0,1380.0,3320.0
Annual,Extra-EU27 (from 2020),Total,Person,Total,Subsequent applicant,Cyprus,:,:,:,:,:,:,:,:,:,: m,: m,: m
Annual,Extra-EU27 (from 2020),Total,Person,Total,Subsequent applicant,Czechia,:,:,:,:,:,:,:,:,:,350.0,350.0,275.0
Annual,Extra-EU27 (from 2020),Total,Person,Total,Subsequent applicant,Germany,:,:,:,:,:,:,:,:,:,42450.0,26200.0,22640.0
Annual,Extra-EU27 (from 2020),Total,Person,Total,Subsequent applicant,Denmark,:,:,:,:,:,:,:,:,:,: m,: m,: m
Annual,Extra-EU27 (from 2020),Total,Person,Total,Subsequent applicant,Estonia,:,:,:,:,:,:,:,:,:,5.0,0.0,5.0
Annual,Extra-EU27 (from 2020),Total,Person,Total,Subsequent applicant,Greece,:,:,:,:,:,:,:,:,:,5695.0,8245.0,6325.0
Annual,Extra-EU27 (from 2020),Total,Person,Total,Subsequent applicant,Spain,:,:,:,:,:,:,:,:,:,3245.0,1805.0,1965.0
Annual,Extra-EU27 (from 2020),Total,Person,Total,Subsequent applicant,European Union - 27 countries (from 2020),:,:,:,:,:,:,:,:,:,97045.0,80705.0,75335.0
Annual,Extra-EU27 (from 2020),Total,Person,Total,Subsequent applicant,Finland,:,:,:,:,:,:,:,:,:,1155.0,955.0,860.0
Annual,Extra-EU27 (from 2020),Total,Person,Total,Subsequent applicant,France,:,:,:,:,:,:,:,:,:,16605.0,18590.0,21070.0
Annual,Extra-EU27 (from 2020),Total,Person,Total,Subsequent applicant,Croatia,:,:,:,:,:,:,:,:,:,70.0,65.0,115.0
Annual,Extra-EU27 (from 2020),Total,Person,Total,Subsequent applicant,Hungary,:,:,:,:,:,:,:,:,:,0.0,0.0,5.0
Annual,Extra-EU27 (from 2020),Total,Person,Total,Subsequent applicant,Ireland,:,:,:,:,:,:,:,:,:,40.0,10.0,50.0
Annual,Extra-EU27 (from 2020),Total,Person,Total,Subsequent applicant,Iceland,:,:,:,:,:,:,:,:,:,0.0,0.0,20.0
Annual,Extra-EU27 (from 2020),Total,Person,Total,Subsequent applicant,Italy,:,:,:,:,:,:,:,:,:,8410.0,7090.0,5255.0
Annual,Extra-EU27 (from 2020),Total,Person,Total,Subsequent applicant,Liechtenstein,:,:,:,:,:,:,:,:,:,0.0,0.0,0.0
Annual,Extra-EU27 (from 2020),Total,Person,Total,Subsequent applicant,Lithuania,:,:,:,:,:,:,:,:,:,45.0,120.0,65.0
Annual,Extra-EU27 (from 2020),Total,Person,Total,Subsequent applicant,Luxembourg,:,:,:,:,:,:,:,:,:,45.0,50.0,70.0
Annual,Extra-EU27 (from 2020),Total,Person,Total,Subsequent applicant,Latvia,:,:,:,:,:,:,:,:,:,35.0,75.0,75.0
Annual,Extra-EU27 (from 2020),Total,Person,Total,Subsequent applicant,Montenegro,:,:,:,:,:,:,:,:,:,0.0,0.0,0.0
Annual,Extra-EU27 (from 2020),Total,Person,Total,Subsequent applicant,Malta,:,:,:,:,:,:,:,:,:,40.0,50.0,75.0
Annual,Extra-EU27 (from 2020),Total,Person,Total,Subsequent applicant,Netherlands,:,:,:,:,:,:,:,:,:,1810.0,1525.0,1390.0
Annual,Extra-EU27 (from 2020),Total,Person,Total,Subsequent applicant,Norway,:,:,:,:,:,:,:,:,:,60.0,55.0,50.0
Annual,Extra-EU27 (from 2020),Total,Person,Total,Subsequent applicant,Poland,:,:,:,:,:,:,:,:,:,1560.0,2110.0,1755.0
Annual,Extra-EU27 (from 2020),Total,Person,Total,Subsequent applicant,Portugal,:,:,:,:,:,:,:,:,:,5.0,15.0,30.0
Annual,Extra-EU27 (from 2020),Total,Person,Total,Subsequent applicant,Romania,:,:,:,:,:,:,:,:,:,515.0,285.0,220.0
Annual,Extra-EU27 (from 2020),Total,Person,Total,Subsequent applicant,Sweden,:,:,:,:,:,:,:,:,:,7370.0,5865.0,3935.0
Annual,Extra-EU27 (from 2020),Total,Person,Total,Subsequent applicant,Slovenia,:,:,:,:,:,:,:,:,:,45.0,35.0,45.0
Annual,Extra-EU27 (from 2020),Total,Person,Total,Subsequent applicant,Slovakia,:,:,:,:,:,:,:,:,:,15.0,20.0,15.0
