Time frequency,Unit of measure,Sex,Statistical classification of economic activities in the European Community (NACE Rev. 2),Severity (days lost),Geopolitical entity (reporting)\Time,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0
Annual,Incidence rate,Females,Total - all NACE activities,Fatal,Luxembourg,0.0,0.0,0.0,0.66,0.9,0.0,0.0,1.45,0.0,0.0,0 b,0.65,0.59
Annual,Incidence rate,Females,Total - all NACE activities,Fatal,Latvia,0.41,0.93,0.67,0.66,0.63,0.49,0.64,0.0,0.21,0.19,0 b,0.72,0.23
Annual,Incidence rate,Females,Total - all NACE activities,Fatal,Malta,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.94 b,0.0,12.74
Annual,Incidence rate,Females,Total - all NACE activities,Fatal,Netherlands,0.08,0.03,0.0,0.0,0.03,0.0,0.09,0.09,0.03,0.08,0.03 b,0.03,0.03
Annual,Incidence rate,Females,Total - all NACE activities,Fatal,Norway,0.16,1.0,0.25,0.33,0.12,0.16,0.16,0.08,0.0,0.0,0.08 b,0.07,0.0
Annual,Incidence rate,Females,Total - all NACE activities,Fatal,Poland,0.43,0.22,0.32,0.22,0.19,0.24,0.2,0.28,0.22,0.08,0.11 b,0.15,0.14
Annual,Incidence rate,Females,Total - all NACE activities,Fatal,Portugal,0.3,0.51,0.34,0.28,0.32,0.09,0.18,0.22,0.08,0.25,0.17 b,0.17,0.21
Annual,Incidence rate,Females,Total - all NACE activities,Fatal,Romania,0.8,1.06,0.6,0.59,0.38,0.5,0.48,0.43,0.54,0.19,0.42 b,0.15,0.04
Annual,Incidence rate,Females,Total - all NACE activities,Fatal,Sweden,0.05,0.32,0.18,0.05,0.05,0.09,0.17,0.13,0.13,0.21,0.04 b,0.12,0.36
Annual,Incidence rate,Females,Total - all NACE activities,Fatal,Slovenia,0.0,0.28,0.0,0.26,0.83,0.54,0.0,0.26,0.0,0.0,0.48 b,0.0,0.0
Annual,Incidence rate,Females,Total - all NACE activities,Fatal,Slovakia,0.46,0.16,0.0,0.1,0.0,0.21,0.4,0.39,0.19,0.1,0 b,0.09,0.09
Annual,Incidence rate,Females,Total - all NACE activities,Fatal,United Kingdom,0.04,0.06,0.06,0.18,0.17,0.17,0.12,0.19,0.11,:,:,:,:
Annual,Incidence rate,Males,Total - all NACE activities,Fatal,Austria,7.92,5.17,5.89,6.07,5.24,5.65,5.34,4.71,5.14,4.4,3.96 b,4.55,4.79
Annual,Incidence rate,Males,Total - all NACE activities,Fatal,Belgium,3.64,4.93,3.26,4.27,2.86,2.55,3.15,3.01,3.44,2.47,2.54 b,2.11,2.02
Annual,Incidence rate,Males,Total - all NACE activities,Fatal,Bulgaria,6.5,7.0,7.03,6.11,8.45,6.61,5.85,6.34,5.92,6.7,6.97 b,5.62,6.28
Annual,Incidence rate,Males,Total - all NACE activities,Fatal,Switzerland,3.69,2.54,3.0,3.48,3.39,2.46,3.06,1.66,2.2,2.36,1.77 b,1.32,2.51
Annual,Incidence rate,Males,Total - all NACE activities,Fatal,Cyprus,9.02,3.06,4.99,4.21,3.69,1.97,2.71,1.04,3.93,4.64,8.67 b,2.51,3.81
Annual,Incidence rate,Males,Total - all NACE activities,Fatal,Czechia,3.93,5.32,4.17,3.79,4.12,4.51,3.59,3.12,4.89,3.78,4.46 b,3.48,3.52
Annual,Incidence rate,Males,Total - all NACE activities,Fatal,Germany,2.12,2.16,2.07,1.91,2.05,1.83,1.75,1.58,1.4,1.4,1.33 b,1.49,1.32
Annual,Incidence rate,Males,Total - all NACE activities,Fatal,Denmark,2.73,3.03,3.19,2.55,2.51,1.64,1.85,1.65,2.22,2.27,2.42 b,2.45,2.22
Annual,Incidence rate,Males,Total - all NACE activities,Fatal,Estonia,6.56,6.3,4.2,6.04,4.69,5.2,8.98,2.07,3.21,4.74,3.54 b,4.62,4.76
Annual,Incidence rate,Males,Total - all NACE activities,Fatal,Greece,1.18,1.52,1.16,1.07,1.26,2.2,2.24,2.19,1.61,1.53,1.41 b,0.99,1.07
Annual,Incidence rate,Males,Total - all NACE activities,Fatal,Spain,3.89,4.5 b,3.95,3.46,3.46,4.13,3.52,3.66,3.57,3.11 b,3.65 b,3.41,3.61
Annual,Incidence rate,Males,Total - all NACE activities,Fatal,European Union - 27 countries (2007-2013),3.64,3.62,3.35,3.14,3.2,3.22,2.96,2.9,2.87,:,:,:,:
Annual,Incidence rate,Males,Total - all NACE activities,Fatal,European Union - 27 countries (from 2020),4.02,4.02,3.78,3.4,3.5,3.54,3.24,3.15,3.14,3.06,3.06 b,3.08,2.9
Annual,Incidence rate,Males,Total - all NACE activities,Fatal,European Union - 28 countries (2013-2020),3.64,3.63,3.38,3.15,3.2,3.23,2.97,2.91,2.89,:,:,:,:
Annual,Incidence rate,Males,Total - all NACE activities,Fatal,Finland,2.7,2.58,2.51,1.66,2.48,2.48,2.58,1.71,1.91,1.97,1.53 b,1.43,1.73
Annual,Incidence rate,Males,Total - all NACE activities,Fatal,France,4.24,5.32,4.66,4.39,4.42,4.68,4.53,4.5,4.71,5.98,4.04 b,5.77,5.77
Annual,Incidence rate,Males,Total - all NACE activities,Fatal,Croatia,4.55,4.64,7.21,3.66,3.51,3.99,4.51,5.05,5.46,5.28,5.32 b,3.99,5.04
Annual,Incidence rate,Males,Total - all NACE activities,Fatal,Hungary,4.6,4.63,3.03,2.54,4.02,3.93,3.84,3.62,3.59,3.75,2.79 b,3.69,2.91
Annual,Incidence rate,Males,Total - all NACE activities,Fatal,Ireland,4.24,4.85,4.38,3.94,4.33,4.43,4.04,3.37,2.7,3.27,3.3 b,2.65,1.82
Annual,Incidence rate,Males,Total - all NACE activities,Fatal,Iceland,:,0.0,0.0,0.0,1.09,2.08,3.95,1.93,2.81,1.85,2.86 b,0.0,0.78
Annual,Incidence rate,Males,Total - all NACE activities,Fatal,Italy,4.91,4.27,4.28,3.67,3.79,3.93,3.47,3.39,3.72,3.44,5.15 b,4.22,3.3
Annual,Incidence rate,Males,Total - all NACE activities,Fatal,Lithuania,7.87,7.59,10.01,8.96,9.35,7.52,7.48,5.51,6.35,6.14,6.05 b,7.42,4.41
Annual,Incidence rate,Males,Total - all NACE activities,Fatal,Luxembourg,6.42,4.59,5.75,2.25,6.54,5.71,9.96,3.44,6.69,4.91,2.76 b,2.34,4.18
Annual,Incidence rate,Males,Total - all NACE activities,Fatal,Latvia,5.34,7.89,7.95,6.91,8.67,6.42,8.08,4.68,6.44,5.4,4.97 b,7.44,5.31
Annual,Incidence rate,Males,Total - all NACE activities,Fatal,Malta,2.77,0.91,7.03,3.65,3.58,4.39,5.97,0.75,2.82,1.97,4.53 b,5.68,0.0
Annual,Incidence rate,Males,Total - all NACE activities,Fatal,Netherlands,1.51,1.25,0.93,1.14,1.2,0.94,0.88,1.05,1.12,0.85,0.55 b,0.6,0.58
Annual,Incidence rate,Males,Total - all NACE activities,Fatal,Norway,3.02,3.12,2.47,3.21,3.02,2.63,2.98,2.37,2.44,1.98,2.63 b,2.42,2.12
Annual,Incidence rate,Males,Total - all NACE activities,Fatal,Poland,6.56,4.36,3.91,3.17,3.02,3.24,2.65,3.58,2.79,1.9,2.45 b,2.78,2.27
Annual,Incidence rate,Males,Total - all NACE activities,Fatal,Portugal,7.45,8.28,8.08,6.73,6.6,6.81,5.67,5.53,4.06,3.91,5.21 b,3.66,5.53
Annual,Incidence rate,Males,Total - all NACE activities,Fatal,Romania,8.76,12.23,11.55,11.17,11.17,10.13,8.16,8.19,7.79,5.64,5.96 b,5.86,4.36
Annual,Incidence rate,Males,Total - all NACE activities,Fatal,Sweden,2.32,2.09,1.7,1.42,1.62,1.31,1.32,1.6,1.82,1.19,0.89 b,1.36,1.12
Annual,Incidence rate,Males,Total - all NACE activities,Fatal,Slovenia,5.06,4.05,4.79,4.13,4.9,4.62,2.98,3.16,3.03,2.92,2.97 b,2.72,3.17
Annual,Incidence rate,Males,Total - all NACE activities,Fatal,Slovakia,3.36,2.94,4.31,4.17,3.04,4.85,3.68,3.48,3.31,2.8,2.86 b,2.87,2.74
Annual,Incidence rate,Males,Total - all NACE activities,Fatal,United Kingdom,1.12,1.22,0.97,1.58,1.37,1.42,1.4,1.5,1.37,:,:,:,:
Annual,Incidence rate,Total,Total - all NACE activities,Fatal,Austria,4.44,3.01,3.44,3.43,3.06,3.23,2.91,2.53,2.87,2.49,2.36 b,2.86,2.85
Annual,Incidence rate,Total,Total - all NACE activities,Fatal,Belgium,2.25,2.77,1.78,2.46,1.53 b,1.41,1.8,1.68,1.91,1.27,1.33 b,1.13,1.06
Annual,Incidence rate,Total,Total - all NACE activities,Fatal,Bulgaria,3.6,3.63,3.82,3.35,4.45,3.57,3.0,3.4,3.14,3.37,3.68 b,2.85,3.33
Annual,Incidence rate,Total,Total - all NACE activities,Fatal,Switzerland,2.13,1.5,1.72,2.02,1.91,1.34,1.97,0.91,1.24,1.35,1.08 b,0.75,1.4
Annual,Incidence rate,Total,Total - all NACE activities,Fatal,Cyprus,4.93,1.5,2.74,2.47,1.74,1.29,1.4,0.54,2.29,2.45,4.45 b,1.3,2.23
Annual,Incidence rate,Total,Total - all NACE activities,Fatal,Czechia,2.48,3.2,2.4,2.29,2.37,2.76,2.07,1.82,2.59,2.01,2.3 b,1.87,1.85
Annual,Incidence rate,Total,Total - all NACE activities,Fatal,Germany,1.2,1.18,1.18,1.04,1.15,1.02,0.96,0.89,0.78,0.79,0.73 b,0.84,0.74
Annual,Incidence rate,Total,Total - all NACE activities,Fatal,Denmark,1.53,1.64,1.75,1.45,1.4,1.02,1.23,0.92,1.28,1.43,1.34 b,1.42,1.33
Annual,Incidence rate,Total,Total - all NACE activities,Fatal,Estonia,3.24,3.12,2.24,3.22,2.56,2.93,4.45,1.21,1.81,2.51,1.73 b,2.23,2.46
Annual,Incidence rate,Total,Total - all NACE activities,Fatal,Greece,0.73,0.9,0.69,0.63,0.79 b,1.19,1.29,1.22,0.97,0.92,0.88 b,0.58,0.62
Annual,Incidence rate,Total,Total - all NACE activities,Fatal,Spain,2.19,2.5 b,2.16,1.88,1.93,2.3,1.92,1.99,1.96,1.78 b,2.06 b,1.93,2.03
Annual,Incidence rate,Total,Total - all NACE activities,Fatal,European Union - 27 countries (2007-2013),2.09,2.07,1.9,1.78,1.83,1.83,1.68,1.65,1.62,:,:,:,:
Annual,Incidence rate,Total,Total - all NACE activities,Fatal,European Union - 27 countries (from 2020),2.31,2.3,2.14,1.92,2.0,2.01,1.84,1.79,1.77,1.74,1.77 b,1.76,1.66
Annual,Incidence rate,Total,Total - all NACE activities,Fatal,European Union - 28 countries (2013-2020),2.09,2.07,1.91,1.78,1.83,1.83,1.69,1.65,1.63,:,:,:,:
Annual,Incidence rate,Total,Total - all NACE activities,Fatal,Finland,1.51,1.33,1.45,0.9,1.44,1.44,1.43,0.93,0.99,1.13,0.95 b,0.75,1.04
Annual,Incidence rate,Total,Total - all NACE activities,Fatal,France,2.36,3.09,2.53,2.42,2.7 b,2.57,2.74,2.64 b,2.74,3.53,2.54 b,3.32,3.49
Annual,Incidence rate,Total,Total - all NACE activities,Fatal,Croatia,2.45,2.69,3.87,2.09,1.94,2.16,2.37,2.63,3.04,2.96,2.89 b,2.18,2.93
Annual,Incidence rate,Total,Total - all NACE activities,Fatal,Hungary,2.61,2.41,1.68,1.4,2.22,2.29,2.14,2.01,1.97,2.09,1.63 b,2.01,1.7
Annual,Incidence rate,Total,Total - all NACE activities,Fatal,Ireland,2.27,2.65,2.34,2.13,2.46,2.51,2.24,1.87,1.51,1.77,1.79 b,1.42,0.97
Annual,Incidence rate,Total,Total - all NACE activities,Fatal,Iceland,:,0.0,0.0,0.0,1.14,1.09,2.1,1.03,1.51,0.99,1.54 b,0.0,0.43
Annual,Incidence rate,Total,Total - all NACE activities,Fatal,Italy,3.09,2.71,2.64,2.31,2.34,2.42,2.11,2.1,2.25,2.1,3.39 b,2.66,2.03
Annual,Incidence rate,Total,Total - all NACE activities,Fatal,Lithuania,4.02,4.06,4.98,4.49,4.74,3.84,3.69,2.77,3.05,3.01,3.17 b,3.75,2.38
Annual,Incidence rate,Total,Total - all NACE activities,Fatal,Luxembourg,3.82,2.73,3.38,1.6,4.02,3.3,6.32,2.7,4.22,3.13,1.71 b,1.71,2.78
Annual,Incidence rate,Total,Total - all NACE activities,Fatal,Latvia,2.74,4.21,4.12,3.59,4.5,3.32,4.22,2.29,3.27,2.78,2.47 b,4.29,2.98
Annual,Incidence rate,Total,Total - all NACE activities,Fatal,Malta,1.83,0.59,4.59,2.27,2.2,2.69,3.65,0.45,1.68,1.18,3.07 b,3.34,5.28
Annual,Incidence rate,Total,Total - all NACE activities,Fatal,Netherlands,0.88,0.67,0.49,0.6,0.64 b,0.5,0.5,0.59,0.6,0.48,0.3 b,0.33,0.31
Annual,Incidence rate,Total,Total - all NACE activities,Fatal,Norway,1.7,2.12,1.43,1.85,1.71,1.48,1.66,1.59,1.31,1.09,1.45 b,1.33,1.12
Annual,Incidence rate,Total,Total - all NACE activities,Fatal,Poland,3.65,2.5,2.3,1.83,1.75,1.89,1.54,2.0,1.56,1.1,1.35 b,1.56,1.27
Annual,Incidence rate,Total,Total - all NACE activities,Fatal,Portugal,4.1,5.07,4.8,3.61,3.56,3.54,3.0,2.94,2.12,2.12,2.72 b,1.93,2.89
Annual,Incidence rate,Total,Total - all NACE activities,Fatal,Romania,4.91,6.37,5.78,5.6,5.5,5.56,4.52,4.49,4.33,3.0,3.31 b,3.11,2.26
Annual,Incidence rate,Total,Total - all NACE activities,Fatal,Sweden,1.23,1.25,0.98,0.77,0.87,0.73,0.77,0.9,1.01,0.72,0.49 b,0.77,0.76
Annual,Incidence rate,Total,Total - all NACE activities,Fatal,Slovenia,2.77,2.35,2.61,2.38,3.09,2.79,1.65,1.85,1.67,1.61,1.85 b,1.51,1.72
Annual,Incidence rate,Total,Total - all NACE activities,Fatal,Slovakia,2.04,1.56,2.17,2.36,1.69,2.67,2.13,2.0,1.83,1.5,1.49 b,1.47,1.4
Annual,Incidence rate,Total,Total - all NACE activities,Fatal,United Kingdom,0.62,0.68,0.55,0.92,0.81,0.83,0.8,0.88,0.78,:,:,:,:
