Time frequency,Unit of measure,Country of citizenship,Sex,Age class,Applicant type,Geopolitical entity (reporting)\Time,Janvier 2024,Février 2024,Mars 2024,Avril 2024,Mai 2024,Juin 2024,Juillet 2024,Août 2024,Septembre 2024,Octobre 2024,Novembre 2024,Décembre 2024
Monthly,Person,Extra-EU27 (from 2020),Total,Total,Asylum applicant,Netherlands,3375.0,2795.0,3160.0,2990.0,2910.0,2145.0,2725.0,2730.0,3045.0,2865.0,2450.0,2250.0
Monthly,Person,Extra-EU27 (from 2020),Total,Total,Asylum applicant,Norway,340.0,325.0,280.0,320.0,335.0,355.0,440.0,440.0,560.0,625.0,515.0,405.0
Monthly,Person,Extra-EU27 (from 2020),Total,Total,Asylum applicant,Poland,905.0,1050.0,1055.0,1280.0,1650.0,1855.0,1465.0,1340.0,1615.0,1535.0,1545.0,1475.0
Monthly,Person,Extra-EU27 (from 2020),Total,Total,Asylum applicant,Portugal,470.0,420.0,225.0,180.0,155.0,205.0,170.0,160.0,160.0,210.0,:,:
Monthly,Person,Extra-EU27 (from 2020),Total,Total,Asylum applicant,Romania,295.0,265.0,250.0,225.0,170.0,105.0,235.0,210.0,235.0,165.0,:,:
Monthly,Person,Extra-EU27 (from 2020),Total,Total,Asylum applicant,Sweden,1175.0,1250.0,1080.0,1070.0,860.0,755.0,795.0,830.0,930.0,980.0,820.0,785.0
Monthly,Person,Extra-EU27 (from 2020),Total,Total,Asylum applicant,Slovenia,610.0,540.0,425.0,430.0,320.0,280.0,465.0,590.0,490.0,560.0,465.0,:
Monthly,Person,Extra-EU27 (from 2020),Total,Total,Asylum applicant,Slovakia,10.0,5.0,20.0,15.0,15.0,10.0,20.0,10.0,10.0,15.0,15.0,:
Monthly,Person,Extra-EU27 (from 2020),Total,Total,First time applicant,Austria,1980.0,1845.0,2185.0,1980.0,2300.0,1620.0,1540.0,1505.0,1690.0,2135.0,1470.0,:
Monthly,Person,Extra-EU27 (from 2020),Total,Total,First time applicant,Belgium,2595.0,2215.0,2245.0,2560.0,2745.0,2230.0,2975.0,2810.0,3125.0,3695.0,2830.0,:
Monthly,Person,Extra-EU27 (from 2020),Total,Total,First time applicant,Bulgaria,755.0,545.0,695.0,725.0,785.0,1055.0,1645.0,1975.0,1505.0,1470.0,615.0,:
Monthly,Person,Extra-EU27 (from 2020),Total,Total,First time applicant,Switzerland,2300.0,1735.0,1525.0,1705.0,1700.0,1580.0,1960.0,1955.0,2135.0,2380.0,2060.0,:
Monthly,Person,Extra-EU27 (from 2020),Total,Total,First time applicant,Cyprus,975.0,800.0,1140.0,1525.0,280.0,170.0,190.0,265.0,300.0,480.0,:,:
Monthly,Person,Extra-EU27 (from 2020),Total,Total,First time applicant,Czechia,80.0,110.0,65.0,90.0,75.0,75.0,115.0,95.0,95.0,95.0,60.0,:
Monthly,Person,Extra-EU27 (from 2020),Total,Total,First time applicant,Germany,28465.0,21245.0,18025.0,18585.0,18300.0,17620.0,19460.0,19375.0,19060.0,20565.0,16820.0,12175.0
Monthly,Person,Extra-EU27 (from 2020),Total,Total,First time applicant,Denmark,220.0,160.0,135.0,175.0,155.0,170.0,165.0,155.0,215.0,235.0,:,:
Monthly,Person,Extra-EU27 (from 2020),Total,Total,First time applicant,Estonia,165.0,130.0,125.0,120.0,125.0,90.0,115.0,95.0,90.0,105.0,95.0,:
Monthly,Person,Extra-EU27 (from 2020),Total,Total,First time applicant,Greece,6110.0,5470.0,3750.0,3745.0,3455.0,4720.0,5730.0,6225.0,6860.0,8255.0,8265.0,:
Monthly,Person,Extra-EU27 (from 2020),Total,Total,First time applicant,Spain,13705.0,13600.0,13255.0,15430.0,16275.0,14855.0,11925.0,10580.0,12510.0,15780.0,:,:
Monthly,Person,Extra-EU27 (from 2020),Total,Total,First time applicant,European Union - 27 countries (from 2020),87970.0,77230.0,75080.0,77175.0,77975.0,71345.0,75795.0,70295.0,76805.0,86920.0,:,:
Monthly,Person,Extra-EU27 (from 2020),Total,Total,First time applicant,Finland,305.0,190.0,155.0,150.0,200.0,150.0,170.0,190.0,185.0,205.0,165.0,190.0
Monthly,Person,Extra-EU27 (from 2020),Total,Total,First time applicant,France,11620.0,10205.0,10540.0,10890.0,10650.0,10510.0,11300.0,10035.0,11535.0,13110.0,11345.0,11085.0
Monthly,Person,Extra-EU27 (from 2020),Total,Total,First time applicant,Croatia,50.0,70.0,85.0,120.0,115.0,80.0,70.0,45.0,90.0,110.0,:,:
Monthly,Person,Extra-EU27 (from 2020),Total,Total,First time applicant,Hungary,0.0,0.0,0.0,5.0,5.0,0.0,5.0,0.0,5.0,5.0,0.0,0.0
Monthly,Person,Extra-EU27 (from 2020),Total,Total,First time applicant,Ireland,1770.0,1565.0,1815.0,2025.0,2000.0,1400.0,1720.0,1685.0,1545.0,1045.0,:,:
Monthly,Person,Extra-EU27 (from 2020),Total,Total,First time applicant,Iceland,155.0,240.0,170.0,155.0,180.0,165.0,160.0,125.0,130.0,135.0,125.0,:
Monthly,Person,Extra-EU27 (from 2020),Total,Total,First time applicant,Italy,12920.0,13345.0,15115.0,13485.0,14770.0,11685.0,13235.0,9620.0,11895.0,13715.0,11620.0,:
Monthly,Person,Extra-EU27 (from 2020),Total,Total,First time applicant,Liechtenstein,5.0,10.0,10.0,5.0,5.0,0.0,10.0,5.0,5.0,10.0,:,:
Monthly,Person,Extra-EU27 (from 2020),Total,Total,First time applicant,Lithuania,40.0,35.0,35.0,20.0,25.0,10.0,20.0,30.0,20.0,15.0,30.0,15.0
Monthly,Person,Extra-EU27 (from 2020),Total,Total,First time applicant,Luxembourg,170.0,170.0,160.0,130.0,155.0,130.0,170.0,165.0,185.0,245.0,:,:
Monthly,Person,Extra-EU27 (from 2020),Total,Total,First time applicant,Latvia,15.0,20.0,60.0,60.0,90.0,40.0,90.0,215.0,75.0,55.0,:,:
Monthly,Person,Extra-EU27 (from 2020),Total,Total,First time applicant,Montenegro,5.0,10.0,15.0,25.0,5.0,10.0,10.0,10.0,10.0,10.0,5.0,:
Monthly,Person,Extra-EU27 (from 2020),Total,Total,First time applicant,Malta,40.0,80.0,45.0,40.0,25.0,25.0,25.0,30.0,30.0,45.0,:,:
Monthly,Person,Extra-EU27 (from 2020),Total,Total,First time applicant,Netherlands,3230.0,2665.0,3040.0,2870.0,2790.0,2035.0,2575.0,2610.0,2900.0,2720.0,2355.0,2135.0
Monthly,Person,Extra-EU27 (from 2020),Total,Total,First time applicant,Norway,335.0,305.0,265.0,315.0,330.0,345.0,425.0,435.0,530.0,615.0,495.0,395.0
Monthly,Person,Extra-EU27 (from 2020),Total,Total,First time applicant,Poland,775.0,920.0,955.0,1095.0,1495.0,1615.0,1220.0,1150.0,1435.0,1340.0,1320.0,1120.0
Monthly,Person,Extra-EU27 (from 2020),Total,Total,First time applicant,Portugal,470.0,420.0,225.0,170.0,155.0,195.0,170.0,155.0,160.0,195.0,:,:
Monthly,Person,Extra-EU27 (from 2020),Total,Total,First time applicant,Romania,285.0,245.0,235.0,205.0,140.0,100.0,225.0,195.0,235.0,160.0,:,:
Monthly,Person,Extra-EU27 (from 2020),Total,Total,First time applicant,Sweden,620.0,640.0,565.0,560.0,545.0,485.0,475.0,515.0,590.0,580.0,495.0,485.0
Monthly,Person,Extra-EU27 (from 2020),Total,Total,First time applicant,Slovenia,600.0,525.0,415.0,410.0,305.0,275.0,450.0,575.0,475.0,540.0,450.0,:
Monthly,Person,Extra-EU27 (from 2020),Total,Total,First time applicant,Slovakia,10.0,5.0,15.0,10.0,10.0,5.0,15.0,10.0,10.0,10.0,10.0,:
Monthly,Person,Extra-EU27 (from 2020),Total,Total,Subsequent applicant,Austria,305.0,335.0,265.0,265.0,170.0,210.0,225.0,200.0,175.0,315.0,365.0,:
Monthly,Person,Extra-EU27 (from 2020),Total,Total,Subsequent applicant,Belgium,510.0,540.0,490.0,535.0,605.0,505.0,535.0,525.0,560.0,685.0,445.0,:
Monthly,Person,Extra-EU27 (from 2020),Total,Total,Subsequent applicant,Bulgaria,15.0,25.0,5.0,10.0,5.0,10.0,5.0,10.0,0.0,10.0,15.0,:
Monthly,Person,Extra-EU27 (from 2020),Total,Total,Subsequent applicant,Switzerland,465.0,700.0,850.0,575.0,645.0,295.0,300.0,250.0,220.0,210.0,260.0,:
Monthly,Person,Extra-EU27 (from 2020),Total,Total,Subsequent applicant,Cyprus,350.0,265.0,210.0,210.0,155.0,120.0,170.0,80.0,85.0,100.0,:,:
Monthly,Person,Extra-EU27 (from 2020),Total,Total,Subsequent applicant,Czechia,25.0,25.0,35.0,30.0,30.0,25.0,30.0,25.0,25.0,30.0,30.0,:
Monthly,Person,Extra-EU27 (from 2020),Total,Total,Subsequent applicant,Germany,1995.0,1910.0,1970.0,1935.0,1580.0,1615.0,1770.0,1605.0,1615.0,1865.0,1615.0,1530.0
Monthly,Person,Extra-EU27 (from 2020),Total,Total,Subsequent applicant,Denmark,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,:,:
Monthly,Person,Extra-EU27 (from 2020),Total,Total,Subsequent applicant,Estonia,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,5.0,0.0,:
Monthly,Person,Extra-EU27 (from 2020),Total,Total,Subsequent applicant,Greece,455.0,535.0,485.0,580.0,80.0,405.0,640.0,560.0,230.0,215.0,235.0,:
Monthly,Person,Extra-EU27 (from 2020),Total,Total,Subsequent applicant,Spain,160.0,175.0,150.0,160.0,195.0,145.0,125.0,175.0,225.0,250.0,:,:
Monthly,Person,Extra-EU27 (from 2020),Total,Total,Subsequent applicant,European Union - 27 countries (from 2020),7325.0,7130.0,7145.0,7275.0,6245.0,6545.0,7095.0,6265.0,6340.0,7475.0,:,:
Monthly,Person,Extra-EU27 (from 2020),Total,Total,Subsequent applicant,Finland,35.0,45.0,60.0,50.0,35.0,55.0,45.0,40.0,60.0,50.0,50.0,30.0
Monthly,Person,Extra-EU27 (from 2020),Total,Total,Subsequent applicant,France,2360.0,2160.0,2250.0,2190.0,1885.0,2165.0,2080.0,1870.0,2005.0,2415.0,2085.0,2310.0
Monthly,Person,Extra-EU27 (from 2020),Total,Total,Subsequent applicant,Croatia,5.0,5.0,0.0,20.0,5.0,5.0,15.0,15.0,10.0,15.0,:,:
Monthly,Person,Extra-EU27 (from 2020),Total,Total,Subsequent applicant,Hungary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Monthly,Person,Extra-EU27 (from 2020),Total,Total,Subsequent applicant,Ireland,0.0,5.0,10.0,0.0,10.0,5.0,15.0,10.0,15.0,10.0,:,:
Monthly,Person,Extra-EU27 (from 2020),Total,Total,Subsequent applicant,Iceland,5.0,5.0,0.0,5.0,10.0,10.0,5.0,0.0,0.0,5.0,5.0,:
Monthly,Person,Extra-EU27 (from 2020),Total,Total,Subsequent applicant,Italy,535.0,475.0,625.0,650.0,755.0,640.0,700.0,480.0,670.0,775.0,640.0,:
Monthly,Person,Extra-EU27 (from 2020),Total,Total,Subsequent applicant,Liechtenstein,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,:,:
Monthly,Person,Extra-EU27 (from 2020),Total,Total,Subsequent applicant,Lithuania,0.0,10.0,15.0,0.0,5.0,10.0,0.0,10.0,0.0,0.0,0.0,10.0
Monthly,Person,Extra-EU27 (from 2020),Total,Total,Subsequent applicant,Luxembourg,5.0,5.0,5.0,0.0,10.0,5.0,5.0,10.0,5.0,10.0,:,:
Monthly,Person,Extra-EU27 (from 2020),Total,Total,Subsequent applicant,Latvia,20.0,15.0,25.0,20.0,15.0,35.0,35.0,15.0,20.0,25.0,:,:
Monthly,Person,Extra-EU27 (from 2020),Total,Total,Subsequent applicant,Montenegro,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,:
Monthly,Person,Extra-EU27 (from 2020),Total,Total,Subsequent applicant,Malta,5.0,5.0,5.0,0.0,10.0,5.0,10.0,5.0,5.0,5.0,:,:
Monthly,Person,Extra-EU27 (from 2020),Total,Total,Subsequent applicant,Netherlands,145.0,130.0,120.0,120.0,120.0,115.0,145.0,125.0,145.0,140.0,90.0,115.0
Monthly,Person,Extra-EU27 (from 2020),Total,Total,Subsequent applicant,Norway,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0
Monthly,Person,Extra-EU27 (from 2020),Total,Total,Subsequent applicant,Poland,130.0,130.0,100.0,185.0,275.0,235.0,245.0,185.0,185.0,195.0,225.0,355.0
Monthly,Person,Extra-EU27 (from 2020),Total,Total,Subsequent applicant,Portugal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,:,:
Monthly,Person,Extra-EU27 (from 2020),Total,Total,Subsequent applicant,Romania,10.0,20.0,15.0,20.0,30.0,5.0,5.0,15.0,0.0,5.0,:,:
Monthly,Person,Extra-EU27 (from 2020),Total,Total,Subsequent applicant,Sweden,250.0,305.0,295.0,265.0,260.0,235.0,275.0,280.0,300.0,355.0,270.0,260.0
Monthly,Person,Extra-EU27 (from 2020),Total,Total,Subsequent applicant,Slovenia,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,10.0,:
Monthly,Person,Extra-EU27 (from 2020),Total,Total,Subsequent applicant,Slovakia,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,:
