Time frequency,Demographic indicator,Unit of measure,Geopolitical entity (reporting)\Time,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Median age of population,Year,Oristano,47.2,47.8,48.3,48.9,49.4,:,:,51.3,51.8,52.2
Annual,Median age of population,Year,Sud Sardegna,46.4,47.1,47.6,48.2,48.8,:,:,50.9,51.3,51.8
Annual,Median age of population,Year,Malta,40.3,40.2,40.2,40.3,40.1,39.8,39.6,40.0,40.3,39.9
Annual,Median age of population,Year,Gozo and Comino/Għawdex u Kemmuna,43.7,44.1,44.3,44.4,44.5,44.3,44.0,43.9,44.1,43.8
Annual,Median age of population,Year,Região Autónoma dos Açores,37.8,38.4,39.1,39.7,40.4,41.0,41.6,41.9,42.3,42.7
Annual,Median age of population,Year,Região Autónoma da Madeira,40.6,41.5,42.4,43.1,43.9,44.6,45.4,45.9,46.3,46.6
Annual,Median age of population,Year,Gotlands län,46.1,46.4,46.5,46.6,46.7,46.7,46.8,47.0,46.9,47.0
Annual,Median age of population,Year,Isle of Wight (NUTS 2021),47.8,48.2,48.7,49.2,49.7,50.2,:,:,:,:
Annual,Median age of population,Year,Eilean Siar (Western Isles) (NUTS 2021),47.2,47.6,48.0,48.3,48.6,49.0,:,:,:,:
Annual,Median age of population,Year,Orkney Islands (NUTS 2021),46.0,46.4,46.8,47.1,47.5,47.9,:,:,:,:
Annual,Median age of population,Year,Shetland Islands (NUTS 2021),42.4,42.6,42.8,43.2,43.4,43.7,:,:,:,:
Annual,Median age of population,Year,Belfast (NUTS 2021),35.3,35.4,35.5,35.7,35.9,36.0,:,:,:,:
Annual,Median age of population,Year,"Armagh City, Banbridge and Craigavon (NUTS 2021)",37.0,37.2,37.4,37.5,37.7,37.8,:,:,:,:
Annual,Median age of population,Year,"Newry, Mourne and Down (NUTS 2021)",36.6,36.9,37.2,37.4,37.7,37.9,:,:,:,:
Annual,Median age of population,Year,Ards and North Down (NUTS 2021),42.6,42.9,43.2,43.5,43.8,44.0,:,:,:,:
Annual,Median age of population,Year,Derry City and Strabane (NUTS 2016),36.4,36.7,37.0,37.3,37.6,37.9,:,:,:,:
Annual,Median age of population,Year,Mid Ulster (NUTS 2016),35.1,35.4,35.7,36.0,36.2,36.5,:,:,:,:
Annual,Median age of population,Year,Causeway Coast and Glens (NUTS 2016),39.8,40.1,40.4,40.6,41.0,41.3,:,:,:,:
Annual,Median age of population,Year,Antrim and Newtownabbey (NUTS 2016),38.3,38.6,38.8,39.0,39.2,39.4,:,:,:,:
Annual,Median age of population,Year,Lisburn and Castlereagh (NUTS 2016),40.2,40.2,40.3,40.3,40.4,40.5,:,:,:,:
Annual,Median age of population,Year,Mid and East Antrim (NUTS 2016),41.3,41.5,41.7,41.8,42.0,42.2,:,:,:,:
Annual,Median age of population,Year,Fermanagh and Omagh (NUTS 2016),38.2,38.5,38.8,39.0,39.3,39.6,:,:,:,:
