Time frequency,Frequency,Type of violence,Unit of measure,Geopolitical entity (reporting)\Time,2021.0
Annual,Repeated,Physical (including threats) or sexual,Percentage,Estonia,17.6
Annual,Repeated,Physical (including threats) or sexual,Percentage,Greece,15.5
Annual,Repeated,Physical (including threats) or sexual,Percentage,Spain,11.6
Annual,Repeated,Physical (including threats) or sexual,Percentage,European Union (aggregate changing according to the context),14.6 e
Annual,Repeated,Physical (including threats) or sexual,Percentage,Finland,25.1
Annual,Repeated,Physical (including threats) or sexual,Percentage,France,13.5
Annual,Repeated,Physical (including threats) or sexual,Percentage,Croatia,9.2
Annual,Repeated,Physical (including threats) or sexual,Percentage,Hungary,36.2
Annual,Repeated,Physical (including threats) or sexual,Percentage,Ireland,18.0
Annual,Repeated,Physical (including threats) or sexual,Percentage,Lithuania,13.6
Annual,Repeated,Physical (including threats) or sexual,Percentage,Luxembourg,18.3
Annual,Repeated,Physical (including threats) or sexual,Percentage,Latvia,14.3
Annual,Repeated,Physical (including threats) or sexual,Percentage,Montenegro,6.2
Annual,Repeated,Physical (including threats) or sexual,Percentage,Malta,12.3
Annual,Repeated,Physical (including threats) or sexual,Percentage,Netherlands,11.4
Annual,Repeated,Physical (including threats) or sexual,Percentage,Poland,9.7
Annual,Repeated,Physical (including threats) or sexual,Percentage,Portugal,8.3
Annual,Repeated,Physical (including threats) or sexual,Percentage,Romania,31.8
Annual,Repeated,Physical (including threats) or sexual,Percentage,Serbia,8.5
Annual,Repeated,Physical (including threats) or sexual,Percentage,Sweden,22.7
Annual,Repeated,Physical (including threats) or sexual,Percentage,Slovenia,9.7
Annual,Repeated,Physical (including threats) or sexual,Percentage,Slovakia,: u
Annual,Repeated,Physical (including threats) or sexual,Percentage,Kosovo*,3.9
Annual,Repeated,Sexual,Percentage,Austria,3.6
Annual,Repeated,Sexual,Percentage,Belgium,5.8
Annual,Repeated,Sexual,Percentage,Bulgaria,0.8 u
Annual,Repeated,Sexual,Percentage,Cyprus,6.9
Annual,Repeated,Sexual,Percentage,Czechia,3.2
Annual,Repeated,Sexual,Percentage,Germany,6.3
Annual,Repeated,Sexual,Percentage,Denmark,6.4
Annual,Repeated,Sexual,Percentage,Estonia,5.8
Annual,Repeated,Sexual,Percentage,Greece,3.6
Annual,Repeated,Sexual,Percentage,Spain,4.6
Annual,Repeated,Sexual,Percentage,European Union (aggregate changing according to the context),5.4 e
Annual,Repeated,Sexual,Percentage,Finland,6.3
Annual,Repeated,Sexual,Percentage,France,5.9
Annual,Repeated,Sexual,Percentage,Croatia,2.7
Annual,Repeated,Sexual,Percentage,Hungary,8.7
Annual,Repeated,Sexual,Percentage,Ireland,7.7
Annual,Repeated,Sexual,Percentage,Lithuania,3.6
Annual,Repeated,Sexual,Percentage,Luxembourg,7.2
Annual,Repeated,Sexual,Percentage,Latvia,3.4
Annual,Repeated,Sexual,Percentage,Montenegro,: u
Annual,Repeated,Sexual,Percentage,Malta,4.1
Annual,Repeated,Sexual,Percentage,Netherlands,4.3
Annual,Repeated,Sexual,Percentage,Poland,2.7
Annual,Repeated,Sexual,Percentage,Portugal,2.6
Annual,Repeated,Sexual,Percentage,Romania,8.4
Annual,Repeated,Sexual,Percentage,Serbia,1.3
Annual,Repeated,Sexual,Percentage,Sweden,12.1
Annual,Repeated,Sexual,Percentage,Slovenia,2.6 u
Annual,Repeated,Sexual,Percentage,Slovakia,: u
Annual,Repeated,Sexual,Percentage,Kosovo*,: u
Annual,Repeated,Threats,Percentage,Austria,6.4
Annual,Repeated,Threats,Percentage,Belgium,7.6
Annual,Repeated,Threats,Percentage,Bulgaria,4.2
Annual,Repeated,Threats,Percentage,Cyprus,14.8
Annual,Repeated,Threats,Percentage,Czechia,4.9
Annual,Repeated,Threats,Percentage,Germany,9.1
Annual,Repeated,Threats,Percentage,Denmark,7.3
Annual,Repeated,Threats,Percentage,Estonia,9.3
Annual,Repeated,Threats,Percentage,Greece,8.7
Annual,Repeated,Threats,Percentage,Spain,6.7
Annual,Repeated,Threats,Percentage,European Union (aggregate changing according to the context),8.6 e
Annual,Repeated,Threats,Percentage,Finland,16.5
Annual,Repeated,Threats,Percentage,France,6.8
Annual,Repeated,Threats,Percentage,Croatia,4.8
Annual,Repeated,Threats,Percentage,Hungary,26.5
Annual,Repeated,Threats,Percentage,Ireland,11.2
Annual,Repeated,Threats,Percentage,Lithuania,9.1
Annual,Repeated,Threats,Percentage,Luxembourg,9.2
Annual,Repeated,Threats,Percentage,Latvia,10.4
Annual,Repeated,Threats,Percentage,Montenegro,3.6
Annual,Repeated,Threats,Percentage,Malta,7.8
Annual,Repeated,Threats,Percentage,Netherlands,5.0
Annual,Repeated,Threats,Percentage,Poland,5.6
Annual,Repeated,Threats,Percentage,Portugal,6.1
Annual,Repeated,Threats,Percentage,Romania,20.0
Annual,Repeated,Threats,Percentage,Serbia,6.3
Annual,Repeated,Threats,Percentage,Sweden,10.1
Annual,Repeated,Threats,Percentage,Slovenia,5.4
Annual,Repeated,Threats,Percentage,Slovakia,: u
Annual,Repeated,Threats,Percentage,Kosovo*,1.8 u
Annual,Once (one time),Physical,Percentage,Austria,6.0
Annual,Once (one time),Physical,Percentage,Belgium,3.9
Annual,Once (one time),Physical,Percentage,Bulgaria,2.2
Annual,Once (one time),Physical,Percentage,Cyprus,6.8
Annual,Once (one time),Physical,Percentage,Czechia,2.4 u
Annual,Once (one time),Physical,Percentage,Germany,2.4
Annual,Once (one time),Physical,Percentage,Denmark,7.6
Annual,Once (one time),Physical,Percentage,Estonia,4.4
Annual,Once (one time),Physical,Percentage,Greece,6.6
Annual,Once (one time),Physical,Percentage,Spain,2.8
Annual,Once (one time),Physical,Percentage,European Union (aggregate changing according to the context),3.9 e
Annual,Once (one time),Physical,Percentage,Finland,7.1
Annual,Once (one time),Physical,Percentage,France,4.4
Annual,Once (one time),Physical,Percentage,Croatia,2.7
Annual,Once (one time),Physical,Percentage,Hungary,6.7
Annual,Once (one time),Physical,Percentage,Ireland,4.6 u
Annual,Once (one time),Physical,Percentage,Lithuania,2.5
Annual,Once (one time),Physical,Percentage,Luxembourg,8.4
Annual,Once (one time),Physical,Percentage,Latvia,1.8
Annual,Once (one time),Physical,Percentage,Montenegro,: u
Annual,Once (one time),Physical,Percentage,Malta,2.5
Annual,Once (one time),Physical,Percentage,Netherlands,4.3
Annual,Once (one time),Physical,Percentage,Poland,1.8
Annual,Once (one time),Physical,Percentage,Portugal,2.1
Annual,Once (one time),Physical,Percentage,Romania,9.2
Annual,Once (one time),Physical,Percentage,Serbia,2.2
Annual,Once (one time),Physical,Percentage,Sweden,10.5
Annual,Once (one time),Physical,Percentage,Slovenia,4.5
Annual,Once (one time),Physical,Percentage,Slovakia,: u
Annual,Once (one time),Physical,Percentage,Kosovo*,2.6
Annual,Once (one time),Physical or sexual,Percentage,Austria,7.2
Annual,Once (one time),Physical or sexual,Percentage,Belgium,4.0
Annual,Once (one time),Physical or sexual,Percentage,Bulgaria,2.7
Annual,Once (one time),Physical or sexual,Percentage,Cyprus,7.1
Annual,Once (one time),Physical or sexual,Percentage,Czechia,3.7
Annual,Once (one time),Physical or sexual,Percentage,Germany,2.7
Annual,Once (one time),Physical or sexual,Percentage,Denmark,8.4
Annual,Once (one time),Physical or sexual,Percentage,Estonia,4.9
Annual,Once (one time),Physical or sexual,Percentage,Greece,7.1
Annual,Once (one time),Physical or sexual,Percentage,Spain,3.3
Annual,Once (one time),Physical or sexual,Percentage,European Union (aggregate changing according to the context),4.3 e
Annual,Once (one time),Physical or sexual,Percentage,Finland,8.1
Annual,Once (one time),Physical or sexual,Percentage,France,4.9
Annual,Once (one time),Physical or sexual,Percentage,Croatia,3.3
Annual,Once (one time),Physical or sexual,Percentage,Hungary,7.8
Annual,Once (one time),Physical or sexual,Percentage,Ireland,5.8
Annual,Once (one time),Physical or sexual,Percentage,Lithuania,2.8
Annual,Once (one time),Physical or sexual,Percentage,Luxembourg,9.4
Annual,Once (one time),Physical or sexual,Percentage,Latvia,2.0
Annual,Once (one time),Physical or sexual,Percentage,Montenegro,: u
Annual,Once (one time),Physical or sexual,Percentage,Malta,2.5
Annual,Once (one time),Physical or sexual,Percentage,Netherlands,5.0
Annual,Once (one time),Physical or sexual,Percentage,Poland,1.8
Annual,Once (one time),Physical or sexual,Percentage,Portugal,2.2
Annual,Once (one time),Physical or sexual,Percentage,Romania,9.2
Annual,Once (one time),Physical or sexual,Percentage,Serbia,2.3
Annual,Once (one time),Physical or sexual,Percentage,Sweden,10.1
Annual,Once (one time),Physical or sexual,Percentage,Slovenia,4.5
Annual,Once (one time),Physical or sexual,Percentage,Slovakia,: u
Annual,Once (one time),Physical or sexual,Percentage,Kosovo*,3.0
Annual,Once (one time),Physical (including threats) or sexual,Percentage,Austria,6.6
Annual,Once (one time),Physical (including threats) or sexual,Percentage,Belgium,3.7
Annual,Once (one time),Physical (including threats) or sexual,Percentage,Bulgaria,2.3
Annual,Once (one time),Physical (including threats) or sexual,Percentage,Cyprus,5.3
Annual,Once (one time),Physical (including threats) or sexual,Percentage,Czechia,2.9
Annual,Once (one time),Physical (including threats) or sexual,Percentage,Germany,1.9 u
Annual,Once (one time),Physical (including threats) or sexual,Percentage,Denmark,7.0
Annual,Once (one time),Physical (including threats) or sexual,Percentage,Estonia,4.3
Annual,Once (one time),Physical (including threats) or sexual,Percentage,Greece,6.2
Annual,Once (one time),Physical (including threats) or sexual,Percentage,Spain,2.8
Annual,Once (one time),Physical (including threats) or sexual,Percentage,European Union (aggregate changing according to the context),3.5 e
Annual,Once (one time),Physical (including threats) or sexual,Percentage,Finland,9.7
Annual,Once (one time),Physical (including threats) or sexual,Percentage,France,4.3
Annual,Once (one time),Physical (including threats) or sexual,Percentage,Croatia,3.6
Annual,Once (one time),Physical (including threats) or sexual,Percentage,Hungary,4.9
Annual,Once (one time),Physical (including threats) or sexual,Percentage,Ireland,4.9 u
Annual,Once (one time),Physical (including threats) or sexual,Percentage,Lithuania,3.1
Annual,Once (one time),Physical (including threats) or sexual,Percentage,Luxembourg,8.1
Annual,Once (one time),Physical (including threats) or sexual,Percentage,Latvia,1.8
Annual,Once (one time),Physical (including threats) or sexual,Percentage,Montenegro,1.4 u
Annual,Once (one time),Physical (including threats) or sexual,Percentage,Malta,2.3
Annual,Once (one time),Physical (including threats) or sexual,Percentage,Netherlands,5.4
Annual,Once (one time),Physical (including threats) or sexual,Percentage,Poland,1.6
Annual,Once (one time),Physical (including threats) or sexual,Percentage,Portugal,2.0
Annual,Once (one time),Physical (including threats) or sexual,Percentage,Romania,5.0
Annual,Once (one time),Physical (including threats) or sexual,Percentage,Serbia,1.6
Annual,Once (one time),Physical (including threats) or sexual,Percentage,Sweden,8.3
Annual,Once (one time),Physical (including threats) or sexual,Percentage,Slovenia,3.7 u
Annual,Once (one time),Physical (including threats) or sexual,Percentage,Slovakia,: u
Annual,Once (one time),Physical (including threats) or sexual,Percentage,Kosovo*,2.4
Annual,Once (one time),Sexual,Percentage,Austria,3.3
Annual,Once (one time),Sexual,Percentage,Belgium,1.7
Annual,Once (one time),Sexual,Percentage,Bulgaria,0.8 u
Annual,Once (one time),Sexual,Percentage,Cyprus,2.5 u
Annual,Once (one time),Sexual,Percentage,Czechia,2.4 u
Annual,Once (one time),Sexual,Percentage,Germany,0.9 u
Annual,Once (one time),Sexual,Percentage,Denmark,3.5
Annual,Once (one time),Sexual,Percentage,Estonia,1.7
Annual,Once (one time),Sexual,Percentage,Greece,2.1
Annual,Once (one time),Sexual,Percentage,Spain,1.5
Annual,Once (one time),Sexual,Percentage,European Union (aggregate changing according to the context),1.8 e
Annual,Once (one time),Sexual,Percentage,Finland,3.8
Annual,Once (one time),Sexual,Percentage,France,2.3
Annual,Once (one time),Sexual,Percentage,Croatia,1.2 u
Annual,Once (one time),Sexual,Percentage,Hungary,4.8
Annual,Once (one time),Sexual,Percentage,Ireland,3.6 u
Annual,Once (one time),Sexual,Percentage,Lithuania,0.8 u
Annual,Once (one time),Sexual,Percentage,Luxembourg,5.0
Annual,Once (one time),Sexual,Percentage,Latvia,0.8 u
Annual,Once (one time),Sexual,Percentage,Montenegro,: u
Annual,Once (one time),Sexual,Percentage,Malta,1.0 u
Annual,Once (one time),Sexual,Percentage,Netherlands,2.1
Annual,Once (one time),Sexual,Percentage,Poland,0.6 u
Annual,Once (one time),Sexual,Percentage,Portugal,0.5 u
Annual,Once (one time),Sexual,Percentage,Romania,2.7
Annual,Once (one time),Sexual,Percentage,Serbia,: u
Annual,Once (one time),Sexual,Percentage,Sweden,4.9
Annual,Once (one time),Sexual,Percentage,Slovenia,: u
Annual,Once (one time),Sexual,Percentage,Slovakia,: u
Annual,Once (one time),Sexual,Percentage,Kosovo*,: u
Annual,Once (one time),Threats,Percentage,Austria,1.8
Annual,Once (one time),Threats,Percentage,Belgium,1.1
Annual,Once (one time),Threats,Percentage,Bulgaria,0.8 u
Annual,Once (one time),Threats,Percentage,Cyprus,1.5 u
Annual,Once (one time),Threats,Percentage,Czechia,: u
Annual,Once (one time),Threats,Percentage,Germany,1.1 u
Annual,Once (one time),Threats,Percentage,Denmark,1.8
Annual,Once (one time),Threats,Percentage,Estonia,1.4
Annual,Once (one time),Threats,Percentage,Greece,2.2
Annual,Once (one time),Threats,Percentage,Spain,1.4
Annual,Once (one time),Threats,Percentage,European Union (aggregate changing according to the context),1.6 e
Annual,Once (one time),Threats,Percentage,Finland,7.7
Annual,Once (one time),Threats,Percentage,France,1.0
Annual,Once (one time),Threats,Percentage,Croatia,0.9 u
Annual,Once (one time),Threats,Percentage,Hungary,4.9
Annual,Once (one time),Threats,Percentage,Ireland,2.3 u
Annual,Once (one time),Threats,Percentage,Lithuania,1.0 u
Annual,Once (one time),Threats,Percentage,Luxembourg,3.1
Annual,Once (one time),Threats,Percentage,Latvia,1.1 u
Annual,Once (one time),Threats,Percentage,Montenegro,: u
Annual,Once (one time),Threats,Percentage,Malta,1.0 u
Annual,Once (one time),Threats,Percentage,Netherlands,1.3 u
Annual,Once (one time),Threats,Percentage,Poland,0.7 u
Annual,Once (one time),Threats,Percentage,Portugal,0.7
Annual,Once (one time),Threats,Percentage,Romania,4.3
Annual,Once (one time),Threats,Percentage,Serbia,0.7 u
Annual,Once (one time),Threats,Percentage,Sweden,3.8
Annual,Once (one time),Threats,Percentage,Slovenia,: u
Annual,Once (one time),Threats,Percentage,Slovakia,: u
Annual,Once (one time),Threats,Percentage,Kosovo*,: u
