Time frequency,Training,Work experience during studies,Duration,International Standard Classification of Education (ISCED 2011),Age class,Unit of measure,Sex,Geopolitical entity (reporting)\Time,2021.0,2022.0,2023.0
Annual,Total,Work experience (at least 1 month),3 years or less,Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - vocational,From 20 to 34 years,Percentage,Females,Poland,12.3,13.2,61.7 bu
Annual,Total,Work experience (at least 1 month),3 years or less,Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - vocational,From 20 to 34 years,Percentage,Females,Portugal,81.3,77.8,78.9
Annual,Total,Work experience (at least 1 month),3 years or less,Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - vocational,From 20 to 34 years,Percentage,Females,Romania,6.7 u,8.0,8.3
Annual,Total,Work experience (at least 1 month),3 years or less,Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - vocational,From 20 to 34 years,Percentage,Females,Serbia,19.3,17.1,22.8
Annual,Total,Work experience (at least 1 month),3 years or less,Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - vocational,From 20 to 34 years,Percentage,Females,Sweden,69.2,62.7,61.5
Annual,Total,Work experience (at least 1 month),3 years or less,Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - vocational,From 20 to 34 years,Percentage,Females,Slovenia,71.5,71.6 u,69.5 bu
Annual,Total,Work experience (at least 1 month),3 years or less,Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - vocational,From 20 to 34 years,Percentage,Females,Slovakia,54.3,54.8,57.8
Annual,Total,Work experience (at least 1 month),3 years or less,Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - vocational,From 20 to 34 years,Percentage,Females,Türkiye,: u,: u,: u
Annual,Total,Work experience (at least 1 month),3 years or less,Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - vocational,From 20 to 34 years,Percentage,Males,Austria,93.1,92.3,90.4
Annual,Total,Work experience (at least 1 month),3 years or less,Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - vocational,From 20 to 34 years,Percentage,Males,Bosnia and Herzegovina,: u,: u,: u
Annual,Total,Work experience (at least 1 month),3 years or less,Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - vocational,From 20 to 34 years,Percentage,Males,Belgium,41.8,48.2,42.8
Annual,Total,Work experience (at least 1 month),3 years or less,Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - vocational,From 20 to 34 years,Percentage,Males,Bulgaria,: u,: u,: u
Annual,Total,Work experience (at least 1 month),3 years or less,Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - vocational,From 20 to 34 years,Percentage,Males,Switzerland,98.3,97.2,95.8
Annual,Total,Work experience (at least 1 month),3 years or less,Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - vocational,From 20 to 34 years,Percentage,Males,Cyprus,29.6 u,46.6 u,38.3 u
Annual,Total,Work experience (at least 1 month),3 years or less,Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - vocational,From 20 to 34 years,Percentage,Males,Czechia,17.5,18.4,15.9
Annual,Total,Work experience (at least 1 month),3 years or less,Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - vocational,From 20 to 34 years,Percentage,Males,Germany,97.5 u,96.6 u,96.2
Annual,Total,Work experience (at least 1 month),3 years or less,Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - vocational,From 20 to 34 years,Percentage,Males,Denmark,: u,64.2,71.0
Annual,Total,Work experience (at least 1 month),3 years or less,Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - vocational,From 20 to 34 years,Percentage,Males,Euro area – 20 countries (from 2023),73.3,72.6,72.9
Annual,Total,Work experience (at least 1 month),3 years or less,Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - vocational,From 20 to 34 years,Percentage,Males,Estonia,79.7,76.1,78.9
Annual,Total,Work experience (at least 1 month),3 years or less,Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - vocational,From 20 to 34 years,Percentage,Males,Greece,: u,19.3 u,35.9
Annual,Total,Work experience (at least 1 month),3 years or less,Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - vocational,From 20 to 34 years,Percentage,Males,Spain,96.2,98.7,97.1
Annual,Total,Work experience (at least 1 month),3 years or less,Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - vocational,From 20 to 34 years,Percentage,Males,European Union - 27 countries (from 2020),60.8,60.8,65.0 b
Annual,Total,Work experience (at least 1 month),3 years or less,Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - vocational,From 20 to 34 years,Percentage,Males,Finland,85.6,77.5,78.6 u
Annual,Total,Work experience (at least 1 month),3 years or less,Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - vocational,From 20 to 34 years,Percentage,Males,France,71.0,74.2,70.5
Annual,Total,Work experience (at least 1 month),3 years or less,Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - vocational,From 20 to 34 years,Percentage,Males,Croatia,38.7,36.0,41.1
Annual,Total,Work experience (at least 1 month),3 years or less,Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - vocational,From 20 to 34 years,Percentage,Males,Hungary,27.7,29.8,25.9 u
Annual,Total,Work experience (at least 1 month),3 years or less,Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - vocational,From 20 to 34 years,Percentage,Males,Ireland,: u,: u,48.9 u
Annual,Total,Work experience (at least 1 month),3 years or less,Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - vocational,From 20 to 34 years,Percentage,Males,Iceland,:,: u,: u
Annual,Total,Work experience (at least 1 month),3 years or less,Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - vocational,From 20 to 34 years,Percentage,Males,Italy,31.4,25.7,24.6
Annual,Total,Work experience (at least 1 month),3 years or less,Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - vocational,From 20 to 34 years,Percentage,Males,Lithuania,48.2,47.2,53.7
Annual,Total,Work experience (at least 1 month),3 years or less,Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - vocational,From 20 to 34 years,Percentage,Males,Luxembourg,32.4,31.2,45.8 u
Annual,Total,Work experience (at least 1 month),3 years or less,Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - vocational,From 20 to 34 years,Percentage,Males,Latvia,: u,: u,: u
Annual,Total,Work experience (at least 1 month),3 years or less,Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - vocational,From 20 to 34 years,Percentage,Males,Malta,47.5 u,: u,44.9 u
Annual,Total,Work experience (at least 1 month),3 years or less,Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - vocational,From 20 to 34 years,Percentage,Males,Netherlands,94.9,95.4,94.6
Annual,Total,Work experience (at least 1 month),3 years or less,Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - vocational,From 20 to 34 years,Percentage,Males,Norway,: u,61.6,67.0
Annual,Total,Work experience (at least 1 month),3 years or less,Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - vocational,From 20 to 34 years,Percentage,Males,Poland,11.1,18.6,56.3 bu
Annual,Total,Work experience (at least 1 month),3 years or less,Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - vocational,From 20 to 34 years,Percentage,Males,Portugal,74.6,73.3,71.5
Annual,Total,Work experience (at least 1 month),3 years or less,Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - vocational,From 20 to 34 years,Percentage,Males,Romania,7.6,8.7,8.0
Annual,Total,Work experience (at least 1 month),3 years or less,Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - vocational,From 20 to 34 years,Percentage,Males,Serbia,15.1,17.3,20.1
Annual,Total,Work experience (at least 1 month),3 years or less,Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - vocational,From 20 to 34 years,Percentage,Males,Sweden,64.3,64.1,68.5 u
Annual,Total,Work experience (at least 1 month),3 years or less,Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - vocational,From 20 to 34 years,Percentage,Males,Slovenia,75.4,73.7,71.6 b
Annual,Total,Work experience (at least 1 month),3 years or less,Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - vocational,From 20 to 34 years,Percentage,Males,Slovakia,58.9,57.7,64.6
Annual,Total,Work experience (at least 1 month),3 years or less,Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - vocational,From 20 to 34 years,Percentage,Males,Türkiye,: u,: u,: u
Annual,Total,Work experience (at least 1 month),3 years or less,Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - vocational,From 20 to 34 years,Percentage,Total,Austria,91.8,89.8,91.2
Annual,Total,Work experience (at least 1 month),3 years or less,Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - vocational,From 20 to 34 years,Percentage,Total,Bosnia and Herzegovina,: u,: u,: u
Annual,Total,Work experience (at least 1 month),3 years or less,Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - vocational,From 20 to 34 years,Percentage,Total,Belgium,45.1,49.0,44.8
Annual,Total,Work experience (at least 1 month),3 years or less,Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - vocational,From 20 to 34 years,Percentage,Total,Bulgaria,: u,: u,: u
Annual,Total,Work experience (at least 1 month),3 years or less,Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - vocational,From 20 to 34 years,Percentage,Total,Switzerland,98.1,97.0,95.8
Annual,Total,Work experience (at least 1 month),3 years or less,Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - vocational,From 20 to 34 years,Percentage,Total,Cyprus,33.2 u,42.6 u,35.2 u
Annual,Total,Work experience (at least 1 month),3 years or less,Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - vocational,From 20 to 34 years,Percentage,Total,Czechia,21.2,18.4,16.1
Annual,Total,Work experience (at least 1 month),3 years or less,Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - vocational,From 20 to 34 years,Percentage,Total,Germany,96.2 u,94.9 u,94.1 u
Annual,Total,Work experience (at least 1 month),3 years or less,Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - vocational,From 20 to 34 years,Percentage,Total,Denmark,: u,65.3,70.6
Annual,Total,Work experience (at least 1 month),3 years or less,Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - vocational,From 20 to 34 years,Percentage,Total,Euro area – 20 countries (from 2023),73.2,72.6,72.7
Annual,Total,Work experience (at least 1 month),3 years or less,Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - vocational,From 20 to 34 years,Percentage,Total,Estonia,73.5,78.9,83.7
Annual,Total,Work experience (at least 1 month),3 years or less,Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - vocational,From 20 to 34 years,Percentage,Total,Greece,18.6,35.7,35.4
Annual,Total,Work experience (at least 1 month),3 years or less,Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - vocational,From 20 to 34 years,Percentage,Total,Spain,95.0,98.6,96.7
Annual,Total,Work experience (at least 1 month),3 years or less,Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - vocational,From 20 to 34 years,Percentage,Total,European Union - 27 countries (from 2020),60.5,60.3,64.6 b
Annual,Total,Work experience (at least 1 month),3 years or less,Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - vocational,From 20 to 34 years,Percentage,Total,Finland,85.7,77.4,76.7 u
Annual,Total,Work experience (at least 1 month),3 years or less,Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - vocational,From 20 to 34 years,Percentage,Total,France,70.3,70.5,68.3
Annual,Total,Work experience (at least 1 month),3 years or less,Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - vocational,From 20 to 34 years,Percentage,Total,Croatia,39.5,39.6,39.7
Annual,Total,Work experience (at least 1 month),3 years or less,Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - vocational,From 20 to 34 years,Percentage,Total,Hungary,29.7 u,32.4,25.6 u
Annual,Total,Work experience (at least 1 month),3 years or less,Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - vocational,From 20 to 34 years,Percentage,Total,Ireland,27.8 u,27.7 u,39.2
Annual,Total,Work experience (at least 1 month),3 years or less,Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - vocational,From 20 to 34 years,Percentage,Total,Iceland,:,: u,: u
Annual,Total,Work experience (at least 1 month),3 years or less,Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - vocational,From 20 to 34 years,Percentage,Total,Italy,31.8,25.9,25.9
Annual,Total,Work experience (at least 1 month),3 years or less,Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - vocational,From 20 to 34 years,Percentage,Total,Lithuania,48.7,46.7,57.5
Annual,Total,Work experience (at least 1 month),3 years or less,Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - vocational,From 20 to 34 years,Percentage,Total,Luxembourg,32.1,33.7,34.5
Annual,Total,Work experience (at least 1 month),3 years or less,Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - vocational,From 20 to 34 years,Percentage,Total,Latvia,: u,: u,: u
Annual,Total,Work experience (at least 1 month),3 years or less,Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - vocational,From 20 to 34 years,Percentage,Total,Malta,47.2,49.6 u,55.7
Annual,Total,Work experience (at least 1 month),3 years or less,Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - vocational,From 20 to 34 years,Percentage,Total,Netherlands,95.1,95.1,94.9
Annual,Total,Work experience (at least 1 month),3 years or less,Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - vocational,From 20 to 34 years,Percentage,Total,Norway,: u,57.5,64.2
Annual,Total,Work experience (at least 1 month),3 years or less,Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - vocational,From 20 to 34 years,Percentage,Total,Poland,11.6,16.3,58.4 bu
Annual,Total,Work experience (at least 1 month),3 years or less,Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - vocational,From 20 to 34 years,Percentage,Total,Portugal,76.8,75.3,74.2
Annual,Total,Work experience (at least 1 month),3 years or less,Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - vocational,From 20 to 34 years,Percentage,Total,Romania,7.1,8.4,8.1
Annual,Total,Work experience (at least 1 month),3 years or less,Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - vocational,From 20 to 34 years,Percentage,Total,Serbia,17.1,17.2,21.4
Annual,Total,Work experience (at least 1 month),3 years or less,Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - vocational,From 20 to 34 years,Percentage,Total,Sweden,65.9,63.4,65.7
Annual,Total,Work experience (at least 1 month),3 years or less,Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - vocational,From 20 to 34 years,Percentage,Total,Slovenia,73.9,72.8,70.8 b
Annual,Total,Work experience (at least 1 month),3 years or less,Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - vocational,From 20 to 34 years,Percentage,Total,Slovakia,56.9,56.5,62.1
Annual,Total,Work experience (at least 1 month),3 years or less,Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - vocational,From 20 to 34 years,Percentage,Total,Türkiye,: u,: u,: u
