Time frequency,Waste management operations,Waste categories,Unit of measure,Geopolitical entity (reporting)\Time,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0
Annual,Waste collected,Portable batteries and accumulators,Tonne,Portugal,497.0,476.0,411.0,448.0,486.0,489.0,527 d,711.0,732.0,669.0,753.0,388 b,427.0,481.0
Annual,Waste collected,Portable batteries and accumulators,Tonne,Romania,12.0,35.0,159.0,312.0,:,779.0,506.0,766.0,1407.0,1540.0,1881.0,2092.0,3187.0,:
Annual,Waste collected,Portable batteries and accumulators,Tonne,Sweden,1420.0,2383.0,3028.0,3585.0,3620.0,3381.0,3532.0,2931.0,3475.0,3192.0,3696.0,3437.0,3722.0,:
Annual,Waste collected,Portable batteries and accumulators,Tonne,Slovenia,:,:,257.0,273.0,228.0,210.0,247.0,268.0,271.0,320.0,307.0,343.0,346.0,347.0
Annual,Waste collected,Portable batteries and accumulators,Tonne,Slovakia,:,:,422.0,592.0,468.0,617.0,482 e,478.0,1104 b,813 b,891.0,922.0,954.0,1088.0
Annual,Waste collected,Portable batteries and accumulators,Tonne,Northern Ireland (UK) (NUTS 2021),:,:,:,:,:,:,:,:,:,:,487.0,502.0,520.0,529.0
Annual,Products put on the market,Portable batteries and accumulators,Tonne,Austria,3272.0,3642.0,3614.0,3717.0,3892.0,4087.0,4547.0,4708.0,4746.0,5449.0,5760.0,6347.0,6139.0,7153.0
Annual,Products put on the market,Portable batteries and accumulators,Tonne,Belgium,4061.0,4381.0,4401.0,4259.0,4398.0,4222.0,4566.0,4585.0,4786.0,4920.0,5413.0,5611.0,6239.0,6024.0
Annual,Products put on the market,Portable batteries and accumulators,Tonne,Bulgaria,520.0,1052.0,624.0,602.0,677.0,730.0,760.0,750.0,815.0,690.0,942.0,940.0,1002.0,1046.0
Annual,Products put on the market,Portable batteries and accumulators,Tonne,Cyprus,180 e,280.0,272 d,237 d,226 d,189.0,206.0,211.0,233.0,202.0,175.0,203.0,197.0,189.0
Annual,Products put on the market,Portable batteries and accumulators,Tonne,Czechia,2638.0,3281.0,3393.0,3716.0,3672.0,4000.0,3965.0,4047.0,4064.0,4048.0,4293.0,4963.0,5206.0,5209.0
Annual,Products put on the market,Portable batteries and accumulators,Tonne,Germany,37298.0,42531.0,43334.0,43549.0,42441.0,43979.0,43902.0,45511.0,50643.0,52159.0,55905.0,65368.0,63211.0,63133.0
Annual,Products put on the market,Portable batteries and accumulators,Tonne,Denmark,3613.0,3062.0,3347.0,3704.0,3132.0,3637.0,3762.0,3944.0,3698.0,4475.0,4034.0,4932.0,5114.0,4598.0
Annual,Products put on the market,Portable batteries and accumulators,Tonne,Estonia,406.0,411.0,475.0,525.0,403.0,417.0,464.0,479.0,489.0,483.0,475.0,542.0,520.0,653.0
Annual,Products put on the market,Portable batteries and accumulators,Tonne,Greece,:,:,:,:,:,:,1657.0,1599.0,1692.0,1646.0,1798.0,1850.0,2872.0,2732.0
Annual,Products put on the market,Portable batteries and accumulators,Tonne,Spain,12090.0,13023.0,11331.0,10514.0,10662.0,10815.0,12669.0,11915.0,12017.0,12774.0,12949.0,14364.0,15547.0,14842.0
Annual,Products put on the market,Portable batteries and accumulators,Tonne,European Union - 27 countries (from 2020),162079 i,175896 i,173035 i,172694 i,168899 i,172252 i,177355.0,177103.0,187964.0,191222.0,206412.0,229321.0,244682.0,244048 i
Annual,Products put on the market,Portable batteries and accumulators,Tonne,Finland,2569.0,2814.0,2763.0,2752.0,2703.0,2651.0,2864.0,3026.0,3180.0,3460.0,3616.0,3626.0,4066.0,3738.0
Annual,Products put on the market,Portable batteries and accumulators,Tonne,France,29921.0,32914.0,33458.0,33458.0,32227.0,31330.0,31383.0,29936.0,31482.0,31329.0,33003.0,35268.0,37694.0,:
Annual,Products put on the market,Portable batteries and accumulators,Tonne,Croatia,:,:,332.0,407.0,394.0,347.0,266.0,395.0,568.0,674.0,906.0,1052.0,1049.0,1355.0
Annual,Products put on the market,Portable batteries and accumulators,Tonne,Hungary,2087.0,1858.0,1798.0,1046.0,1192.0,1726.0,1804.0,1684.0,2357.0,2842.0,2920.0,2519.0,3173.0,3302.0
Annual,Products put on the market,Portable batteries and accumulators,Tonne,Ireland,2017.0,2181.0,2096.0,1951.0,1913.0,2378.0,2703.0,1968.0,2991.0,2336.0,2666.0,3543.0,3692.0,3528.0
Annual,Products put on the market,Portable batteries and accumulators,Tonne,Italy,27843.0,30313.0,29507.0,29407.0,27939.0,26944.0,28440.0,25197.0,25268.0,24807.0,24829.0,27859.0,32356.0,31812.0
Annual,Products put on the market,Portable batteries and accumulators,Tonne,Lithuania,734.0,831.0,708.0,782.0,795.0,686.0,700.0,748.0,832.0,762.0,750.0,817.0,929.0,1088.0
Annual,Products put on the market,Portable batteries and accumulators,Tonne,Luxembourg,214 e,159.0,183.0,185.0,192.0,171.0,172.0,196.0,201.0,209.0,242.0,261.0,285.0,273.0
Annual,Products put on the market,Portable batteries and accumulators,Tonne,Latvia,289.0,412.0,478.0,483.0,516.0,553.0,509.0,628.0,490.0,512.0,562.0,666.0,685.0,788.0
Annual,Products put on the market,Portable batteries and accumulators,Tonne,Malta,:,108.0,87.0,104.0,89.0,103.0,74.0,75.0,68.0,81.0,172.0,143.0,164.0,137.0
Annual,Products put on the market,Portable batteries and accumulators,Tonne,Netherlands,7672.0,7824.0,7971.0,7322.0,6786.0,7687.0,8031.0,8830.0,8890.0,9578.0,8762.0,10888.0,11871.0,11140.0
Annual,Products put on the market,Portable batteries and accumulators,Tonne,Norway,:,1940.0,1980.0,2015.0,2025.0,1965.0,1965.0,2230.0,3599.0,3122.0,4367.0,3526.0,3530.0,3976.0
Annual,Products put on the market,Portable batteries and accumulators,Tonne,Poland,:,9866.0,9771.0,10599.0,11264.0,11799.0,12304.0,12813.0,13426.0,13338.0,19400 d,19557.0,20846.0,21845.0
Annual,Products put on the market,Portable batteries and accumulators,Tonne,Portugal,3630.0,1317.0,1381.0,1615.0,1727.0,1807.0,1547 d,1778.0,2241.0,2456.0,2598.0,2623.0,2922.0,2700.0
Annual,Products put on the market,Portable batteries and accumulators,Tonne,Romania,2079.0,3447.0,2696.0,2740.0,:,2730.0,2646.0,2340.0,3625.0,2802.0,4276.0,4964.0,6874.0,:
Annual,Products put on the market,Portable batteries and accumulators,Tonne,Sweden,5168.0,6197.0,5708.0,5641.0,5602.0,6046.0,5812.0,7634.0,6913.0,6834.0,7386.0,7558.0,8875.0,:
Annual,Products put on the market,Portable batteries and accumulators,Tonne,Slovenia,915.0,1053.0,670.0,722.0,720.0,719.0,663.0,872.0,790.0,823.0,833.0,826.0,884.0,890.0
Annual,Products put on the market,Portable batteries and accumulators,Tonne,Slovakia,900 e,950 e,980 e,1000 e,950 e,842.0,939 e,1236.0,1460.0,1534.0,1748.0,2030.0,2270.0,2430.0
Annual,Products put on the market,Portable batteries and accumulators,Tonne,Northern Ireland (UK) (NUTS 2021),:,:,:,:,:,:,:,:,:,:,1034.0,1128.0,1174.0,1179.0
