Time frequency,Size classes in number of persons employed,Unit of measure,Geopolitical entity (reporting)\Time,2005.0,2010.0,2015.0,2020.0
Annual,250 persons employed or more,Hour,Cyprus,22.0,28.2,20.3,38.6
Annual,250 persons employed or more,Hour,Czechia,26.5,16.0,15.2 b,11.2
Annual,250 persons employed or more,Hour,Germany,30.3,23.9,23.5,32.6
Annual,250 persons employed or more,Hour,Denmark,29.6,37.1,40.0,30.6
Annual,250 persons employed or more,Hour,Estonia,26.2,32.5,49.0,17.9
Annual,250 persons employed or more,Hour,Greece,22.9,19.1,30.8,15.4
Annual,250 persons employed or more,Hour,Spain,26.7,22.3,21.6,8.9
Annual,250 persons employed or more,Hour,European Union - 27 countries (from 2020),29.4,26.6,24.8,24.0
Annual,250 persons employed or more,Hour,European Union - 28 countries (2013-2020),27.8,26.1,24.5,:
Annual,250 persons employed or more,Hour,Finland,24.0,22.7,19.5,16.4
Annual,250 persons employed or more,Hour,France,29.0,29.6,25.4,21.0
Annual,250 persons employed or more,Hour,Croatia,:,25.3,23.3,20.1
Annual,250 persons employed or more,Hour,Hungary,38.0,38.4,31.7,28.1 b
Annual,250 persons employed or more,Hour,Ireland,24.8,:,32.9,28.8
Annual,250 persons employed or more,Hour,Italy,25.8,26.3,22.5,26.3
Annual,250 persons employed or more,Hour,Lithuania,31.7,25.3,19.0,18.9
Annual,250 persons employed or more,Hour,Luxembourg,34.3,37.8,35.3,22.2
Annual,250 persons employed or more,Hour,Latvia,24.9,16.2,18.1,11.6
Annual,250 persons employed or more,Hour,North Macedonia,:,:,19.0,36.9
Annual,250 persons employed or more,Hour,Malta,35.2,48.7,44.1,28.4
Annual,250 persons employed or more,Hour,Netherlands,35.3,35.4,32.1,39.8
Annual,250 persons employed or more,Hour,Norway,36.0,27.0,21.4,23.0
Annual,250 persons employed or more,Hour,Poland,31.7,23.9,24.2,18.0
Annual,250 persons employed or more,Hour,Portugal,24.4,43.9,33.7,23.9
Annual,250 persons employed or more,Hour,Romania,32.0,36.0,35.9,33.5
Annual,250 persons employed or more,Hour,Serbia,:,:,:,21.6
Annual,250 persons employed or more,Hour,Sweden,39.9,18.6,21.3 b,18.1 b
Annual,250 persons employed or more,Hour,Slovenia,26.8,30.4,27.2,20.1
Annual,250 persons employed or more,Hour,Slovakia,34.3,28.9,19.5,16.0
Annual,250 persons employed or more,Hour,United Kingdom,19.0,22.9,22.6,:
Annual,Total,Hour,Austria,26.7,30.0,22.7,19.1
Annual,Total,Hour,Belgium,31.0,34.1,35.1,20.9
Annual,Total,Hour,Bulgaria,30.2,23.9,28.4,20.0
Annual,Total,Hour,Cyprus,21.8,26.6,21.4,24.1
Annual,Total,Hour,Czechia,23.1,14.5,13.6 b,9.9
Annual,Total,Hour,Germany,29.5,22.8,22.2,27.9
Annual,Total,Hour,Denmark,30.3,47.4,34.7,29.5
Annual,Total,Hour,Estonia,27.0,26.2,45.1,22.0
Annual,Total,Hour,Greece,25.2,19.5,28.4,16.9
Annual,Total,Hour,Spain,25.5,20.4,20.5,8.5
Annual,Total,Hour,European Union - 27 countries (from 2020),28.4,25.6,23.6,22.5
Annual,Total,Hour,European Union - 28 countries (2013-2020),27.1,25.5,24.5,:
Annual,Total,Hour,Finland,24.9,22.5,18.8,18.0
Annual,Total,Hour,France,28.2,28.2,25.7,23.0
Annual,Total,Hour,Croatia,:,28.8,27.0,24.4
Annual,Total,Hour,Hungary,36.9,31.7,26.3,32.2 b
Annual,Total,Hour,Ireland,25.0,:,39.0,32.1
Annual,Total,Hour,Italy,25.5,23.2,20.9,27.0
Annual,Total,Hour,Lithuania,32.4,33.9,19.1,20.5
Annual,Total,Hour,Luxembourg,33.1,37.8,34.8,28.7
Annual,Total,Hour,Latvia,26.4,14.7,17.5,11.8
Annual,Total,Hour,North Macedonia,:,:,23.3,26.0
Annual,Total,Hour,Malta,35.3,39.6,38.3,25.6
Annual,Total,Hour,Netherlands,35.8,35.3,30.4,37.7
Annual,Total,Hour,Norway,32.5,29.6,19.5,23.4
Annual,Total,Hour,Poland,30.1,22.2,21.4,17.2
Annual,Total,Hour,Portugal,26.4,42.5,30.4,23.8
Annual,Total,Hour,Romania,30.8,33.7,35.1,32.6
Annual,Total,Hour,Serbia,:,:,:,20.6
Annual,Total,Hour,Sweden,33.5,23.7,20.4 b,17.8 b
Annual,Total,Hour,Slovenia,28.9,36.9,24.1,21.3
Annual,Total,Hour,Slovakia,31.6,28.0,18.4,16.3
Annual,Total,Hour,United Kingdom,20.0,25.1,30.3,:
