Time frequency,Statistical classification of economic activities in the European Community (NACE Rev. 2),Unit of measure,Geopolitical entity (reporting)\Time,2010.0,2015.0,2020.0
Annual,"Real estate activities; professional, scientific and technical activities; administrative and support service activities; arts, entertainment and recreation; other service activities",Hour,Luxembourg,28.6,29.2,23.0
Annual,"Real estate activities; professional, scientific and technical activities; administrative and support service activities; arts, entertainment and recreation; other service activities",Hour,Latvia,6.4,7.1,9.3
Annual,"Real estate activities; professional, scientific and technical activities; administrative and support service activities; arts, entertainment and recreation; other service activities",Hour,North Macedonia,:,6.3,8.7
Annual,"Real estate activities; professional, scientific and technical activities; administrative and support service activities; arts, entertainment and recreation; other service activities",Hour,Malta,41.8,30.1,12.4
Annual,"Real estate activities; professional, scientific and technical activities; administrative and support service activities; arts, entertainment and recreation; other service activities",Hour,Netherlands,15.5,15.6,21.4
Annual,"Real estate activities; professional, scientific and technical activities; administrative and support service activities; arts, entertainment and recreation; other service activities",Hour,Norway,21.9,10.2,19.5
Annual,"Real estate activities; professional, scientific and technical activities; administrative and support service activities; arts, entertainment and recreation; other service activities",Hour,Poland,7.1,9.9,8.2
Annual,"Real estate activities; professional, scientific and technical activities; administrative and support service activities; arts, entertainment and recreation; other service activities",Hour,Portugal,20.3,13.3,9.4
Annual,"Real estate activities; professional, scientific and technical activities; administrative and support service activities; arts, entertainment and recreation; other service activities",Hour,Romania,12.3,13.6,9.9
Annual,"Real estate activities; professional, scientific and technical activities; administrative and support service activities; arts, entertainment and recreation; other service activities",Hour,Serbia,:,:,7.3
Annual,"Real estate activities; professional, scientific and technical activities; administrative and support service activities; arts, entertainment and recreation; other service activities",Hour,Sweden,15.0,13.4 b,12.4 b
Annual,"Real estate activities; professional, scientific and technical activities; administrative and support service activities; arts, entertainment and recreation; other service activities",Hour,Slovenia,20.3,10.8,9.5
Annual,"Real estate activities; professional, scientific and technical activities; administrative and support service activities; arts, entertainment and recreation; other service activities",Hour,Slovakia,20.3,15.3,11.7
Annual,"Real estate activities; professional, scientific and technical activities; administrative and support service activities; arts, entertainment and recreation; other service activities",Hour,United Kingdom,8.6,15.1,:
Annual,Total - all NACE activities,Hour,Austria,11.2,11.1,7.8
Annual,Total - all NACE activities,Hour,Belgium,19.5,20.4,11.7
Annual,Total - all NACE activities,Hour,Bulgaria,11.8,13.7,8.8
Annual,Total - all NACE activities,Hour,Cyprus,13.7,10.3,10.5
Annual,Total - all NACE activities,Hour,Czechia,10.4,11.9 b,8.8
Annual,Total - all NACE activities,Hour,Germany,10.7,9.9,14.6
Annual,Total - all NACE activities,Hour,Denmark,19.5,14.2,10.6
Annual,Total - all NACE activities,Hour,Estonia,10.6,17.7,8.9
Annual,Total - all NACE activities,Hour,Greece,6.5,12.5,5.5
Annual,Total - all NACE activities,Hour,Spain,11.4,12.3,6.5
Annual,Total - all NACE activities,Hour,European Union - 27 countries (from 2020),12.6,12.4,12.3
Annual,Total - all NACE activities,Hour,European Union - 28 countries (2013-2020),12.1,12.1,:
Annual,Total - all NACE activities,Hour,Finland,10.8,9.1,7.4
Annual,Total - all NACE activities,Hour,France,14.0,13.4,12.1
Annual,Total - all NACE activities,Hour,Croatia,8.9,11.0,9.8
Annual,Total - all NACE activities,Hour,Hungary,8.7,8.0,10.6 b
Annual,Total - all NACE activities,Hour,Ireland,:,24.7,17.9
Annual,Total - all NACE activities,Hour,Italy,11.8,12.6,15.0
Annual,Total - all NACE activities,Hour,Lithuania,10.5,7.2,8.1
Annual,Total - all NACE activities,Hour,Luxembourg,22.5,24.0,18.5
Annual,Total - all NACE activities,Hour,Latvia,7.3,8.9,6.6
Annual,Total - all NACE activities,Hour,North Macedonia,:,8.7,7.7
Annual,Total - all NACE activities,Hour,Malta,22.4,21.1,13.6
Annual,Total - all NACE activities,Hour,Netherlands,15.5,13.9,17.3
Annual,Total - all NACE activities,Hour,Norway,14.2,11.0,13.7
Annual,Total - all NACE activities,Hour,Poland,12.2,12.9,8.8
Annual,Total - all NACE activities,Hour,Portugal,23.5,17.9,12.9
Annual,Total - all NACE activities,Hour,Romania,13.9,14.9,13.9
Annual,Total - all NACE activities,Hour,Serbia,:,:,7.5
Annual,Total - all NACE activities,Hour,Sweden,12.5,11.5 b,10.1 b
Annual,Total - all NACE activities,Hour,Slovenia,22.8,15.7,12.5
Annual,Total - all NACE activities,Hour,Slovakia,16.2,12.7,10.5
Annual,Total - all NACE activities,Hour,United Kingdom,9.2,10.6,:
