Time frequency,Geopolitical entity (partner),Unit of measure,Geopolitical entity (reporting)\Time,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0
Annual,Non-EU27 countries (from 2020) nor reporting country,Number,Poland,89269.0,102644 p,127901 p,112012 ep,93544 ep,113315 ep,129629 ep,98655.0,130364.0,175952.0
Annual,Non-EU27 countries (from 2020) nor reporting country,Number,Portugal,:,:,:,:,:,:,:,61296.0,62421.0,131930.0
Annual,Non-EU27 countries (from 2020) nor reporting country,Number,Romania,28036 e,33114 e,34266.0,44393.0,67629 e,75464.0,101919 e,69302.0,90781.0,178482 e
Annual,Non-EU27 countries (from 2020) nor reporting country,Number,Sweden,80707.0,89929.0,96575.0,124282.0,104249.0,95900.0,83430.0,55125.0,60118.0,64059.0
Annual,Non-EU27 countries (from 2020) nor reporting country,Number,Slovenia,9399.0,9227.0,11215.0,11726.0,13868.0,22789.0,26281.0,25007.0,18613.0,31026.0
Annual,Non-EU27 countries (from 2020) nor reporting country,Number,Slovakia,1679 p,1782 p,2198.0,2486 p,2554.0,2557 p,2777 p,2263 p,1839.0,1880.0
Annual,Non-EU27 countries (from 2020) nor reporting country,Number,United Kingdom,306377.0,345170.0,336167.0,316457.0,383551.0,378455 p,472938.0,:,:,:
Annual,Total,Number,Austria,101866.0,116262.0,166323.0,129509.0,111801.0,105633.0,109167.0,103565.0,118511.0,201622.0
Annual,Total,Number,Belgium,120078.0,123158.0,146626.0,123702.0,126703.0,137860.0,150006.0,118683.0,139743.0,208356.0
Annual,Total,Number,Bulgaria,18570.0,26615 p,25223 p,21241 p,25597 p,29559 p,37929 p,37364 p,39461.0,40619.0
Annual,Total,Number,Switzerland,160157.0,156282.0,153627.0,149305.0,143377.0,144857.0,145129.0,138778.0,144907.0,167079.0
Annual,Total,Number,Cyprus,:,:,:,:,:,:,:,25861.0,24001.0,31052.0
Annual,Total,Number,Czechia,30124 b,29897.0,29602.0,64083.0,51847.0,65910.0,105888.0,63095.0,69360.0,347429.0
Annual,Total,Number,Germany,692713 e,866757 e,1549937 e,1046171 e,866541 e,825736 e,804821 e,642399 e,775946 e,1943445 e
Annual,Total,Number,Denmark,60312.0,68388.0,78492.0,74383.0,68579.0,64669.0,61384.0,57230.0,63489.0,121183.0
Annual,Total,Number,Estonia,4109.0,3904.0,15413 be,14822.0,17616.0,17547.0,18259.0,16209.0,19524.0,49414.0
Annual,Total,Number,Greece,57946.0,59013.0,64446.0,116867 b,112247.0,119489.0,129459.0,84221.0,57120.0,96662.0
Annual,Total,Number,Spain,280772.0,305454.0,342114.0,414746.0,532132.0,643684.0,750480.0,467918.0,887960 b,1258894.0
Annual,Total,Number,European Union - 27 countries (from 2020),2901445 bep,3151967 ep,4051135 bep,3738024 bep,3731511 ep,3903785 ep,4175393 bep,3210557 ep,4053211 bep,6898752 ep
Annual,Total,Number,Finland,31941.0,31507.0,28746.0,34905.0,31797.0,31106.0,32758.0,32898.0,36364.0,49998.0
Annual,Total,Number,France,338752.0,340383.0,364221.0,377709.0,369621.0,387160.0,385596.0,283250.0,336398 p,431017 p
Annual,Total,Number,Georgia,:,:,:,:,:,:,:,:,:,179778.0
Annual,Total,Number,Croatia,10378.0,10638.0,11706.0,13985.0,15553.0,26029.0,37726.0,33414.0,35912.0,57972.0
Annual,Total,Number,Hungary,38968.0,54581.0,58344.0,53618.0,68070.0,82937.0,88581.0,75470.0,80471.0,94148.0
Annual,Total,Number,Ireland,65539.0,73519.0,80792.0,93378.0,84743.0,105699.0,96321.0,81918.0,83770.0,157537.0
Annual,Total,Number,Iceland,6406.0,5368.0,5635.0,8710.0,12116.0,11830.0,9872.0,8544.0,8996.0,14878.0
Annual,Total,Number,Italy,307454.0,277631.0,280078.0,300823.0,343440.0,332324.0,332778.0,247526.0,318366.0,410985.0
Annual,Total,Number,Liechtenstein,696.0,615.0,657.0,607.0,645.0,649.0,727.0,713.0,669.0,770.0
Annual,Total,Number,Lithuania,30924.0,33544.0,31085.0,31395.0,33305.0,37420.0,46526.0,46020.0,44858.0,87367.0
Annual,Total,Number,Luxembourg,21098 e,22332.0,23803.0,22888.0,24379.0,24644.0,26668.0,22490.0,25335.0,31433.0
Annual,Total,Number,Latvia,8299.0,10365.0,9479.0,8345.0,9916.0,10909.0,11223.0,8840.0,12689.0,38708.0
Annual,Total,Number,Moldova,:,98731.0,105834.0,107303.0,107580.0,116739.0,116196.0,65167.0,68356.0,177875.0
Annual,Total,Number,Montenegro,5112.0,5353.0,:,4904.0,6684.0,8643.0,10737.0,6008.0,:,15989.0
Annual,Total,Number,North Macedonia,2050.0,1935.0,1741.0,2262.0,2064.0,2053.0,2118.0,2555.0,1570.0,2452.0
Annual,Total,Number,Malta,12446.0,15928.0,18202.0,18116.0,22750.0,27394.0,29304.0,14751.0,16963.0,34964.0
Annual,Total,Number,Netherlands,129428.0,145323.0,166872.0,189232.0,189646.0,194306.0,215756.0,182244.0,214105.0,326798.0
Annual,Total,Number,Norway,68313.0,66903.0,60816.0,61460.0,53351.0,47864.0,48680.0,36287.0,53947.0,90475.0
Annual,Total,Number,Poland,220311.0,222275 p,218147 p,208302 ep,209353 ep,214083 ep,226649 ep,210615 ep,241116.0,275515 p
Annual,Total,Number,Portugal,17757.0,23077.0,36849.0,37644.0,46649.0,55357.0,95382.0,83654.0,97119.0,167098.0
Annual,Total,Number,Romania,153646 e,136035 e,132795.0,137455.0,177435 e,172578.0,202422 e,145519 e,194642.0,293024 e
Annual,Total,Number,Sweden,115845.0,126966.0,134240.0,163005.0,144489.0,132602.0,115805.0,82518.0,90631.0,102436.0
Annual,Total,Number,Slovenia,13871.0,13846.0,15420.0,16623.0,18808.0,28455.0,31319.0,36110.0,23624.0,35613.0
Annual,Total,Number,Slovakia,5149 p,5357 p,6997.0,7686 p,7188.0,7253 p,7016 p,6775 p,5733.0,5463.0
Annual,Total,Number,Türkiye,:,:,:,:,:,:,:,:,:,494052.0
Annual,Total,Number,United Kingdom,526046.0,631991.0,631452.0,588993.0,644209.0,603953 p,680906.0,:,:,:
Annual,Unknown,Number,Austria,4354.0,4707.0,5111.0,4877.0,4925.0,4571.0,4792.0,4938.0,4770.0,5250.0
Annual,Unknown,Number,Belgium,448.0,609.0,466.0,429.0,439.0,455.0,547.0,1123.0,1356.0,2174.0
Annual,Unknown,Number,Bulgaria,146.0,46 p,64 p,21 p,21 p,32 p,13 p,4 p,4.0,4.0
Annual,Unknown,Number,Switzerland,6106.0,4071.0,4257.0,4212.0,4406.0,4203.0,7438.0,6308.0,6465.0,7874.0
Annual,Unknown,Number,Cyprus,:,:,:,:,:,:,:,0.0,0.0,0.0
Annual,Unknown,Number,Czechia,0 b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3601.0
Annual,Unknown,Number,Germany,3771 e,7528 e,12426 e,57247 e,43089 e,39265 e,32515 e,23142 e,29660 e,44313 e
Annual,Unknown,Number,Denmark,402.0,467.0,524.0,465.0,539.0,527.0,509.0,494.0,427.0,611.0
Annual,Unknown,Number,Estonia,0.0,0.0,713 be,738.0,670.0,90.0,637.0,505.0,433.0,1039.0
Annual,Unknown,Number,Greece,0.0,0.0,0.0,0 b,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Unknown,Number,Spain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,226476 b,251553.0
Annual,Unknown,Number,European Union - 27 countries (from 2020),18758 bep,24775 ep,35227 bep,70647 bep,58535 ep,51858 ep,45139 ep,34642 ep,271475 bep,312345 ep
Annual,Unknown,Number,Finland,321.0,329.0,539.0,238.0,1282.0,252.0,67.0,603.0,970.0,213.0
Annual,Unknown,Number,France,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0 p,0 p
Annual,Unknown,Number,Croatia,131.0,113.0,75.0,90.0,765.0,419.0,506.0,1052.0,1047.0,1239.0
Annual,Unknown,Number,Hungary,258.0,175.0,92.0,47.0,92.0,79.0,84.0,85.0,76.0,94.0
Annual,Unknown,Number,Ireland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Unknown,Number,Iceland,77.0,67.0,69.0,61.0,106.0,153.0,171.0,179.0,94.0,124.0
Annual,Unknown,Number,Italy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Unknown,Number,Liechtenstein,9.0,4.0,2.0,2.0,2.0,5.0,10.0,7.0,7.0,1.0
Annual,Unknown,Number,Lithuania,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
Annual,Unknown,Number,Luxembourg,0 e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Unknown,Number,Latvia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Unknown,Number,Montenegro,530.0,499.0,:,395.0,541.0,475.0,430.0,237.0,:,548.0
Annual,Unknown,Number,North Macedonia,1.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0
Annual,Unknown,Number,Malta,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Unknown,Number,Netherlands,1317.0,1273.0,1294.0,1239.0,1442.0,1304.0,1230.0,1239.0,1240.0,1217.0
Annual,Unknown,Number,Norway,901.0,803.0,0.0,3.0,6.0,6.0,9.0,4.0,3.0,9.0
Annual,Unknown,Number,Poland,19.0,20 p,0 p,0 ep,0 ep,0 ep,0 ep,18 ep,62.0,66 p
Annual,Unknown,Number,Portugal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Unknown,Number,Romania,4437 e,5301 e,10443.0,1458.0,1157 e,1772.0,2548 e,23 e,30.0,26 e
Annual,Unknown,Number,Sweden,3246.0,4207.0,3480.0,3798.0,4114.0,3092.0,1691.0,1416.0,1269.0,945.0
Annual,Unknown,Number,Slovenia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Unknown,Number,Slovakia,0 p,0 p,0.0,0 p,0.0,0 p,0 p,0 p,0.0,0.0
Annual,Unknown,Number,United Kingdom,0.0,0.0,0.0,0.0,0.0,0 p,0.0,:,:,:
