Time frequency,Activity and employment status,Unit of measure,Age class,Sex,Geopolitical entity (reporting)\Time,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Employed persons,Percentage,18 years or over,Females,Euro area – 20 countries (from 2023),:,:,:,:,:,:,:,:,:,9.2,8.8,9.2,9.1,8.9,8.6,7.9,8.0,7.6,7.4
Annual,Employed persons,Percentage,18 years or over,Females,Estonia,8.1,8.7,9.2,8.6,9.7,7.9,9.0,10.0,9.2,11.9 b,9.4,9.3,9.0,9.0,9.0,8.5,8.6,9.2,9.5
Annual,Employed persons,Percentage,18 years or over,Females,Greece,11.6,12.5,12.3,12.1,10.6,10.2,10.1,13.1,12.6,10.4,11.0,12.3,9.9,8.8,8.1,7.2,8.8,7.7,7.4
Annual,Employed persons,Percentage,18 years or over,Females,Spain,9.1,8.5,8.8,10.2 b,10.6,10.0,10.6,10.1,9.9,12.1,12.1,12.4,12.8,12.2,11.8,10.9,11.2,10.6,10.3
Annual,Employed persons,Percentage,18 years or over,Females,European Union - 27 countries (2007-2013),7.3 e,7.3 e,7.6,8.0,7.8,7.8,8.4,8.4,8.5,9.1,8.7,9.1,9.1,9.0,8.8 e,:,:,:,:
Annual,Employed persons,Percentage,18 years or over,Females,European Union - 27 countries (from 2020),:,:,:,:,:,7.9 e,8.4 e,8.3 e,8.5 e,9.2 e,8.9 e,9.2 e,9.0 e,8.7 e,8.5 e,7.9,7.9,7.6,7.4
Annual,Employed persons,Percentage,18 years or over,Females,European Union - 28 countries (2013-2020),:,:,:,:,:,7.8,8.3,8.4,8.5,9.1,8.7,9.1,9.0,8.9,8.8 e,:,:,:,:
Annual,Employed persons,Percentage,18 years or over,Females,Finland,3.6,4.2,5.5,5.0,3.4,3.3,3.4,3.3,3.5,3.4,2.9,2.9,2.8,3.0,2.8,3.0,2.4,2.1,2.5
Annual,Employed persons,Percentage,18 years or over,Females,France,5.0,5.6,5.9,6.0 b,6.2,6.2,7.7,7.6,6.9,7.8,6.7,7.6,7.1,6.5,7.4,7.3 b,7.1,7.5 b,7.9
Annual,Employed persons,Percentage,18 years or over,Females,Croatia,:,:,:,:,:,4.7,5.5,5.1,4.6,4.1,4.6,4.2,4.6,4.3,4.3,4.3,3.7,4.3,5.9 b
Annual,Employed persons,Percentage,18 years or over,Females,Hungary,6.5,5.4,4.9,4.5,5.3,4.6,5.4,4.7,6.2,5.9,8.7,9.9,10.6,8.9,8.7,7.3,6.8,7.1,6.1
Annual,Employed persons,Percentage,18 years or over,Females,Ireland,5.5,6.0,5.4,5.7,4.4,3.6,4.5,4.7,4.7,5.1,4.0,4.8,4.4,4.0,5.6 b,4.5 b,3.4,4.8,4.4
Annual,Employed persons,Percentage,18 years or over,Females,Iceland,7.3,6.2,7.1,6.4,8.0,6.5,6.5,5.0,6.1,4.4,6.3,6.0,7.2,6.6,6.0,:,:,:,:
Annual,Employed persons,Percentage,18 years or over,Females,Italy,6.2,6.3,6.9,6.6,8.3,7.4,9.5,9.5,9.9,10.1,9.5,9.5,10.6,10.8,10.1,8.5,8.4,9.2,7.8
Annual,Employed persons,Percentage,18 years or over,Females,Lithuania,9.7,9.0,8.4,9.6,11.3,14.3,9.7,8.3,10.4,8.1,8.4,7.7,7.7,7.9,7.5,7.8,7.6,7.7,7.2
Annual,Employed persons,Percentage,18 years or over,Females,Luxembourg,9.8,10.3,9.1,9.6,9.5,10.4,10.6,9.9,10.8,10.3,11.4,11.5 b,10.2,12.4,12.0,11.4 b,14.2 b,13.4 b,15.7
Annual,Employed persons,Percentage,18 years or over,Females,Latvia,9.2,12.4,9.6,10.7,10.7,9.6,10.3,9.2,10.0,8.8,9.5,8.2,9.4,8.5,8.8,8.8,11.3,10.1,10.1
Annual,Employed persons,Percentage,18 years or over,Females,Montenegro,:,:,:,:,:,:,:,:,4.3,5.7,5.2,4.7,5.9,4.7,5.4,6.8,4.1,4.0,:
Annual,Employed persons,Percentage,18 years or over,Females,North Macedonia,:,:,:,:,:,:,8.5,9.8,10.0,7.8,6.8,6.5,6.2,6.0,5.2,4.5,:,:,:
Annual,Employed persons,Percentage,18 years or over,Females,Malta,2.4,2.0,2.5,2.5,2.6,3.7,3.6,3.0,2.5,3.3,3.5,3.1,3.3,4.5,4.6,5.3,5.0,4.0,5.3
Annual,Employed persons,Percentage,18 years or over,Females,Netherlands,5.4,4.2,4.6,4.7,5.1,4.6,5.0,4.3,3.8,4.6,4.6,5.0 b,6.7,6.1,5.2,5.4,4.9,4.4,4.9
Annual,Employed persons,Percentage,18 years or over,Females,Norway,4.0,5.8,6.0,4.7,5.7,5.1,4.9,4.6,5.3,5.1,5.9,6.4,5.9,6.3,6.6,6.1,5.9 b,5.3,5.4 b
Annual,Employed persons,Percentage,18 years or over,Females,Poland,12.3,11.4,10.5,10.4,9.8,10.6,9.7,8.7,9.4,9.3,9.8,9.5,9.1,8.2,8.7,8.3,7.5,7.6,8.1
Annual,Employed persons,Percentage,18 years or over,Females,Portugal,10.9,10.6,9.1,11.3,9.6,9.3,9.9,8.5,9.2,9.9,10.2,10.5,10.4,9.0,10.6,8.5,10.3,9.0,9.2
Annual,Employed persons,Percentage,18 years or over,Females,Romania,:,:,15.3,15.4,14.8,15.3,16.1,15.8,14.9,16.1,15.7,15.2,13.6,11.4,11.6,10.4,11.1,9.9,10.3
Annual,Employed persons,Percentage,18 years or over,Females,Serbia,:,:,:,:,:,:,:,:,12.8,12.0,10.3,9.3,9.1,8.3,8.3,6.5,5.7,4.4,:
Annual,Employed persons,Percentage,18 years or over,Females,Sweden,4.8,6.3,5.8,6.5 b,7.1,7.6,7.1,6.7,7.2,6.9,6.9,6.4,5.6,6.7,6.7,7.4,5.8,6.5,6.6
Annual,Employed persons,Percentage,18 years or over,Females,Slovenia,4.0,4.0,4.0,4.5,4.2,4.2,4.5,5.3,5.5,4.4,5.4,4.8,5.2,4.2,3.6,3.6,4.4,4.0,4.8
Annual,Employed persons,Percentage,18 years or over,Females,Slovakia,9.2,6.3,4.9,5.4,4.9,5.4,5.9,5.6,5.5,5.3,5.5,6.0,5.8,5.8,3.4,4.2,6.0,6.2,7.9
Annual,Employed persons,Percentage,18 years or over,Females,Türkiye,:,21.0,19.2,21.3,22.1,21.3,17.5,15.7,13.9,12.1,11.5,9.9,9.2,10.2,9.9,9.9,8.7,9.0,7.6
Annual,Employed persons,Percentage,18 years or over,Females,United Kingdom,7.6,7.4,7.7,9.0,7.1,6.7,8.1,8.9 b,8.1,8.3,7.3,8.1,9.0 b,10.4,:,:,:,:,:
Annual,Employed persons,Percentage,18 years or over,Males,Albania,:,:,:,:,:,:,:,:,:,:,:,:,18.6,16.9,15.4,14.3,14.2,:,:
Annual,Employed persons,Percentage,18 years or over,Males,Austria,7.3,6.4,6.3,9.1 b,9.0,7.9,8.4,8.7,8.1,7.8,8.4,8.6,7.9,8.4,7.9,7.8,8.4,8.8,8.2
Annual,Employed persons,Percentage,18 years or over,Males,Belgium,4.5,4.5,4.4,4.5,4.6,4.8,4.3,4.5,4.5,4.5,4.4,4.9,5.2,5.8,4.9 b,4.2,4.2,4.0,5.0
Annual,Employed persons,Percentage,18 years or over,Males,Bulgaria,:,5.3,6.1,7.9,7.7,8.4,8.8,7.7,7.9,9.7,8.2,13.0,11.3,11.2,9.6,10.5,11.2,11.1,12.5
Annual,Employed persons,Percentage,18 years or over,Males,Switzerland,:,:,7.5,9.4,7.4,7.0,7.6,8.5,7.3,6.3 b,8.2,7.7,8.0,7.1,7.9,8.2,7.3,8.1,8.2
Annual,Employed persons,Percentage,18 years or over,Males,Cyprus,6.4,7.2,6.0,5.8 b,6.2,5.9,6.7,7.0,8.1,7.6,9.1,8.0,8.2,7.9,7.2,7.6,7.3,7.7,7.0
Annual,Employed persons,Percentage,18 years or over,Males,Czechia,3.4,3.2,3.3,3.2,3.0,3.7,4.1,4.4,3.8,3.3,3.6,3.7,3.4,3.2,3.2,3.3,3.4,3.2,3.0
Annual,Employed persons,Percentage,18 years or over,Males,Germany,4.3,4.9,6.8,6.5,6.2,6.3,7.2,6.9,7.6,8.9,8.9,8.1,8.1,8.0,6.9,8.6 b,8.5,7.2,6.7 b
Annual,Employed persons,Percentage,18 years or over,Males,Denmark,4.8,5.3,4.9,5.7,7.1,7.0,7.2 b,6.2,5.7,4.9,6.3,5.6,6.2,6.2,6.4,6.8 b,6.6,6.3,6.0
Annual,Employed persons,Percentage,18 years or over,Males,Euro area - 19 countries  (2015-2022),8.0,7.9,8.4,8.6,8.7,8.4,8.8,8.9,8.9,9.5,9.9,9.7,9.5,9.5,9.1,9.3,9.6,:,:
Annual,Employed persons,Percentage,18 years or over,Males,Euro area – 20 countries (from 2023),:,:,:,:,:,:,:,:,:,9.5,9.9,9.7,9.5,9.5,9.0,9.3,9.6,9.1,8.8
Annual,Employed persons,Percentage,18 years or over,Males,Estonia,6.9,6.3,6.4,6.0,6.5,5.0,6.8,6.6,6.0,11.7 b,10.6,9.9,9.7,9.6,11.0,11.4,11.3,11.7,11.1
Annual,Employed persons,Percentage,18 years or over,Males,Greece,13.8,14.7,15.5,15.9,16.1,16.4,13.2,16.5,13.4,15.4,15.2,15.3,15.0,12.5,11.7,12.1,13.0,12.7,11.8
Annual,Employed persons,Percentage,18 years or over,Males,Spain,11.5,11.2,11.2,12.1 b,12.5,11.5,11.2,11.3,10.9,12.9,14.0,13.7,13.3,13.5,13.4,12.5,13.9,12.7,12.2
Annual,Employed persons,Percentage,18 years or over,Males,European Union - 27 countries (2007-2013),8.9 e,8.7 e,8.9,9.1,8.9,8.8,9.2,9.4,9.4,9.9,10.2,10.1,9.8,9.8,9.5 e,:,:,:,:
Annual,Employed persons,Percentage,18 years or over,Males,European Union - 27 countries (from 2020),:,:,:,:,:,9.1 e,9.5 e,9.5 e,9.5 e,10.0 e,10.3 e,10.2 e,9.9 e,9.7 e,9.4 e,9.6,9.8,9.4,9.1
Annual,Employed persons,Percentage,18 years or over,Males,European Union - 28 countries (2013-2020),:,:,:,:,:,8.8,9.2,9.4,9.4,9.9,10.1,10.1,9.8,9.8,9.5 e,:,:,:,:
Annual,Employed persons,Percentage,18 years or over,Males,Finland,3.8,4.7,4.5,5.3,4.0,4.0,4.3,4.2,4.0,3.9,4.1,3.3,2.6,3.1,2.9,3.3,3.1,2.9,3.0
Annual,Employed persons,Percentage,18 years or over,Males,France,7.0,6.4,7.0,7.1 b,7.0,6.8,7.5,8.4,8.6,8.2,8.2,8.2,7.5,7.6,7.4,7.5 b,6.7,7.5 b,7.8
Annual,Employed persons,Percentage,18 years or over,Males,Croatia,:,:,:,:,:,7.6,7.5,6.8,7.5,7.1,7.0,6.7,6.9,6.0,5.7,5.8,5.9,5.1,6.5 b
Annual,Employed persons,Percentage,18 years or over,Males,Hungary,10.6,8.1,6.6,6.8,7.0,6.0,6.9,6.6,7.7,7.4,9.7,9.4,9.9,7.9,8.1,8.2,8.2,6.9,7.5
Annual,Employed persons,Percentage,18 years or over,Males,Ireland,6.4,6.2,5.7,7.1,6.1,7.1,6.5,5.9,5.3,6.1,5.6,5.2,5.7,5.5,6.8 b,6.3 b,5.5,6.0,6.5
Annual,Employed persons,Percentage,18 years or over,Males,Iceland,8.5,6.9,6.9,6.9,7.4,6.8,6.4,5.4,6.1,4.9,6.6,6.8,6.9,7.3,6.7,:,:,:,:
Annual,Employed persons,Percentage,18 years or over,Males,Italy,10.4,10.6,10.8,10.6,11.5,11.0,12.0,12.0,11.8,11.5,12.8,13.2,13.3,13.3,13.0,12.4,13.8,13.1,11.5
Annual,Employed persons,Percentage,18 years or over,Males,Lithuania,10.4,10.9,7.7,9.1,9.2,10.6,9.3,6.8,7.8,8.5,11.4,9.3,9.3,8.3,8.3,8.2,7.3,7.6,8.6
Annual,Employed persons,Percentage,18 years or over,Males,Luxembourg,9.8,10.2,9.4,9.2,10.5,10.8,9.3,10.5,11.6,11.7,11.8,10.4 b,11.2,10.7,12.1,12.3 b,12.9 b,12.4 b,14.1
Annual,Employed persons,Percentage,18 years or over,Males,Latvia,8.8,9.9,8.9,10.2,10.9,9.2,8.3,8.0,7.7,7.3,9.0,8.4,8.2,7.6,8.1,7.6,8.2,8.4,8.2
Annual,Employed persons,Percentage,18 years or over,Males,Montenegro,:,:,:,:,:,:,:,:,7.1,9.4,9.6,10.0,8.8,9.3,11.7,12.1,8.4,6.9,:
Annual,Employed persons,Percentage,18 years or over,Males,North Macedonia,:,:,:,:,:,:,11.2,11.9,11.8,11.0,10.3,10.6,10.8,10.6,10.6,10.2,:,:,:
Annual,Employed persons,Percentage,18 years or over,Males,Malta,5.1,5.1,5.5,6.3,6.8,7.0,7.4,6.5,7.6,6.8,6.8,7.7,7.4,7.6,7.8,8.8,8.8,9.2,9.1
Annual,Employed persons,Percentage,18 years or over,Males,Netherlands,6.1,4.5,4.6,4.8,5.0,5.6,5.8,4.8,5.2,5.8,5.4,6.1 b,5.5,6.1,5.8,5.7,5.5,5.6,5.5
Annual,Employed persons,Percentage,18 years or over,Males,Norway,5.0,6.3,5.6,6.0,5.5,5.3,6.1,5.3,5.9,4.9,5.2,5.2,5.7,5.8,6.2,5.7,5.9 b,6.4,5.6 b
Annual,Employed persons,Percentage,18 years or over,Males,Poland,15.1,13.9,12.6,12.4,12.1,12.2,12.3,11.8,11.8,11.7,12.4,11.9,10.6,11.0,10.7,10.7,10.2,10.4,9.8
Annual,Employed persons,Percentage,18 years or over,Males,Portugal,12.8,11.8,10.2,12.2,11.0,10.0,10.6,11.1,11.7,11.5,11.6,11.3,11.2,10.4,11.0,10.6,12.1,11.6,10.7
Annual,Employed persons,Percentage,18 years or over,Males,Romania,:,:,19.0,19.3,19.3,19.7,21.4,21.3,21.0,22.6,21.0,21.5,20.1,17.9,18.5,18.1,18.6,17.8,18.9
Annual,Employed persons,Percentage,18 years or over,Males,Serbia,:,:,:,:,:,:,:,:,16.5,15.6,15.7,13.9,12.2,11.3,9.9,8.8,7.0,7.6,:
Annual,Employed persons,Percentage,18 years or over,Males,Sweden,6.2,8.4,7.0,8.1 b,7.8,7.8,7.8,7.6,7.9,8.4,8.9,7.0,8.1,7.4,8.6,8.1,7.4,8.4,7.5
Annual,Employed persons,Percentage,18 years or over,Males,Slovenia,5.2,5.4,5.2,5.5,5.2,6.2,7.2,7.6,8.4,7.9,7.7,7.1,7.7,7.6,5.3,6.2,5.4,5.4,6.5
Annual,Employed persons,Percentage,18 years or over,Males,Slovakia,8.7,6.3,4.8,6.2,5.5,5.9,6.7,6.6,5.9,6.1,6.5,6.9,6.8,6.2,5.2,6.0,7.2,7.9,10.1
Annual,Employed persons,Percentage,18 years or over,Males,Türkiye,:,17.3,17.3,17.2,17.5,16.7,15.4,15.2,15.3,15.4,14.7,15.0,14.4,14.4,14.6,14.2,14.0,14.7,12.7
Annual,Employed persons,Percentage,18 years or over,Males,United Kingdom,8.8,8.1,8.3,8.1,6.4,6.8,7.7,9.1 b,8.7,9.0,8.9,9.0,8.8 b,10.2,:,:,:,:,:
Annual,Employed persons,Percentage,18 years or over,Total,Albania,:,:,:,:,:,:,:,:,:,:,:,:,17.9,16.5,14.6,12.7,12.6,:,:
Annual,Employed persons,Percentage,18 years or over,Total,Austria,6.8,6.4,6.1,8.5 b,8.2,7.5,7.6,8.1,7.9,7.2,7.9,8.3,7.7,8.0,7.6,7.2,7.5,8.2,7.6
Annual,Employed persons,Percentage,18 years or over,Total,Belgium,3.9,4.1,4.3,4.8,4.6,4.5,4.2,4.5,4.4,4.8,4.6,4.8,5.0,5.1,4.8 b,4.2,3.8,3.6,4.7
Annual,Employed persons,Percentage,18 years or over,Total,Bulgaria,:,5.4,5.8,7.5,7.4,7.7,8.2,7.4,7.2,9.2,7.7,11.4,9.9,9.9,8.9,9.6,10.0,9.7,11.4
Annual,Employed persons,Percentage,18 years or over,Total,Switzerland,:,:,7.7,9.5,8.1,7.6,7.7,8.5,7.6,6.3 b,8.2,7.3,8.2,7.3,7.7,8.0,7.3,8.2,9.0
Annual,Employed persons,Percentage,18 years or over,Total,Cyprus,6.5,7.2,6.3,6.3 b,6.8,7.3,7.3,7.9,8.9,7.8,9.1,8.2,7.9,7.4,6.7,7.3,7.6,7.9,7.4
Annual,Employed persons,Percentage,18 years or over,Total,Czechia,3.5,3.5,3.3,3.6,3.2,3.7,4.0,4.5,4.0,3.6,4.0,3.8,3.5,3.4,3.5,3.7,3.5,3.4,3.1
Annual,Employed persons,Percentage,18 years or over,Total,Germany,4.8,5.5,7.4,7.1,6.8,7.2,7.7,7.8,8.6,9.9,9.7,9.5,9.1,9.1,8.0,8.6 b,8.7,7.2,6.6 b
Annual,Employed persons,Percentage,18 years or over,Total,Denmark,4.8,4.5,4.1,5.0,5.9,6.5,6.3 b,5.2,5.5,4.9,5.5,5.3,5.3,6.0,6.3,6.2 b,6.0,5.9,6.0
Annual,Employed persons,Percentage,18 years or over,Total,Euro area - 19 countries  (2015-2022),7.3,7.3,7.9,8.1,8.2,8.0,8.5,8.6,8.7,9.4,9.4,9.5,9.4,9.2,8.9,8.7,8.9,:,:
Annual,Employed persons,Percentage,18 years or over,Total,Euro area – 20 countries (from 2023),:,:,:,:,:,:,:,:,:,9.4,9.4,9.5,9.3,9.2,8.8,8.7,8.9,8.4,8.1
Annual,Employed persons,Percentage,18 years or over,Total,Estonia,7.5,7.5,7.8,7.3,8.1,6.5,7.9,8.3,7.6,11.8 b,10.0,9.6,9.3,9.3,10.0,10.0,10.0,10.5,10.3
Annual,Employed persons,Percentage,18 years or over,Total,Greece,12.9,13.8,14.2,14.3,13.8,13.8,11.9,15.1,13.1,13.4,13.4,14.1,12.9,11.0,10.2,10.1,11.3,10.6,9.9
Annual,Employed persons,Percentage,18 years or over,Total,Spain,10.6,10.1,10.2,11.3 b,11.7,10.9,10.9,10.8,10.5,12.5,13.1,13.1,13.1,12.9,12.7,11.8,12.7,11.7,11.3
Annual,Employed persons,Percentage,18 years or over,Total,European Union - 27 countries (2007-2013),8.2 e,8.1 e,8.3,8.6,8.4,8.3,8.8,9.0,9.0,9.5,9.5,9.6,9.4,9.4,9.2 e,:,:,:,:
Annual,Employed persons,Percentage,18 years or over,Total,European Union - 27 countries (from 2020),:,:,:,:,:,8.5 e,9.0 e,8.9 e,9.1 e,9.6 e,9.7 e,9.8 e,9.5 e,9.3 e,9.0 e,8.8,8.9,8.5,8.3
Annual,Employed persons,Percentage,18 years or over,Total,European Union - 28 countries (2013-2020),:,:,:,:,:,8.3,8.8,8.9,9.0,9.5,9.5,9.6,9.4,9.4,9.2 e,:,:,:,:
Annual,Employed persons,Percentage,18 years or over,Total,Finland,3.7,4.5,5.0,5.1,3.7,3.7,3.9,3.8,3.7,3.7,3.5,3.1,2.7,3.1,2.9,3.1,2.8,2.5,2.8
Annual,Employed persons,Percentage,18 years or over,Total,France,6.1,6.0,6.5,6.5 b,6.6,6.5,7.6,8.0,7.8,8.0,7.5,7.9,7.3,7.1,7.4,7.4 b,6.9,7.5 b,7.8
Annual,Employed persons,Percentage,18 years or over,Total,Croatia,:,:,:,:,:,6.3,6.6,6.0,6.2,5.7,5.9,5.6,5.8,5.2,5.1,5.1,4.9,4.7,6.2 b
Annual,Employed persons,Percentage,18 years or over,Total,Hungary,8.7,6.8,5.8,5.8,6.2,5.3,6.2,5.7,7.0,6.7,9.3,9.6,10.2,8.4,8.4,7.8,7.6,7.0,6.9
Annual,Employed persons,Percentage,18 years or over,Total,Ireland,6.0,6.2,5.6,6.5,5.3,5.5,5.5,5.4,5.0,5.6,4.9,5.1,5.1,4.8,6.2 b,5.5 b,4.5,5.4,5.5
Annual,Employed persons,Percentage,18 years or over,Total,Iceland,7.9,6.6,7.0,6.7,7.7,6.6,6.4,5.2,6.1,4.6,6.5,6.4,7.0,7.0,6.4,:,:,:,:
Annual,Employed persons,Percentage,18 years or over,Total,Italy,8.7,9.0,9.3,9.0,10.2,9.5,11.0,11.0,11.0,11.0,11.5,11.7,12.2,12.2,11.8,10.8,11.6,11.5,9.9
Annual,Employed persons,Percentage,18 years or over,Total,Lithuania,10.0,10.0,8.0,9.4,10.3,12.6,9.5,7.6,9.1,8.3,9.9,8.5,8.5,8.1,7.9,8.0,7.5,7.6,7.9
Annual,Employed persons,Percentage,18 years or over,Total,Luxembourg,9.8,10.3,9.3,9.4,10.0,10.6,9.9,10.2,11.2,11.1,11.6,10.9 b,10.8,11.5,12.1,11.9 b,13.5 b,12.9 b,14.8
Annual,Employed persons,Percentage,18 years or over,Total,Latvia,9.0,11.1,9.2,10.5,10.8,9.4,9.3,8.6,8.9,8.1,9.2,8.3,8.8,8.1,8.5,8.2,9.8,9.2,9.2
Annual,Employed persons,Percentage,18 years or over,Total,Montenegro,:,:,:,:,:,:,:,:,5.9,7.8,7.7,7.6,7.6,7.3,9.0,9.8,6.5,5.7,:
Annual,Employed persons,Percentage,18 years or over,Total,North Macedonia,:,:,:,:,:,:,10.2,11.1,11.1,9.8,8.9,9.0,9.0,8.8,8.5,7.9,:,:,:
Annual,Employed persons,Percentage,18 years or over,Total,Malta,4.3,4.1,4.6,5.1,5.4,5.9,6.1,5.2,5.7,5.5,5.5,5.9,5.7,6.4,6.5,7.4,7.3,7.1,7.6
Annual,Employed persons,Percentage,18 years or over,Total,Netherlands,5.8,4.4,4.6,4.8,5.0,5.1,5.4,4.6,4.5,5.3,5.0,5.6 b,6.1,6.1,5.5,5.6,5.2,5.0,5.2
Annual,Employed persons,Percentage,18 years or over,Total,Norway,4.5,6.1,5.8,5.4,5.6,5.2,5.6,5.0,5.6,5.0,5.5,5.7,5.8,6.0,6.3,5.9,5.9 b,5.9,5.5 b
Annual,Employed persons,Percentage,18 years or over,Total,Poland,13.8,12.8,11.7,11.5,11.0,11.4,11.1,10.4,10.7,10.6,11.2,10.8,9.9,9.7,9.7,9.6,8.9,9.1,9.0
Annual,Employed persons,Percentage,18 years or over,Total,Portugal,11.9,11.2,9.7,11.8,10.3,9.7,10.3,9.9,10.5,10.7,10.9,10.9,10.8,9.7,10.8,9.5,11.2,10.3,10.0
Annual,Employed persons,Percentage,18 years or over,Total,Romania,:,:,17.4,17.7,17.4,17.9,19.1,19.0,18.4,19.8,18.8,18.9,17.4,15.3,15.7,14.9,15.5,14.5,15.3
Annual,Employed persons,Percentage,18 years or over,Total,Serbia,:,:,:,:,:,:,:,:,14.9,14.0,13.3,11.9,10.8,10.0,9.2,7.8,6.4,6.2,:
Annual,Employed persons,Percentage,18 years or over,Total,Sweden,5.5,7.4,6.4,7.4 b,7.5,7.7,7.5,7.2,7.6,7.7,8.0,6.7,6.9,7.0,7.8,7.8,6.7,7.5,7.1
Annual,Employed persons,Percentage,18 years or over,Total,Slovenia,4.6,4.8,4.7,5.1,4.8,5.3,6.0,6.5,7.1,6.4,6.7,6.1,6.6,6.0,4.5,5.0,5.0,4.8,5.7
Annual,Employed persons,Percentage,18 years or over,Total,Slovakia,8.9,6.3,4.9,5.8,5.2,5.7,6.3,6.2,5.7,5.7,6.0,6.5,6.3,6.0,4.4,5.2,6.7,7.1,9.1
Annual,Employed persons,Percentage,18 years or over,Total,Türkiye,:,18.2,17.9,18.4,18.8,18.0,16.0,15.3,14.9,14.4,13.7,13.5,12.8,13.1,13.2,12.9,12.4,13.0,11.2
Annual,Employed persons,Percentage,18 years or over,Total,United Kingdom,8.2,7.8,8.0,8.5,6.7,6.8,7.9,9.0 b,8.4,8.7,8.1,8.6,8.9 b,10.3,:,:,:,:,:
