Time frequency,Household composition,Unit of measure,Geopolitical entity (reporting)\Time,2021.0
Annual,Households with dependent children,Percentage,Austria,7.5
Annual,Households with dependent children,Percentage,Belgium,12.8
Annual,Households with dependent children,Percentage,Bulgaria,36.5
Annual,Households with dependent children,Percentage,Switzerland,6.2
Annual,Households with dependent children,Percentage,Cyprus,23.4
Annual,Households with dependent children,Percentage,Czechia,6.9
Annual,Households with dependent children,Percentage,Germany,6.0
Annual,Households with dependent children,Percentage,Denmark,4.8
Annual,Households with dependent children,Percentage,Estonia,3.8
Annual,Households with dependent children,Percentage,Greece,34.0
Annual,Households with dependent children,Percentage,Spain,19.7
Annual,Households with dependent children,Percentage,European Union - 27 countries (from 2020),12.9
Annual,Households with dependent children,Percentage,Finland,3.7
Annual,Households with dependent children,Percentage,France,12.7
Annual,Households with dependent children,Percentage,Croatia,5.8
Annual,Households with dependent children,Percentage,Hungary,24.6
Annual,Households with dependent children,Percentage,Ireland,12.7
Annual,Households with dependent children,Percentage,Italy,13.5
Annual,Households with dependent children,Percentage,Lithuania,9.6
Annual,Households with dependent children,Percentage,Luxembourg,8.1
Annual,Households with dependent children,Percentage,Latvia,9.4
Annual,Households with dependent children,Percentage,Malta,10.1
Annual,Households with dependent children,Percentage,Netherlands,5.4
Annual,Households with dependent children,Percentage,Poland,4.4
Annual,Households with dependent children,Percentage,Portugal,14.0
Annual,Households with dependent children,Percentage,Romania,42.5
Annual,Households with dependent children,Percentage,Sweden,3.5
Annual,Households with dependent children,Percentage,Slovenia,2.9
Annual,Households with dependent children,Percentage,Slovakia,13.1
