Time frequency,Unit of measure,Quantile,Working time,Geopolitical entity (reporting)\Time,2006.0
Annual,Euro,Median,Part-time,Sweden,1560.0
Annual,Euro,Median,Part-time,Slovenia,390.0
Annual,Euro,Median,Part-time,Slovakia,217.0
Annual,Euro,Median,Part-time,Türkiye,294.0
Annual,Euro,Median,Part-time,United Kingdom,908.0
Annual,Euro,Tenth percentile,Full-time,Austria,1216.0
Annual,Euro,Tenth percentile,Full-time,Belgium,1700.0
Annual,Euro,Tenth percentile,Full-time,Bulgaria,87.0
Annual,Euro,Tenth percentile,Full-time,Cyprus,808.0
Annual,Euro,Tenth percentile,Full-time,Czechia,363.0
Annual,Euro,Tenth percentile,Full-time,Germany,1247.0
Annual,Euro,Tenth percentile,Full-time,Denmark,2262.0
Annual,Euro,Tenth percentile,Full-time,Euro area - 16 countries (2009-2010),934.0
Annual,Euro,Tenth percentile,Full-time,Estonia,273.0
Annual,Euro,Tenth percentile,Full-time,Greece,838.0
Annual,Euro,Tenth percentile,Full-time,Spain,917.0
Annual,Euro,Tenth percentile,Full-time,European Union - 15 countries (1995-2004),1176.0
Annual,Euro,Tenth percentile,Full-time,European Union - 25 countries (2004-2006),564.0
Annual,Euro,Tenth percentile,Full-time,European Union - 27 countries (2007-2013),411.0
Annual,Euro,Tenth percentile,Full-time,Finland,1686.0
Annual,Euro,Tenth percentile,Full-time,France,1429.0
Annual,Euro,Tenth percentile,Full-time,Hungary,258.0
Annual,Euro,Tenth percentile,Full-time,Ireland,1603.0
Annual,Euro,Tenth percentile,Full-time,Iceland,2057.0
Annual,Euro,Tenth percentile,Full-time,Italy,1240.0
Annual,Euro,Tenth percentile,Full-time,Lithuania,185.0
Annual,Euro,Tenth percentile,Full-time,Luxembourg,1685.0
Annual,Euro,Tenth percentile,Full-time,Latvia,144.0
Annual,Euro,Tenth percentile,Full-time,Malta,757.0
Annual,Euro,Tenth percentile,Full-time,Netherlands,1465.0
Annual,Euro,Tenth percentile,Full-time,Norway,2685.0
Annual,Euro,Tenth percentile,Full-time,Poland,271.0
Annual,Euro,Tenth percentile,Full-time,Portugal,457.0
Annual,Euro,Tenth percentile,Full-time,Romania,111.0
Annual,Euro,Tenth percentile,Full-time,Sweden,1959.0
Annual,Euro,Tenth percentile,Full-time,Slovenia,547.0
Annual,Euro,Tenth percentile,Full-time,Slovakia,253.0
Annual,Euro,Tenth percentile,Full-time,Türkiye,294.0
Annual,Euro,Tenth percentile,Full-time,United Kingdom,1599.0
Annual,Euro,Tenth percentile,Part-time,Austria,266.0
Annual,Euro,Tenth percentile,Part-time,Belgium,1535.0
Annual,Euro,Tenth percentile,Part-time,Bulgaria,36.0
Annual,Euro,Tenth percentile,Part-time,Cyprus,278.0
Annual,Euro,Tenth percentile,Part-time,Czechia,152.0
Annual,Euro,Tenth percentile,Part-time,Germany,245.0
Annual,Euro,Tenth percentile,Part-time,Denmark,141.0
Annual,Euro,Tenth percentile,Part-time,Euro area - 16 countries (2009-2010),997.0
Annual,Euro,Tenth percentile,Part-time,Estonia,89.0
Annual,Euro,Tenth percentile,Part-time,Greece,352.0
Annual,Euro,Tenth percentile,Part-time,Spain,320.0
Annual,Euro,Tenth percentile,Part-time,European Union - 15 countries (1995-2004),1103.0
Annual,Euro,Tenth percentile,Part-time,European Union - 25 countries (2004-2006),871.0
Annual,Euro,Tenth percentile,Part-time,European Union - 27 countries (2007-2013),836.0
Annual,Euro,Tenth percentile,Part-time,Finland,436.0
Annual,Euro,Tenth percentile,Part-time,France,508.0
Annual,Euro,Tenth percentile,Part-time,Hungary,237.0
Annual,Euro,Tenth percentile,Part-time,Ireland,305.0
Annual,Euro,Tenth percentile,Part-time,Iceland,308.0
Annual,Euro,Tenth percentile,Part-time,Italy,412.0
Annual,Euro,Tenth percentile,Part-time,Lithuania,82.0
Annual,Euro,Tenth percentile,Part-time,Luxembourg,634.0
Annual,Euro,Tenth percentile,Part-time,Latvia,59.0
Annual,Euro,Tenth percentile,Part-time,Malta,100.0
Annual,Euro,Tenth percentile,Part-time,Netherlands,152.0
Annual,Euro,Tenth percentile,Part-time,Norway,376.0
Annual,Euro,Tenth percentile,Part-time,Poland,107.0
Annual,Euro,Tenth percentile,Part-time,Portugal,276.0
Annual,Euro,Tenth percentile,Part-time,Romania,27.0
Annual,Euro,Tenth percentile,Part-time,Sweden,415.0
Annual,Euro,Tenth percentile,Part-time,Slovenia,201.0
Annual,Euro,Tenth percentile,Part-time,Slovakia,97.0
Annual,Euro,Tenth percentile,Part-time,Türkiye,147.0
Annual,Euro,Tenth percentile,Part-time,United Kingdom,294.0
Annual,Euro,Ninetieth percentile,Full-time,Austria,4015.0
Annual,Euro,Ninetieth percentile,Full-time,Belgium,4107.0
Annual,Euro,Ninetieth percentile,Full-time,Bulgaria,359.0
Annual,Euro,Ninetieth percentile,Full-time,Cyprus,3316.0
Annual,Euro,Ninetieth percentile,Full-time,Czechia,1120.0
Annual,Euro,Ninetieth percentile,Full-time,Germany,4731.0
Annual,Euro,Ninetieth percentile,Full-time,Denmark,5429.0
Annual,Euro,Ninetieth percentile,Full-time,Euro area - 16 countries (2009-2010),3983.0
Annual,Euro,Ninetieth percentile,Full-time,Estonia,1105.0
Annual,Euro,Ninetieth percentile,Full-time,Greece,2802.0
Annual,Euro,Ninetieth percentile,Full-time,Spain,2841.0
Annual,Euro,Ninetieth percentile,Full-time,European Union - 15 countries (1995-2004),4530.0
Annual,Euro,Ninetieth percentile,Full-time,European Union - 25 countries (2004-2006),4268.0
Annual,Euro,Ninetieth percentile,Full-time,European Union - 27 countries (2007-2013),4172.0
Annual,Euro,Ninetieth percentile,Full-time,Finland,3847.0
Annual,Euro,Ninetieth percentile,Full-time,France,3995.0
Annual,Euro,Ninetieth percentile,Full-time,Hungary,1062.0
Annual,Euro,Ninetieth percentile,Full-time,Ireland,5808.0
Annual,Euro,Ninetieth percentile,Full-time,Iceland,5924.0
Annual,Euro,Ninetieth percentile,Full-time,Italy,3320.0
Annual,Euro,Ninetieth percentile,Full-time,Lithuania,847.0
Annual,Euro,Ninetieth percentile,Full-time,Luxembourg,5550.0
Annual,Euro,Ninetieth percentile,Full-time,Latvia,862.0
Annual,Euro,Ninetieth percentile,Full-time,Malta,1985.0
Annual,Euro,Ninetieth percentile,Full-time,Netherlands,4223.0
Annual,Euro,Ninetieth percentile,Full-time,Norway,6121.0
Annual,Euro,Ninetieth percentile,Full-time,Poland,1154.0
Annual,Euro,Ninetieth percentile,Full-time,Portugal,2275.0
Annual,Euro,Ninetieth percentile,Full-time,Romania,610.0
Annual,Euro,Ninetieth percentile,Full-time,Sweden,4153.0
Annual,Euro,Ninetieth percentile,Full-time,Slovenia,2045.0
Annual,Euro,Ninetieth percentile,Full-time,Slovakia,854.0
Annual,Euro,Ninetieth percentile,Full-time,Türkiye,1206.0
Annual,Euro,Ninetieth percentile,Full-time,United Kingdom,5867.0
Annual,Euro,Ninetieth percentile,Part-time,Austria,1794.0
Annual,Euro,Ninetieth percentile,Part-time,Belgium,3777.0
Annual,Euro,Ninetieth percentile,Part-time,Bulgaria,113.0
Annual,Euro,Ninetieth percentile,Part-time,Cyprus,1113.0
Annual,Euro,Ninetieth percentile,Part-time,Czechia,647.0
Annual,Euro,Ninetieth percentile,Part-time,Germany,2450.0
Annual,Euro,Ninetieth percentile,Part-time,Denmark,2584.0
Annual,Euro,Ninetieth percentile,Part-time,Euro area - 16 countries (2009-2010),3607.0
Annual,Euro,Ninetieth percentile,Part-time,Estonia,484.0
Annual,Euro,Ninetieth percentile,Part-time,Greece,1699.0
Annual,Euro,Ninetieth percentile,Part-time,Spain,1364.0
Annual,Euro,Ninetieth percentile,Part-time,European Union - 15 countries (1995-2004),3802.0
Annual,Euro,Ninetieth percentile,Part-time,European Union - 25 countries (2004-2006),3724.0
Annual,Euro,Ninetieth percentile,Part-time,European Union - 27 countries (2007-2013),3715.0
Annual,Euro,Ninetieth percentile,Part-time,Finland,1991.0
Annual,Euro,Ninetieth percentile,Part-time,France,2338.0
Annual,Euro,Ninetieth percentile,Part-time,Hungary,714.0
Annual,Euro,Ninetieth percentile,Part-time,Ireland,2365.0
Annual,Euro,Ninetieth percentile,Part-time,Iceland,2432.0
Annual,Euro,Ninetieth percentile,Part-time,Italy,1733.0
Annual,Euro,Ninetieth percentile,Part-time,Lithuania,346.0
Annual,Euro,Ninetieth percentile,Part-time,Luxembourg,1601.0
Annual,Euro,Ninetieth percentile,Part-time,Latvia,478.0
Annual,Euro,Ninetieth percentile,Part-time,Malta,938.0
Annual,Euro,Ninetieth percentile,Part-time,Netherlands,2139.0
Annual,Euro,Ninetieth percentile,Part-time,Norway,3022.0
Annual,Euro,Ninetieth percentile,Part-time,Poland,532.0
Annual,Euro,Ninetieth percentile,Part-time,Portugal,1099.0
Annual,Euro,Ninetieth percentile,Part-time,Romania,300.0
Annual,Euro,Ninetieth percentile,Part-time,Sweden,2351.0
Annual,Euro,Ninetieth percentile,Part-time,Slovenia,1065.0
Annual,Euro,Ninetieth percentile,Part-time,Slovakia,417.0
Annual,Euro,Ninetieth percentile,Part-time,Türkiye,615.0
Annual,Euro,Ninetieth percentile,Part-time,United Kingdom,2235.0
Annual,Percentage,Second sextile,Full-time,Austria,15.81
Annual,Percentage,Second sextile,Full-time,Belgium,6.57
Annual,Percentage,Second sextile,Full-time,Bulgaria,20.97
Annual,Percentage,Second sextile,Full-time,Cyprus,22.43
Annual,Percentage,Second sextile,Full-time,Czechia,16.97
Annual,Percentage,Second sextile,Full-time,Germany,19.39
Annual,Percentage,Second sextile,Full-time,Denmark,9.95
Annual,Percentage,Second sextile,Full-time,Euro area - 16 countries (2009-2010),21.59
Annual,Percentage,Second sextile,Full-time,Estonia,21.15
Annual,Percentage,Second sextile,Full-time,Greece,16.53
Annual,Percentage,Second sextile,Full-time,Spain,12.32
Annual,Percentage,Second sextile,Full-time,European Union - 15 countries (1995-2004),20.38
Annual,Percentage,Second sextile,Full-time,European Union - 25 countries (2004-2006),27.67
Annual,Percentage,Second sextile,Full-time,European Union - 27 countries (2007-2013),30.27
Annual,Percentage,Second sextile,Full-time,Finland,4.77
Annual,Percentage,Second sextile,Full-time,France,8.31
Annual,Percentage,Second sextile,Full-time,Hungary,22.57
Annual,Percentage,Second sextile,Full-time,Ireland,20.83
Annual,Percentage,Second sextile,Full-time,Iceland,14.01
Annual,Percentage,Second sextile,Full-time,Italy,9.72
Annual,Percentage,Second sextile,Full-time,Lithuania,27.23
Annual,Percentage,Second sextile,Full-time,Luxembourg,15.42
Annual,Percentage,Second sextile,Full-time,Latvia,31.46
Annual,Percentage,Second sextile,Full-time,Malta,11.88
Annual,Percentage,Second sextile,Full-time,Netherlands,13.96
Annual,Percentage,Second sextile,Full-time,Norway,5.62
Annual,Percentage,Second sextile,Full-time,Poland,23.05
Annual,Percentage,Second sextile,Full-time,Portugal,20.37
Annual,Percentage,Second sextile,Full-time,Romania,26.87
Annual,Percentage,Second sextile,Full-time,Sweden,2.39
Annual,Percentage,Second sextile,Full-time,Slovenia,19.64
Annual,Percentage,Second sextile,Full-time,Slovakia,18.0
Annual,Percentage,Second sextile,Full-time,Türkiye,0.14
Annual,Percentage,Second sextile,Full-time,United Kingdom,21.01
Annual,Percentage,Second sextile,Part-time,Belgium,8.07
Annual,Percentage,Second sextile,Part-time,Euro area - 16 countries (2009-2010),18.78
Annual,Percentage,Second sextile,Part-time,European Union - 15 countries (1995-2004),14.82
Annual,Percentage,Second sextile,Part-time,European Union - 25 countries (2004-2006),18.27
Annual,Percentage,Second sextile,Part-time,European Union - 27 countries (2007-2013),18.61
