Time frequency,Currency,Geopolitical entity (reporting)\Time,Janvier-Juin 2019,Juillet-Décembre 2019,Janvier-Juin 2020,Juillet-Décembre 2020,Janvier-Juin 2021,Juillet-Décembre 2021,Janvier-Juin 2022,Juillet-Décembre 2022,Janvier-Juin 2023,Juillet-Décembre 2023,Janvier-Juin 2024,Juillet-Décembre 2024
"Half-yearly, semesterly",Euro,Portugal,700.0,700.0,740.83,740.83,775.83,775.83,822.5,822.5,886.67,886.67,956.67,956.67
"Half-yearly, semesterly",Euro,Romania,446.02,439.35,466.23,460.77,458.07,466.72,515.26,515.53,606.12,604.41,663.24,743.37
"Half-yearly, semesterly",Euro,Serbia,308.03,308.41,344.43,344.48,366.08,366.13,401.36,401.97,460.21,460.57,543.64,544.22
"Half-yearly, semesterly",Euro,Sweden,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
"Half-yearly, semesterly",Euro,Slovenia,886.63,886.63,940.58,940.58,1024.24,1024.24,1074.43,1074.43,1203.36,1203.36,1253.9,1253.9
"Half-yearly, semesterly",Euro,Slovakia,520.0,520.0,580.0,580.0,623.0,623.0,646.0,646.0,700.0,700.0,750.0,750.0
"Half-yearly, semesterly",Euro,Türkiye,422.26,389.67,440.29,383.4,392.57,346.62,328.49,373.57,501.28,473.69,612.58,568.47
"Half-yearly, semesterly",Euro,Ukraine,131.58,140.36,183.0,157.7,172.71,185.75,210.2,211.19,172.01,167.5,168.21,184.52
"Half-yearly, semesterly",Euro,United Kingdom,1453.28,1517.11,1598.69,1583.31,:,:,:,:,:,:,:,:
"Half-yearly, semesterly",Euro,United States,1097.53,1104.28,1118.63,1122.22,1024.09,1057.44,1109.54,1209.85,1178.2,1156.51,1137.25,1173.91
