Time frequency,Degree of urbanisation,Unit of measure,Geopolitical entity (reporting)\Time,2010.0,2015.0,2020.0
Annual,Towns and suburbs,Percentage of disposable income,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",:,19.8 i,26.9 i
Annual,Towns and suburbs,Percentage of disposable income,European Union - 27 countries (from 2020),:,20.5 i,26.9 i
Annual,Towns and suburbs,Percentage of disposable income,Finland,21.7 i,19.5 i,:
Annual,Towns and suburbs,Percentage of disposable income,France,29.8 i,34.9 i,31.3 i
Annual,Towns and suburbs,Percentage of disposable income,Croatia,7.2 i,5.5 i,20.5 i
Annual,Towns and suburbs,Percentage of disposable income,Hungary,15.3 i,13.4 i,20.8 i
Annual,Towns and suburbs,Percentage of disposable income,Ireland,16.8 i,24.2 i,:
Annual,Towns and suburbs,Percentage of disposable income,Italy,25.5 i,:,:
Annual,Towns and suburbs,Percentage of disposable income,Lithuania,:,23.4 i,41.8 i
Annual,Towns and suburbs,Percentage of disposable income,Luxembourg,27.6 i,23.7 i,27.1 i
Annual,Towns and suburbs,Percentage of disposable income,Latvia,17.2 i,23.5 i,30.9 i
Annual,Towns and suburbs,Percentage of disposable income,Malta,14 i,19.2 i,31.2 i
Annual,Towns and suburbs,Percentage of disposable income,Netherlands,:,19.2 i,23.7 i
Annual,Towns and suburbs,Percentage of disposable income,Poland,25.4 i,30.1 i,51 i
Annual,Towns and suburbs,Percentage of disposable income,Portugal,9.1 i,18.5 i,:
Annual,Towns and suburbs,Percentage of disposable income,Romania,-0.9 i,11.3 i,3.2 i
Annual,Towns and suburbs,Percentage of disposable income,Sweden,23.1 i,25.2 i,:
Annual,Towns and suburbs,Percentage of disposable income,Slovenia,18.6 i,23.7 i,22.8 i
Annual,Towns and suburbs,Percentage of disposable income,Slovakia,22.2 i,17.6 i,27.4 i
Annual,Towns and suburbs,Percentage of disposable income,United Kingdom,23.7 i,15.2 i,:
Annual,Rural areas,Percentage of disposable income,Austria,19.7 i,24.5 i,27.1 i
Annual,Rural areas,Percentage of disposable income,Belgium,6.6 i,20.1 i,34.6 i
Annual,Rural areas,Percentage of disposable income,Bulgaria,31.5 e,14.2 i,20 i
Annual,Rural areas,Percentage of disposable income,Cyprus,11.5 i,10.8 i,24.4 i
Annual,Rural areas,Percentage of disposable income,Czechia,23.9 i,26.2 i,31.3 i
Annual,Rural areas,Percentage of disposable income,Germany,12.2 i,19.5 i,22.6 i
Annual,Rural areas,Percentage of disposable income,Denmark,6.7 i,30.9 i,36.1 i
Annual,Rural areas,Percentage of disposable income,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",:,23.3 i,27.9 i
Annual,Rural areas,Percentage of disposable income,Euro area – 20 countries (from 2023),:,22.8 i,27.7 i
Annual,Rural areas,Percentage of disposable income,Estonia,32.7 i,33.2 i,41.7 i
Annual,Rural areas,Percentage of disposable income,Greece,-10.8 i,-8.8 i,16.6 i
Annual,Rural areas,Percentage of disposable income,Spain,11.3 i,15.7 i,31.3 i
Annual,Rural areas,Percentage of disposable income,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",:,22 i,27.3 i
Annual,Rural areas,Percentage of disposable income,European Union - 27 countries (from 2020),:,22.2 i,27.3 i
Annual,Rural areas,Percentage of disposable income,Finland,23.1 i,21.7 i,:
Annual,Rural areas,Percentage of disposable income,France,28 i,36.3 i,31.6 i
Annual,Rural areas,Percentage of disposable income,Croatia,-3.7 i,-0.3 i,17.5 i
Annual,Rural areas,Percentage of disposable income,Hungary,16.1 i,14.8 i,20.7 i
Annual,Rural areas,Percentage of disposable income,Ireland,16.7 i,24.1 i,:
Annual,Rural areas,Percentage of disposable income,Italy,21.7 i,:,:
Annual,Rural areas,Percentage of disposable income,Lithuania,16.3 i,26 i,42.6 i
Annual,Rural areas,Percentage of disposable income,Luxembourg,37.8 i,30.4 i,30.7 i
Annual,Rural areas,Percentage of disposable income,Latvia,8.6 i,23.7 i,32.2 i
Annual,Rural areas,Percentage of disposable income,Malta,: u,: u,25.7 i
Annual,Rural areas,Percentage of disposable income,Netherlands,:,19.5 i,24 i
Annual,Rural areas,Percentage of disposable income,Poland,22.4 i,27.4 i,50.1 i
Annual,Rural areas,Percentage of disposable income,Portugal,15.1 i,17.8 i,:
Annual,Rural areas,Percentage of disposable income,Romania,-11.5 i,9.6 i,-8 i
Annual,Rural areas,Percentage of disposable income,Sweden,18.3 i,24.8 i,:
Annual,Rural areas,Percentage of disposable income,Slovenia,17.1 i,22.2 i,23.1 i
Annual,Rural areas,Percentage of disposable income,Slovakia,23.7 i,16.9 i,29 i
Annual,Rural areas,Percentage of disposable income,United Kingdom,23.8 i,20 i,:
Annual,Total,Percentage of disposable income,Austria,18 i,21.1 i,23.8 i
Annual,Total,Percentage of disposable income,Belgium,8.9 i,19 i,32.8 i
Annual,Total,Percentage of disposable income,Bulgaria,38 e,17.4 i,26.8 i
Annual,Total,Percentage of disposable income,Cyprus,12.2 i,10.5 i,25.1 i
Annual,Total,Percentage of disposable income,Czechia,23.9 i,25.5 i,31.2 i
Annual,Total,Percentage of disposable income,Germany,13.5 i,14.9 i,18.3 i
Annual,Total,Percentage of disposable income,Denmark,4.3 i,25.6 i,35 i
Annual,Total,Percentage of disposable income,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",:,20.7 i,25.5 i
Annual,Total,Percentage of disposable income,Euro area – 20 countries (from 2023),:,20.5 i,25.4 i
Annual,Total,Percentage of disposable income,Estonia,34.9 i,34.9 i,41.6 i
Annual,Total,Percentage of disposable income,Greece,-11.2 i,-6.5 i,15.7 i
Annual,Total,Percentage of disposable income,Spain,16.1 i,19.2 i,33 i
Annual,Total,Percentage of disposable income,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",:,20.1 i,26.6 i
Annual,Total,Percentage of disposable income,European Union - 27 countries (from 2020),:,21 i,26.6 i
Annual,Total,Percentage of disposable income,Finland,22.2 i,19.5 i,:
Annual,Total,Percentage of disposable income,France,29.1 i,34.6 i,30.9 i
Annual,Total,Percentage of disposable income,Croatia,4 i,4.4 i,19.8 i
Annual,Total,Percentage of disposable income,Hungary,16.3 i,14.6 i,21.5 i
Annual,Total,Percentage of disposable income,Ireland,18.4 i,25.2 i,:
Annual,Total,Percentage of disposable income,Italy,26.4 i,:,:
Annual,Total,Percentage of disposable income,Lithuania,22.8 i,31.6 i,44.7 i
Annual,Total,Percentage of disposable income,Luxembourg,28.4 i,27 i,28.7 i
Annual,Total,Percentage of disposable income,Latvia,10.5 i,24.6 i,30 i
Annual,Total,Percentage of disposable income,Malta,13.7 i,17.8 i,29.4 i
Annual,Total,Percentage of disposable income,Netherlands,:,15.8 i,19.4 i
Annual,Total,Percentage of disposable income,Poland,24.7 i,29.5 i,50.2 i
Annual,Total,Percentage of disposable income,Portugal,13.1 i,18.9 i,:
Annual,Total,Percentage of disposable income,Romania,-5.1 i,10.9 i,-1 i
Annual,Total,Percentage of disposable income,Sweden,18 i,24.6 i,:
Annual,Total,Percentage of disposable income,Slovenia,18 i,22.8 i,22.8 i
Annual,Total,Percentage of disposable income,Slovakia,24.4 i,17.6 i,28.2 i
Annual,Total,Percentage of disposable income,United Kingdom,22.9 i,15 i,:
