Annual,From 65 to 74 years,Average,Ireland,42.8,35.9,38.6,38.7,36.5,32.9,39.0,34.8,41.7,40.5,36.2,34.6,32.3,26.5,31.9,28.4,28.2,30.0,32.8,30.8,28.6
Annual,From 65 to 74 years,Average,Iceland,:,25.4,11.5,16.7,17.7,22.4,27.4,26.8,25.1,15.7,14.9,14.5,26.6,18.1,18.9,9.2,5.8,:,:,:,:
Annual,From 65 to 74 years,Average,Italy,:,:,:,:,40.2,39.1,38.7,38.0,38.9,36.3,37.8,38.1,37.1,36.6,34.9,33.9,34.9,33.6,31.1,31.5,26.4
Annual,From 65 to 74 years,Average,Lithuania,:,:,16.2,16.0,14.8,17.7,13.5,12.9,8.1,8.9,12.7,12.9,13.3,15.0,17.7,15.7,20.4,15.0,11.5,10.4,9.5
Annual,From 65 to 74 years,Average,Luxembourg,47.4,45.3,47.1,49.0,44.4,47.4,51.6,49.7,47.7,46.5,46.0,41.3,36.0,42.7,41.9,42.9,44.0,40.5 b,32.6,39.2,34.3
Annual,From 65 to 74 years,Average,Latvia,:,:,:,:,20.4,17.2,10.4,10.0,14.2,17.5,17.1,18.6,17.5,16.3,15.2,18.0,14.2,2.3,6.4,10.1,8.0
Annual,From 65 to 74 years,Average,Montenegro,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,23.9,17.0,15.7,18.0,19.3,:
Annual,From 65 to 74 years,Average,North Macedonia,:,:,:,:,:,:,:,23.8,25.0,32.3,30.7,26.8,30.0,23.7,22.9,20.7,18.7,17.3,:,:,:
Annual,From 65 to 74 years,Average,Malta,:,:,25.4,20.2,21.3,19.0,17.2,20.9,22.7,19.1,23.6,22.0,22.5,45.0 b,45.3,43.4,42.9,41.5,46.0,44.5,43.4
Annual,From 65 to 74 years,Average,Netherlands,:,:,43.6,45.1,45.2,45.8,50.3,48.5,48.1,49.7,49.3,48.0,45.3,49.0,46.1,44.3,42.7,41.3,41.5,40.1,40.1
Annual,From 65 to 74 years,Average,Norway,34.8,34.8,34.5,29.7,34.0,32.8,34.8,32.0,33.0,28.5,29.8,32.3,24.9,25.1,25.5,25.9,24.0,20.4,21.1 b,20.6,21.4 b
Annual,From 65 to 74 years,Average,Poland,:,:,23.3,24.0,23.9,23.8,23.2,26.7,26.7,27.2,24.8,25.0,22.5,23.3,22.5,19.5,22.8,22.6,21.0,18.6,18.3
Annual,From 65 to 74 years,Average,Portugal,:,:,:,:,39.9,36.7,39.6,36.3,36.0,38.8,36.2,30.6,29.3,27.7,31.5,26.6,25.1,23.2,20.2,19.2,27.8
Annual,From 65 to 74 years,Average,Romania,:,:,:,:,28.8,28.3,28.9,26.9,25.7,28.1,27.3,33.4,63.4,24.2,24.4,25.3,21.6,22.2,21.3,18.5,17.2
Annual,From 65 to 74 years,Average,Serbia,:,:,:,:,:,:,:,:,:,:,26.6,25.0,25.3,21.4,25.7,18.3,18.5,13.5,9.5,13.7,:
Annual,From 65 to 74 years,Average,Sweden,:,29.3,32.8,30.1,30.0,30.9,33.3,32.9,30.8,29.0,26.0,28.5,27.8,26.6,24.7,26.8,26.9,27.2,24.9,23.3,27.4
Annual,From 65 to 74 years,Average,Slovenia,:,:,29.5,27.6,26.4,26.8,25.5,23.1,23.0,20.0,16.0,13.4,14.6,12.3,10.1,11.3,9.4,9.4,7.0,2.5,1.5
Annual,From 65 to 74 years,Average,Slovakia,:,:,11.9,24.5,11.1,13.4,12.1,9.8,6.4,10.1,7.8,8.2,9.0,9.1,10.5,9.4,11.3,11.1,12.9,12.9,12.7
Annual,From 65 to 74 years,Average,Türkiye,:,:,:,32.5,27.1,27.9,26.6,30.5,29.9,29.1,27.3,23.8,26.8,26.8,27.2,23.3,13.7,16.5,15.5,13.9,:
Annual,From 65 to 74 years,Average,United Kingdom,:,:,51.9,50.6,44.6,44.9,45.8,43.8,44.6,40.8,38.7,39.5,39.1,34.9,33.9,32.3,:,:,:,:,:
Annual,From 65 to 74 years,Average,Kosovo*,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,42.0,:,:,:,:,:
Annual,From 65 to 79 years,Average,Albania,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,17.2,16.9,18.8,:,:
Annual,From 65 to 79 years,Average,Austria,38.1,30.7,35.5,36.7,37.4,39.5,41.6,41.0,43.0,41.2,41.4,41.9,41.1,40.6,41.4,39.5,36.3,35.5,34.4,32.8,33.9
Annual,From 65 to 79 years,Average,Belgium,32.4,30.6,34.7,33.9,30.9,30.0,35.2,36.5,27.8,32.7,33.6,30.2,35.3,26.3,23.7,23.3,33.4,35.2,26.0,23.8,27.2
Annual,From 65 to 79 years,Average,Bulgaria,:,:,:,34.7,30.7,26.8,30.1,32.7,31.0,35.5,30.0,23.7,28.3,25.8,25.8,25.0,21.3,21.0,17.9,24.3,16.1
Annual,From 65 to 79 years,Average,Switzerland,:,:,:,:,34.7,44.1,38.1,34.7,34.3,34.2,35.2,35.8,32.9,33.1,31.8,31.9,34.2,33.9,31.9,31.2,31.8
Annual,From 65 to 79 years,Average,Cyprus,:,:,42.1,45.6,46.5,43.8,44.6,44.1,44.7,40.4,47.7,48.8,46.8,48.7,41.1,38.3,39.3,36.1,31.6,36.7,28.5
Annual,From 65 to 79 years,Average,Czechia,:,:,12.6,14.6,11.7,11.2,11.6,14.3,15.0,14.2,13.2,13.4,13.6,13.4,13.5,14.1,14.2,13.9,14.0,14.6,12.4
Annual,From 65 to 79 years,Average,Germany,:,:,41.8,44.0,44.3,42.1,45.0,43.3,43.9,44.3,45.6,45.1,41.8,40.2,38.1,37.1,36.1,31.1,30.9,28.4,28.1
Annual,From 65 to 79 years,Average,Denmark,19.8,16.3,15.0,20.6,20.3,18.7,22.1,18.1,10.1,5.3,13.0,16.3,13.5,7.8,7.5,7.2,7.7,7.0,7.8,8.8,4.6
Annual,From 65 to 79 years,Average,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",:,:,:,39.3 e,39.3 e,33.8 e,39.2 e,38.9 e,38.8 e,38.3 e,38.6 e,38.1 e,36.1 e,35.2 e,33.8 e,32.6 e,32.6,30.7 b,29.6,:,:
Annual,From 65 to 79 years,Average,Euro area - 18 countries (2014),:,:,:,38.6 e,38.6,33.2,38.8,38.5,38.6,38.1,38.5,38.1,36.3,35.3,34.0,32.8,32.7,30.8 b,:,:,:
Annual,From 65 to 79 years,Average,Euro area - 19 countries  (2015-2022),:,:,:,38.3 e,38.3,33.0,38.6,38.3,38.3,37.9,38.3,37.8,36.1,35.2,33.8,32.6,32.6,30.7 b,29.6,:,:
Annual,From 65 to 79 years,Average,Euro area – 20 countries (from 2023),:,:,:,:,:,:,:,:,:,:,:,37.9,36.0,35.0,33.7,32.5,32.5,30.6,29.5,28.8,27.9
Annual,From 65 to 79 years,Average,Estonia,:,6.7,5.6,6.8,2.5,2.2,2.6,3.3,0.4,3.8,3.3,3.4,3.9,1.8,2.6,0.4,0.8,-0.1,3.7,4.7,5.8
Annual,From 65 to 79 years,Average,Greece,:,:,:,:,39.5,39.1,38.8,39.2,32.7,22.8,25.1,24.5,26.5,26.4,25.1,25.0,24.1,23.3,24.2,26.5,22.6
Annual,From 65 to 79 years,Average,Spain,:,:,:,33.9,34.4,34.2,32.5,35.9,37.2,37.8,36.7,36.0,35.5,33.8,32.8,32.4,31.3,29.5,27.6,26.8,26.2
Annual,From 65 to 79 years,Average,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",:,:,36.4 e,37.0 e,36.3 e,32.1 e,36.5 e,36.1 e,36.0 e,35.4 e,35.2 e,35.4 e,34.8 e,32.3 e,31.5 e,30.3 e,30.1 e,:,:,:,:
Annual,From 65 to 79 years,Average,European Union - 27 countries (2007-2013),:,:,:,:,36.3,32.1,36.5,36.2,36.1,35.5,35.3,35.5,34.9,32.3,31.5,30.3,30.1 e,:,:,:,:
Annual,From 65 to 79 years,Average,European Union - 27 countries (from 2020),:,:,:,:,:,:,:,35.3 e,35.0 e,34.7 e,34.7 e,34.7 e,34.2 e,31.9 e,30.8 e,29.6 e,29.5 e,27.7 b,26.9,26.1,25.3
Annual,From 65 to 79 years,Average,European Union - 28 countries (2013-2020),:,:,:,:,:,:,:,36.1,36.0,35.4,35.2,35.4,34.8,32.3,31.5,30.3,30.1 e,:,:,:,:
Annual,From 65 to 79 years,Average,Finland,:,26.3,24.7,:,23.4,24.7,24.7,25.2,26.3,26.9,24.0,24.2,24.0,23.7,25.2,23.3,22.6,21.0,22.8,22.8,22.0
Annual,From 65 to 79 years,Average,France,:,38.6,37.2,34.5,37.2,2.4,37.8,39.4,37.6,37.7,35.9,35.4,32.9,32.4,30.9,29.7,30.0,29.6,28.8,30.1 b,28.6
Annual,From 65 to 79 years,Average,Croatia,:,:,:,:,:,:,:,25.8,25.5,24.6,23.3,20.4,22.3,22.7,23.1,27.0,24.4,26.7,26.4,20.9,20.9
Annual,From 65 to 79 years,Average,Hungary,:,:,13.5,14.4,15.8,14.0,15.7,14.8,15.7,14.8,14.0,13.0,14.6,15.2,15.4,15.5,10.6,2.5,10.0,10.8,16.5
Annual,From 65 to 79 years,Average,Ireland,40.3,34.2,36.4,35.5,33.3,33.0,37.7,36.2,41.1,38.0,35.4,34.0,30.4,26.1,30.1,26.4,33.1,32.4,32.6,30.5,30.6
Annual,From 65 to 79 years,Average,Iceland,:,22.3,16.2,21.0,17.9,20.8,25.9,25.5,22.6,15.8,14.1,16.3,24.1,19.2,16.9,8.1,5.1,:,:,:,:
Annual,From 65 to 79 years,Average,Italy,:,:,:,:,38.1,37.7,36.6,35.5,36.9,35.5,37.9,38.0,36.3,36.8,35.8,34.1,35.6,35.4,32.9,32.2,29.0
Annual,From 65 to 79 years,Average,Lithuania,:,:,17.7,16.9,14.4,17.1,17.3,14.1,9.6,11.4,16.4,15.4,14.4,17.5,18.5,16.8,18.8,15.0,13.7,11.9,11.5
Annual,From 65 to 79 years,Average,Luxembourg,43.5,42.7,46.0,47.7,44.8,47.4,50.2,50.6,48.3,46.1,45.1,40.0,35.9,43.1,42.7,44.6,46.0,40.8 b,32.8,38.3,36.4
Annual,From 65 to 79 years,Average,Latvia,:,:,:,:,17.5,16.2,10.3,9.8,13.7,16.7,17.1,18.0,17.9,15.4,16.6,18.7,15.2,7.4,11.7,13.4,12.0
Annual,From 65 to 79 years,Average,Montenegro,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,26.2,20.5,16.3,17.2,18.9,:
Annual,From 65 to 79 years,Average,North Macedonia,:,:,:,:,:,:,:,24.5,26.5,31.8,31.3,28.6,29.2,26.2,26.1,22.7,21.2,20.5,:,:,:
Annual,From 65 to 79 years,Average,Malta,:,:,21.7,18.0,22.8,20.2,19.2,21.1,23.9,19.4,24.5,25.4,30.5,44.8 b,45.6,44.5,42.6,42.7,45.7,45.0,43.9
Annual,From 65 to 79 years,Average,Netherlands,:,:,41.1,42.5,43.2,42.5,46.1,45.1,46.4,47.2,46.4,46.0,44.5,45.4,43.4,41.9,42.1,39.1,40.8,40.0,39.9
Annual,From 65 to 79 years,Average,Norway,33.7,32.7,32.0,29.8,33.5,31.0,33.0,32.3,32.5,28.7,29.7,32.0,26.4,25.1,25.8,24.6,22.8,19.8,22.8 b,19.9,21.8 b
Annual,From 65 to 79 years,Average,Poland,:,:,23.3,23.2,23.0,22.0,21.5,23.8,23.9,24.3,22.5,23.4,21.0,21.8,21.4,18.7,21.7,21.0,20.4,17.8,17.7
Annual,From 65 to 79 years,Average,Portugal,:,:,:,:,37.3,36.4,38.1,35.2,33.2,33.5,32.2,32.8,31.9,32.6,32.1,29.0,27.1,27.8,25.6,24.4,27.7
Annual,From 65 to 79 years,Average,Romania,:,:,:,:,31.1,29.2,29.5,28.3,27.3,28.5,28.0,35.4,58.1,25.2,25.2,25.6,21.8,22.9,22.6,18.6,19.2
Annual,From 65 to 79 years,Average,Serbia,:,:,:,:,:,:,:,:,:,:,27.1,25.7,26.6,22.1,25.3,19.0,20.1,15.8,13.1,15.9,:
Annual,From 65 to 79 years,Average,Sweden,:,31.2,31.4,31.5,31.1,31.0,32.6,32.6,31.8,29.5,26.7,29.7,28.8,28.3,26.0,27.0,27.0,28.3,26.3,24.8,27.0
Annual,From 65 to 79 years,Average,Slovenia,:,:,31.4,29.2,28.0,27.9,26.4,25.3,25.2,21.9,20.5,17.4,19.0,15.8,14.2,13.7,12.3,12.0,9.6,5.9,4.0
Annual,From 65 to 79 years,Average,Slovakia,:,:,11.3,21.4,10.8,12.7,10.9,9.0,17.6,8.7,7.0,8.3,7.7,8.1,8.8,9.3,11.6,11.1,11.8,11.1,12.3
Annual,From 65 to 79 years,Average,Türkiye,:,:,:,32.7,29.4,30.3,28.3,29.3,29.7,29.9,29.6,26.5,29.5,27.9,28.3,24.1,14.8,16.2,15.1,15.6,:
Annual,From 65 to 79 years,Average,United Kingdom,:,:,48.3,49.2,43.9,42.2,44.3,42.2,42.8,40.5,38.7,40.5,39.5,34.8,36.2,34.4,:,:,:,:,:
Annual,From 65 to 79 years,Average,Kosovo*,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,43.0,:,:,:,:,:
Annual,65 years or over,Average,Albania,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,18.3,17.6,19.2,:,:
Annual,65 years or over,Average,Austria,37.0,31.5,36.0,35.6,33.3,38.4,39.4,37.6,39.9,38.6,38.1,39.0,39.0,39.1,40.1,38.7,36.6,35.5,35.8,34.4,34.4
Annual,65 years or over,Average,Belgium,29.6,32.5,33.8,33.2,29.8,29.3,32.6,35.3,28.1,30.9,32.8,29.7,34.1,25.7,25.4,24.6,31.9,33.8,26.2,25.1,27.7
Annual,65 years or over,Average,Bulgaria,:,:,:,35.0,31.4,27.2,30.3,32.5,31.0,34.8,30.7,23.9,29.3,27.2,27.5,26.5,22.8,22.0,20.0,25.5,16.7
Annual,65 years or over,Average,Switzerland,:,:,:,:,32.5,40.5,36.0,33.3,33.8,34.2,34.2,33.5,31.2,31.9,31.6,30.9,33.1,34.6,32.8,30.8,31.2
Annual,65 years or over,Average,Cyprus,:,:,40.4,42.5,43.8,40.9,41.5,41.0,41.0,37.9,44.8,45.6,44.8,46.7,39.2,38.2,38.5,36.0,32.0,34.3,27.6
Annual,65 years or over,Average,Czechia,:,:,12.1,13.7,10.9,10.4,10.8,13.3,13.9,13.7,12.5,12.8,12.7,12.5,12.4,13.0,13.3,12.7,13.1,13.6,11.4
Annual,65 years or over,Average,Germany,:,:,40.7,43.4,42.8,42.0,44.1,43.2,43.8,44.8,45.6,45.8,42.5,40.3,37.7,37.4,36.3,29.1,29.8,27.6,26.9
Annual,65 years or over,Average,Denmark,17.0,15.2,12.3,16.7,16.8,15.5,20.2,18.1,11.1,7.9,12.7,14.2,11.7,8.0,6.9,7.4,7.4,7.1,8.5,8.3,5.2
Annual,65 years or over,Average,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",:,:,:,37.7 e,37.1 e,32.4 e,37.6 e,37.0 e,37.1 e,36.7 e,36.9 e,36.5 e,34.9 e,34.0 e,32.7 e,32.1 e,32.2,30.2 b,29.6,:,:
Annual,65 years or over,Average,Euro area - 18 countries (2014),:,:,:,37.1 e,36.4,31.9,37.3,36.7,36.9,36.6,36.7,36.5,35.1,34.1,32.8,32.3,32.3,30.3 b,:,:,:
Annual,65 years or over,Average,Euro area - 19 countries  (2015-2022),:,:,:,36.9 e,36.2,31.7,37.1,36.5,36.7,36.3,36.5,36.3,34.9,34.0,32.7,32.1,32.2,30.2 b,29.6,:,:
Annual,65 years or over,Average,Euro area – 20 countries (from 2023),:,:,:,:,:,:,:,:,:,:,:,36.3,34.8,33.9,32.6,32.1,32.2,30.2,29.6,28.6,27.7
Annual,65 years or over,Average,Estonia,:,7.9,6.0,6.7,3.8,3.1,4.3,4.5,2.6,5.2,5.4,4.4,3.1,2.3,3.1,1.1,2.0,1.1,3.5,4.7,4.4
Annual,65 years or over,Average,Greece,:,:,:,:,39.2,38.1,36.7,36.5,31.1,25.1,26.4,24.4,26.7,26.4,24.6,24.6,24.1,23.5,24.5,26.7,23.7
Annual,65 years or over,Average,Spain,:,:,:,33.5,33.8,33.5,32.7,35.1,36.3,36.2,35.2,34.0,33.7,32.5,31.2,32.4,31.3,31.1,30.1,28.4,27.8
Annual,65 years or over,Average,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",:,:,35.1 e,35.7 e,34.7 e,30.6 e,35.0 e,34.8 e,34.7 e,34.4 e,33.6 e,34.1 e,33.7 e,31.5 e,30.8 e,30.1 e,30.0 e,:,:,:,:
Annual,65 years or over,Average,European Union - 27 countries (2007-2013),:,:,:,:,34.7,30.6,35.0,34.8,34.8,34.4,33.7,34.2,33.8,31.6,30.8,30.1,30.0 e,:,:,:,:
Annual,65 years or over,Average,European Union - 27 countries (from 2020),:,:,:,:,:,:,:,33.9 e,33.9 e,33.6 e,33.3 e,33.3 e,33.0 e,31.1 e,30.0 e,29.5 e,29.4 e,27.6 b,27.1,26.0,25.4
Annual,65 years or over,Average,European Union - 28 countries (2013-2020),:,:,:,:,:,:,:,34.8,34.7,34.4,33.6,34.1,33.7,31.5,30.8,30.1,30.0 e,:,:,:,:
Annual,65 years or over,Average,Finland,:,25.4,25.2,:,24.1,25.8,25.7,24.2,27.1,27.1,23.1,24.0,22.5,22.4,23.2,23.3,22.4,20.3,21.4,22.2,22.9
Annual,65 years or over,Average,France,:,36.6,35.0,32.7,36.3,6.3,38.7,38.6,36.8,37.0,35.9,35.8,34.1,33.4,31.6,29.7,30.7,30.9,30.1,30.5 b,29.0
Annual,65 years or over,Average,Croatia,:,:,:,:,:,:,:,26.0,26.3,25.3,23.2,22.2,22.7,24.1,25.3,29.7,27.6,30.4,29.7,24.8,23.5
Annual,65 years or over,Average,Hungary,:,:,15.8,16.9,16.6,14.3,15.8,15.0,15.8,15.2,14.5,13.2,14.9,14.3,14.3,15.5,10.4,2.6,9.7,9.9,17.4
Annual,65 years or over,Average,Ireland,37.7,31.6,33.4,31.6,31.4,31.8,35.9,34.6,38.5,34.8,33.3,32.1,30.2,27.7,29.4,27.6,33.3,33.9,32.8,31.0,31.0
Annual,65 years or over,Average,Iceland,:,17.9,13.0,15.9,14.6,18.4,23.0,24.7,22.3,15.6,12.7,12.5,17.8,14.6,13.2,5.4,2.8,:,:,:,:
Annual,65 years or over,Average,Italy,:,:,:,:,33.8,33.7,33.4,31.1,33.3,31.6,33.1,33.4,32.2,32.5,32.1,32.0,33.2,33.4,31.3,30.1,28.1
Annual,65 years or over,Average,Lithuania,:,:,19.7,18.4,16.4,17.0,17.6,15.4,11.7,11.6,16.8,14.5,13.3,16.0,17.3,16.5,18.7,15.0,15.6,13.2,13.7
Annual,65 years or over,Average,Luxembourg,43.5,42.4,43.6,45.3,44.6,46.6,44.3,47.3,45.6,44.2,41.7,39.5,34.2,43.3,44.0,43.3,44.2,37.7 b,29.1,37.9,36.0
Annual,65 years or over,Average,Latvia,:,:,:,:,18.1,15.6,11.0,9.2,14.4,17.1,17.1,17.6,16.8,14.6,16.2,17.7,14.8,8.5,17.3,14.8,15.1
Annual,65 years or over,Average,Montenegro,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,25.8,19.6,16.3,16.1,19.0,:
Annual,65 years or over,Average,North Macedonia,:,:,:,:,:,:,:,27.4,26.7,32.1,34.0,30.8,32.2,28.1,27.1,26.3,23.8,22.6,:,:,:
Annual,65 years or over,Average,Malta,:,:,21.4,16.7,21.1,20.5,20.5,21.9,24.4,17.9,26.6,27.2,31.5,42.5 b,43.7,42.3,39.5,39.3,41.5,41.8,41.7
Annual,65 years or over,Average,Netherlands,:,:,36.3,36.8,38.2,38.8,41.1,41.2,41.9,41.4,41.7,39.9,39.8,42.1,41.1,39.6,39.7,36.9,38.1,37.9,37.8
Annual,65 years or over,Average,Norway,31.7,31.9,32.5,30.0,31.1,28.9,30.8,29.9,28.9,23.6,27.4,29.0,25.7,24.8,23.3,23.4,21.5,19.5,22.4 b,20.3,21.1 b
Annual,65 years or over,Average,Poland,:,:,23.7,23.2,22.2,21.6,21.2,23.6,24.1,24.6,22.3,21.9,19.5,20.5,20.8,18.7,20.4,19.2,18.8,15.6,16.9
Annual,65 years or over,Average,Portugal,:,:,:,:,35.6,34.5,36.0,34.1,31.2,31.5,31.6,32.1,31.5,31.2,31.6,31.4,28.2,28.4,27.4,26.3,27.6
Annual,65 years or over,Average,Romania,:,:,:,:,30.8,30.3,30.8,29.8,30.0,29.9,25.2,34.3,55.1,27.1,27.8,27.3,24.0,25.1,23.1,19.4,20.0
Annual,65 years or over,Average,Serbia,:,:,:,:,:,:,:,:,:,:,28.5,27.9,26.9,24.3,25.5,21.5,22.8,19.9,9.7,19.1,:
Annual,65 years or over,Average,Sweden,:,32.0,30.6,31.8,31.6,30.3,32.4,31.3,31.3,28.8,26.7,29.8,28.5,28.7,26.0,27.2,28.1,29.1,26.5,25.1,27.4
Annual,65 years or over,Average,Slovenia,:,:,31.3,29.5,28.3,28.4,27.9,27.5,27.8,25.0,23.9,20.1,21.2,18.9,17.5,17.8,16.4,16.3,12.8,9.2,8.9
Annual,65 years or over,Average,Slovakia,:,:,11.4,19.5,10.7,11.9,10.2,8.2,14.8,7.2,5.1,7.3,7.3,7.8,7.9,8.2,10.8,10.7,11.1,9.9,11.4
Annual,65 years or over,Average,Türkiye,:,:,:,32.8,29.6,31.0,29.6,30.9,33.0,32.3,30.7,26.8,30.0,28.9,29.7,26.5,16.3,17.4,16.1,16.9,:
Annual,65 years or over,Average,United Kingdom,:,:,45.4,46.2,42.4,36.2,40.5,40.9,40.2,39.6,36.1,39.1,38.0,34.4,35.7,34.2,:,:,:,:,:
Annual,65 years or over,Average,Kosovo*,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,43.1,:,:,:,:,:
