Time frequency,Unit of measure,Age class,Sex,Geopolitical entity (reporting)\Time,2015.0
Annual,Percentage,From 15 to 64 years,Males,European Union - 27 countries (from 2020),82.8
Annual,Percentage,From 15 to 64 years,Males,European Union - 28 countries (2013-2020),83.1
Annual,Percentage,From 15 to 64 years,Males,Finland,79.1
Annual,Percentage,From 15 to 64 years,Males,France,75.9
Annual,Percentage,From 15 to 64 years,Males,Croatia,84.9
Annual,Percentage,From 15 to 64 years,Males,Hungary,93.3
Annual,Percentage,From 15 to 64 years,Males,Ireland,92.3
Annual,Percentage,From 15 to 64 years,Males,Italy,86.2
Annual,Percentage,From 15 to 64 years,Males,Lithuania,86.2
Annual,Percentage,From 15 to 64 years,Males,Luxembourg,82.3
Annual,Percentage,From 15 to 64 years,Males,Latvia,84.9
Annual,Percentage,From 15 to 64 years,Males,Malta,89.2
Annual,Percentage,From 15 to 64 years,Males,Netherlands,82.9
Annual,Percentage,From 15 to 64 years,Males,Poland,86.3
Annual,Percentage,From 15 to 64 years,Males,Portugal,93.3
Annual,Percentage,From 15 to 64 years,Males,Romania,94.6
Annual,Percentage,From 15 to 64 years,Males,Sweden,70.8
Annual,Percentage,From 15 to 64 years,Males,Slovenia,80.9
Annual,Percentage,From 15 to 64 years,Males,Slovakia,77.9
Annual,Percentage,From 15 to 64 years,Males,United Kingdom,84.4
Annual,Percentage,From 15 to 64 years,Total,Austria,83.1
Annual,Percentage,From 15 to 64 years,Total,Belgium,77.4
Annual,Percentage,From 15 to 64 years,Total,Bulgaria,94.2
Annual,Percentage,From 15 to 64 years,Total,Cyprus,93.2
Annual,Percentage,From 15 to 64 years,Total,Czechia,86.8
Annual,Percentage,From 15 to 64 years,Total,Germany,85.4
Annual,Percentage,From 15 to 64 years,Total,Denmark,81.8
Annual,Percentage,From 15 to 64 years,Total,Estonia,84.6
Annual,Percentage,From 15 to 64 years,Total,Greece,87.4
Annual,Percentage,From 15 to 64 years,Total,Spain,85.5
Annual,Percentage,From 15 to 64 years,Total,European Union - 27 countries (from 2020),83.4
Annual,Percentage,From 15 to 64 years,Total,European Union - 28 countries (2013-2020),83.6
Annual,Percentage,From 15 to 64 years,Total,Finland,81.4
Annual,Percentage,From 15 to 64 years,Total,France,76.5
Annual,Percentage,From 15 to 64 years,Total,Croatia,85.7
Annual,Percentage,From 15 to 64 years,Total,Hungary,86.0
Annual,Percentage,From 15 to 64 years,Total,Ireland,90.7
Annual,Percentage,From 15 to 64 years,Total,Italy,83.9
Annual,Percentage,From 15 to 64 years,Total,Lithuania,90.7
Annual,Percentage,From 15 to 64 years,Total,Luxembourg,80.0
Annual,Percentage,From 15 to 64 years,Total,Latvia,88.5
Annual,Percentage,From 15 to 64 years,Total,Malta,91.9
Annual,Percentage,From 15 to 64 years,Total,Netherlands,81.8
Annual,Percentage,From 15 to 64 years,Total,Poland,87.4
Annual,Percentage,From 15 to 64 years,Total,Portugal,91.1
Annual,Percentage,From 15 to 64 years,Total,Romania,92.1
Annual,Percentage,From 15 to 64 years,Total,Sweden,72.4
Annual,Percentage,From 15 to 64 years,Total,Slovenia,82.3
Annual,Percentage,From 15 to 64 years,Total,Slovakia,79.7
Annual,Percentage,From 15 to 64 years,Total,United Kingdom,84.5
Annual,Percentage,From 25 to 64 years,Females,Austria,81.5
Annual,Percentage,From 25 to 64 years,Females,Belgium,80.0
Annual,Percentage,From 25 to 64 years,Females,Bulgaria,95.4
Annual,Percentage,From 25 to 64 years,Females,Cyprus,92.4
Annual,Percentage,From 25 to 64 years,Females,Czechia,86.6
Annual,Percentage,From 25 to 64 years,Females,Germany,89.0
Annual,Percentage,From 25 to 64 years,Females,Denmark,81.6
Annual,Percentage,From 25 to 64 years,Females,Estonia,85.8
Annual,Percentage,From 25 to 64 years,Females,Greece,86.0 u
Annual,Percentage,From 25 to 64 years,Females,Spain,83.7
Annual,Percentage,From 25 to 64 years,Females,European Union - 27 countries (from 2020),84.1
Annual,Percentage,From 25 to 64 years,Females,European Union - 28 countries (2013-2020),84.6
Annual,Percentage,From 25 to 64 years,Females,Finland,86.0
Annual,Percentage,From 25 to 64 years,Females,France,77.5
Annual,Percentage,From 25 to 64 years,Females,Croatia,87.5
Annual,Percentage,From 25 to 64 years,Females,Hungary,79.9
Annual,Percentage,From 25 to 64 years,Females,Ireland,88.1
Annual,Percentage,From 25 to 64 years,Females,Italy,81.8
Annual,Percentage,From 25 to 64 years,Females,Lithuania,92.5
Annual,Percentage,From 25 to 64 years,Females,Luxembourg,77.9
Annual,Percentage,From 25 to 64 years,Females,Latvia,90.9
Annual,Percentage,From 25 to 64 years,Females,Malta,95.7
Annual,Percentage,From 25 to 64 years,Females,Netherlands,77.8
Annual,Percentage,From 25 to 64 years,Females,Poland,88.5
Annual,Percentage,From 25 to 64 years,Females,Portugal,90.1
Annual,Percentage,From 25 to 64 years,Females,Romania,91.9
Annual,Percentage,From 25 to 64 years,Females,Sweden,75.6
Annual,Percentage,From 25 to 64 years,Females,Slovenia,83.7
Annual,Percentage,From 25 to 64 years,Females,Slovakia,81.0
Annual,Percentage,From 25 to 64 years,Females,United Kingdom,86.5
Annual,Percentage,From 25 to 64 years,Males,Austria,81.6
Annual,Percentage,From 25 to 64 years,Males,Belgium,76.0
Annual,Percentage,From 25 to 64 years,Males,Bulgaria,92.6
Annual,Percentage,From 25 to 64 years,Males,Cyprus,93.1
Annual,Percentage,From 25 to 64 years,Males,Czechia,86.7
Annual,Percentage,From 25 to 64 years,Males,Germany,82.7
Annual,Percentage,From 25 to 64 years,Males,Denmark,82.4
Annual,Percentage,From 25 to 64 years,Males,Estonia,81.9
Annual,Percentage,From 25 to 64 years,Males,Greece,86.2
Annual,Percentage,From 25 to 64 years,Males,Spain,87.4
Annual,Percentage,From 25 to 64 years,Males,European Union - 27 countries (from 2020),83.1
Annual,Percentage,From 25 to 64 years,Males,European Union - 28 countries (2013-2020),83.1
Annual,Percentage,From 25 to 64 years,Males,Finland,79.8
Annual,Percentage,From 25 to 64 years,Males,France,75.3
Annual,Percentage,From 25 to 64 years,Males,Croatia,85.8
Annual,Percentage,From 25 to 64 years,Males,Hungary,93.4
Annual,Percentage,From 25 to 64 years,Males,Ireland,91.6
Annual,Percentage,From 25 to 64 years,Males,Italy,86.5
Annual,Percentage,From 25 to 64 years,Males,Lithuania,85.8
Annual,Percentage,From 25 to 64 years,Males,Luxembourg,81.8
Annual,Percentage,From 25 to 64 years,Males,Latvia,82.8
Annual,Percentage,From 25 to 64 years,Males,Malta,88.0
Annual,Percentage,From 25 to 64 years,Males,Netherlands,86.0
Annual,Percentage,From 25 to 64 years,Males,Poland,86.3
Annual,Percentage,From 25 to 64 years,Males,Portugal,92.3
Annual,Percentage,From 25 to 64 years,Males,Romania,94.2
Annual,Percentage,From 25 to 64 years,Males,Sweden,69.2
Annual,Percentage,From 25 to 64 years,Males,Slovenia,81.7
Annual,Percentage,From 25 to 64 years,Males,Slovakia,82.3
Annual,Percentage,From 25 to 64 years,Males,United Kingdom,82.9
Annual,Percentage,From 25 to 64 years,Total,Austria,81.6
Annual,Percentage,From 25 to 64 years,Total,Belgium,78.0
Annual,Percentage,From 25 to 64 years,Total,Bulgaria,94.0
Annual,Percentage,From 25 to 64 years,Total,Cyprus,92.7
Annual,Percentage,From 25 to 64 years,Total,Czechia,86.6
Annual,Percentage,From 25 to 64 years,Total,Germany,85.7
Annual,Percentage,From 25 to 64 years,Total,Denmark,82.0
Annual,Percentage,From 25 to 64 years,Total,Estonia,84.1
Annual,Percentage,From 25 to 64 years,Total,Greece,86.1
Annual,Percentage,From 25 to 64 years,Total,Spain,85.7
Annual,Percentage,From 25 to 64 years,Total,European Union - 27 countries (from 2020),83.6
Annual,Percentage,From 25 to 64 years,Total,European Union - 28 countries (2013-2020),83.8
Annual,Percentage,From 25 to 64 years,Total,Finland,82.9
Annual,Percentage,From 25 to 64 years,Total,France,76.4
Annual,Percentage,From 25 to 64 years,Total,Croatia,86.7
Annual,Percentage,From 25 to 64 years,Total,Hungary,85.1
Annual,Percentage,From 25 to 64 years,Total,Ireland,89.9
Annual,Percentage,From 25 to 64 years,Total,Italy,84.4
Annual,Percentage,From 25 to 64 years,Total,Lithuania,89.8
Annual,Percentage,From 25 to 64 years,Total,Luxembourg,80.0
Annual,Percentage,From 25 to 64 years,Total,Latvia,87.4
Annual,Percentage,From 25 to 64 years,Total,Malta,91.7
Annual,Percentage,From 25 to 64 years,Total,Netherlands,81.8
Annual,Percentage,From 25 to 64 years,Total,Poland,87.6
Annual,Percentage,From 25 to 64 years,Total,Portugal,91.1
Annual,Percentage,From 25 to 64 years,Total,Romania,93.0
Annual,Percentage,From 25 to 64 years,Total,Sweden,72.0
Annual,Percentage,From 25 to 64 years,Total,Slovenia,82.7
Annual,Percentage,From 25 to 64 years,Total,Slovakia,81.8
Annual,Percentage,From 25 to 64 years,Total,United Kingdom,84.8
Annual,Percentage,From 55 to 64 years,Females,Austria,91.2 u
Annual,Percentage,From 55 to 64 years,Females,Belgium,69.8
Annual,Percentage,From 55 to 64 years,Females,Bulgaria,100.0 u
Annual,Percentage,From 55 to 64 years,Females,Cyprus,100.0 u
Annual,Percentage,From 55 to 64 years,Females,Czechia,83.8
Annual,Percentage,From 55 to 64 years,Females,Germany,86.9
Annual,Percentage,From 55 to 64 years,Females,Denmark,86.5
Annual,Percentage,From 55 to 64 years,Females,Estonia,83.2
Annual,Percentage,From 55 to 64 years,Females,Greece,100.0 u
Annual,Percentage,From 55 to 64 years,Females,Spain,88.6
Annual,Percentage,From 55 to 64 years,Females,European Union - 27 countries (from 2020),80.7
Annual,Percentage,From 55 to 64 years,Females,European Union - 28 countries (2013-2020),78.7
Annual,Percentage,From 55 to 64 years,Females,Finland,76.2
Annual,Percentage,From 55 to 64 years,Females,France,67.3
Annual,Percentage,From 55 to 64 years,Females,Croatia,79.6 u
Annual,Percentage,From 55 to 64 years,Females,Hungary,89.4 u
Annual,Percentage,From 55 to 64 years,Females,Ireland,85.6
Annual,Percentage,From 55 to 64 years,Females,Italy,72.9
Annual,Percentage,From 55 to 64 years,Females,Lithuania,96.2
Annual,Percentage,From 55 to 64 years,Females,Luxembourg,61.1 u
Annual,Percentage,From 55 to 64 years,Females,Latvia,93.1
Annual,Percentage,From 55 to 64 years,Females,Malta,97.7 u
Annual,Percentage,From 55 to 64 years,Females,Netherlands,86.7
Annual,Percentage,From 55 to 64 years,Females,Poland,77.7 u
Annual,Percentage,From 55 to 64 years,Females,Portugal,71.0 u
Annual,Percentage,From 55 to 64 years,Females,Romania,62.2 u
Annual,Percentage,From 55 to 64 years,Females,Sweden,74.2
Annual,Percentage,From 55 to 64 years,Females,Slovenia,84.5
Annual,Percentage,From 55 to 64 years,Females,Slovakia,81.7
Annual,Percentage,From 55 to 64 years,Females,United Kingdom,69.3
Annual,Percentage,From 55 to 64 years,Males,Austria,85.9
Annual,Percentage,From 55 to 64 years,Males,Belgium,71.3
Annual,Percentage,From 55 to 64 years,Males,Bulgaria,87.2 u
Annual,Percentage,From 55 to 64 years,Males,Cyprus,100.0 u
Annual,Percentage,From 55 to 64 years,Males,Czechia,91.4 u
Annual,Percentage,From 55 to 64 years,Males,Germany,74.0
Annual,Percentage,From 55 to 64 years,Males,Denmark,72.2
Annual,Percentage,From 55 to 64 years,Males,Estonia,93.8 u
Annual,Percentage,From 55 to 64 years,Males,Greece,83.9 u
Annual,Percentage,From 55 to 64 years,Males,Spain,82.7
Annual,Percentage,From 55 to 64 years,Males,European Union - 27 countries (from 2020),79.0
Annual,Percentage,From 55 to 64 years,Males,European Union - 28 countries (2013-2020),80.9
Annual,Percentage,From 55 to 64 years,Males,Finland,78.1
Annual,Percentage,From 55 to 64 years,Males,France,73.4
Annual,Percentage,From 55 to 64 years,Males,Croatia,79.7 u
Annual,Percentage,From 55 to 64 years,Males,Hungary,90.0 u
Annual,Percentage,From 55 to 64 years,Males,Ireland,92.5
Annual,Percentage,From 55 to 64 years,Males,Italy,81.4
Annual,Percentage,From 55 to 64 years,Males,Lithuania,87.6 u
Annual,Percentage,From 55 to 64 years,Males,Luxembourg,80.7
Annual,Percentage,From 55 to 64 years,Males,Latvia,83.9 u
Annual,Percentage,From 55 to 64 years,Males,Malta,95.6
Annual,Percentage,From 55 to 64 years,Males,Netherlands,77.1
Annual,Percentage,From 55 to 64 years,Males,Poland,89.3 u
Annual,Percentage,From 55 to 64 years,Males,Portugal,96.6 u
Annual,Percentage,From 55 to 64 years,Males,Romania,94.0 u
Annual,Percentage,From 55 to 64 years,Males,Sweden,70.9
Annual,Percentage,From 55 to 64 years,Males,Slovenia,76.5
Annual,Percentage,From 55 to 64 years,Males,Slovakia,68.0
Annual,Percentage,From 55 to 64 years,Males,United Kingdom,90.0
Annual,Percentage,From 55 to 64 years,Total,Austria,87.4
Annual,Percentage,From 55 to 64 years,Total,Belgium,70.6
Annual,Percentage,From 55 to 64 years,Total,Bulgaria,94.0 u
Annual,Percentage,From 55 to 64 years,Total,Cyprus,100.0 u
Annual,Percentage,From 55 to 64 years,Total,Czechia,87.5
Annual,Percentage,From 55 to 64 years,Total,Germany,80.7
Annual,Percentage,From 55 to 64 years,Total,Denmark,80.7
Annual,Percentage,From 55 to 64 years,Total,Estonia,87.2
Annual,Percentage,From 55 to 64 years,Total,Greece,87.8 u
Annual,Percentage,From 55 to 64 years,Total,Spain,85.6
Annual,Percentage,From 55 to 64 years,Total,European Union - 27 countries (from 2020),79.8
Annual,Percentage,From 55 to 64 years,Total,European Union - 28 countries (2013-2020),79.9
Annual,Percentage,From 55 to 64 years,Total,Finland,76.9
Annual,Percentage,From 55 to 64 years,Total,France,70.8
Annual,Percentage,From 55 to 64 years,Total,Croatia,79.6
Annual,Percentage,From 55 to 64 years,Total,Hungary,89.7
Annual,Percentage,From 55 to 64 years,Total,Ireland,89.9
Annual,Percentage,From 55 to 64 years,Total,Italy,77.6
Annual,Percentage,From 55 to 64 years,Total,Lithuania,93.4
Annual,Percentage,From 55 to 64 years,Total,Luxembourg,75.5
Annual,Percentage,From 55 to 64 years,Total,Latvia,89.9
Annual,Percentage,From 55 to 64 years,Total,Malta,96.3
Annual,Percentage,From 55 to 64 years,Total,Netherlands,81.3
Annual,Percentage,From 55 to 64 years,Total,Poland,84.1
Annual,Percentage,From 55 to 64 years,Total,Portugal,86.4 u
Annual,Percentage,From 55 to 64 years,Total,Romania,82.0 u
Annual,Percentage,From 55 to 64 years,Total,Sweden,73.0
Annual,Percentage,From 55 to 64 years,Total,Slovenia,80.2
Annual,Percentage,From 55 to 64 years,Total,Slovakia,74.1
Annual,Percentage,From 55 to 64 years,Total,United Kingdom,80.1
