Time frequency,annex,indic_sb,priority,unit,nace_r1,cpa02,partner,geo\TIME_PERIOD,1997.0,1998.0,1999.0,2000.0,2001.0
Annual,6.0,V44140,O,MIO_EUR,J6512,CPA_J6512BA,TOTAL,ES,:,:,:,:,0.0
Annual,6.0,V44140,O,MIO_EUR,J6512,CPA_J6512BB,TOTAL,ES,:,:,:,:,0.0
Annual,6.0,V44140,O,MIO_EUR,J6512,CPA_J6512BC,TOTAL,ES,:,:,:,:,0.0
Annual,6.0,V44140,O,MIO_EUR,J6512,CPA_J6512BD,TOTAL,ES,:,:,:,:,0.0
Annual,6.0,V44140,O,MIO_EUR,J6512,CPA_J6512BE,TOTAL,ES,:,:,897.0,1035.0,1135.0
Annual,6.0,V44140,O,MIO_EUR,J6512,CPA_J6512C,TOTAL,ES,:,:,385.0,442.0,508.0
Annual,6.0,V44140,O,MIO_EUR,J6512,CPA_J652,TOTAL,ES,:,:,:,:,0.0
Annual,6.0,V44140,O,MIO_EUR,J6512,CPA_J652,TOTAL,NO,0.125 p,0.118,0 p,0.0,:
Annual,6.0,V44140,O,MIO_EUR,J6512,CPA_J6521,TOTAL,ES,:,:,:,:,0.0
Annual,6.0,V44140,O,MIO_EUR,J6512,CPA_J6522,TOTAL,ES,:,:,:,:,0.0
Annual,6.0,V44140,O,MIO_EUR,J6512,CPA_J6522A,TOTAL,ES,:,:,:,:,0.0
Annual,6.0,V44140,O,MIO_EUR,J6512,CPA_J6522B,TOTAL,ES,:,:,:,:,0.0
Annual,6.0,V44140,O,MIO_EUR,J6512,CPA_J6522C,TOTAL,ES,:,:,:,:,0.0
Annual,6.0,V44140,O,MIO_EUR,J6512,CPA_J6522D,TOTAL,ES,:,:,:,:,0.0
Annual,6.0,V44140,O,MIO_EUR,J6512,CPA_J6522E,TOTAL,ES,:,:,:,:,0.0
Annual,6.0,V44140,O,MIO_EUR,J6512,CPA_J6523,TOTAL,ES,:,:,:,:,0.0
Annual,6.0,V44140,O,MIO_EUR,J6512,CPA_J6523,TOTAL,NO,:,:,:,0.74,0.124
Annual,6.0,V44140,O,MIO_EUR,J6512,CPA_J6523A,TOTAL,ES,:,:,:,:,0.0
Annual,6.0,V44140,O,MIO_EUR,J6512,CPA_J6523B,TOTAL,ES,:,:,:,:,0.0
Annual,6.0,V44140,O,MIO_EUR,J6512,CPA_J67,TOTAL,BE,944.904,1071.227,1375.338,1968.374,:
Annual,6.0,V44140,O,MIO_EUR,J6512,CPA_J67,TOTAL,ES,:,:,:,:,0.0
Annual,6.0,V44140,O,MIO_EUR,J6512,CPA_J67,TOTAL,NO,135.934 p,160.999,174.239 p,189.944,:
Annual,6.0,V44140,O,MIO_EUR,J6512,CPA_J671,TOTAL,BE,944.904,1071.227,1375.338,1968.374,:
Annual,6.0,V44140,O,MIO_EUR,J6512,CPA_J671,TOTAL,ES,:,:,:,:,0.0
