Time frequency,Unit of measure,Forestry indicators,Protected or protective area,Geopolitical entity (reporting)\Time,1990.0,2000.0,2005.0,2010.0,2015.0
Annual,Thousand hectares,Forest and other wooded land,Area with a protective function,European Union - 27 countries (from 2020),18433.1,27606.7,34117.5,36180.0,38075.1
Annual,Thousand hectares,Forest and other wooded land,Area with a protective function,European Union - 28 countries (2013-2020),18433.1 e,27606.7 e,34117.5 e,36180 e,38075.1 e
Annual,Thousand hectares,Forest and other wooded land,Area with a protective function,Finland,:,727.0,583.0,326.0,326.0
Annual,Thousand hectares,Forest and other wooded land,Area with a protective function,France,:,:,:,906.39,906.39
Annual,Thousand hectares,Forest and other wooded land,Area with a protective function,Croatia,58.0,96.0,116.0,135.0,126.0
Annual,Thousand hectares,Forest and other wooded land,Area with a protective function,Hungary,202.7 e,218.24 e,181.46 e,197.82 e,200.65 e
Annual,Thousand hectares,Forest and other wooded land,Area with a protective function,Italy,8018.62,8547.45,8811.87,9080.91,9349.31
Annual,Thousand hectares,Forest and other wooded land,Area with a protective function,Lithuania,:,230 e,258 e,246 e,251 e
Annual,Thousand hectares,Forest and other wooded land,Area with a protective function,Latvia,51 e,71 e,122 e,131 e,141 e
Annual,Thousand hectares,Forest and other wooded land,Area with a protective function,Netherlands,:,:,:,4.5,4.5
Annual,Thousand hectares,Forest and other wooded land,Area with a protective function,Poland,1356 e,2753.0,2907.0,2887.4,3152.4
Annual,Thousand hectares,Forest and other wooded land,Area with a protective function,Portugal,:,:,:,:,380.09
Annual,Thousand hectares,Forest and other wooded land,Area with a protective function,Romania,1988 e,3009 e,3013 e,3087 e,3087 e
Annual,Thousand hectares,Forest and other wooded land,Area with a protective function,Sweden,:,:,5326.0,5328.0,5328.0
Annual,Thousand hectares,Forest and other wooded land,Area with a protective function,Slovenia,:,74.14 e,94.84 e,249.4 e,299.9 e
Annual,Thousand hectares,Forest and other wooded land,Area with a protective function,Slovakia,:,316.9,344.4,357.8,354.7
Annual,Thousand hectares,Forest and other wooded land,Area with a protective function,United Kingdom,0.0,0.0,0.0,0.0,0.0
Annual,Thousand hectares,Forest and other wooded land,"Area protecting soil, water and other ecosystems",Austria,746.0,773.0,801.0,833.0,833.0
Annual,Thousand hectares,Forest and other wooded land,"Area protecting soil, water and other ecosystems",Belgium,:,179.1 e,175 e,170.9 e,167.6 e
Annual,Thousand hectares,Forest and other wooded land,"Area protecting soil, water and other ecosystems",Bulgaria,430.0,538.0,478.0,439.0,427.0
Annual,Thousand hectares,Forest and other wooded land,"Area protecting soil, water and other ecosystems",Cyprus,0.0,0.0,0.0,0.0,0.0
Annual,Thousand hectares,Forest and other wooded land,"Area protecting soil, water and other ecosystems",Czechia,:,170.35,228.59,251.33,278.22
Annual,Thousand hectares,Forest and other wooded land,"Area protecting soil, water and other ecosystems",Germany,:,2981.0,3737.0,4616.0,5500.0
Annual,Thousand hectares,Forest and other wooded land,"Area protecting soil, water and other ecosystems",Denmark,0.0,0.0,0.0,0.0,0.0
Annual,Thousand hectares,Forest and other wooded land,"Area protecting soil, water and other ecosystems",Estonia,:,275.72,231.64,157.88,157.38
Annual,Thousand hectares,Forest and other wooded land,"Area protecting soil, water and other ecosystems",Spain,5382.74,6510.21,6566.68,6600.71,6628.92
Annual,Thousand hectares,Forest and other wooded land,"Area protecting soil, water and other ecosystems",European Union - 27 countries (from 2020),16174.8,22619.7,23947.2,25111.9,26990.5
Annual,Thousand hectares,Forest and other wooded land,"Area protecting soil, water and other ecosystems",European Union - 28 countries (2013-2020),18053.8 e,25536.7 e,26888.9 e,28278 e,29780.1 e
Annual,Thousand hectares,Forest and other wooded land,"Area protecting soil, water and other ecosystems",Croatia,56.0,94.0,114.0,133.0,124.0
Annual,Thousand hectares,Forest and other wooded land,"Area protecting soil, water and other ecosystems",Hungary,195.4 e,181.84 e,149.9 e,169.03 e,172.33 e
Annual,Thousand hectares,Forest and other wooded land,"Area protecting soil, water and other ecosystems",Italy,7957.62,8486.45,8750.87,9019.91,9288.31
Annual,Thousand hectares,Forest and other wooded land,"Area protecting soil, water and other ecosystems",Lithuania,:,217 e,236 e,222 e,227 e
Annual,Thousand hectares,Forest and other wooded land,"Area protecting soil, water and other ecosystems",Luxembourg,:,1.2,1.2,1.2,1.2
Annual,Thousand hectares,Forest and other wooded land,"Area protecting soil, water and other ecosystems",Latvia,51 e,71 e,122 e,131 e,141 e
Annual,Thousand hectares,Forest and other wooded land,"Area protecting soil, water and other ecosystems",Netherlands,:,:,:,4.5,4.5
Annual,Thousand hectares,Forest and other wooded land,"Area protecting soil, water and other ecosystems",Poland,1356.0,1838.0,2021.0,2009.4,2309.2
Annual,Thousand hectares,Forest and other wooded land,"Area protecting soil, water and other ecosystems",Portugal,:,:,:,:,380.09
Annual,Thousand hectares,Forest and other wooded land,"Area protecting soil, water and other ecosystems",Slovakia,:,302.8,334.3,353.0,350.7
Annual,Thousand hectares,Forest and other wooded land,"Area protecting soil, water and other ecosystems",United Kingdom,0.0,0.0,0.0,0.0,0.0
Annual,Thousand hectares,Forest and other wooded land,Area protecting infrastructure,Austria,:,165.0,280.0,377.75,385.0
Annual,Thousand hectares,Forest and other wooded land,Area protecting infrastructure,Bulgaria,200.0,232.0,146.0,144.0,142.0
Annual,Thousand hectares,Forest and other wooded land,Area protecting infrastructure,Cyprus,0.0,0.0,0.0,0.0,0.0
Annual,Thousand hectares,Forest and other wooded land,Area protecting infrastructure,Czechia,:,179.97,251.56,281.25,312.27
Annual,Thousand hectares,Forest and other wooded land,Area protecting infrastructure,Denmark,0.0,0.0,0.0,0.0,0.0
Annual,Thousand hectares,Forest and other wooded land,Area protecting infrastructure,Estonia,:,0.0,0.0,0.0,0.0
Annual,Thousand hectares,Forest and other wooded land,Area protecting infrastructure,Spain,0.0,0.0,0.0,0.0,0.0
Annual,Thousand hectares,Forest and other wooded land,Area protecting infrastructure,European Union - 27 countries (from 2020),379.3,1784.6,1856.4,1971.9,1802.1
Annual,Thousand hectares,Forest and other wooded land,Area protecting infrastructure,European Union - 28 countries (2013-2020),379.3 e,1784.61 e,1856.36 e,1971.89 e,1802.09 e
Annual,Thousand hectares,Forest and other wooded land,Area protecting infrastructure,Croatia,2.0,2.0,2.0,2.0,2.0
Annual,Thousand hectares,Forest and other wooded land,Area protecting infrastructure,Hungary,7.3 e,36.4 e,31.56 e,28.79 e,28.32 e
Annual,Thousand hectares,Forest and other wooded land,Area protecting infrastructure,Italy,61.0,61.0,61.0,61.0,61.0
Annual,Thousand hectares,Forest and other wooded land,Area protecting infrastructure,Lithuania,:,13 e,22 e,24 e,24 e
Annual,Thousand hectares,Forest and other wooded land,Area protecting infrastructure,Luxembourg,0.0,0.0,0.0,0.0,0.0
Annual,Thousand hectares,Forest and other wooded land,Area protecting infrastructure,Latvia,0.0,0.0,0.0,0.0,0.0
Annual,Thousand hectares,Forest and other wooded land,Area protecting infrastructure,Netherlands,:,:,:,0.0,0.0
Annual,Thousand hectares,Forest and other wooded land,Area protecting infrastructure,Poland,:,915.0,886.0,878.0,843.2
Annual,Thousand hectares,Forest and other wooded land,Area protecting infrastructure,Romania,109 e,166 e,166 e,170 e,:
Annual,Thousand hectares,Forest and other wooded land,Area protecting infrastructure,Slovenia,:,0.14 e,0.14 e,0.3 e,0.3 e
Annual,Thousand hectares,Forest and other wooded land,Area protecting infrastructure,Slovakia,:,14.1,10.1,4.8,4.0
Annual,Thousand hectares,Forest and other wooded land,Area protecting infrastructure,United Kingdom,0.0,0.0,0.0,0.0,0.0
