Time frequency,Unit of measure,Severity (days lost),Activity and employment status,Statistical classification of economic activities in the European Community (NACE Rev. 1.1),Geopolitical entity (reporting)\Time,1996.0,1997.0,1998.0,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0
Annual,Number,4 days or over,Unknown,"Transport, storage and communication",European Union - 15 countries (1995-2004) and Norway,262509.0,254992.0,250149.0,244359.0,243400.0,222195.0,114916.0,84553.0,90544.0,12680.0,12706.0,5342 p
Annual,Number,4 days or over,Unknown,Financial intermediation; real estate,European Union - 15 countries (1995-2004) and Norway,66103.0,69785.0,71856.0,88625.0,102679.0,80084.0,87725.0,78003.0,81164.0,12861.0,13099.0,3282 p
Annual,Number,4 days or over,Unknown,Total - all NACE activities,European Union - 15 countries (1995-2004) and Norway,2105578.0,2017496.0,2008759.0,2042055.0,2090160.0,1778473.0,1462091.0,1270377.0,1214500.0,228103.0,218628.0,74338 p
Annual,Number,Fatal,Contributing family workers,"Agriculture, hunting and forestry",European Union - 15 countries (1995-2004) and Norway,33.0,37.0,41.0,35.0,40.0,52.0,32.0,38.0,27.0,38.0,46.0,39 p
Annual,Number,Fatal,Contributing family workers,"Agriculture; manufacturing; electricity, gas and water supply; construction; wholesale and retail trade; hotels and restaurants; transport; financial intermediation; real estate",European Union - 15 countries (1995-2004) and Norway,43.0,43.0,46.0,41.0,44.0,54.0,36.0,42.0,31.0,44.0,52.0,43 p
Annual,Number,Fatal,Contributing family workers,Manufacturing,European Union - 15 countries (1995-2004) and Norway,4.0,3.0,3.0,3.0,2.0,0.0,1.0,: p,: p,:,:,: p
Annual,Number,Fatal,Contributing family workers,Manufacturing,European Union - 27 countries (2007-2013),:,:,:,:,:,:,:,:,:,:,1.0,2.0
Annual,Number,Fatal,Contributing family workers,"Electricity, gas and water supply",European Union - 15 countries (1995-2004) and Norway,0.0,0.0,0.0,0.0,0.0,0.0,0.0,: p,: p,:,:,: p
Annual,Number,Fatal,Contributing family workers,Construction,European Union - 15 countries (1995-2004) and Norway,2.0,3.0,2.0,1.0,2.0,1.0,1.0,: p,: p,:,:,: p
Annual,Number,Fatal,Contributing family workers,Construction,European Union - 27 countries (2007-2013),:,:,:,:,:,:,:,:,:,3.0,3.0,1.0
Annual,Number,Fatal,Contributing family workers,"Wholesale and retail trade; repair of motor vehicles, motorcycles and personal and household goods",European Union - 15 countries (1995-2004) and Norway,1.0,0.0,0.0,0.0,0.0,0.0,1.0,: p,: p,:,:,: p
Annual,Number,Fatal,Contributing family workers,"Wholesale and retail trade; repair of motor vehicles, motorcycles and personal and household goods",European Union - 27 countries (2007-2013),:,:,:,:,:,:,:,:,:,1.0,1.0,:
Annual,Number,Fatal,Contributing family workers,Hotels and restaurants,European Union - 15 countries (1995-2004) and Norway,0.0,0.0,0.0,0.0,0.0,0.0,0.0,: p,: p,:,:,: p
Annual,Number,Fatal,Contributing family workers,"Transport, storage and communication",European Union - 15 countries (1995-2004) and Norway,3.0,0.0,0.0,2.0,0.0,1.0,1.0,: p,: p,:,:,: p
Annual,Number,Fatal,Contributing family workers,"Transport, storage and communication",European Union - 27 countries (2007-2013),:,:,:,:,:,:,:,:,:,1.0,1.0,3.0
Annual,Number,Fatal,Contributing family workers,Financial intermediation; real estate,European Union - 15 countries (1995-2004) and Norway,0.0,0.0,0.0,0.0,0.0,0.0,0.0,: p,: p,:,:,: p
Annual,Number,Fatal,Contributing family workers,Financial intermediation; real estate,European Union - 27 countries (2007-2013),:,:,:,:,:,:,:,:,:,1.0,:,:
Annual,Number,Fatal,Contributing family workers,Total - all NACE activities,European Union - 15 countries (1995-2004) and Norway,44.0,43.0,47.0,41.0,44.0,54.0,36.0,43.0,32.0,43.0,51.0,44 p
Annual,Number,Fatal,Employed persons,"Agriculture, hunting and forestry",European Union - 15 countries (1995-2004) and Norway,676.0,667.0,640.0,687.0,665.0,618.0,615.0,558.0,627.0,528.0,466.0,421 p
Annual,Number,Fatal,Employed persons,"Agriculture; manufacturing; electricity, gas and water supply; construction; wholesale and retail trade; hotels and restaurants; transport; financial intermediation; real estate",European Union - 15 countries (1995-2004) and Norway,4858.0,4971.0,4895.0,4757.0,4679.0,4424.0,4320.0,4147.0,3964.0,3685.0,3743.0,3234 p
Annual,Number,Fatal,Employed persons,Manufacturing,European Union - 15 countries (1995-2004) and Norway,1128.0,1169.0,1112.0,1015.0,984.0,942.0,879.0,818.0,800.0,729.0,725.0,628 p
Annual,Number,Fatal,Employed persons,"Electricity, gas and water supply",European Union - 15 countries (1995-2004) and Norway,67.0,44.0,39.0,37.0,43.0,48.0,48.0,50.0,51.0,39.0,49.0,22 p
Annual,Number,Fatal,Employed persons,Construction,European Union - 15 countries (1995-2004) and Norway,1349.0,1363.0,1341.0,1272.0,1285.0,1223.0,1198.0,1248.0,1119.0,1065.0,1151.0,1019 p
Annual,Number,Fatal,Employed persons,"Wholesale and retail trade; repair of motor vehicles, motorcycles and personal and household goods",European Union - 15 countries (1995-2004) and Norway,486.0,480.0,518.0,492.0,462.0,387.0,411.0,381.0,341.0,323.0,349.0,266 p
Annual,Number,Fatal,Employed persons,Hotels and restaurants,European Union - 15 countries (1995-2004) and Norway,53.0,67.0,67.0,75.0,73.0,49.0,51.0,62.0,61.0,62.0,61.0,58 p
Annual,Number,Fatal,Employed persons,"Transport, storage and communication",European Union - 15 countries (1995-2004) and Norway,841.0,900.0,888.0,893.0,895.0,888.0,796.0,705.0,710.0,662.0,670.0,575 p
Annual,Number,Fatal,Employed persons,Financial intermediation; real estate,European Union - 15 countries (1995-2004) and Norway,258.0,281.0,290.0,286.0,272.0,269.0,322.0,325.0,255.0,277.0,272.0,245 p
Annual,Number,Fatal,Employed persons,Total - all NACE activities,European Union - 15 countries (1995-2004) and Norway,5549.0,5608.0,5519.0,5305.0,5285.0,4968.0,4828.0,4666.0,4409.0,4894.0,4914.0,3616 p
Annual,Number,Fatal,Others,"Agriculture, hunting and forestry",European Union - 15 countries (1995-2004) and Norway,12.0,13.0,12.0,8.0,8.0,4.0,0.0,: p,: p,9.0,9.0,5 p
Annual,Number,Fatal,Others,"Agriculture; manufacturing; electricity, gas and water supply; construction; wholesale and retail trade; hotels and restaurants; transport; financial intermediation; real estate",European Union - 15 countries (1995-2004) and Norway,144.0,135.0,136.0,91.0,88.0,42.0,29.0,38.0,25.0,77.0,89.0,43 p
Annual,Number,Fatal,Others,Manufacturing,European Union - 15 countries (1995-2004) and Norway,40.0,35.0,33.0,33.0,23.0,16.0,6.0,7.0,9.0,19.0,21.0,12 p
Annual,Number,Fatal,Others,"Electricity, gas and water supply",European Union - 15 countries (1995-2004) and Norway,0.0,1.0,1.0,1.0,0.0,0.0,0.0,: p,: p,:,:,: p
Annual,Number,Fatal,Others,"Electricity, gas and water supply",European Union - 27 countries (2007-2013),:,:,:,:,:,:,:,:,:,:,:,1.0
Annual,Number,Fatal,Others,Construction,European Union - 15 countries (1995-2004) and Norway,37.0,45.0,41.0,24.0,34.0,11.0,15.0,18.0,7.0,26.0,32.0,16 p
Annual,Number,Fatal,Others,"Wholesale and retail trade; repair of motor vehicles, motorcycles and personal and household goods",European Union - 15 countries (1995-2004) and Norway,20.0,12.0,26.0,11.0,9.0,2.0,4.0,9.0,7.0,8.0,16.0,5 p
Annual,Number,Fatal,Others,Hotels and restaurants,European Union - 15 countries (1995-2004) and Norway,1.0,1.0,0.0,2.0,5.0,0.0,0.0,: p,: p,:,:,: p
Annual,Number,Fatal,Others,Hotels and restaurants,European Union - 27 countries (2007-2013),:,:,:,:,:,:,:,:,:,1.0,1.0,1.0
Annual,Number,Fatal,Others,"Transport, storage and communication",European Union - 15 countries (1995-2004) and Norway,21.0,18.0,12.0,8.0,4.0,4.0,2.0,: p,: p,:,6.0,: p
Annual,Number,Fatal,Others,"Transport, storage and communication",European Union - 27 countries (2007-2013),:,:,:,:,:,:,:,:,:,7.0,:,8.0
Annual,Number,Fatal,Others,Financial intermediation; real estate,European Union - 15 countries (1995-2004) and Norway,13.0,10.0,11.0,4.0,5.0,5.0,2.0,: p,: p,:,:,: p
Annual,Number,Fatal,Others,Financial intermediation; real estate,European Union - 27 countries (2007-2013),:,:,:,:,:,:,:,:,:,7.0,4.0,2.0
Annual,Number,Fatal,Others,Total - all NACE activities,European Union - 15 countries (1995-2004) and Norway,180.0,162.0,157.0,111.0,106.0,52.0,40.0,54.0,38.0,46.0,53.0,47 p
Annual,Number,Fatal,Employees,"Agriculture, hunting and forestry",European Union - 15 countries (1995-2004) and Norway,193.0,194.0,202.0,234.0,194.0,178.0,180.0,142.0,184.0,330.0,249.0,174 p
Annual,Number,Fatal,Employees,"Agriculture; manufacturing; electricity, gas and water supply; construction; wholesale and retail trade; hotels and restaurants; transport; financial intermediation; real estate",European Union - 15 countries (1995-2004) and Norway,2664.0,2911.0,2950.0,2850.0,2656.0,2689.0,2640.0,2506.0,2420.0,4183.0,4148.0,2672 p
Annual,Number,Fatal,Employees,Manufacturing,European Union - 15 countries (1995-2004) and Norway,670.0,745.0,727.0,649.0,574.0,628.0,579.0,542.0,548.0,1025.0,975.0,572 p
Annual,Number,Fatal,Employees,"Electricity, gas and water supply",European Union - 15 countries (1995-2004) and Norway,47.0,38.0,35.0,34.0,37.0,41.0,38.0,43.0,39.0,87.0,83.0,22 p
Annual,Number,Fatal,Employees,Construction,European Union - 15 countries (1995-2004) and Norway,825.0,845.0,850.0,797.0,785.0,809.0,772.0,815.0,756.0,1195.0,1256.0,881 p
Annual,Number,Fatal,Employees,"Wholesale and retail trade; repair of motor vehicles, motorcycles and personal and household goods",European Union - 15 countries (1995-2004) and Norway,278.0,299.0,332.0,337.0,290.0,269.0,284.0,241.0,214.0,400.0,417.0,234 p
Annual,Number,Fatal,Employees,Hotels and restaurants,European Union - 15 countries (1995-2004) and Norway,35.0,42.0,45.0,49.0,51.0,36.0,31.0,40.0,37.0,58.0,54.0,50 p
Annual,Number,Fatal,Employees,"Transport, storage and communication",European Union - 15 countries (1995-2004) and Norway,433.0,508.0,508.0,498.0,503.0,510.0,516.0,448.0,461.0,771.0,782.0,511 p
Annual,Number,Fatal,Employees,Financial intermediation; real estate,European Union - 15 countries (1995-2004) and Norway,183.0,240.0,251.0,252.0,222.0,218.0,240.0,235.0,181.0,317.0,332.0,228 p
Annual,Number,Fatal,Employees,Total - all NACE activities,European Union - 15 countries (1995-2004) and Norway,3013.0,3274.0,3346.0,3182.0,3031.0,3065.0,2954.0,2811.0,2692.0,3047.0,3176.0,3002 p
Annual,Number,Fatal,Self-employed persons,"Agriculture, hunting and forestry",European Union - 15 countries (1995-2004) and Norway,225.0,220.0,197.0,197.0,193.0,175.0,169.0,165.0,188.0,229.0,226.0,194 p
Annual,Number,Fatal,Self-employed persons,"Agriculture; manufacturing; electricity, gas and water supply; construction; wholesale and retail trade; hotels and restaurants; transport; financial intermediation; real estate",European Union - 15 countries (1995-2004) and Norway,426.0,501.0,422.0,426.0,434.0,378.0,336.0,359.0,384.0,489.0,488.0,431 p
Annual,Number,Fatal,Self-employed persons,Manufacturing,European Union - 15 countries (1995-2004) and Norway,45.0,62.0,52.0,36.0,47.0,41.0,20.0,31.0,38.0,38.0,40.0,34 p
Annual,Number,Fatal,Self-employed persons,"Electricity, gas and water supply",European Union - 15 countries (1995-2004) and Norway,0.0,0.0,0.0,0.0,0.0,0.0,0.0,: p,: p,:,:,: p
Annual,Number,Fatal,Self-employed persons,Construction,European Union - 15 countries (1995-2004) and Norway,77.0,106.0,89.0,115.0,112.0,93.0,73.0,97.0,83.0,104.0,127.0,110 p
Annual,Number,Fatal,Self-employed persons,"Wholesale and retail trade; repair of motor vehicles, motorcycles and personal and household goods",European Union - 15 countries (1995-2004) and Norway,24.0,31.0,24.0,20.0,27.0,12.0,21.0,20.0,19.0,24.0,27.0,25 p
Annual,Number,Fatal,Self-employed persons,Hotels and restaurants,European Union - 15 countries (1995-2004) and Norway,6.0,3.0,0.0,0.0,2.0,1.0,1.0,: p,7.0,10.0,9.0,7 p
Annual,Number,Fatal,Self-employed persons,"Transport, storage and communication",European Union - 15 countries (1995-2004) and Norway,38.0,67.0,53.0,52.0,45.0,43.0,44.0,35.0,36.0,69.0,49.0,49 p
Annual,Number,Fatal,Self-employed persons,Financial intermediation; real estate,European Union - 15 countries (1995-2004) and Norway,11.0,12.0,7.0,6.0,8.0,13.0,8.0,10.0,13.0,15.0,10.0,12 p
Annual,Number,Fatal,Self-employed persons,Total - all NACE activities,European Union - 15 countries (1995-2004) and Norway,441.0,535.0,446.0,448.0,464.0,391.0,353.0,394.0,404.0,492.0,494.0,457 p
Annual,Number,Fatal,Unknown,"Agriculture, hunting and forestry",European Union - 15 countries (1995-2004) and Norway,213.0,203.0,188.0,213.0,230.0,209.0,234.0,211.0,228.0,23.0,25.0,9 p
Annual,Number,Fatal,Unknown,"Agriculture; manufacturing; electricity, gas and water supply; construction; wholesale and retail trade; hotels and restaurants; transport; financial intermediation; real estate",European Union - 15 countries (1995-2004) and Norway,1581.0,1381.0,1341.0,1349.0,1457.0,1261.0,1279.0,1202.0,1104.0,101.0,137.0,45 p
Annual,Number,Fatal,Unknown,Manufacturing,European Union - 15 countries (1995-2004) and Norway,369.0,324.0,297.0,294.0,338.0,257.0,273.0,237.0,204.0,23.0,20.0,9 p
Annual,Number,Fatal,Unknown,"Electricity, gas and water supply",European Union - 15 countries (1995-2004) and Norway,20.0,5.0,3.0,2.0,6.0,7.0,10.0,7.0,12.0,:,4.0,: p
Annual,Number,Fatal,Unknown,Construction,European Union - 15 countries (1995-2004) and Norway,408.0,364.0,359.0,335.0,352.0,309.0,337.0,316.0,271.0,27.0,45.0,11 p
Annual,Number,Fatal,Unknown,"Wholesale and retail trade; repair of motor vehicles, motorcycles and personal and household goods",European Union - 15 countries (1995-2004) and Norway,163.0,138.0,136.0,124.0,136.0,104.0,101.0,110.0,101.0,6.0,7.0,: p
Annual,Number,Fatal,Unknown,Hotels and restaurants,European Union - 15 countries (1995-2004) and Norway,11.0,21.0,22.0,24.0,15.0,12.0,19.0,21.0,17.0,:,1.0,: p
Annual,Number,Fatal,Unknown,Hotels and restaurants,European Union - 27 countries (2007-2013),:,:,:,:,:,:,:,:,:,1.0,:,:
