Time frequency,Entity,Balance of payments indicator,Foreign direct investment item,Geopolitical entity (partner),Geopolitical entity (reporting)\Time,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Total,GDP (stocks in % of GDP),Direct investment in the reporting economy (DIRE),Rest of the world,Italy,16.3,17.7,18.8,19.6,20.2,21.1,21.5,23.4,21.3,21.5,21.3
Annual,Total,GDP (stocks in % of GDP),Direct investment in the reporting economy (DIRE),Rest of the world,Lithuania,40.6,38.2,39.4,39.5,38.7,36.9,42.0,50.1,50.7,49.2,48.2
Annual,Total,GDP (stocks in % of GDP),Direct investment in the reporting economy (DIRE),Rest of the world,Luxembourg,4391.6,5148.0,6657.5,6729.5,6337.7,5545.7,5174.1,4868.4,4376.3 p,3805.5 p,3269.0 p
Annual,Total,GDP (stocks in % of GDP),Direct investment in the reporting economy (DIRE),Rest of the world,Latvia,52.4,54.7,57.0,55.5,56.7,54.5,54.3,57.5,65.7,62.9,63.6
Annual,Total,GDP (stocks in % of GDP),Direct investment in the reporting economy (DIRE),Rest of the world,Montenegro,111.1,:,:,:,:,:,:,:,:,:,:
Annual,Total,GDP (stocks in % of GDP),Direct investment in the reporting economy (DIRE),Rest of the world,North Macedonia,:,:,:,:,:,:,:,:,:,53.0,51.7
Annual,Total,GDP (stocks in % of GDP),Direct investment in the reporting economy (DIRE),Rest of the world,Malta,1645.8,1595.5,1485.8,1485.3,: @C,: @C,: @C,: @C,: @C,: @C,: @C
Annual,Total,GDP (stocks in % of GDP),Direct investment in the reporting economy (DIRE),Rest of the world,Netherlands,479.3,507.2,502.6,524.8,518.7,476.7,458.9,428.9,404.6,373.0,318.8
Annual,Total,GDP (stocks in % of GDP),Direct investment in the reporting economy (DIRE),Rest of the world,Norway,:,:,:,:,:,:,:,:,:,28.5,37.1
Annual,Total,GDP (stocks in % of GDP),Direct investment in the reporting economy (DIRE),Rest of the world,Poland,44.2,43.9,40.3,42.8,43.4,40.9,41.2,40.9,42.5,40.0,41.9
Annual,Total,GDP (stocks in % of GDP),Direct investment in the reporting economy (DIRE),Rest of the world,Portugal,63.5,66.6,70.0,68.6,70.9,66.5,69.2,74.8,75.8,72.0,69.9
Annual,Total,GDP (stocks in % of GDP),Direct investment in the reporting economy (DIRE),Rest of the world,Romania,42.6,41.2,40.3,42.3,40.7,39.3,39.3,41.1,41.4,38.3,36.4
Annual,Total,GDP (stocks in % of GDP),Direct investment in the reporting economy (DIRE),Rest of the world,Sweden,64.7,60.6,64.4,64.7,64.1,63.3,65.1,71.7,70.6,69.3,74.4
Annual,Total,GDP (stocks in % of GDP),Direct investment in the reporting economy (DIRE),Rest of the world,Slovenia,24.7,27.4,30.2,32.4,32.7,33.6,33.6,35.7,36.1,35.6,34.6
Annual,Total,GDP (stocks in % of GDP),Direct investment in the reporting economy (DIRE),Rest of the world,Slovakia,56.4,53.5,52.6,55.3,58.4,57.9,: @C,55.5,51.8,51.0,45.8
Annual,Total,GDP (stocks in % of GDP),Direct investment in the reporting economy (DIRE),Rest of the world,Türkiye,:,:,:,:,:,:,:,:,17.7,28.1,16.7
Annual,Total,GDP (stocks in % of GDP),Direct investment in the reporting economy (DIRE),Rest of the world,United Kingdom,52.6,58.0,53.9,58.3,57.5,67.8,:,:,:,:,:
Annual,Total,GDP (stocks in % of GDP),Direct investment in the reporting economy (DIRE),Rest of the world,Kosovo*,:,:,:,:,:,:,:,:,:,60.2,64.5
