Time frequency,Information society indicator,Unit of measure,Type of household,Geopolitical entity (reporting)\Time,2009.0,2010.0,2011.0,2012.0,2013.0,2015.0,2017.0
Annual,"Households having access to, via one of its members, a computer",Percentage of households,Households located in towns and suburbs,United Kingdom,82.43,86.22,85.62,87.8,87.27,90.6,90.52
Annual,"Households having access to, via one of its members, a computer",Percentage of households,Households located in rural areas,Austria,72.03,74.99,77.48,79.67,80.0,80.13,85.62
Annual,"Households having access to, via one of its members, a computer",Percentage of households,Households located in rural areas,Belgium,65.63,70.81,75.78,80.45,83.26,82.49,84.5
Annual,"Households having access to, via one of its members, a computer",Percentage of households,Households located in rural areas,Bulgaria,20.32,22.57,33.47,45.84,35.43,40.45,46.44
Annual,"Households having access to, via one of its members, a computer",Percentage of households,Households located in rural areas,Cyprus,56.03,50.99,56.97,:,61.77,63.42,65.58
Annual,"Households having access to, via one of its members, a computer",Percentage of households,Households located in rural areas,Czechia,55.34,60.94,67.26,71.75,70.08,76.75,80.77
Annual,"Households having access to, via one of its members, a computer",Percentage of households,Households located in rural areas,Germany,81.31,83.57,84.8,:,88.9,91.09,92.35
Annual,"Households having access to, via one of its members, a computer",Percentage of households,Households located in rural areas,Denmark,83.55,85.12,89.5,89.98,92.8,91.26,91.46
Annual,"Households having access to, via one of its members, a computer",Percentage of households,Households located in rural areas,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",66.65,69.05,72.68,72.91,78.13,78.35,80.91
Annual,"Households having access to, via one of its members, a computer",Percentage of households,Households located in rural areas,Estonia,57.63,63.95,64.38,69.22,74.23,85.04,84.98
Annual,"Households having access to, via one of its members, a computer",Percentage of households,Households located in rural areas,Greece,36.35,42.48,44.94,:,:,53.91,57.29
Annual,"Households having access to, via one of its members, a computer",Percentage of households,Households located in rural areas,Spain,55.91,58.07,63.13,65.31,66.23,67.88,71.28
Annual,"Households having access to, via one of its members, a computer",Percentage of households,Households located in rural areas,European Union - 15 countries (1995-2004),70.67,72.5,75.64,76.13,80.17,80.4,83.13
Annual,"Households having access to, via one of its members, a computer",Percentage of households,Households located in rural areas,European Union - 25 countries (2004-2006),67.44,69.97,:,:,:,:,:
Annual,"Households having access to, via one of its members, a computer",Percentage of households,Households located in rural areas,European Union - 27 countries (2007-2013),63.27,65.64,69.11,70.66,75.18,77.09,80.18
Annual,"Households having access to, via one of its members, a computer",Percentage of households,Households located in rural areas,European Union - 27 countries (from 2020),61.37,64.04,67.81,68.78,73.92,76.11,78.93
Annual,"Households having access to, via one of its members, a computer",Percentage of households,Households located in rural areas,European Union - 28 countries (2013-2020),63.07,65.51,68.96,70.54,75.04,77.05,80.07
Annual,"Households having access to, via one of its members, a computer",Percentage of households,Households located in rural areas,Finland,76.44,79.37,83.22,85.78,85.79,84.55,88.95
Annual,"Households having access to, via one of its members, a computer",Percentage of households,Households located in rural areas,France,71.57,67.05,75.23,80.06,80.31,81.13,84.76
Annual,"Households having access to, via one of its members, a computer",Percentage of households,Households located in rural areas,Croatia,43.42,55.77,58.45,63.45,63.09,72.2,70.04
Annual,"Households having access to, via one of its members, a computer",Percentage of households,Households located in rural areas,Hungary,55.01,59.07,60.48,61.77,63.38,65.52,70.05
Annual,"Households having access to, via one of its members, a computer",Percentage of households,Households located in rural areas,Ireland,70.51,72.53,76.73,:,81.62,80.37,79.88
Annual,"Households having access to, via one of its members, a computer",Percentage of households,Households located in rural areas,Iceland,91.07,90.88,92.61,93.31,95.74,:,95.03
Annual,"Households having access to, via one of its members, a computer",Percentage of households,Households located in rural areas,Italy,57.5,61.14,62.06,63.16,67.8,69.76,69.55
Annual,"Households having access to, via one of its members, a computer",Percentage of households,Households located in rural areas,Lithuania,49.2,50.2,51.12,52.59,55.42,60.48,64.82
Annual,"Households having access to, via one of its members, a computer",Percentage of households,Households located in rural areas,Luxembourg,87.17,89.1,93.85,:,96.17,96.8,97.48
Annual,"Households having access to, via one of its members, a computer",Percentage of households,Households located in rural areas,Latvia,54.53,58.13,60.08,63.06,66.13,68.8,71.62
Annual,"Households having access to, via one of its members, a computer",Percentage of households,Households located in rural areas,Malta,58.13,80.47,78.84,69.74,73.0,76.19,72.73 u
Annual,"Households having access to, via one of its members, a computer",Percentage of households,Households located in rural areas,Netherlands,88.38,90.97,94.1,95.66,95.79,98.31,97.24
Annual,"Households having access to, via one of its members, a computer",Percentage of households,Households located in rural areas,Norway,84.54,88.2,91.95,:,92.29,96.08,93.98
Annual,"Households having access to, via one of its members, a computer",Percentage of households,Households located in rural areas,Poland,60.57,65.43,67.34,68.68,71.05,75.45,78.9
Annual,"Households having access to, via one of its members, a computer",Percentage of households,Households located in rural areas,Portugal,42.27,45.59,50.21,52.83,54.58,58.21,59.12
Annual,"Households having access to, via one of its members, a computer",Percentage of households,Households located in rural areas,Romania,32.17,33.06,36.72,34.97,41.82,56.26,59.2
Annual,"Households having access to, via one of its members, a computer",Percentage of households,Households located in rural areas,Sweden,86.23,87.49,89.15,88.88,91.08,86.2,90.69
Annual,"Households having access to, via one of its members, a computer",Percentage of households,Households located in rural areas,Slovenia,68.72,66.01,72.97,72.42,74.71,75.71,76.54
Annual,"Households having access to, via one of its members, a computer",Percentage of households,Households located in rural areas,Slovakia,61.73,70.0,73.79,73.97,75.22,76.12,77.18
Annual,"Households having access to, via one of its members, a computer",Percentage of households,Households located in rural areas,United Kingdom,83.75,84.35,86.13,91.1,89.64,91.51,92.08
