Time frequency,Currency,Balance of payments item,Sector (ESA 2010),Sector (ESA 2010),Stock or flow,Geopolitical entity (partner),Seasonal adjustment,Geopolitical entity (reporting)\Time,Octobre-Décembre 2021,Janvier-Mars 2022,Avril-Juin 2022,Jullet-Septembre 2022,Octobre-Décembre 2022,Janvier-Mars 2023,Avril-Juin 2023,Jullet-Septembre 2023,Octobre-Décembre 2023,Janvier-Mars 2024,Avril-Juin 2024,Jullet-Septembre 2024
Quarterly,Million euro,Current plus capital account (balance = net lending (+) / net borrowing (-)),Total economy,Total economy,Balance,Rest of the world,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Euro area - 19 countries  (2015-2022),55616.0,3063.0,53156.0,-71208.0,49839.0,:,:,:,:,:,:,:
Quarterly,Million euro,Current plus capital account (balance = net lending (+) / net borrowing (-)),Total economy,Total economy,Balance,Rest of the world,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Estonia,2851.9,-189.4,-404.5,-115.7,-580.5,-55.0,-73.3,-327.3,263.3,-149.8,8.1,-72.3
Quarterly,Million euro,Current plus capital account (balance = net lending (+) / net borrowing (-)),Total economy,Total economy,Balance,Rest of the world,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Greece,-5376.0,-7321.0,-3537.0,1479.0,-8735.0,-1866.0,-4094.0,1340.0,-6635.0,-4188.0,-4689.0,264.0
Quarterly,Million euro,Current plus capital account (balance = net lending (+) / net borrowing (-)),Total economy,Total economy,Balance,Rest of the world,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Spain,8443.0,-3315.0,3826.0,5765.0,11210.0,13359.0,11245.0,14704.0,16682.0,13344.0,16780.0,19407.0
Quarterly,Million euro,Current plus capital account (balance = net lending (+) / net borrowing (-)),Total economy,Total economy,Balance,Rest of the world,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),European Union - 27 countries (from 2020),68282.2,22088.2,86101.2,-13051.2,29670.0,34416.3,67328.4,113690.4,89122.1,93366.9,123518.3,125262.9
Quarterly,Million euro,Current plus capital account (balance = net lending (+) / net borrowing (-)),Total economy,Total economy,Balance,Rest of the world,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Finland,-202.0,-2224.0,-5480.0,-227.0,1466.0,-71.0,-3750.0,1083.0,948.0,-407.0,-1961.0,2369.0
Quarterly,Million euro,Current plus capital account (balance = net lending (+) / net borrowing (-)),Total economy,Total economy,Balance,Rest of the world,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),France,19159.0,-9523.0,-4735.0,-14562.0,7285.0,-18307.0,-1330.0,-7028.0,5644.0,-4583.0,-279.0,1741.0
Quarterly,Million euro,Current plus capital account (balance = net lending (+) / net borrowing (-)),Total economy,Total economy,Balance,Rest of the world,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Croatia,-757.0,-2768.0,-867.0,4238.0,-1093.0,-2395.0,-48.0,5581.0,-385.0,-2729.0,-934.0,5140.0
Quarterly,Million euro,Current plus capital account (balance = net lending (+) / net borrowing (-)),Total economy,Total economy,Balance,Rest of the world,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Hungary,-1938.0,-221.2,-1337.3,-4786.9,-4569.6,1579.8,1621.9,879.2,-727.5,3294.7,2145.9,975.9
Quarterly,Million euro,Current plus capital account (balance = net lending (+) / net borrowing (-)),Total economy,Total economy,Balance,Rest of the world,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Ireland,951.0,15350.0,12120.0,10058.0,7188.0,11368.0,5778.0,16946.0,-1493.0,1892.0,30849.0,22690.0
Quarterly,Million euro,Current plus capital account (balance = net lending (+) / net borrowing (-)),Total economy,Total economy,Balance,Rest of the world,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Iceland,-368.6,-249.1,-290.2,179.5,-228.4,-132.8,-34.2,592.6,-104.8,-231.4,-264.2,299.8
Quarterly,Million euro,Current plus capital account (balance = net lending (+) / net borrowing (-)),Total economy,Total economy,Balance,Rest of the world,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Italy,-965.0,-8546.0,-5723.0,-11730.0,1466.0,-5586.0,396.0,9998.0,10131.0,1201.0,7263.0,10937.0
Quarterly,Million euro,Current plus capital account (balance = net lending (+) / net borrowing (-)),Total economy,Total economy,Balance,Rest of the world,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Lithuania,214.9,-721.5,-952.6,-709.3,-749.6,217.1,391.7,624.2,758.7,906.0,858.5,704.0
Quarterly,Million euro,Current plus capital account (balance = net lending (+) / net borrowing (-)),Total economy,Total economy,Balance,Rest of the world,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Luxembourg,780.0,705.0,1670.0,2595.0,-24.0,564.0,1442.0,2474.0,-37.0,1601.0,2035.0,2173.0
Quarterly,Million euro,Current plus capital account (balance = net lending (+) / net borrowing (-)),Total economy,Total economy,Balance,Rest of the world,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Latvia,350.0,-446.0,-657.0,-579.0,-23.0,-344.0,-225.0,-469.0,256.0,21.0,-205.0,-341.0
Quarterly,Million euro,Current plus capital account (balance = net lending (+) / net borrowing (-)),Total economy,Total economy,Balance,Rest of the world,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Montenegro,-205.0,-190.0,-361.0,69.0,-284.0,-265.0,-288.0,193.0,-431.0,-440.0,-428.0,91.0
Quarterly,Million euro,Current plus capital account (balance = net lending (+) / net borrowing (-)),Total economy,Total economy,Balance,Rest of the world,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),North Macedonia,-333.2,-393.0,-238.1,104.1,-274.3,78.8,-127.2,228.5,-125.5,-190.4,-104.4,263.0
Quarterly,Million euro,Current plus capital account (balance = net lending (+) / net borrowing (-)),Total economy,Total economy,Balance,Rest of the world,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Malta,507.7,-67.6,-280.7,101.9,336.7,223.0,254.5,640.5,453.2,287.9,505.9,484.7
Quarterly,Million euro,Current plus capital account (balance = net lending (+) / net borrowing (-)),Total economy,Total economy,Balance,Rest of the world,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Netherlands,18631.0,22538.0,102812.0,13586.0,31952.0,25269.0,23364.0,21942.0,32288.0,27947.0,24911.0,26116.0
Quarterly,Million euro,Current plus capital account (balance = net lending (+) / net borrowing (-)),Total economy,Total economy,Balance,Rest of the world,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Norway,23087.6,38681.7,33501.1,58830.4,31533.3,26133.0,13439.6,15828.7,18862.5,18623.8,17277.4,17805.3
Quarterly,Million euro,Current plus capital account (balance = net lending (+) / net borrowing (-)),Total economy,Total economy,Balance,Rest of the world,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Poland,-6059.2,-7133.9,-1476.5,-2771.3,-2276.7,1090.0,3995.1,4782.6,4779.3,3547.2,2928.1,-2000.6
Quarterly,Million euro,Current plus capital account (balance = net lending (+) / net borrowing (-)),Total economy,Total economy,Balance,Rest of the world,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Portugal,384.0,-1566.0,-1986.0,1452.0,-411.0,680.0,622.0,3386.0,342.0,2527.0,1699.0,3954.0
Quarterly,Million euro,Current plus capital account (balance = net lending (+) / net borrowing (-)),Total economy,Total economy,Balance,Rest of the world,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Romania,-3279.3,-3773.2,-6334.6,-7045.3,-3674.4,-2757.8,-3441.2,-4836.9,-1591.8,-3288.0,-7134.9,-8022.2
Quarterly,Million euro,Current plus capital account (balance = net lending (+) / net borrowing (-)),Total economy,Total economy,Balance,Rest of the world,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Serbia,-948.0,-1535.0,-1374.0,-411.0,-837.0,-160.0,-426.0,-178.0,-1048.0,-311.0,-799.0,-2141.0
Quarterly,Million euro,Current plus capital account (balance = net lending (+) / net borrowing (-)),Total economy,Total economy,Balance,Rest of the world,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Sweden,8702.4,7690.8,6270.6,4489.7,7953.6,9873.3,9100.4,9071.7,9637.8,9864.3,14409.8,8197.5
Quarterly,Million euro,Current plus capital account (balance = net lending (+) / net borrowing (-)),Total economy,Total economy,Balance,Rest of the world,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Slovenia,143.4,-214.0,-376.6,142.2,-346.6,635.3,1083.0,601.1,546.9,692.7,695.4,1093.9
Quarterly,Million euro,Current plus capital account (balance = net lending (+) / net borrowing (-)),Total economy,Total economy,Balance,Rest of the world,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Slovakia,-1808.2,-2577.6,-1979.6,-2255.0,-2483.9,-810.1,455.0,-356.2,256.3,-261.1,740.9,-855.5
Quarterly,Million euro,Current plus capital account (balance = net lending (+) / net borrowing (-)),Total economy,Total economy,Balance,Rest of the world,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Türkiye,-1381.1,-15857.8,-10458.9,-6289.3,-10402.5,-21841.0,-10122.0,-1698.4,-4122.0,-8906.6,-4412.5,8309.5
Quarterly,Million euro,Current plus capital account (balance = net lending (+) / net borrowing (-)),Total economy,Total economy,Balance,Rest of the world,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Kosovo*,-364.2,-301.2,-320.2,134.0,-392.4,-190.2,-317.0,221.3,-420.1,-310.7,-351.4,:
