Time frequency,Statistical classification of economic activities in the European Community (NACE Rev. 2),Geopolitical entity (reporting)\Time,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0
Annual,ICT services,Ireland,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,5.38 b
Annual,ICT services,Iceland,: b,:,:,:,:,:,:,:,:,:,:,:,:,:
Annual,ICT services,Italy,2.11 b,2.19,2.15,2.06,2.08,2.12,2.09,2.13,2.2,2.23 b,2.21,2.23,2.33,2.39 b
Annual,ICT services,Lithuania,1.35 b,1.42,1.59,1.69,1.81,1.95,2.09,2.24,2.34,2.43,2.5 b,2.65,2.88,3.27 b
Annual,ICT services,Luxembourg,3.87 b,3.94,4.0,4.06,4.05,4.11,4.17,4.13,4.15,4.31,4.38,4.4,4.44,4.41 b
Annual,ICT services,Latvia,1.67 b,1.82,1.95,2.05,2.35,2.5,2.89,3.14,3.43,3.66,3.97,3.95,4.19,4.49 b
Annual,ICT services,Montenegro,: b,:,:,:,:,:,:,:,:,:,:,:,:,:
Annual,ICT services,North Macedonia,: b,:,:,:,:,:,:,:,1.35 p,: @C,: @C,: @C,:,:
Annual,ICT services,Malta,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,3.71,: @C,3.74,3.77 b
Annual,ICT services,Netherlands,: @C,2.96,2.91,2.94,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,3.56 bp
Annual,ICT services,Norway,: b,2.69,2.74,2.77,2.78,2.79,2.84,2.89,2.86,2.92,2.98 b,3.08,3.2,3.27 b
Annual,ICT services,Poland,1.22 b,1.28,1.36 b,1.45,1.54,1.64,1.73,1.87,2.04,2.2,2.26 b,2.42,2.51,2.72 b
Annual,ICT services,Portugal,1.32 b,1.4,1.44,1.53,1.62,1.69,1.73,1.82,1.87,1.97,2.09,2.32,2.53,2.78 b
Annual,ICT services,Romania,1.35 b,1.31 p,1.32,1.43,1.5,1.63,1.71,1.85,2.0,2.08,2.22 b,2.28,2.42,2.72 b
Annual,ICT services,Serbia,: b,:,:,:,:,:,:,:,:,:,:,:,:,2.34 bp
Annual,ICT services,Sweden,3.84 b,: @C,: @C,: @C,3.87,4.04,3.9,4.41,4.47,4.55,4.61 b,4.75,4.74,4.93 b
Annual,ICT services,Slovenia,1.78 b,1.89,1.93,1.97,2.04,2.16,2.19,2.27,2.31,2.34,2.38,2.45,2.62,: b@C
Annual,ICT services,Slovakia,1.61 b,1.34,1.89,2.15,2.15,: @C,2.29,2.39,2.52,2.65,2.77,2.87,3.03,3.13 b
Annual,ICT services,Türkiye,: b,:,:,:,:,:,:,:,:,:,:,:,:,:
Annual,ICT services,United Kingdom,3.06 b,3.04,3.09,3.03,2.88,3.1,: @C,3.31,: @C,: @C,: @C,:,:,:
Annual,Information and Communication Technology - total,Albania,:,:,:,:,:,:,:,:,:,:,:,:,:,0.13 b
Annual,Information and Communication Technology - total,Austria,2.31 b,2.3,2.27,2.31,2.38,2.43,: @C,2.48,2.55,2.61,2.63 b,2.69,2.82,3.07 b
Annual,Information and Communication Technology - total,Bosnia and Herzegovina,: b,:,:,:,:,:,:,:,:,:,:,:,:,0.14 b
Annual,Information and Communication Technology - total,Belgium,: @C,2.85,2.83,2.7,2.66,2.73,2.63,2.6,2.65,2.69,2.85 b,2.96,2.96 p,3.05 b
Annual,Information and Communication Technology - total,Bulgaria,1.56 b,1.71,1.79,1.89,2.02,2.13,2.19,2.37,2.59,2.71,2.85 b,3.01,3.2,3.43 b
Annual,Information and Communication Technology - total,Switzerland,: b,3.3,2.97 b,2.97,3.12 d,3.16,3.22,3.04,3.11,3.11 d,3.16,3.25,3.4,3.39 be
Annual,Information and Communication Technology - total,Cyprus,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: b@C
Annual,Information and Communication Technology - total,Czechia,: @C,2.76,2.7,2.79,2.79,2.76,2.81,2.84,2.96,3.07,3.13,3.25,3.35,3.47 b
Annual,Information and Communication Technology - total,Germany,2.33 b,2.26,2.26,2.38,2.36,2.47,2.6,2.66,2.74,2.82,3.16 b,3.13 p,3.13 p,3.24 bp
Annual,Information and Communication Technology - total,Denmark,3.22 b,3.13,3.21,4.15,: @C,: @C,: @C,: @C,: @C,: @C,3.51,3.59,3.65,3.6 b
Annual,Information and Communication Technology - total,Estonia,3.01 b,3.01,3.09,3.33,3.41,3.48,3.58,3.6,3.69,4.09,4.3 b,4.75,4.95,5.56 b
Annual,Information and Communication Technology - total,Greece,: @C,: @C,: @C,1.29,1.37,1.23,1.48,1.44,1.43,1.44,1.46 b,1.52,1.63 p,1.73 bp
Annual,Information and Communication Technology - total,Spain,1.96 b,2.0,2.04,2.11,2.21,2.19,2.21,: @C,: @C,: @C,2.48 b,: @C,: @C,: b@C
Annual,Information and Communication Technology - total,European Union - 27 countries (from 2020),: b,:,:,:,:,:,:,:,:,:,:,2.99,3.11,3.19 b
Annual,Information and Communication Technology - total,Finland,4.04 b,4.04,3.93,3.84,3.8,3.7 b,: @C,3.7,: @C,3.73 b,3.79,3.88,4.06,: b@C
Annual,Information and Communication Technology - total,France,: b,:,2.81,2.85,2.91,2.84,2.99 b,2.96 b,2.97 be,3.07 be,3.07,3.1,3.29,3.15 bp
Annual,Information and Communication Technology - total,Croatia,1.88 b,1.8,1.95,1.96,1.93,2.21,2.24,2.34,2.39,2.49,2.57,2.67 b,2.84,3.25 b
Annual,Information and Communication Technology - total,Hungary,3.58 b,3.41,3.65,3.71,3.64,3.53,3.41,3.42,3.49,3.56,3.6 b,3.75,3.75,3.87 b
Annual,Information and Communication Technology - total,Ireland,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,6.09 b
Annual,Information and Communication Technology - total,Iceland,: b,:,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Information and Communication Technology - total,Italy,2.45 b,:,:,2.36,2.37,2.38,2.32,2.35,2.42,2.44 b,2.43,2.45,: @C,: b@C
Annual,Information and Communication Technology - total,Lithuania,1.54 b,: @C,1.79,1.87,1.98,2.07,2.22,2.36,2.46,2.57,2.64 b,2.79,3.03,3.46 b
Annual,Information and Communication Technology - total,Luxembourg,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: b@C
Annual,Information and Communication Technology - total,Latvia,1.78 b,1.91,2.05,2.15,2.47,2.62,3.03,3.28,3.59,3.84,4.15,4.13,4.38,4.69 b
Annual,Information and Communication Technology - total,Montenegro,: b,:,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Information and Communication Technology - total,North Macedonia,: b,:,:,:,:,:,:,:,1.54 p,1.74,1.9,2.04,:,:
Annual,Information and Communication Technology - total,Malta,4.35 b,4.28,4.08,4.4,4.05,3.97,4.13,4.42,4.63,4.64,4.63,4.66,4.58,4.57 b
Annual,Information and Communication Technology - total,Netherlands,3.21 b,3.1,3.04,3.06,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,3.66 bp
Annual,Information and Communication Technology - total,Norway,: b,2.84,2.89,2.91,2.9,2.9,2.95,3.0,2.96,3.03,3.08 b,3.19,3.3,3.38 b
Annual,Information and Communication Technology - total,Poland,: @C,1.58,1.71 b,1.76,1.84,1.91,2.0,2.14,2.29,2.47,2.54 b,2.7,2.78,2.97 b
Annual,Information and Communication Technology - total,Portugal,1.5 b,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,2.73,2.98 b
Annual,Information and Communication Technology - total,Romania,1.55 b,1.5 p,1.52,1.66,1.71,1.84,1.95,2.1,2.27,2.36,2.52 b,2.63,2.74,3.05 b
Annual,Information and Communication Technology - total,Serbia,: b,:,:,:,:,:,:,:,:,:,:,:,:,: b@C
Annual,Information and Communication Technology - total,Sweden,: @C,4.43,4.47,: @C,: @C,: @C,4.49,: @C,: @C,: @C,4.8 b,4.93,4.95,5.16 b
Annual,Information and Communication Technology - total,Slovenia,2.05 b,: @C,2.32,2.34,2.41,2.52,2.52,2.61,2.63,2.66,2.72,2.78,2.95,3.11 b
Annual,Information and Communication Technology - total,Slovakia,2.48 b,2.2,2.72,2.85,2.79,: @C,2.86,2.92,3.04,3.18,3.31,3.35,3.48,3.52 b
Annual,Information and Communication Technology - total,Türkiye,: b,:,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Information and Communication Technology - total,United Kingdom,3.34 b,3.25,3.31,3.25,3.09,3.32,3.41,3.47,3.6 b,3.64,3.43,:,:,:
