Time frequency,Frequency,Category of persons,Degree of urbanisation,Household composition,Income quantile,Unit of measure,Geopolitical entity (reporting)\Time,2015.0,2022.0
Annual,Not in the last 12 months,Family and relatives,Total,Total,Total,Percentage,Euro area – 20 countries (from 2023),:,2.9 e
Annual,Not in the last 12 months,Family and relatives,Total,Total,Total,Percentage,Estonia,5.5,5.5
Annual,Not in the last 12 months,Family and relatives,Total,Total,Total,Percentage,Greece,0.8,1.3
Annual,Not in the last 12 months,Family and relatives,Total,Total,Total,Percentage,Spain,2.8,3.5
Annual,Not in the last 12 months,Family and relatives,Total,Total,Total,Percentage,European Union - 27 countries (from 2020),2.8,2.6 e
Annual,Not in the last 12 months,Family and relatives,Total,Total,Total,Percentage,Finland,1.7,2.5
Annual,Not in the last 12 months,Family and relatives,Total,Total,Total,Percentage,France,2.7,3.0
Annual,Not in the last 12 months,Family and relatives,Total,Total,Total,Percentage,Croatia,4.0,2.2
Annual,Not in the last 12 months,Family and relatives,Total,Total,Total,Percentage,Hungary,5.2,2.4
Annual,Not in the last 12 months,Family and relatives,Total,Total,Total,Percentage,Ireland,2.1 u,3.0
Annual,Not in the last 12 months,Family and relatives,Total,Total,Total,Percentage,Iceland,0.6,:
Annual,Not in the last 12 months,Family and relatives,Total,Total,Total,Percentage,Italy,3.8,2.7
Annual,Not in the last 12 months,Family and relatives,Total,Total,Total,Percentage,Lithuania,1.5,2.0
Annual,Not in the last 12 months,Family and relatives,Total,Total,Total,Percentage,Luxembourg,3.9,2.0
Annual,Not in the last 12 months,Family and relatives,Total,Total,Total,Percentage,Latvia,2.6,4.2
Annual,Not in the last 12 months,Family and relatives,Total,Total,Total,Percentage,Malta,4.9,2.9
Annual,Not in the last 12 months,Family and relatives,Total,Total,Total,Percentage,Netherlands,1.1,2.3
Annual,Not in the last 12 months,Family and relatives,Total,Total,Total,Percentage,Norway,0.6,1.3
Annual,Not in the last 12 months,Family and relatives,Total,Total,Total,Percentage,Poland,2.3 u,1.4
Annual,Not in the last 12 months,Family and relatives,Total,Total,Total,Percentage,Portugal,7.2,4.0
Annual,Not in the last 12 months,Family and relatives,Total,Total,Total,Percentage,Romania,3.8,1.1
Annual,Not in the last 12 months,Family and relatives,Total,Total,Total,Percentage,Serbia,2.1,5.3
Annual,Not in the last 12 months,Family and relatives,Total,Total,Total,Percentage,Sweden,2.2,1.9
Annual,Not in the last 12 months,Family and relatives,Total,Total,Total,Percentage,Slovenia,3.0,2.0
Annual,Not in the last 12 months,Family and relatives,Total,Total,Total,Percentage,Slovakia,2.5,3.0
Annual,Not in the last 12 months,Family and relatives,Total,Total,Total,Percentage,United Kingdom,5.9 u,:
Annual,Not in the last 12 months,Friends,Total,Total,Total,Percentage,Austria,4.0,3.0
Annual,Not in the last 12 months,Friends,Total,Total,Total,Percentage,Belgium,4.8,4.0
Annual,Not in the last 12 months,Friends,Total,Total,Total,Percentage,Bulgaria,3.6,1.1
Annual,Not in the last 12 months,Friends,Total,Total,Total,Percentage,Switzerland,1.4,1.6
Annual,Not in the last 12 months,Friends,Total,Total,Total,Percentage,Cyprus,1.8,1.5
Annual,Not in the last 12 months,Friends,Total,Total,Total,Percentage,Czechia,4.5,3.2
Annual,Not in the last 12 months,Friends,Total,Total,Total,Percentage,Germany,1.9,: u
Annual,Not in the last 12 months,Friends,Total,Total,Total,Percentage,Denmark,1.5,1.3
Annual,Not in the last 12 months,Friends,Total,Total,Total,Percentage,Euro area – 20 countries (from 2023),:,5.4 e
Annual,Not in the last 12 months,Friends,Total,Total,Total,Percentage,Estonia,5.3,10.1
Annual,Not in the last 12 months,Friends,Total,Total,Total,Percentage,Greece,1.6,2.0
Annual,Not in the last 12 months,Friends,Total,Total,Total,Percentage,Spain,5.7,6.5
Annual,Not in the last 12 months,Friends,Total,Total,Total,Percentage,European Union - 27 countries (from 2020),4.5,4.8 e
Annual,Not in the last 12 months,Friends,Total,Total,Total,Percentage,Finland,2.5,4.5
Annual,Not in the last 12 months,Friends,Total,Total,Total,Percentage,France,4.1,6.4
Annual,Not in the last 12 months,Friends,Total,Total,Total,Percentage,Croatia,5.4,2.7
Annual,Not in the last 12 months,Friends,Total,Total,Total,Percentage,Hungary,9.1,6.0
Annual,Not in the last 12 months,Friends,Total,Total,Total,Percentage,Ireland,4.2 u,2.3
Annual,Not in the last 12 months,Friends,Total,Total,Total,Percentage,Iceland,1.8,:
Annual,Not in the last 12 months,Friends,Total,Total,Total,Percentage,Italy,6.6,5.9
Annual,Not in the last 12 months,Friends,Total,Total,Total,Percentage,Lithuania,3.0,5.4
Annual,Not in the last 12 months,Friends,Total,Total,Total,Percentage,Luxembourg,5.2,3.5
Annual,Not in the last 12 months,Friends,Total,Total,Total,Percentage,Latvia,1.6,21.1
Annual,Not in the last 12 months,Friends,Total,Total,Total,Percentage,Malta,17.4,11.4
Annual,Not in the last 12 months,Friends,Total,Total,Total,Percentage,Netherlands,1.8,4.0
Annual,Not in the last 12 months,Friends,Total,Total,Total,Percentage,Norway,0.8,1.5
Annual,Not in the last 12 months,Friends,Total,Total,Total,Percentage,Poland,4.4 u,3.1
Annual,Not in the last 12 months,Friends,Total,Total,Total,Percentage,Portugal,14.2,8.3
Annual,Not in the last 12 months,Friends,Total,Total,Total,Percentage,Romania,6.3,2.4
Annual,Not in the last 12 months,Friends,Total,Total,Total,Percentage,Serbia,3.0,5.3
Annual,Not in the last 12 months,Friends,Total,Total,Total,Percentage,Sweden,2.2,2.2
Annual,Not in the last 12 months,Friends,Total,Total,Total,Percentage,Slovenia,3.9,2.5
Annual,Not in the last 12 months,Friends,Total,Total,Total,Percentage,Slovakia,4.6,4.5
Annual,Not in the last 12 months,Friends,Total,Total,Total,Percentage,United Kingdom,8.8 u,:
Annual,Several times a month,Family and relatives,Total,Total,Total,Percentage,Austria,16.5,13.8
Annual,Several times a month,Family and relatives,Total,Total,Total,Percentage,Belgium,12.2,11.1
Annual,Several times a month,Family and relatives,Total,Total,Total,Percentage,Bulgaria,20.2,11.4
Annual,Several times a month,Family and relatives,Total,Total,Total,Percentage,Switzerland,10.3,8.4
Annual,Several times a month,Family and relatives,Total,Total,Total,Percentage,Cyprus,5.4,3.1
Annual,Several times a month,Family and relatives,Total,Total,Total,Percentage,Czechia,22.4,17.5
Annual,Several times a month,Family and relatives,Total,Total,Total,Percentage,Germany,18.9,: u
Annual,Several times a month,Family and relatives,Total,Total,Total,Percentage,Denmark,14.8,19.8
Annual,Several times a month,Family and relatives,Total,Total,Total,Percentage,Euro area – 20 countries (from 2023),:,13.5 e
Annual,Several times a month,Family and relatives,Total,Total,Total,Percentage,Estonia,20.1,17.1
Annual,Several times a month,Family and relatives,Total,Total,Total,Percentage,Greece,16.0,14.0
Annual,Several times a month,Family and relatives,Total,Total,Total,Percentage,Spain,10.7,11.8
Annual,Several times a month,Family and relatives,Total,Total,Total,Percentage,European Union - 27 countries (from 2020),17.4,15.0 e
Annual,Several times a month,Family and relatives,Total,Total,Total,Percentage,Finland,11.7,10.9
Annual,Several times a month,Family and relatives,Total,Total,Total,Percentage,France,17.8,13.8
Annual,Several times a month,Family and relatives,Total,Total,Total,Percentage,Croatia,19.5,21.7
Annual,Several times a month,Family and relatives,Total,Total,Total,Percentage,Hungary,20.8,18.9
Annual,Several times a month,Family and relatives,Total,Total,Total,Percentage,Ireland,7.4 u,13.9
Annual,Several times a month,Family and relatives,Total,Total,Total,Percentage,Iceland,17.7,:
Annual,Several times a month,Family and relatives,Total,Total,Total,Percentage,Italy,14.7,10.4
Annual,Several times a month,Family and relatives,Total,Total,Total,Percentage,Lithuania,26.6,21.6
Annual,Several times a month,Family and relatives,Total,Total,Total,Percentage,Luxembourg,13.2,14.1
Annual,Several times a month,Family and relatives,Total,Total,Total,Percentage,Latvia,23.0,22.5
Annual,Several times a month,Family and relatives,Total,Total,Total,Percentage,Malta,9.3,8.0
Annual,Several times a month,Family and relatives,Total,Total,Total,Percentage,Netherlands,10.7,13.5
Annual,Several times a month,Family and relatives,Total,Total,Total,Percentage,Norway,10.5,11.6
Annual,Several times a month,Family and relatives,Total,Total,Total,Percentage,Poland,30.4 u,25.8
Annual,Several times a month,Family and relatives,Total,Total,Total,Percentage,Portugal,13.9,11.2
Annual,Several times a month,Family and relatives,Total,Total,Total,Percentage,Romania,21.4,18.8
Annual,Several times a month,Family and relatives,Total,Total,Total,Percentage,Serbia,14.0,21.0
Annual,Several times a month,Family and relatives,Total,Total,Total,Percentage,Sweden,9.1,14.5
Annual,Several times a month,Family and relatives,Total,Total,Total,Percentage,Slovenia,17.6,18.1
Annual,Several times a month,Family and relatives,Total,Total,Total,Percentage,Slovakia,18.2,15.5
Annual,Several times a month,Family and relatives,Total,Total,Total,Percentage,United Kingdom,8.6 u,:
Annual,Several times a month,Friends,Total,Total,Total,Percentage,Austria,17.1,12.9
Annual,Several times a month,Friends,Total,Total,Total,Percentage,Belgium,14.7,14.3
Annual,Several times a month,Friends,Total,Total,Total,Percentage,Bulgaria,20.8,16.9
Annual,Several times a month,Friends,Total,Total,Total,Percentage,Switzerland,11.2,10.8
Annual,Several times a month,Friends,Total,Total,Total,Percentage,Cyprus,9.6,7.6
Annual,Several times a month,Friends,Total,Total,Total,Percentage,Czechia,28.3,23.2
Annual,Several times a month,Friends,Total,Total,Total,Percentage,Germany,21.6,: u
Annual,Several times a month,Friends,Total,Total,Total,Percentage,Denmark,19.2,22.0
